Orthogroup	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Chordata_Vertebrata_Mus_musculus
OG0000012	Trichoplax_specH2_tr_A0A369RVG2_A0A369RVG2_9METZ tr|A0A369RVG2|A0A369RVG2_9METZ BMP-binding endothelial regulator protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010308 PE=4 SV=1	Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2
OG0000013	Trichoplax_specH2_tr_A0A369RTS8_A0A369RTS8_9METZ tr|A0A369RTS8|A0A369RTS8_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010556 PE=3 SV=1, Trichoplax_specH2_tr_A0A369SL16_A0A369SL16_9METZ tr|A0A369SL16|A0A369SL16_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000144 PE=3 SV=1	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000014	Trichoplax_specH2_tr_A0A369S333_A0A369S333_9METZ tr|A0A369S333|A0A369S333_9METZ A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005653 PE=4 SV=1	Mus_musculus_sp_Q769J6_ATS13_MOUSE sp_Q769J6_ATS13_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Mus musculus OX=10090 GN=Adamts13 PE=1 SV=1, Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2, Mus_musculus_sp_Q8BLI0_ATL1_MOUSE sp_Q8BLI0_ATL1_MOUSE ADAMTS-like protein 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=2 SV=2, Mus_musculus_sp_Q69Z28_ATS16_MOUSE sp_Q69Z28_ATS16_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Mus musculus OX=10090 GN=Adamts16 PE=2 SV=2, Mus_musculus_sp_Q8C9W3_ATS2_MOUSE sp_Q8C9W3_ATS2_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus OX=10090 GN=Adamts2 PE=1 SV=2, Mus_musculus_sp_P58459_ATS10_MOUSE sp_P58459_ATS10_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 10 OS=Mus musculus OX=10090 GN=Adamts10 PE=2 SV=3, Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2, Mus_musculus_sp_P59509_ATS19_MOUSE sp_P59509_ATS19_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Mus musculus OX=10090 GN=Adamts19 PE=2 SV=1, Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2, Mus_musculus_sp_Q9R001_ATS5_MOUSE sp_Q9R001_ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2, Mus_musculus_sp_Q8BNJ2_ATS4_MOUSE sp_Q8BNJ2_ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2, Mus_musculus_sp_P59384_ATS15_MOUSE sp_P59384_ATS15_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 15 OS=Mus musculus OX=10090 GN=Adamts15 PE=1 SV=2, Mus_musculus_sp_P97857_ATS1_MOUSE sp_P97857_ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4, Mus_musculus_sp_P57110_ATS8_MOUSE sp_P57110_ATS8_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Mus musculus OX=10090 GN=Adamts8 PE=2 SV=1
OG0000017	Trichoplax_specH2_tr_A0A369SDI5_A0A369SDI5_9METZ tr|A0A369SDI5|A0A369SDI5_9METZ Neuroserpin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002454 PE=3 SV=1	Mus_musculus_sp_O35684_NEUS_MOUSE sp_O35684_NEUS_MOUSE Neuroserpin OS=Mus musculus OX=10090 GN=Serpini1 PE=1 SV=1, Mus_musculus_sp_Q9JK88_SPI2_MOUSE sp_Q9JK88_SPI2_MOUSE Serpin I2 OS=Mus musculus OX=10090 GN=Serpini2 PE=1 SV=1, Mus_musculus_sp_P22777_PAI1_MOUSE sp_P22777_PAI1_MOUSE Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1, Mus_musculus_sp_Q07235_GDN_MOUSE sp_Q07235_GDN_MOUSE Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2
OG0000017	Trichoplax_specH2_tr_A0A369S4E6_A0A369S4E6_9METZ tr|A0A369S4E6|A0A369S4E6_9METZ Serpin B10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006507 PE=3 SV=1, Trichoplax_specH2_tr_A0A369S5H0_A0A369S5H0_9METZ tr|A0A369S5H0|A0A369S5H0_9METZ Serpin B9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006508 PE=3 SV=1	Mus_musculus_sp_P32261_ANT3_MOUSE sp_P32261_ANT3_MOUSE Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1, Mus_musculus_sp_Q5SV42_ILEUC_MOUSE sp_Q5SV42_ILEUC_MOUSE Leukocyte elastase inhibitor C OS=Mus musculus OX=10090 GN=Serpinb1c PE=1 SV=1, Mus_musculus_sp_Q8VHP7_ILEUB_MOUSE sp_Q8VHP7_ILEUB_MOUSE Leukocyte elastase inhibitor B OS=Mus musculus OX=10090 GN=Serpinb1b PE=1 SV=1, Mus_musculus_sp_Q9D154_ILEUA_MOUSE sp_Q9D154_ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1, Mus_musculus_sp_O08800_SPB8_MOUSE sp_O08800_SPB8_MOUSE Serpin B8 OS=Mus musculus OX=10090 GN=Serpinb8 PE=1 SV=2, Mus_musculus_sp_P70124_SPB5_MOUSE sp_P70124_SPB5_MOUSE Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1, Mus_musculus_sp_P12388_PAI2_MOUSE sp_P12388_PAI2_MOUSE Plasminogen activator inhibitor 2_ macrophage OS=Mus musculus OX=10090 GN=Serpinb2 PE=1 SV=1, Mus_musculus_sp_Q9D7P9_SPB12_MOUSE sp_Q9D7P9_SPB12_MOUSE Serpin B12 OS=Mus musculus OX=10090 GN=Serpinb12 PE=2 SV=1, Mus_musculus_sp_Q8CDC0_SPB13_MOUSE sp_Q8CDC0_SPB13_MOUSE Serpin B13 OS=Mus musculus OX=10090 GN=Serpinb13 PE=2 SV=2, Mus_musculus_sp_Q9CQV3_SPB11_MOUSE sp_Q9CQV3_SPB11_MOUSE Serpin B11 OS=Mus musculus OX=10090 GN=Serpinb11 PE=2 SV=1, Mus_musculus_sp_Q9D695_SPB7_MOUSE sp_Q9D695_SPB7_MOUSE Serpin B7 OS=Mus musculus OX=10090 GN=Serpinb7 PE=2 SV=1
OG0000018	Trichoplax_specH2_tr_A0A369S493_A0A369S493_9METZ tr|A0A369S493|A0A369S493_9METZ Sortilin-related receptor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007580 PE=3 SV=1	Mus_musculus_sp_Q60997_DMBT1_MOUSE sp_Q60997_DMBT1_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus OX=10090 GN=Dmbt1 PE=1 SV=2
OG0000019	Trichoplax_specH2_tr_A0A369SHA9_A0A369SHA9_9METZ tr|A0A369SHA9|A0A369SHA9_9METZ Growth/differentiation factor 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001421 PE=3 SV=1	Mus_musculus_sp_P55104_INHBC_MOUSE sp_P55104_INHBC_MOUSE Inhibin beta C chain OS=Mus musculus OX=10090 GN=Inhbc PE=2 SV=2, Mus_musculus_sp_O08717_INHBE_MOUSE sp_O08717_INHBE_MOUSE Inhibin beta E chain OS=Mus musculus OX=10090 GN=Inhbe PE=2 SV=2, Mus_musculus_sp_Q04998_INHBA_MOUSE sp_Q04998_INHBA_MOUSE Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1
OG0000019	Trichoplax_specH2_tr_A0A369SEF4_A0A369SEF4_9METZ tr|A0A369SEF4|A0A369SEF4_9METZ Bone morphogenetic protein 4 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002393 PE=3 SV=1	Mus_musculus_sp_P21274_BMP2_MOUSE sp_P21274_BMP2_MOUSE Bone morphogenetic protein 2 OS=Mus musculus OX=10090 GN=Bmp2 PE=1 SV=3
OG0000021	Trichoplax_specH2_tr_A0A369RTQ1_A0A369RTQ1_9METZ tr|A0A369RTQ1|A0A369RTQ1_9METZ Nidogen-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009409 PE=4 SV=1	Mus_musculus_sp_O88322_NID2_MOUSE sp_O88322_NID2_MOUSE Nidogen-2 OS=Mus musculus OX=10090 GN=Nid2 PE=1 SV=2, Mus_musculus_sp_P10493_NID1_MOUSE sp_P10493_NID1_MOUSE Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2
OG0000022	Trichoplax_specH2_tr_A0A369SFY9_A0A369SFY9_9METZ tr|A0A369SFY9|A0A369SFY9_9METZ Annexin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002457 PE=3 SV=1	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2
OG0000023	Trichoplax_specH2_tr_A0A369RUH1_A0A369RUH1_9METZ tr|A0A369RUH1|A0A369RUH1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009954 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RP58_A0A369RP58_9METZ tr|A0A369RP58|A0A369RP58_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011592 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUI2_A0A369RUI2_9METZ tr|A0A369RUI2|A0A369RUI2_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009955 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUG6_A0A369RUG6_9METZ tr|A0A369RUG6|A0A369RUG6_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009958 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNG1_A0A369RNG1_9METZ tr|A0A369RNG1|A0A369RNG1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011748 PE=4 SV=1	Mus_musculus_sp_Q05910_ADAM8_MOUSE sp_Q05910_ADAM8_MOUSE Disintegrin and metalloproteinase domain-containing protein 8 OS=Mus musculus OX=10090 GN=Adam8 PE=1 SV=3, Mus_musculus_sp_O35227_ADAM7_MOUSE sp_O35227_ADAM7_MOUSE Disintegrin and metalloproteinase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Adam7 PE=2 SV=2, Mus_musculus_sp_Q9R0X2_ADEC1_MOUSE sp_Q9R0X2_ADEC1_MOUSE ADAM DEC1 OS=Mus musculus OX=10090 GN=Adamdec1 PE=2 SV=1, Mus_musculus_sp_Q8K410_ADA32_MOUSE sp_Q8K410_ADA32_MOUSE Disintegrin and metalloproteinase domain-containing protein 32 OS=Mus musculus OX=10090 GN=Adam32 PE=1 SV=3, Mus_musculus_sp_F8VQ03_ADAM3_MOUSE sp_F8VQ03_ADAM3_MOUSE A disintegrin and metallopeptidase domain 3 OS=Mus musculus OX=10090 GN=Adam3 PE=1 SV=1, Mus_musculus_sp_Q9R157_ADA18_MOUSE sp_Q9R157_ADA18_MOUSE Disintegrin and metalloproteinase domain-containing protein 18 OS=Mus musculus OX=10090 GN=Adam18 PE=1 SV=2, Mus_musculus_sp_Q60718_ADAM2_MOUSE sp_Q60718_ADAM2_MOUSE Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Adam2 PE=1 SV=2, Mus_musculus_sp_Q8R534_ADM1B_MOUSE sp_Q8R534_ADM1B_MOUSE Disintegrin and metalloproteinase domain-containing protein 1b OS=Mus musculus OX=10090 GN=Adam1b PE=1 SV=2, Mus_musculus_sp_Q9R159_ADA25_MOUSE sp_Q9R159_ADA25_MOUSE Disintegrin and metalloproteinase domain-containing protein 25 OS=Mus musculus OX=10090 GN=Adam25 PE=2 SV=1, Mus_musculus_sp_Q9R160_ADA24_MOUSE sp_Q9R160_ADA24_MOUSE Disintegrin and metalloproteinase domain-containing protein 24 OS=Mus musculus OX=10090 GN=Adam24 PE=1 SV=2, Mus_musculus_sp_Q9R158_AD26A_MOUSE sp_Q9R158_AD26A_MOUSE Disintegrin and metalloproteinase domain-containing protein 26A OS=Mus musculus OX=10090 GN=Adam26a PE=2 SV=2, Mus_musculus_sp_Q811Q4_ADA29_MOUSE sp_Q811Q4_ADA29_MOUSE Disintegrin and metalloproteinase domain-containing protein 29 OS=Mus musculus OX=10090 GN=Adam29 PE=2 SV=1, Mus_musculus_sp_Q9JI76_ADA21_MOUSE sp_Q9JI76_ADA21_MOUSE Disintegrin and metalloproteinase domain-containing protein 21 OS=Mus musculus OX=10090 GN=Adam21 PE=2 SV=1, Mus_musculus_sp_Q61072_ADAM9_MOUSE sp_Q61072_ADAM9_MOUSE Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2, Mus_musculus_sp_Q61824_ADA12_MOUSE sp_Q61824_ADA12_MOUSE Disintegrin and metalloproteinase domain-containing protein 12 OS=Mus musculus OX=10090 GN=Adam12 PE=1 SV=2, Mus_musculus_sp_Q923W9_ADA33_MOUSE sp_Q923W9_ADA33_MOUSE Disintegrin and metalloproteinase domain-containing protein 33 OS=Mus musculus OX=10090 GN=Adam33 PE=1 SV=3, Mus_musculus_sp_O35674_ADA19_MOUSE sp_O35674_ADA19_MOUSE Disintegrin and metalloproteinase domain-containing protein 19 OS=Mus musculus OX=10090 GN=Adam19 PE=2 SV=2, Mus_musculus_sp_O88839_ADA15_MOUSE sp_O88839_ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2, Mus_musculus_sp_O88839_ADA15_MOUSE sp_O88839_ADA15_MOUSE Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus OX=10090 GN=Adam15 PE=1 SV=2, Mus_musculus_sp_Q9R1V7_ADA23_MOUSE sp_Q9R1V7_ADA23_MOUSE Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus OX=10090 GN=Adam23 PE=1 SV=1, Mus_musculus_sp_Q9R1V6_ADA22_MOUSE sp_Q9R1V6_ADA22_MOUSE Disintegrin and metalloproteinase domain-containing protein 22 OS=Mus musculus OX=10090 GN=Adam22 PE=1 SV=2, Mus_musculus_sp_Q9R1V4_ADA11_MOUSE sp_Q9R1V4_ADA11_MOUSE Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus OX=10090 GN=Adam11 PE=1 SV=2
OG0000024	Trichoplax_specH2_tr_A0A369RTM3_A0A369RTM3_9METZ tr|A0A369RTM3|A0A369RTM3_9METZ Boophilin-H2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009566 PE=4 SV=1	Mus_musculus_sp_Q8R0S6_WFKN1_MOUSE sp_Q8R0S6_WFKN1_MOUSE WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wfikkn1 PE=2 SV=2
