Orthogroup	Chordata_Vertebrata_Danio_rerio	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000003	Danio_rerio_sp_A5PMY6_COL12_DANRE sp|A5PMY6|COL12_DANRE Collectin-12 OS=Danio rerio OX=7955 GN=colec12 PE=2 SV=1, Danio_rerio_tr_F1QW96_F1QW96_DANRE tr|F1QW96|F1QW96_DANRE CD209 molecule OS=Danio rerio OX=7955 GN=DC-SIGN PE=4 SV=1	Nematostella_vectensis_NV2t017872001.1 NV2t017872001.1, Nematostella_vectensis_NV2t021375001.1 NV2t021375001.1
OG0000004	Danio_rerio_tr_Q8AW56_Q8AW56_DANRE tr|Q8AW56|Q8AW56_DANRE Cochlin precursor OS=Danio rerio OX=7955 GN=OTTDARP00000001491 PE=1 SV=1	Nematostella_vectensis_NV2t009760001.1 NV2t009760001.1, Nematostella_vectensis_NV2t008618001.1 NV2t008618001.1, Nematostella_vectensis_NV2t000845001.1 NV2t000845001.1, Nematostella_vectensis_NV2t000842001.1 NV2t000842001.1, Nematostella_vectensis_NV2t000843001.1 NV2t000843001.1, Nematostella_vectensis_NV2t000844001.1 NV2t000844001.1, Nematostella_vectensis_NV2t000836001.1 NV2t000836001.1, Nematostella_vectensis_NV2t000841001.1 NV2t000841001.1, Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1, Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1, Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1, Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1, Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1, Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1, Nematostella_vectensis_NV2t016479001.1 NV2t016479001.1
OG0000004	Danio_rerio_tr_F1QAB3_F1QAB3_DANRE tr|F1QAB3|F1QAB3_DANRE Collagen type XXVIII alpha 1 a precursor OS=Danio rerio OX=7955 GN=si_dkey-211m23.2 PE=1 SV=1, Danio_rerio_tr_C0H5W1_C0H5W1_DANRE tr|C0H5W1|C0H5W1_DANRE Collagen alpha-1_XXVIII_ chain isoform X1 _Fragment_ OS=Danio rerio OX=7955 GN=col28a1 PE=1 SV=1, Danio_rerio_tr_A0A060Q6E4_A0A060Q6E4_DANRE tr|A0A060Q6E4|A0A060Q6E4_DANRE Collagen type XXVIII alpha 1 b OS=Danio rerio OX=7955 GN=col28a1d PE=2 SV=1	Nematostella_vectensis_NV2t000975001.1 NV2t000975001.1
OG0000005	Danio_rerio_tr_Q1LW00_Q1LW00_DANRE tr|Q1LW00|Q1LW00_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=cb284 PE=1 SV=1, Danio_rerio_tr_Q4G0A2_Q4G0A2_DANRE tr|Q4G0A2|Q4G0A2_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he1 PE=2 SV=1, Danio_rerio_sp_Q1LW01_HE12_DANRE sp|Q1LW01|HE12_DANRE Hatching enzyme 1.2 OS=Danio rerio OX=7955 GN=he1.2 PE=1 SV=1, Danio_rerio_tr_A4VCG4_A4VCG4_DANRE tr|A4VCG4|A4VCG4_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he2 PE=2 SV=1	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1, Nematostella_vectensis_NV2t002486001.1 NV2t002486001.1, Nematostella_vectensis_NV2t010250001.1 NV2t010250001.1, Nematostella_vectensis_NV2t004041001.1 NV2t004041001.1, Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1, Nematostella_vectensis_NV2t019110001.1 NV2t019110001.1, Nematostella_vectensis_NV2t019110002.1 NV2t019110002.1, Nematostella_vectensis_NV2t019110003.1 NV2t019110003.1, Nematostella_vectensis_NV2t017973001.1 NV2t017973001.1, Nematostella_vectensis_NV2t015362001.1 NV2t015362001.1
OG0000007	Danio_rerio_tr_E7F2S5_E7F2S5_DANRE tr|E7F2S5|E7F2S5_DANRE Sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 OS=Danio rerio OX=7955 GN=sned1 PE=4 SV=1	Nematostella_vectensis_NV2t007493001.1 NV2t007493001.1
OG0000010	Danio_rerio_tr_E7F3V2_E7F3V2_DANRE tr|E7F3V2|E7F3V2_DANRE Hemicentin 2 OS=Danio rerio OX=7955 GN=hmcn2 PE=1 SV=2	Nematostella_vectensis_NV2t024790001.1 NV2t024790001.1
OG0000010	Danio_rerio_tr_E7F5U2_E7F5U2_DANRE tr|E7F5U2|E7F5U2_DANRE Immunoglobulin superfamily member 10 OS=Danio rerio OX=7955 GN=igsf10 PE=4 SV=1, Danio_rerio_tr_F1QHX4_F1QHX4_DANRE tr|F1QHX4|F1QHX4_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5b PE=4 SV=2, Danio_rerio_tr_A0A8M1QK92_A0A8M1QK92_DANRE tr|A0A8M1QK92|A0A8M1QK92_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5a PE=4 SV=1	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1
OG0000010	Danio_rerio_tr_A0A0R4IJ40_A0A0R4IJ40_DANRE tr|A0A0R4IJ40|A0A0R4IJ40_DANRE Agrin OS=Danio rerio OX=7955 GN=hm_gc12 PE=1 SV=1, Danio_rerio_tr_B3GQ72_B3GQ72_DANRE tr|B3GQ72|B3GQ72_DANRE Agrin OS=Danio rerio OX=7955 GN=wu_fb57e07 PE=1 SV=1	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1
OG0000010	Danio_rerio_tr_A7MBP8_A7MBP8_DANRE tr|A7MBP8|A7MBP8_DANRE Follistatin b isoform 2 precursor OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_tr_Q2PMI4_Q2PMI4_DANRE tr|Q2PMI4|Q2PMI4_DANRE Follistatin 2 OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_sp_Q9YHV4_FSTA_DANRE sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2, Danio_rerio_tr_A4IG14_A4IG14_DANRE tr|A4IG14|A4IG14_DANRE Follistatin-like 3 _secreted glycoprotein_ OS=Danio rerio OX=7955 GN=zgc_114170 PE=2 SV=1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Danio_rerio_tr_E7F9Z1_E7F9Z1_DANRE tr|E7F9Z1|E7F9Z1_DANRE von Willebrand factor OS=Danio rerio OX=7955 GN=VWF PE=1 SV=3	Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1
OG0000012	Danio_rerio_tr_A0A8M3ASW3_A0A8M3ASW3_DANRE tr|A0A8M3ASW3|A0A8M3ASW3_DANRE Alpha-tectorin isoform X1 OS=Danio rerio OX=7955 GN=tecta PE=1 SV=1, Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1, Danio_rerio_tr_F1Q752_F1Q752_DANRE tr|F1Q752|F1Q752_DANRE Kielin/chordin-like protein OS=Danio rerio OX=7955 GN=si_dkey-266m15.6 PE=4 SV=3	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000013	Danio_rerio_tr_A5WVL3_A5WVL3_DANRE tr|A5WVL3|A5WVL3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_77293 PE=3 SV=1	Nematostella_vectensis_NV2t002707001.1 NV2t002707001.1
OG0000013	Danio_rerio_tr_F1R205_F1R205_DANRE tr|F1R205|F1R205_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt6b PE=3 SV=1	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Danio_rerio_tr_B3DI55_B3DI55_DANRE tr|B3DI55|B3DI55_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1, Danio_rerio_sp_P24257_WNT1_DANRE sp|P24257|WNT1_DANRE Protein Wnt-1 OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
OG0000013	Danio_rerio_tr_B0LK22_B0LK22_DANRE tr|B0LK22|B0LK22_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt3 PE=2 SV=1, Danio_rerio_tr_Q6IYD9_Q6IYD9_DANRE tr|Q6IYD9|Q6IYD9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Zwnt[a] PE=2 SV=1	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1
OG0000013	Danio_rerio_sp_Q92050_WNT5B_DANRE sp|Q92050|WNT5B_DANRE Protein Wnt-5b OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1, Danio_rerio_tr_B3DI33_B3DI33_DANRE tr|B3DI33|B3DI33_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1, Danio_rerio_tr_A1BPR0_A1BPR0_DANRE tr|A1BPR0|A1BPR0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5a PE=2 SV=1	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1
OG0000013	Danio_rerio_sp_O73864_WNT11_DANRE sp|O73864|WNT11_DANRE Protein Wnt-11 OS=Danio rerio OX=7955 GN=wnt11 PE=2 SV=1, Danio_rerio_tr_B8JM95_B8JM95_DANRE tr|B8JM95|B8JM95_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Slb/Wnt11 PE=3 SV=1, Danio_rerio_tr_Q9I9I2_Q9I9I2_DANRE tr|Q9I9I2|Q9I9I2_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt11r PE=2 SV=1	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Danio_rerio_tr_Q4JLT0_Q4JLT0_DANRE tr|Q4JLT0|Q4JLT0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7a PE=2 SV=1, Danio_rerio_tr_F1Q5B7_F1Q5B7_DANRE tr|F1Q5B7|F1Q5B7_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7ba PE=3 SV=1	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
OG0000013	Danio_rerio_sp_Q92048_WNT2_DANRE sp|Q92048|WNT2_DANRE Protein Wnt-2 OS=Danio rerio OX=7955 GN=wnt2 PE=2 SV=1, Danio_rerio_tr_Q8AY89_Q8AY89_DANRE tr|Q8AY89|Q8AY89_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2b PE=2 SV=1, Danio_rerio_tr_Q1L130_Q1L130_DANRE tr|Q1L130|Q1L130_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2bb PE=2 SV=1	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2, Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000013	Danio_rerio_sp_Q801F7_WN10B_DANRE sp|Q801F7|WN10B_DANRE Protein Wnt-10b OS=Danio rerio OX=7955 GN=wnt10b PE=2 SV=1, Danio_rerio_tr_B0V1G8_B0V1G8_DANRE tr|B0V1G8|B0V1G8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=WNT-10A PE=3 SV=1, Danio_rerio_sp_P43446_WN10A_DANRE sp|P43446|WN10A_DANRE Protein Wnt-10a OS=Danio rerio OX=7955 GN=wnt10a PE=1 SV=1	Nematostella_vectensis_NV2t011032001.1 NV2t011032001.1
OG0000014	Danio_rerio_tr_E7FBX1_E7FBX1_DANRE tr|E7FBX1|E7FBX1_DANRE ADAMTS-like 3 OS=Danio rerio OX=7955 GN=adamtsl3 PE=4 SV=3	Nematostella_vectensis_NV2t023123001.1 NV2t023123001.1
OG0000014	Danio_rerio_tr_F1R8A1_F1R8A1_DANRE tr|F1R8A1|F1R8A1_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Danio rerio OX=7955 GN=adamts12 PE=4 SV=2	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1
OG0000014	Danio_rerio_tr_Q503V4_Q503V4_DANRE tr|Q503V4|Q503V4_DANRE Papilin b_ proteoglycan-like sulfated glycoprotein OS=Danio rerio OX=7955 GN=wu_fi31b03 PE=2 SV=1	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1
OG0000014	Danio_rerio_tr_G3G3K0_G3G3K0_DANRE tr|G3G3K0|G3G3K0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Danio rerio OX=7955 GN=adamts9 PE=2 SV=1	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1
OG0000015	Danio_rerio_tr_Q5PR99_Q5PR99_DANRE tr|Q5PR99|Q5PR99_DANRE Beta tectorin OS=Danio rerio OX=7955 GN=zgc_101843 PE=2 SV=1	Nematostella_vectensis_NV2t012863002.1 NV2t012863002.1, Nematostella_vectensis_NV2t012863001.1 NV2t012863001.1, Nematostella_vectensis_NV2t012864001.1 NV2t012864001.1
OG0000017	Danio_rerio_tr_Q8AYE3_Q8AYE3_DANRE tr|Q8AYE3|Q8AYE3_DANRE Antithrombin OS=Danio rerio OX=7955 GN=wu_fb18f10 PE=1 SV=1, Danio_rerio_tr_Q5RIK7_Q5RIK7_DANRE tr|Q5RIK7|Q5RIK7_DANRE Serpin peptidase inhibitor_ clade B _ovalbumin__ member 1_-like 2 OS=Danio rerio OX=7955 GN=zgc_56075 PE=2 SV=1, Danio_rerio_tr_Q6DG30_Q6DG30_DANRE tr|Q6DG30|Q6DG30_DANRE Serpin peptidase inhibitor_ clade B _Ovalbumin__ member 1 OS=Danio rerio OX=7955 GN=si_dkey-177p2.12 PE=1 SV=1	Nematostella_vectensis_NV2t021103001.1 NV2t021103001.1
OG0000018	Danio_rerio_tr_F1QJK9_F1QJK9_DANRE tr|F1QJK9|F1QJK9_DANRE Lysyl oxidase homolog OS=Danio rerio OX=7955 GN=loxl4 PE=3 SV=2, Danio_rerio_sp_F1RD85_LOX3A_DANRE sp|F1RD85|LOX3A_DANRE Lysyl oxidase homolog 3A OS=Danio rerio OX=7955 GN=loxl3a PE=2 SV=1, Danio_rerio_sp_B8A4W9_LOX3B_DANRE sp|B8A4W9|LOX3B_DANRE Lysyl oxidase homolog 3B OS=Danio rerio OX=7955 GN=loxl3b PE=2 SV=1, Danio_rerio_sp_F1QQC3_LOL2A_DANRE sp|F1QQC3|LOL2A_DANRE Lysyl oxidase homolog 2A OS=Danio rerio OX=7955 GN=loxl2a PE=2 SV=1, Danio_rerio_sp_A1L1V4_LOL2B_DANRE sp|A1L1V4|LOL2B_DANRE Lysyl oxidase homolog 2B OS=Danio rerio OX=7955 GN=loxl2b PE=2 SV=1	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
OG0000019	Danio_rerio_tr_Q1LWW7_Q1LWW7_DANRE tr|Q1LWW7|Q1LWW7_DANRE Bone morphogenetic protein 8A OS=Danio rerio OX=7955 GN=bmp8 PE=3 SV=1, Danio_rerio_tr_Q7T288_Q7T288_DANRE tr|Q7T288|Q7T288_DANRE Bone morphogenetic protein 5 OS=Danio rerio OX=7955 GN=bmp5l PE=2 SV=1, Danio_rerio_tr_Q5CZV5_Q5CZV5_DANRE tr|Q5CZV5|Q5CZV5_DANRE Bmp6 protein OS=Danio rerio OX=7955 GN=zgc_113595 PE=2 SV=1, Danio_rerio_tr_Q9PTF9_Q9PTF9_DANRE tr|Q9PTF9|Q9PTF9_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=Bmp7 PE=2 SV=1, Danio_rerio_tr_Q08CJ5_Q08CJ5_DANRE tr|Q08CJ5|Q08CJ5_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=zgc_153025 PE=2 SV=1, Danio_rerio_tr_F1QD07_F1QD07_DANRE tr|F1QD07|F1QD07_DANRE Bone morphogenetic protein 7 isoform X1 OS=Danio rerio OX=7955 GN=zgc_153025 PE=3 SV=1	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1
