Orthogroup	Chordata_Vertebrata_Danio_rerio	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000013	Danio_rerio_tr_F1R205_F1R205_DANRE tr|F1R205|F1R205_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt6b PE=3 SV=1	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1
OG0000013	Danio_rerio_tr_B3DI55_B3DI55_DANRE tr|B3DI55|B3DI55_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1, Danio_rerio_sp_P24257_WNT1_DANRE sp|P24257|WNT1_DANRE Protein Wnt-1 OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1
OG0000013	Danio_rerio_tr_B0LK22_B0LK22_DANRE tr|B0LK22|B0LK22_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt3 PE=2 SV=1, Danio_rerio_tr_Q6IYD9_Q6IYD9_DANRE tr|Q6IYD9|Q6IYD9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Zwnt[a] PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_399.g28064.t1 Sc4wPfr_399.g28064.t1
OG0000013	Danio_rerio_tr_Q9IAU3_Q9IAU3_DANRE tr|Q9IAU3|Q9IAU3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4b PE=2 SV=1, Danio_rerio_tr_Q1RLW9_Q1RLW9_DANRE tr|Q1RLW9|Q1RLW9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1, Danio_rerio_sp_P47793_WNT4A_DANRE sp|P47793|WNT4A_DANRE Protein Wnt-4a OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1
OG0000013	Danio_rerio_tr_Q4JLT0_Q4JLT0_DANRE tr|Q4JLT0|Q4JLT0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7a PE=2 SV=1, Danio_rerio_tr_F1Q5B7_F1Q5B7_DANRE tr|F1Q5B7|F1Q5B7_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7ba PE=3 SV=1	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1
OG0000013	Danio_rerio_sp_Q92048_WNT2_DANRE sp|Q92048|WNT2_DANRE Protein Wnt-2 OS=Danio rerio OX=7955 GN=wnt2 PE=2 SV=1, Danio_rerio_tr_Q8AY89_Q8AY89_DANRE tr|Q8AY89|Q8AY89_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2b PE=2 SV=1, Danio_rerio_tr_Q1L130_Q1L130_DANRE tr|Q1L130|Q1L130_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2bb PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1
OG0000013	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2, Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1
OG0000015	Danio_rerio_tr_Q5PR99_Q5PR99_DANRE tr|Q5PR99|Q5PR99_DANRE Beta tectorin OS=Danio rerio OX=7955 GN=zgc_101843 PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_330.g6850.t1 Sc4wPfr_330.g6850.t1
OG0000018	Danio_rerio_tr_F1QJK9_F1QJK9_DANRE tr|F1QJK9|F1QJK9_DANRE Lysyl oxidase homolog OS=Danio rerio OX=7955 GN=loxl4 PE=3 SV=2, Danio_rerio_sp_F1RD85_LOX3A_DANRE sp|F1RD85|LOX3A_DANRE Lysyl oxidase homolog 3A OS=Danio rerio OX=7955 GN=loxl3a PE=2 SV=1, Danio_rerio_sp_B8A4W9_LOX3B_DANRE sp|B8A4W9|LOX3B_DANRE Lysyl oxidase homolog 3B OS=Danio rerio OX=7955 GN=loxl3b PE=2 SV=1, Danio_rerio_sp_F1QQC3_LOL2A_DANRE sp|F1QQC3|LOL2A_DANRE Lysyl oxidase homolog 2A OS=Danio rerio OX=7955 GN=loxl2a PE=2 SV=1, Danio_rerio_sp_A1L1V4_LOL2B_DANRE sp|A1L1V4|LOL2B_DANRE Lysyl oxidase homolog 2B OS=Danio rerio OX=7955 GN=loxl2b PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_289.g2555.t1 Sc4wPfr_289.g2555.t1, Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1, Hydra_vulgaris_Sc4wPfr_289.g2550.t1 Sc4wPfr_289.g2550.t1
OG0000019	Danio_rerio_tr_Q68IN2_Q68IN2_DANRE tr|Q68IN2|Q68IN2_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=gdf8l PE=2 SV=1, Danio_rerio_sp_O42222_GDF8_DANRE sp|O42222|GDF8_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=mstnb PE=2 SV=2, Danio_rerio_tr_Q8JFP9_Q8JFP9_DANRE tr|Q8JFP9|Q8JFP9_DANRE Gdf11-like OS=Danio rerio OX=7955 GN=gdf11 PE=2 SV=2, Danio_rerio_tr_A1L1T8_A1L1T8_DANRE tr|A1L1T8|A1L1T8_DANRE Inhibin beta A chain precursor OS=Danio rerio OX=7955 GN=inhbal PE=2 SV=1, Danio_rerio_tr_Q8QGE3_Q8QGE3_DANRE tr|Q8QGE3|Q8QGE3_DANRE Activin beta A subunit OS=Danio rerio OX=7955 GN=wu_fk40h12 PE=2 SV=1, Danio_rerio_tr_Q90261_Q90261_DANRE tr|Q90261|Q90261_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=ZactbetaB PE=2 SV=1, Danio_rerio_tr_B0S7E0_B0S7E0_DANRE tr|B0S7E0|B0S7E0_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=actbb PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1
OG0000019	Danio_rerio_tr_Q1LWW7_Q1LWW7_DANRE tr|Q1LWW7|Q1LWW7_DANRE Bone morphogenetic protein 8A OS=Danio rerio OX=7955 GN=bmp8 PE=3 SV=1, Danio_rerio_tr_Q7T288_Q7T288_DANRE tr|Q7T288|Q7T288_DANRE Bone morphogenetic protein 5 OS=Danio rerio OX=7955 GN=bmp5l PE=2 SV=1, Danio_rerio_tr_Q5CZV5_Q5CZV5_DANRE tr|Q5CZV5|Q5CZV5_DANRE Bmp6 protein OS=Danio rerio OX=7955 GN=zgc_113595 PE=2 SV=1, Danio_rerio_tr_Q9PTF9_Q9PTF9_DANRE tr|Q9PTF9|Q9PTF9_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=Bmp7 PE=2 SV=1, Danio_rerio_tr_Q08CJ5_Q08CJ5_DANRE tr|Q08CJ5|Q08CJ5_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=zgc_153025 PE=2 SV=1, Danio_rerio_tr_F1QD07_F1QD07_DANRE tr|F1QD07|F1QD07_DANRE Bone morphogenetic protein 7 isoform X1 OS=Danio rerio OX=7955 GN=zgc_153025 PE=3 SV=1	Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1
OG0000019	Danio_rerio_tr_O57574_O57574_DANRE tr|O57574|O57574_DANRE Bone genetic protein 4 OS=Danio rerio OX=7955 GN=zBMP-4 PE=2 SV=1, Danio_rerio_tr_O13109_O13109_DANRE tr|O13109|O13109_DANRE BMP2 OS=Danio rerio OX=7955 GN=BMP2 PE=2 SV=1, Danio_rerio_tr_O93369_O93369_DANRE tr|O93369|O93369_DANRE Bone morphogenetic protein 2 OS=Danio rerio OX=7955 GN=BMP2b PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1
OG0000019	Danio_rerio_sp_A8E7N9_GDF6B_DANRE sp|A8E7N9|GDF6B_DANRE Growth/differentiation factor 6-B OS=Danio rerio OX=7955 GN=gdf6b PE=2 SV=1, Danio_rerio_sp_P85857_GDF6A_DANRE sp|P85857|GDF6A_DANRE Growth/differentiation factor 6-A OS=Danio rerio OX=7955 GN=gdf6a PE=1 SV=1, Danio_rerio_tr_F1QK08_F1QK08_DANRE tr|F1QK08|F1QK08_DANRE Growth differentiation factor 5 OS=Danio rerio OX=7955 GN=gdf5 PE=3 SV=1, Danio_rerio_tr_A0JML2_A0JML2_DANRE tr|A0JML2|A0JML2_DANRE Bone morphogenetic protein 3 OS=Danio rerio OX=7955 GN=zgc_153939 PE=2 SV=1, Danio_rerio_tr_D2CN89_D2CN89_DANRE tr|D2CN89|D2CN89_DANRE BMP3b OS=Danio rerio OX=7955 GN=bmp3b PE=2 SV=1, Danio_rerio_tr_B8A5X9_B8A5X9_DANRE tr|B8A5X9|B8A5X9_DANRE Growth differentiation factor 10a OS=Danio rerio OX=7955 GN=gdf10a PE=3 SV=1	Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1
OG0000020	Danio_rerio_tr_Q2LDA1_Q2LDA1_DANRE tr|Q2LDA1|Q2LDA1_DANRE Collagen alpha-1_II_ chain precursor OS=Danio rerio OX=7955 GN=col2a1 PE=1 SV=1, Danio_rerio_tr_B3DLK0_B3DLK0_DANRE tr|B3DLK0|B3DLK0_DANRE Col2a1a protein OS=Danio rerio OX=7955 GN=col2a1 PE=1 SV=1, Danio_rerio_tr_L0S5L0_L0S5L0_DANRE tr|L0S5L0|L0S5L0_DANRE Collagen type II_ alpha-1b OS=Danio rerio OX=7955 GN=im_6788778 PE=2 SV=1, Danio_rerio_tr_Q6PEI9_Q6PEI9_DANRE tr|Q6PEI9|Q6PEI9_DANRE Collagen_ type I_ alpha 1b precursor OS=Danio rerio OX=7955 GN=col1a3 PE=1 SV=1, Danio_rerio_tr_Q6U1J5_Q6U1J5_DANRE tr|Q6U1J5|Q6U1J5_DANRE Chihuahua OS=Danio rerio OX=7955 GN=chi PE=1 SV=1, Danio_rerio_tr_Q6IQX2_Q6IQX2_DANRE tr|Q6IQX2|Q6IQX2_DANRE Collagen alpha-2_I_ chain precursor OS=Danio rerio OX=7955 GN=alpha2_I_ PE=1 SV=1, Danio_rerio_tr_E7FE47_E7FE47_DANRE tr|E7FE47|E7FE47_DANRE Collagen alpha-2_V_ chain OS=Danio rerio OX=7955 GN=col5a2b PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_73.g11528.t1 Sc4wPfr_73.g11528.t1, Hydra_vulgaris_Sc4wPfr_363.2.g30379.t1 Sc4wPfr_363.2.g30379.t1, Hydra_vulgaris_Sc4wPfr_558.1.g10166.t1 Sc4wPfr_558.1.g10166.t1, Hydra_vulgaris_Sc4wPfr_16.1.g8497.t1 Sc4wPfr_16.1.g8497.t1
OG0000020	Danio_rerio_sp_C7DZK3_CRA1A_DANRE sp|C7DZK3|CRA1A_DANRE Collagen alpha-1_XXVII_ chain A OS=Danio rerio OX=7955 GN=col27a1a PE=2 SV=1, Danio_rerio_sp_A0MSJ1_CRA1B_DANRE sp|A0MSJ1|CRA1B_DANRE Collagen alpha-1_XXVII_ chain B OS=Danio rerio OX=7955 GN=col27a1b PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_73.g11591.t3 Sc4wPfr_73.g11591.t3, Hydra_vulgaris_Sc4wPfr_73.g11591.t1 Sc4wPfr_73.g11591.t1, Hydra_vulgaris_Sc4wPfr_73.g11591.t2 Sc4wPfr_73.g11591.t2
OG0000021	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1
OG0000022	Danio_rerio_tr_Q6PHG3_Q6PHG3_DANRE tr|Q6PHG3|Q6PHG3_DANRE Annexin OS=Danio rerio OX=7955 GN=wu_fb40a08 PE=1 SV=1, Danio_rerio_tr_Q4VBH6_Q4VBH6_DANRE tr|Q4VBH6|Q4VBH6_DANRE Annexin OS=Danio rerio OX=7955 GN=anxa13l PE=1 SV=1	Hydra_vulgaris_Sc4wPfr_828.1.g12788.t1 Sc4wPfr_828.1.g12788.t1, Hydra_vulgaris_Sc4wPfr_828.1.g12787.t1 Sc4wPfr_828.1.g12787.t1
OG0000023	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_463.g30914.t1 Sc4wPfr_463.g30914.t1, Hydra_vulgaris_Sc4wPfr_463.g30914.t2 Sc4wPfr_463.g30914.t2, Hydra_vulgaris_Sc4wPfr_463.g30915.t1 Sc4wPfr_463.g30915.t1
OG0000024	Danio_rerio_tr_A0A0R4IMY5_A0A0R4IMY5_DANRE tr|A0A0R4IMY5|A0A0R4IMY5_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_F1RAX3_F1RAX3_DANRE tr|F1RAX3|F1RAX3_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_E7F9M2_E7F9M2_DANRE tr|E7F9M2|E7F9M2_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 1 OS=Danio rerio OX=7955 GN=spock1 PE=4 SV=3	Hydra_vulgaris_Sc4wPfr_199.g28646.t1 Sc4wPfr_199.g28646.t1
