Orthogroup	Chordata_Vertebrata_Danio_rerio	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000013	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2, Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1	Trichoplax_specH2_tr_A0A369RTS8_A0A369RTS8_9METZ tr|A0A369RTS8|A0A369RTS8_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010556 PE=3 SV=1, Trichoplax_specH2_tr_A0A369SL16_A0A369SL16_9METZ tr|A0A369SL16|A0A369SL16_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000144 PE=3 SV=1
OG0000014	Danio_rerio_tr_E7FBX1_E7FBX1_DANRE tr|E7FBX1|E7FBX1_DANRE ADAMTS-like 3 OS=Danio rerio OX=7955 GN=adamtsl3 PE=4 SV=3, Danio_rerio_tr_E7FEJ5_E7FEJ5_DANRE tr|E7FEJ5|E7FEJ5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 OS=Danio rerio OX=7955 GN=adamts18 PE=4 SV=1, Danio_rerio_tr_A0A0R4ISF7_A0A0R4ISF7_DANRE tr|A0A0R4ISF7|A0A0R4ISF7_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 2 isoform X1 OS=Danio rerio OX=7955 GN=adamts2 PE=4 SV=2, Danio_rerio_tr_S5RVW8_S5RVW8_DANRE tr|S5RVW8|S5RVW8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 3 precursor OS=Danio rerio OX=7955 GN=adamts3 PE=2 SV=1, Danio_rerio_tr_A0A8M6Z1D0_A0A8M6Z1D0_DANRE tr|A0A8M6Z1D0|A0A8M6Z1D0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X1 OS=Danio rerio OX=7955 GN=adamts6 PE=4 SV=1, Danio_rerio_tr_A0A8M1NG56_A0A8M1NG56_DANRE tr|A0A8M1NG56|A0A8M1NG56_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 OS=Danio rerio OX=7955 GN=si_dkey-45m5.4 PE=4 SV=1, Danio_rerio_tr_F1R8A1_F1R8A1_DANRE tr|F1R8A1|F1R8A1_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Danio rerio OX=7955 GN=adamts12 PE=4 SV=2, Danio_rerio_tr_Q503V4_Q503V4_DANRE tr|Q503V4|Q503V4_DANRE Papilin b_ proteoglycan-like sulfated glycoprotein OS=Danio rerio OX=7955 GN=wu_fi31b03 PE=2 SV=1, Danio_rerio_tr_G3G3K0_G3G3K0_DANRE tr|G3G3K0|G3G3K0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Danio rerio OX=7955 GN=adamts9 PE=2 SV=1, Danio_rerio_tr_G3G3J8_G3G3J8_DANRE tr|G3G3J8|G3G3J8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor OS=Danio rerio OX=7955 GN=adamts5 PE=2 SV=1, Danio_rerio_tr_X1WDJ8_X1WDJ8_DANRE tr|X1WDJ8|X1WDJ8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15-like OS=Danio rerio OX=7955 GN=LOC100002059 PE=4 SV=1, Danio_rerio_tr_A2BIA3_A2BIA3_DANRE tr|A2BIA3|A2BIA3_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15 precursor OS=Danio rerio OX=7955 GN=adamts15 PE=4 SV=1, Danio_rerio_tr_E7EYL5_E7EYL5_DANRE tr|E7EYL5|E7EYL5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Danio rerio OX=7955 GN=LOC100001991 PE=4 SV=1	Trichoplax_specH2_tr_A0A369S333_A0A369S333_9METZ tr|A0A369S333|A0A369S333_9METZ A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005653 PE=4 SV=1
OG0000017	Danio_rerio_tr_B3DJI9_B3DJI9_DANRE tr|B3DJI9|B3DJI9_DANRE Neuroserpin precursor OS=Danio rerio OX=7955 GN=si_ch211-167c22.4 PE=2 SV=1, Danio_rerio_tr_A8WGQ0_A8WGQ0_DANRE tr|A8WGQ0|A8WGQ0_DANRE Plasminogen activator inhibitor 1 precursor OS=Danio rerio OX=7955 GN=si_ch211-138a11.1 PE=2 SV=1, Danio_rerio_tr_F1QRB8_F1QRB8_DANRE tr|F1QRB8|F1QRB8_DANRE Plasminogen activator inhibitor 1 OS=Danio rerio OX=7955 GN=PAI-1 PE=1 SV=1, Danio_rerio_tr_Q7ZVL5_Q7ZVL5_DANRE tr|Q7ZVL5|Q7ZVL5_DANRE Glia-derived nexin precursor OS=Danio rerio OX=7955 GN=zgc_55929 PE=2 SV=1, Danio_rerio_sp_B0UYL8_SERP3_DANRE sp|B0UYL8|SERP3_DANRE Probable serpin E3 OS=Danio rerio OX=7955 GN=serpine3 PE=3 SV=1	Trichoplax_specH2_tr_A0A369SDI5_A0A369SDI5_9METZ tr|A0A369SDI5|A0A369SDI5_9METZ Neuroserpin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002454 PE=3 SV=1
OG0000017	Danio_rerio_tr_Q8AYE3_Q8AYE3_DANRE tr|Q8AYE3|Q8AYE3_DANRE Antithrombin OS=Danio rerio OX=7955 GN=wu_fb18f10 PE=1 SV=1, Danio_rerio_tr_Q5RIK7_Q5RIK7_DANRE tr|Q5RIK7|Q5RIK7_DANRE Serpin peptidase inhibitor_ clade B _ovalbumin__ member 1_-like 2 OS=Danio rerio OX=7955 GN=zgc_56075 PE=2 SV=1, Danio_rerio_tr_Q6DG30_Q6DG30_DANRE tr|Q6DG30|Q6DG30_DANRE Serpin peptidase inhibitor_ clade B _Ovalbumin__ member 1 OS=Danio rerio OX=7955 GN=si_dkey-177p2.12 PE=1 SV=1	Trichoplax_specH2_tr_A0A369S4E6_A0A369S4E6_9METZ tr|A0A369S4E6|A0A369S4E6_9METZ Serpin B10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006507 PE=3 SV=1, Trichoplax_specH2_tr_A0A369S5H0_A0A369S5H0_9METZ tr|A0A369S5H0|A0A369S5H0_9METZ Serpin B9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006508 PE=3 SV=1
OG0000019	Danio_rerio_tr_A1L1T8_A1L1T8_DANRE tr|A1L1T8|A1L1T8_DANRE Inhibin beta A chain precursor OS=Danio rerio OX=7955 GN=inhbal PE=2 SV=1, Danio_rerio_tr_Q8QGE3_Q8QGE3_DANRE tr|Q8QGE3|Q8QGE3_DANRE Activin beta A subunit OS=Danio rerio OX=7955 GN=wu_fk40h12 PE=2 SV=1, Danio_rerio_tr_Q90261_Q90261_DANRE tr|Q90261|Q90261_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=ZactbetaB PE=2 SV=1, Danio_rerio_tr_B0S7E0_B0S7E0_DANRE tr|B0S7E0|B0S7E0_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=actbb PE=2 SV=1	Trichoplax_specH2_tr_A0A369SHA9_A0A369SHA9_9METZ tr|A0A369SHA9|A0A369SHA9_9METZ Growth/differentiation factor 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001421 PE=3 SV=1
OG0000019	Danio_rerio_tr_O57574_O57574_DANRE tr|O57574|O57574_DANRE Bone genetic protein 4 OS=Danio rerio OX=7955 GN=zBMP-4 PE=2 SV=1, Danio_rerio_tr_O13109_O13109_DANRE tr|O13109|O13109_DANRE BMP2 OS=Danio rerio OX=7955 GN=BMP2 PE=2 SV=1, Danio_rerio_tr_O93369_O93369_DANRE tr|O93369|O93369_DANRE Bone morphogenetic protein 2 OS=Danio rerio OX=7955 GN=BMP2b PE=2 SV=1	Trichoplax_specH2_tr_A0A369SEF4_A0A369SEF4_9METZ tr|A0A369SEF4|A0A369SEF4_9METZ Bone morphogenetic protein 4 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002393 PE=3 SV=1
OG0000021	Danio_rerio_tr_F1RAG3_F1RAG3_DANRE tr|F1RAG3|F1RAG3_DANRE Nidogen 1a OS=Danio rerio OX=7955 GN=nid1a PE=1 SV=2	Trichoplax_specH2_tr_A0A369RTQ1_A0A369RTQ1_9METZ tr|A0A369RTQ1|A0A369RTQ1_9METZ Nidogen-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009409 PE=4 SV=1
OG0000023	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1	Trichoplax_specH2_tr_A0A369RUH1_A0A369RUH1_9METZ tr|A0A369RUH1|A0A369RUH1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009954 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RP58_A0A369RP58_9METZ tr|A0A369RP58|A0A369RP58_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011592 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUI2_A0A369RUI2_9METZ tr|A0A369RUI2|A0A369RUI2_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009955 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUG6_A0A369RUG6_9METZ tr|A0A369RUG6|A0A369RUG6_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009958 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNG1_A0A369RNG1_9METZ tr|A0A369RNG1|A0A369RNG1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011748 PE=4 SV=1
OG0000028	Danio_rerio_tr_X1WFR7_X1WFR7_DANRE tr|X1WFR7|X1WFR7_DANRE Collagen alpha-4_IV_ chain OS=Danio rerio OX=7955 GN=col4a4 PE=4 SV=1	Trichoplax_specH2_tr_A0A369SN44_A0A369SN44_9METZ tr|A0A369SN44|A0A369SN44_9METZ Collagen alpha-1_IV_ chain OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000807 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SLF9_A0A369SLF9_9METZ tr|A0A369SLF9|A0A369SLF9_9METZ Collagen alpha-1_IV_ chain OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000806 PE=4 SV=1
OG0000030	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1	Trichoplax_specH2_tr_A0A369S5E1_A0A369S5E1_9METZ tr|A0A369S5E1|A0A369S5E1_9METZ ADAM 17-like protease OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005778 PE=4 SV=1
OG0000030	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2	Trichoplax_specH2_tr_A0A369SER2_A0A369SER2_9METZ tr|A0A369SER2|A0A369SER2_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003217 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S7J2_A0A369S7J2_9METZ tr|A0A369S7J2|A0A369S7J2_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005268 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXA9_A0A369RXA9_9METZ tr|A0A369RXA9|A0A369RXA9_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009082 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RV51_A0A369RV51_9METZ tr|A0A369RV51|A0A369RV51_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008658 PE=4 SV=1
OG0000034	Danio_rerio_tr_F1QBZ9_F1QBZ9_DANRE tr|F1QBZ9|F1QBZ9_DANRE Multiple EGF-like-domains 8 OS=Danio rerio OX=7955 GN=megf8 PE=4 SV=2	Trichoplax_specH2_tr_A0A369SCB4_A0A369SCB4_9METZ tr|A0A369SCB4|A0A369SCB4_9METZ Multiple epidermal growth factor-like domains protein 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004337 PE=4 SV=1
OG0000045	Danio_rerio_tr_Q45H72_Q45H72_DANRE tr|Q45H72|Q45H72_DANRE Laminin alpha 1 OS=Danio rerio OX=7955 GN=lama1 PE=1 SV=1	Trichoplax_specH2_tr_A0A369SH79_A0A369SH79_9METZ tr|A0A369SH79|A0A369SH79_9METZ Laminin subunit alpha-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001452 PE=4 SV=1
