Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Morbakka_virulenta_scaffold398.g7.t1 scaffold398.g7.t1	Aurelia_aurita_Seg1780.8 Seg1780.8 transcript_id=Seg1780.8_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1780.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1780.6 Seg1780.6 transcript_id=Seg1780.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1780.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2689.8 Seg2689.8 transcript_id=Seg2689.8_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2689.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1780.7 Seg1780.7 transcript_id=Seg1780.7_GoldUCD_mRNA.D3Y31 product=Contactin-1 protein_id=Seg1780.7_GoldUCD_D3Y31 partial=true
OG0000001	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Morbakka_virulenta_scaffold763.g1.t1 scaffold763.g1.t1, Morbakka_virulenta_scaffold763.g1.t2 scaffold763.g1.t2, Morbakka_virulenta_scaffold126.g21.t2 scaffold126.g21.t2	Aurelia_aurita_Seg2949.3 Seg2949.3 transcript_id=Seg2949.3_GoldUCD_mRNA.D3Y31 product=Kalirin protein_id=Seg2949.3_GoldUCD_D3Y31 partial=true
OG0000001	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31
OG0000001	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3	Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31
OG0000001	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold143.g35.t1 scaffold143.g35.t1	Aurelia_aurita_Seg770.1 Seg770.1 transcript_id=Seg770.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-3b protein_id=Seg770.1_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true
OG0000002	Morbakka_virulenta_scaffold17.g96.t1 scaffold17.g96.t1, Morbakka_virulenta_scaffold434.g15.t1 scaffold434.g15.t1, Morbakka_virulenta_scaffold82.g34.t1 scaffold82.g34.t1	Aurelia_aurita_Seg1454.5 Seg1454.5 transcript_id=Seg1454.5_GoldUCD_mRNA.D3Y31 product=SCO-spondin protein_id=Seg1454.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3614.3 Seg3614.3 transcript_id=Seg3614.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg3614.3_GoldUCD_D3Y31 partial=true
OG0000002	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1	Aurelia_aurita_Seg1202.19 Seg1202.19 transcript_id=Seg1202.19_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1202.19_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1738.7 Seg1738.7 transcript_id=Seg1738.7_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg1738.7_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold200.g32.t1 scaffold200.g32.t1	Aurelia_aurita_Seg1153.2 Seg1153.2 transcript_id=Seg1153.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1153.2_GoldUCD_D3Y31 partial=true
OG0000002	Morbakka_virulenta_scaffold71.g23.t1 scaffold71.g23.t1	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold218.g9.t1 scaffold218.g9.t1, Morbakka_virulenta_scaffold218.g9.t2 scaffold218.g9.t2, Morbakka_virulenta_scaffold218.g9.t3 scaffold218.g9.t3, Morbakka_virulenta_scaffold678.g3.t2 scaffold678.g3.t2, Morbakka_virulenta_scaffold678.g3.t1 scaffold678.g3.t1, Morbakka_virulenta_scaffold678.g3.t3 scaffold678.g3.t3	Aurelia_aurita_Seg1147.11 Seg1147.11 transcript_id=Seg1147.11_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1147.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1581.4 Seg1581.4 transcript_id=Seg1581.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1581.4_GoldUCD_D3Y31
OG0000002	Morbakka_virulenta_scaffold273.g21.t1 scaffold273.g21.t1	Aurelia_aurita_Seg1121.9 Seg1121.9 transcript_id=Seg1121.9_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1121.9_GoldUCD_D3Y31 partial=true
OG0000002	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000003	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31
OG0000003	Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1	Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31
OG0000003	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Morbakka_virulenta_scaffold45.g61.t1 scaffold45.g61.t1	Aurelia_aurita_Seg230.12 Seg230.12 transcript_id=Seg230.12_GoldUCD_mRNA.D3Y31 product="Golgi-associated plant pathogenesis-related protein 1" protein_id=Seg230.12_GoldUCD_D3Y31
OG0000003	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true
OG0000003	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31
OG0000003	Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1	Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true
OG0000003	Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1	Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true
OG0000003	Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1	Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true
OG0000004	Morbakka_virulenta_scaffold190.g34.t1 scaffold190.g34.t1, Morbakka_virulenta_scaffold11.g57.t1 scaffold11.g57.t1	Aurelia_aurita_Seg5314.1 Seg5314.1 transcript_id=Seg5314.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg5314.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg670.10 Seg670.10 transcript_id=Seg670.10_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg670.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3985.2 Seg3985.2 transcript_id=Seg3985.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg3985.2_GoldUCD_D3Y31 partial=true
OG0000004	Morbakka_virulenta_scaffold186.g3.t1 scaffold186.g3.t1	Aurelia_aurita_Seg1645.9 Seg1645.9 transcript_id=Seg1645.9_GoldUCD_mRNA.D3Y31 product="Collagen alpha-5" protein_id=Seg1645.9_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold216.g32.t1 scaffold216.g32.t1	Aurelia_aurita_Seg429.6 Seg429.6 transcript_id=Seg429.6_GoldUCD_mRNA.D3Y31 product=Matrilin-2 protein_id=Seg429.6_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold109.g53.t1 scaffold109.g53.t1	Aurelia_aurita_Seg397.33 Seg397.33 transcript_id=Seg397.33_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg397.33_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1	Aurelia_aurita_Seg1785.4 Seg1785.4 transcript_id=Seg1785.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1785.4_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true
OG0000004	Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold1.g56.t1 scaffold1.g56.t1, Morbakka_virulenta_scaffold1.g66.t1 scaffold1.g66.t1, Morbakka_virulenta_scaffold1.g59.t1 scaffold1.g59.t1, Morbakka_virulenta_scaffold1.g57.t1 scaffold1.g57.t1	Aurelia_aurita_Seg1797.2 Seg1797.2 transcript_id=Seg1797.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1797.2_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31
OG0000004	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1	Aurelia_aurita_Seg6275.1 Seg6275.1 transcript_id=Seg6275.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6275.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.6 Seg1821.6 transcript_id=Seg1821.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1821.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.5 Seg1821.5 transcript_id=Seg1821.5_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1821.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1839.10 Seg1839.10 transcript_id=Seg1839.10_GoldUCD_mRNA.D3Y31 product="Cadherin-related tumor suppressor" protein_id=Seg1839.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6275.2 Seg6275.2 transcript_id=Seg6275.2_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor B2" protein_id=Seg6275.2_GoldUCD_D3Y31 partial=true
OG0000005	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1	Aurelia_aurita_Seg1361.6 Seg1361.6 transcript_id=Seg1361.6_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1361.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1361.3 Seg1361.3 transcript_id=Seg1361.3_GoldUCD_mRNA.D3Y31 product="Chymotrypsinogen B2" protein_id=Seg1361.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2370.3 Seg2370.3 transcript_id=Seg2370.3_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2370.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2418.4 Seg2418.4 transcript_id=Seg2418.4_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2418.4_GoldUCD_D3Y31
OG0000005	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31
OG0000005	Morbakka_virulenta_scaffold199.g5.t1 scaffold199.g5.t1	Aurelia_aurita_Seg1835.11 Seg1835.11 transcript_id=Seg1835.11_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg1835.11_GoldUCD_D3Y31
OG0000005	Morbakka_virulenta_scaffold203.g14.t2 scaffold203.g14.t2, Morbakka_virulenta_scaffold203.g14.t1 scaffold203.g14.t1, Morbakka_virulenta_scaffold67.g19.t5 scaffold67.g19.t5, Morbakka_virulenta_scaffold67.g19.t6 scaffold67.g19.t6, Morbakka_virulenta_scaffold67.g19.t2 scaffold67.g19.t2, Morbakka_virulenta_scaffold67.g19.t3 scaffold67.g19.t3, Morbakka_virulenta_scaffold67.g19.t4 scaffold67.g19.t4, Morbakka_virulenta_scaffold67.g19.t1 scaffold67.g19.t1, Morbakka_virulenta_scaffold67.g20.t1 scaffold67.g20.t1, Morbakka_virulenta_scaffold309.g26.t2 scaffold309.g26.t2, Morbakka_virulenta_scaffold309.g26.t1 scaffold309.g26.t1, Morbakka_virulenta_scaffold97.g35.t1 scaffold97.g35.t1	Aurelia_aurita_Seg3210.1 Seg3210.1 transcript_id=Seg3210.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3210.1_GoldUCD_D3Y31
