Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Porifera_Demospongiae_Ephydatia_muelleri
OG0000010	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1, Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1, Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	Morbakka_virulenta_scaffold546.g1.t1 scaffold546.g1.t1, Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000021	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a
OG0000022	Morbakka_virulenta_scaffold19.g106.t1 scaffold19.g106.t1	Ephydatia_muelleri_Em0011g323a Em0011g323a
OG0000022	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000024	Morbakka_virulenta_scaffold68.g10.t1 scaffold68.g10.t1, Morbakka_virulenta_scaffold7.g148.t1 scaffold7.g148.t1, Morbakka_virulenta_scaffold37.g25.t4 scaffold37.g25.t4, Morbakka_virulenta_scaffold37.g25.t2 scaffold37.g25.t2, Morbakka_virulenta_scaffold37.g25.t3 scaffold37.g25.t3, Morbakka_virulenta_scaffold37.g25.t1 scaffold37.g25.t1, Morbakka_virulenta_scaffold510.g3.t1 scaffold510.g3.t1, Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1, Morbakka_virulenta_scaffold161.g44.t1 scaffold161.g44.t1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000028	Morbakka_virulenta_scaffold9.g60.t5 scaffold9.g60.t5, Morbakka_virulenta_scaffold9.g60.t1 scaffold9.g60.t1, Morbakka_virulenta_scaffold9.g60.t4 scaffold9.g60.t4, Morbakka_virulenta_scaffold9.g60.t3 scaffold9.g60.t3, Morbakka_virulenta_scaffold9.g60.t2 scaffold9.g60.t2	Ephydatia_muelleri_Em0006g916a Em0006g916a
OG0000030	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000032	Morbakka_virulenta_scaffold319.g15.t1 scaffold319.g15.t1	Ephydatia_muelleri_Em0001g2640a Em0001g2640a, Ephydatia_muelleri_Em0001g2642a Em0001g2642a, Ephydatia_muelleri_Em0001g2639a Em0001g2639a, Ephydatia_muelleri_Em0001g2643a Em0001g2643a
OG0000034	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1	Ephydatia_muelleri_Em0013g44a Em0013g44a
OG0000037	Morbakka_virulenta_scaffold338.g1.t1 scaffold338.g1.t1	Ephydatia_muelleri_Em0022g51a Em0022g51a, Ephydatia_muelleri_Em0969g3a Em0969g3a, Ephydatia_muelleri_Em0022g56a Em0022g56a, Ephydatia_muelleri_Em0022g52a Em0022g52a, Ephydatia_muelleri_Em0022g54a Em0022g54a, Ephydatia_muelleri_Em0022g55a Em0022g55a
OG0000040	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a
OG0000041	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000049	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1	Ephydatia_muelleri_Em0014g267a Em0014g267a
OG0000054	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000061	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a
OG0000065	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000070	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1	Ephydatia_muelleri_Em0001g689a Em0001g689a
OG0000081	Morbakka_virulenta_scaffold161.g34.t1 scaffold161.g34.t1	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	Morbakka_virulenta_scaffold8.g32.t1 scaffold8.g32.t1, Morbakka_virulenta_scaffold1428.g1.t1 scaffold1428.g1.t1	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000103	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000104	Morbakka_virulenta_scaffold626.g1.t1 scaffold626.g1.t1	Ephydatia_muelleri_Em0016g522a Em0016g522a
OG0000106	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1	Ephydatia_muelleri_Em0001g2050a Em0001g2050a
OG0000111	Morbakka_virulenta_scaffold143.g12.t1 scaffold143.g12.t1	Ephydatia_muelleri_Em0020g1027a Em0020g1027a
OG0000113	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000117	Morbakka_virulenta_scaffold26.g48.t1 scaffold26.g48.t1	Ephydatia_muelleri_Em0005g336a Em0005g336a, Ephydatia_muelleri_Em0006g406a Em0006g406a
OG0000117	Morbakka_virulenta_scaffold178.g4.t1 scaffold178.g4.t1	Ephydatia_muelleri_Em0006g200a Em0006g200a, Ephydatia_muelleri_Em0005g320a Em0005g320a, Ephydatia_muelleri_Em0005g632a Em0005g632a, Ephydatia_muelleri_Em0001g3087a Em0001g3087a, Ephydatia_muelleri_Em0023g846a Em0023g846a, Ephydatia_muelleri_Em0269g8a Em0269g8a, Ephydatia_muelleri_Em0001g2124a Em0001g2124a, Ephydatia_muelleri_Em0001g857a Em0001g857a, Ephydatia_muelleri_Em0006g333a Em0006g333a, Ephydatia_muelleri_Em0115g1a Em0115g1a
OG0000117	Morbakka_virulenta_scaffold56.g61.t1 scaffold56.g61.t1	Ephydatia_muelleri_Em0009g858a Em0009g858a, Ephydatia_muelleri_Em0051g8a Em0051g8a, Ephydatia_muelleri_Em0003g1817a Em0003g1817a, Ephydatia_muelleri_Em0011g925a Em0011g925a
OG0000119	Morbakka_virulenta_scaffold295.g10.t1 scaffold295.g10.t1	Ephydatia_muelleri_Em0011g673a Em0011g673a
OG0000121	Morbakka_virulenta_scaffold324.g6.t1 scaffold324.g6.t1, Morbakka_virulenta_scaffold324.g6.t2 scaffold324.g6.t2	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a
OG0000131	Morbakka_virulenta_scaffold376.g16.t1 scaffold376.g16.t1	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a
OG0000133	Morbakka_virulenta_scaffold115.g46.t4 scaffold115.g46.t4, Morbakka_virulenta_scaffold115.g46.t3 scaffold115.g46.t3, Morbakka_virulenta_scaffold115.g46.t2 scaffold115.g46.t2	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000146	Morbakka_virulenta_scaffold272.g1.t1 scaffold272.g1.t1	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a
OG0000147	Morbakka_virulenta_scaffold299.g28.t1 scaffold299.g28.t1	Ephydatia_muelleri_Em0009g1005a Em0009g1005a, Ephydatia_muelleri_Em0009g1001a Em0009g1001a, Ephydatia_muelleri_Em0009g1011a Em0009g1011a
OG0000152	Morbakka_virulenta_scaffold15.g92.t1 scaffold15.g92.t1, Morbakka_virulenta_scaffold15.g92.t2 scaffold15.g92.t2	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a
OG0000156	Morbakka_virulenta_scaffold58.g7.t1 scaffold58.g7.t1	Ephydatia_muelleri_Em0017g31a Em0017g31a
OG0000159	Morbakka_virulenta_scaffold354.g7.t1 scaffold354.g7.t1	Ephydatia_muelleri_Em0013g93a Em0013g93a
OG0000165	Morbakka_virulenta_scaffold605.g6.t1 scaffold605.g6.t1	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000173	Morbakka_virulenta_scaffold404.g3.t2 scaffold404.g3.t2, Morbakka_virulenta_scaffold404.g3.t1 scaffold404.g3.t1	Ephydatia_muelleri_Em0008g220a Em0008g220a, Ephydatia_muelleri_Em0005g46a Em0005g46a, Ephydatia_muelleri_Em0005g21a Em0005g21a, Ephydatia_muelleri_Em0005g8a Em0005g8a, Ephydatia_muelleri_Em0005g14a Em0005g14a, Ephydatia_muelleri_Em0005g15a Em0005g15a, Ephydatia_muelleri_Em0005g10a Em0005g10a, Ephydatia_muelleri_Em0005g18a Em0005g18a, Ephydatia_muelleri_Em0005g48a Em0005g48a, Ephydatia_muelleri_Em0005g19a Em0005g19a, Ephydatia_muelleri_Em0005g16a Em0005g16a, Ephydatia_muelleri_Em0005g11a Em0005g11a, Ephydatia_muelleri_Em0005g9a Em0005g9a, Ephydatia_muelleri_Em0005g12a Em0005g12a, Ephydatia_muelleri_Em0005g17a Em0005g17a, Ephydatia_muelleri_Em0005g51a Em0005g51a, Ephydatia_muelleri_Em0005g59a Em0005g59a, Ephydatia_muelleri_Em0005g64a Em0005g64a
OG0000177	Morbakka_virulenta_scaffold10.g110.t1 scaffold10.g110.t1	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000178	Morbakka_virulenta_scaffold1.g139.t1 scaffold1.g139.t1	Ephydatia_muelleri_Em0001g1073a Em0001g1073a, Ephydatia_muelleri_Em0001g1111a Em0001g1111a
OG0000179	Morbakka_virulenta_scaffold68.g43.t1 scaffold68.g43.t1, Morbakka_virulenta_scaffold177.g25.t1 scaffold177.g25.t1	Ephydatia_muelleri_Em0003g259a Em0003g259a
OG0000182	Morbakka_virulenta_scaffold230.g9.t1 scaffold230.g9.t1	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000187	Morbakka_virulenta_scaffold124.g42.t1 scaffold124.g42.t1	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000193	Morbakka_virulenta_scaffold139.g21.t1 scaffold139.g21.t1	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000194	Morbakka_virulenta_scaffold3.g18.t1 scaffold3.g18.t1	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000195	Morbakka_virulenta_scaffold255.g23.t1 scaffold255.g23.t1	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Morbakka_virulenta_scaffold111.g35.t1 scaffold111.g35.t1	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Morbakka_virulenta_scaffold496.g8.t1 scaffold496.g8.t1, Morbakka_virulenta_scaffold496.g8.t2 scaffold496.g8.t2	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000209	Morbakka_virulenta_scaffold146.g16.t1 scaffold146.g16.t1	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000214	Morbakka_virulenta_scaffold1242.g1.t1 scaffold1242.g1.t1	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000229	Morbakka_virulenta_scaffold531.g6.t1 scaffold531.g6.t1, Morbakka_virulenta_scaffold531.g6.t2 scaffold531.g6.t2	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000230	Morbakka_virulenta_scaffold97.g66.t1 scaffold97.g66.t1	Ephydatia_muelleri_Em0009g1283a Em0009g1283a
OG0000237	Morbakka_virulenta_scaffold1.g338.t2 scaffold1.g338.t2, Morbakka_virulenta_scaffold1.g338.t1 scaffold1.g338.t1	Ephydatia_muelleri_Em0021g631a Em0021g631a
OG0000253	Morbakka_virulenta_scaffold154.g21.t1 scaffold154.g21.t1	Ephydatia_muelleri_Em0008g944a Em0008g944a
OG0000282	Morbakka_virulenta_scaffold3589.g1.t1 scaffold3589.g1.t1	Ephydatia_muelleri_Em0019g1040a Em0019g1040a
OG0000309	Morbakka_virulenta_scaffold3752.g1.t1 scaffold3752.g1.t1	Ephydatia_muelleri_Em0009g1217a Em0009g1217a
OG0000332	Morbakka_virulenta_scaffold52.g30.t1 scaffold52.g30.t1	Ephydatia_muelleri_Em0013g1126a Em0013g1126a
OG0000371	Morbakka_virulenta_scaffold97.g17.t1 scaffold97.g17.t1	Ephydatia_muelleri_Em0005g1671a Em0005g1671a
