Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1, Morbakka_virulenta_scaffold17.g93.t1 scaffold17.g93.t1	Nematostella_vectensis_NV2t013521001.1 NV2t013521001.1, Nematostella_vectensis_NV2t000743001.1 NV2t000743001.1
OG0000001	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1, Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1, Morbakka_virulenta_scaffold434.g12.t1 scaffold434.g12.t1	Nematostella_vectensis_NV2t000570001.1 NV2t000570001.1, Nematostella_vectensis_NV2t021729001.1 NV2t021729001.1, Nematostella_vectensis_NV2t021728001.1 NV2t021728001.1
OG0000001	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1, Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1	Nematostella_vectensis_NV2t010732001.1 NV2t010732001.1
OG0000001	Morbakka_virulenta_scaffold186.g15.t2 scaffold186.g15.t2, Morbakka_virulenta_scaffold186.g15.t4 scaffold186.g15.t4, Morbakka_virulenta_scaffold186.g15.t3 scaffold186.g15.t3	Nematostella_vectensis_NV2t012207001.1 NV2t012207001.1, Nematostella_vectensis_NV2t011960001.1 NV2t011960001.1
OG0000001	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1
OG0000001	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
OG0000001	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1
OG0000002	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1
OG0000002	Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1	Nematostella_vectensis_NV2t023886001.1 NV2t023886001.1, Nematostella_vectensis_NV2t023886003.1 NV2t023886003.1, Nematostella_vectensis_NV2t023886002.1 NV2t023886002.1
OG0000002	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000002	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1
OG0000002	Morbakka_virulenta_scaffold71.g23.t1 scaffold71.g23.t1	Nematostella_vectensis_NV2t002146001.1 NV2t002146001.1
OG0000002	Morbakka_virulenta_scaffold326.g8.t4 scaffold326.g8.t4, Morbakka_virulenta_scaffold326.g8.t3 scaffold326.g8.t3	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1
OG0000002	Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1	Nematostella_vectensis_NV2t010733001.1 NV2t010733001.1, Nematostella_vectensis_NV2t004066003.1 NV2t004066003.1, Nematostella_vectensis_NV2t004066001.1 NV2t004066001.1, Nematostella_vectensis_NV2t004066002.1 NV2t004066002.1
OG0000002	Morbakka_virulenta_scaffold218.g5.t1 scaffold218.g5.t1, Morbakka_virulenta_scaffold218.g5.t2 scaffold218.g5.t2	Nematostella_vectensis_NV2t011945001.1 NV2t011945001.1
OG0000002	Morbakka_virulenta_scaffold13.g74.t1 scaffold13.g74.t1	Nematostella_vectensis_NV2t014831001.1 NV2t014831001.1
OG0000002	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1
OG0000003	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1
OG0000003	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1	Nematostella_vectensis_NV2t008278001.1 NV2t008278001.1, Nematostella_vectensis_NV2t008276001.1 NV2t008276001.1, Nematostella_vectensis_NV2t008399001.1 NV2t008399001.1
OG0000003	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1
OG0000003	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
OG0000003	Morbakka_virulenta_scaffold45.g61.t1 scaffold45.g61.t1	Nematostella_vectensis_NV2t015872001.1 NV2t015872001.1
OG0000003	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1	Nematostella_vectensis_NV2t010392001.1 NV2t010392001.1, Nematostella_vectensis_NV2t010392002.1 NV2t010392002.1, Nematostella_vectensis_NV2t010392003.1 NV2t010392003.1, Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1, Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1
OG0000003	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1	Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1
OG0000003	Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1	Nematostella_vectensis_NV2t020944001.1 NV2t020944001.1, Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1
OG0000004	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1
OG0000004	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1	Nematostella_vectensis_NV2t000975001.1 NV2t000975001.1
OG0000004	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2	Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1
OG0000004	Morbakka_virulenta_scaffold109.g53.t1 scaffold109.g53.t1	Nematostella_vectensis_NV2t021936001.1 NV2t021936001.1, Nematostella_vectensis_NV2t008980001.1 NV2t008980001.1, Nematostella_vectensis_NV2t008406003.1 NV2t008406003.1, Nematostella_vectensis_NV2t008406002.1 NV2t008406002.1, Nematostella_vectensis_NV2t008406001.1 NV2t008406001.1
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1	Nematostella_vectensis_NV2t003227001.1 NV2t003227001.1
OG0000004	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1, Nematostella_vectensis_NV2t004921001.1 NV2t004921001.1, Nematostella_vectensis_NV2t004715001.1 NV2t004715001.1
OG0000004	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1
OG0000004	Morbakka_virulenta_scaffold1.g56.t1 scaffold1.g56.t1, Morbakka_virulenta_scaffold1.g66.t1 scaffold1.g66.t1, Morbakka_virulenta_scaffold1.g59.t1 scaffold1.g59.t1, Morbakka_virulenta_scaffold1.g57.t1 scaffold1.g57.t1	Nematostella_vectensis_NV2t004191001.1 NV2t004191001.1
OG0000004	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1
OG0000004	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1	Nematostella_vectensis_NV2t017172001.1 NV2t017172001.1, Nematostella_vectensis_NV2t023593001.1 NV2t023593001.1, Nematostella_vectensis_NV2t023594001.1 NV2t023594001.1
OG0000005	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1	Nematostella_vectensis_NV2t021687001.1 NV2t021687001.1, Nematostella_vectensis_NV2t021684001.1 NV2t021684001.1
OG0000005	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1	Nematostella_vectensis_NV2t008552001.1 NV2t008552001.1, Nematostella_vectensis_NV2t008552002.1 NV2t008552002.1, Nematostella_vectensis_NV2t008552003.1 NV2t008552003.1
OG0000005	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1	Nematostella_vectensis_NV2t016729001.1 NV2t016729001.1, Nematostella_vectensis_NV2t016730001.1 NV2t016730001.1, Nematostella_vectensis_NV2t015011001.1 NV2t015011001.1, Nematostella_vectensis_NV2t023859001.1 NV2t023859001.1, Nematostella_vectensis_NV2t013745004.1 NV2t013745004.1, Nematostella_vectensis_NV2t013745003.1 NV2t013745003.1, Nematostella_vectensis_NV2t013745002.1 NV2t013745002.1, Nematostella_vectensis_NV2t013745001.1 NV2t013745001.1, Nematostella_vectensis_NV2t013745005.1 NV2t013745005.1, Nematostella_vectensis_NV2t013749001.1 NV2t013749001.1, Nematostella_vectensis_NV2t023064002.1 NV2t023064002.1, Nematostella_vectensis_NV2t023064001.1 NV2t023064001.1
OG0000005	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1
OG0000005	Morbakka_virulenta_scaffold67.g19.t5 scaffold67.g19.t5, Morbakka_virulenta_scaffold67.g19.t6 scaffold67.g19.t6, Morbakka_virulenta_scaffold67.g19.t2 scaffold67.g19.t2, Morbakka_virulenta_scaffold67.g19.t3 scaffold67.g19.t3, Morbakka_virulenta_scaffold67.g19.t4 scaffold67.g19.t4, Morbakka_virulenta_scaffold67.g19.t1 scaffold67.g19.t1, Morbakka_virulenta_scaffold67.g20.t1 scaffold67.g20.t1, Morbakka_virulenta_scaffold309.g26.t2 scaffold309.g26.t2, Morbakka_virulenta_scaffold309.g26.t1 scaffold309.g26.t1	Nematostella_vectensis_NV2t006019001.1 NV2t006019001.1, Nematostella_vectensis_NV2t005698001.1 NV2t005698001.1
OG0000005	Morbakka_virulenta_scaffold82.g11.t1 scaffold82.g11.t1	Nematostella_vectensis_NV2t025961001.1 NV2t025961001.1, Nematostella_vectensis_NV2t020639001.1 NV2t020639001.1, Nematostella_vectensis_NV2t020640001.1 NV2t020640001.1, Nematostella_vectensis_NV2t020641001.1 NV2t020641001.1, Nematostella_vectensis_NV2t020641004.1 NV2t020641004.1, Nematostella_vectensis_NV2t020641005.1 NV2t020641005.1, Nematostella_vectensis_NV2t020641003.1 NV2t020641003.1, Nematostella_vectensis_NV2t020641002.1 NV2t020641002.1
OG0000005	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1	Nematostella_vectensis_NV2t015018001.1 NV2t015018001.1, Nematostella_vectensis_NV2t014862004.1 NV2t014862004.1, Nematostella_vectensis_NV2t013368001.1 NV2t013368001.1
OG0000005	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1
OG0000005	Morbakka_virulenta_scaffold71.g50.t3 scaffold71.g50.t3, Morbakka_virulenta_scaffold71.g50.t1 scaffold71.g50.t1, Morbakka_virulenta_scaffold71.g50.t2 scaffold71.g50.t2	Nematostella_vectensis_NV2t010250001.1 NV2t010250001.1, Nematostella_vectensis_NV2t004041001.1 NV2t004041001.1
OG0000005	Morbakka_virulenta_scaffold71.g45.t2 scaffold71.g45.t2, Morbakka_virulenta_scaffold71.g45.t1 scaffold71.g45.t1	Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1
OG0000006	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1, Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1, Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1
OG0000006	Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1	Nematostella_vectensis_NV2t003560001.1 NV2t003560001.1
OG0000006	Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1	Nematostella_vectensis_NV2t003792001.1 NV2t003792001.1, Nematostella_vectensis_NV2t003300001.1 NV2t003300001.1
OG0000006	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1	Nematostella_vectensis_NV2t025727002.1 NV2t025727002.1, Nematostella_vectensis_NV2t025727001.1 NV2t025727001.1, Nematostella_vectensis_NV2t025725003.1 NV2t025725003.1, Nematostella_vectensis_NV2t025725002.1 NV2t025725002.1, Nematostella_vectensis_NV2t025725001.1 NV2t025725001.1, Nematostella_vectensis_NV2t025725006.1 NV2t025725006.1, Nematostella_vectensis_NV2t025725005.1 NV2t025725005.1, Nematostella_vectensis_NV2t025725004.1 NV2t025725004.1, Nematostella_vectensis_NV2t025724001.1 NV2t025724001.1, Nematostella_vectensis_NV2t025722001.1 NV2t025722001.1
OG0000006	Morbakka_virulenta_scaffold337.g6.t3 scaffold337.g6.t3, Morbakka_virulenta_scaffold337.g6.t1 scaffold337.g6.t1, Morbakka_virulenta_scaffold337.g6.t2 scaffold337.g6.t2, Morbakka_virulenta_scaffold247.g18.t2 scaffold247.g18.t2, Morbakka_virulenta_scaffold247.g18.t1 scaffold247.g18.t1, Morbakka_virulenta_scaffold247.g23.t1 scaffold247.g23.t1, Morbakka_virulenta_scaffold247.g14.t1 scaffold247.g14.t1	Nematostella_vectensis_NV2t011255001.1 NV2t011255001.1
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1
OG0000007	Morbakka_virulenta_scaffold44.g74.t1 scaffold44.g74.t1	Nematostella_vectensis_NV2t014812001.1 NV2t014812001.1
OG0000008	Morbakka_virulenta_scaffold478.g17.t2 scaffold478.g17.t2, Morbakka_virulenta_scaffold478.g17.t1 scaffold478.g17.t1	Nematostella_vectensis_NV2t005910001.1 NV2t005910001.1
OG0000008	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1
OG0000008	Morbakka_virulenta_scaffold100.g44.t1 scaffold100.g44.t1	Nematostella_vectensis_NV2t006441001.1 NV2t006441001.1
OG0000008	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1, Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1, Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1
OG0000008	Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1
OG0000008	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1
OG0000009	Morbakka_virulenta_scaffold17.g59.t1 scaffold17.g59.t1	Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1
OG0000009	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000009	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1
OG0000009	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1	Nematostella_vectensis_NV2t003169001.1 NV2t003169001.1
OG0000009	Morbakka_virulenta_scaffold62.g78.t2 scaffold62.g78.t2, Morbakka_virulenta_scaffold62.g78.t1 scaffold62.g78.t1, Morbakka_virulenta_scaffold123.g33.t1 scaffold123.g33.t1	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1, Nematostella_vectensis_NV2t002825001.1 NV2t002825001.1
OG0000009	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1	Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1, Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1, Nematostella_vectensis_NV2t002814001.1 NV2t002814001.1, Nematostella_vectensis_NV2t003167001.1 NV2t003167001.1, Nematostella_vectensis_NV2t003167002.1 NV2t003167002.1, Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1, Nematostella_vectensis_NV2t003699001.1 NV2t003699001.1, Nematostella_vectensis_NV2t003699002.1 NV2t003699002.1, Nematostella_vectensis_NV2t003699003.1 NV2t003699003.1, Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1
OG0000009	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1
OG0000010	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1
OG0000010	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Morbakka_virulenta_scaffold529.g8.t1 scaffold529.g8.t1	Nematostella_vectensis_NV2t022600001.1 NV2t022600001.1
OG0000010	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1
OG0000010	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1	Nematostella_vectensis_NV2t024790001.1 NV2t024790001.1
