Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Xenia_spec
OG0000002	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911
OG0000002	Morbakka_virulenta_scaffold255.g9.t1 scaffold255.g9.t1	Xenia_spec_Xe_014527_T1 Xe_014527_T1 Xe_014527, Xenia_spec_Xe_014521_T1 Xe_014521_T1 Xe_014521
OG0000003	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1	Xenia_spec_Xe_012784_T1 Xe_012784_T1 Xe_012784
OG0000003	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799
OG0000003	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651
OG0000003	Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093
OG0000003	Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1	Xenia_spec_Xe_009593_T1 Xe_009593_T1 Xe_009593
OG0000004	Morbakka_virulenta_scaffold216.g32.t1 scaffold216.g32.t1	Xenia_spec_Xe_009333_T1 Xe_009333_T1 Xe_009333, Xenia_spec_Xe_009334_T1 Xe_009334_T1 Xe_009334, Xenia_spec_Xe_009329_T1 Xe_009329_T1 Xe_009329, Xenia_spec_Xe_011536_T1 Xe_011536_T1 Xe_011536, Xenia_spec_Xe_011542_T1 Xe_011542_T1 Xe_011542, Xenia_spec_Xe_011546_T1 Xe_011546_T1 Xe_011546, Xenia_spec_Xe_011555_T1 Xe_011555_T1 Xe_011555, Xenia_spec_Xe_011529_T1 Xe_011529_T1 Xe_011529, Xenia_spec_Xe_011579_T1 Xe_011579_T1 Xe_011579, Xenia_spec_Xe_011524_T1 Xe_011524_T1 Xe_011524, Xenia_spec_Xe_011450_T1 Xe_011450_T1 Xe_011450, Xenia_spec_Xe_002979_T1 Xe_002979_T1 Xe_002979
OG0000004	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025
OG0000004	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396
OG0000004	Morbakka_virulenta_scaffold55.g36.t1 scaffold55.g36.t1	Xenia_spec_Xe_016398_T1 Xe_016398_T1 Xe_016398, Xenia_spec_Xe_009339_T1 Xe_009339_T1 Xe_009339, Xenia_spec_Xe_009337_T1 Xe_009337_T1 Xe_009337, Xenia_spec_Xe_009340_T1 Xe_009340_T1 Xe_009340
OG0000004	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1	Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049
OG0000004	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233
OG0000004	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008
OG0000004	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644
OG0000004	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1	Xenia_spec_Xe_002353_T1 Xe_002353_T1 Xe_002353, Xenia_spec_Xe_002350_T2 Xe_002350_T2 Xe_002350, Xenia_spec_Xe_002350_T1 Xe_002350_T1 Xe_002350, Xenia_spec_Xe_002347_T1 Xe_002347_T1 Xe_002347
OG0000005	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516
OG0000005	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395
OG0000005	Morbakka_virulenta_scaffold17.g8.t1 scaffold17.g8.t1	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345
OG0000005	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350
OG0000005	Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665
OG0000006	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1	Xenia_spec_Xe_008035_T1 Xe_008035_T1 Xe_008035
OG0000006	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895
OG0000007	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859
OG0000007	Morbakka_virulenta_scaffold27.g28.t1 scaffold27.g28.t1	Xenia_spec_Xe_016389_T1 Xe_016389_T1 Xe_016389
OG0000008	Morbakka_virulenta_scaffold478.g17.t2 scaffold478.g17.t2, Morbakka_virulenta_scaffold478.g17.t1 scaffold478.g17.t1	Xenia_spec_Xe_002860_T1 Xe_002860_T1 Xe_002860
OG0000008	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1	Xenia_spec_Xe_002861_T1 Xe_002861_T1 Xe_002861
OG0000008	Morbakka_virulenta_scaffold100.g44.t1 scaffold100.g44.t1	Xenia_spec_Xe_002415_T1 Xe_002415_T1 Xe_002415
OG0000008	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1	Xenia_spec_Xe_002862_T1 Xe_002862_T1 Xe_002862
OG0000008	Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3	Xenia_spec_Xe_002863_T1 Xe_002863_T1 Xe_002863
OG0000008	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1	Xenia_spec_Xe_007896_T1 Xe_007896_T1 Xe_007896
OG0000009	Morbakka_virulenta_scaffold17.g59.t1 scaffold17.g59.t1	Xenia_spec_Xe_014294_T1 Xe_014294_T1 Xe_014294
OG0000009	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997
OG0000009	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1	Xenia_spec_Xe_018428_T1 Xe_018428_T1 Xe_018428, Xenia_spec_Xe_018419_T1 Xe_018419_T1 Xe_018419
OG0000009	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1	Xenia_spec_Xe_003323_T1 Xe_003323_T1 Xe_003323
OG0000010	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2	Xenia_spec_Xe_012929_T1 Xe_012929_T1 Xe_012929
OG0000010	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1	Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014
OG0000010	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964
OG0000010	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671, Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650, Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927
OG0000012	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687
OG0000012	Morbakka_virulenta_scaffold150.g43.t1 scaffold150.g43.t1	Xenia_spec_Xe_018689_T1 Xe_018689_T1 Xe_018689
OG0000012	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1	Xenia_spec_Xe_015812_T1 Xe_015812_T1 Xe_015812, Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811
OG0000013	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1	Xenia_spec_Xe_009620_T1 Xe_009620_T1 Xe_009620, Xenia_spec_Xe_002014_T1 Xe_002014_T1 Xe_002014, Xenia_spec_Xe_001883_T1 Xe_001883_T1 Xe_001883, Xenia_spec_Xe_003143_T1 Xe_003143_T1 Xe_003143
OG0000013	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1	Xenia_spec_Xe_012562_T1 Xe_012562_T1 Xe_012562
OG0000013	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676
OG0000013	Morbakka_virulenta_scaffold86.g22.t1 scaffold86.g22.t1	Xenia_spec_Xe_014744_T1 Xe_014744_T1 Xe_014744
OG0000014	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262
OG0000014	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969
OG0000014	Morbakka_virulenta_scaffold175.g51.t1 scaffold175.g51.t1	Xenia_spec_Xe_002206_T1 Xe_002206_T1 Xe_002206
OG0000014	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1	Xenia_spec_Xe_004267_T1 Xe_004267_T1 Xe_004267
OG0000014	Morbakka_virulenta_scaffold116.g38.t2 scaffold116.g38.t2, Morbakka_virulenta_scaffold116.g38.t3 scaffold116.g38.t3, Morbakka_virulenta_scaffold116.g39.t1 scaffold116.g39.t1	Xenia_spec_Xe_007487_T1 Xe_007487_T1 Xe_007487
OG0000014	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1	Xenia_spec_Xe_014217_T1 Xe_014217_T1 Xe_014217, Xenia_spec_Xe_002644_T1 Xe_002644_T1 Xe_002644
OG0000014	Morbakka_virulenta_scaffold257.g1.t1 scaffold257.g1.t1	Xenia_spec_Xe_008099_T1 Xe_008099_T1 Xe_008099, Xenia_spec_Xe_007055_T1 Xe_007055_T1 Xe_007055
OG0000015	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1, Morbakka_virulenta_scaffold276.g24.t3 scaffold276.g24.t3, Morbakka_virulenta_scaffold276.g24.t4 scaffold276.g24.t4, Morbakka_virulenta_scaffold276.g24.t1 scaffold276.g24.t1, Morbakka_virulenta_scaffold276.g24.t2 scaffold276.g24.t2, Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1, Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945
OG0000016	Morbakka_virulenta_scaffold63.g60.t1 scaffold63.g60.t1, Morbakka_virulenta_scaffold63.g65.t1 scaffold63.g65.t1	Xenia_spec_Xe_000409_T1 Xe_000409_T1 Xe_000409
OG0000016	Morbakka_virulenta_scaffold87.g11.t1 scaffold87.g11.t1, Morbakka_virulenta_scaffold87.g9.t1 scaffold87.g9.t1, Morbakka_virulenta_scaffold87.g10.t1 scaffold87.g10.t1	Xenia_spec_Xe_012250_T1 Xe_012250_T1 Xe_012250, Xenia_spec_Xe_012250_T2 Xe_012250_T2 Xe_012250
OG0000016	Morbakka_virulenta_scaffold592.g1.t1 scaffold592.g1.t1	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705
OG0000018	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934
OG0000018	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2	Xenia_spec_Xe_004831_T1 Xe_004831_T1 Xe_004831
OG0000019	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371
OG0000019	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1	Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961
OG0000019	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1	Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679
OG0000020	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1	Xenia_spec_Xe_009290_T1 Xe_009290_T1 Xe_009290
OG0000020	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2	Xenia_spec_Xe_009738_T1 Xe_009738_T1 Xe_009738, Xenia_spec_Xe_010176_T1 Xe_010176_T1 Xe_010176, Xenia_spec_Xe_009677_T1 Xe_009677_T1 Xe_009677
OG0000020	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2	Xenia_spec_Xe_007912_T2 Xe_007912_T2 Xe_007912, Xenia_spec_Xe_007912_T1 Xe_007912_T1 Xe_007912
OG0000021	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2	Xenia_spec_Xe_012353_T1 Xe_012353_T1 Xe_012353
OG0000021	Morbakka_virulenta_scaffold500.g10.t1 scaffold500.g10.t1	Xenia_spec_Xe_008104_T1 Xe_008104_T1 Xe_008104
OG0000021	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982
OG0000022	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122
OG0000023	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1	Xenia_spec_Xe_013551_T1 Xe_013551_T1 Xe_013551, Xenia_spec_Xe_013537_T1 Xe_013537_T1 Xe_013537
OG0000024	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1	Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637
OG0000024	Morbakka_virulenta_scaffold161.g44.t1 scaffold161.g44.t1	Xenia_spec_Xe_015634_T1 Xe_015634_T1 Xe_015634
OG0000027	Morbakka_virulenta_scaffold424.g6.t1 scaffold424.g6.t1	Xenia_spec_Xe_010141_T1 Xe_010141_T1 Xe_010141
OG0000028	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1	Xenia_spec_Xe_014296_T1 Xe_014296_T1 Xe_014296
OG0000029	Morbakka_virulenta_scaffold331.g4.t1 scaffold331.g4.t1	Xenia_spec_Xe_005745_T1 Xe_005745_T1 Xe_005745
OG0000029	Morbakka_virulenta_scaffold12.g130.t1 scaffold12.g130.t1	Xenia_spec_Xe_009791_T1 Xe_009791_T1 Xe_009791
OG0000030	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453
OG0000030	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1	Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342
OG0000034	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993
