Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000004	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357
OG0000004	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1	Stylophora_pistillata_Spis16171 Spis16171 SpisGene16171, Stylophora_pistillata_Spis8795 Spis8795 SpisGene8795
OG0000005	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1	Stylophora_pistillata_Spis399 Spis399 SpisGene399
OG0000005	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1	Stylophora_pistillata_Spis20849 Spis20849 SpisGene20849, Stylophora_pistillata_Spis20848 Spis20848 SpisGene20848, Stylophora_pistillata_Spis19564 Spis19564 SpisGene19564, Stylophora_pistillata_Spis20850 Spis20850 SpisGene20850
OG0000005	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406
OG0000005	Morbakka_virulenta_scaffold67.g19.t5 scaffold67.g19.t5, Morbakka_virulenta_scaffold67.g19.t6 scaffold67.g19.t6, Morbakka_virulenta_scaffold67.g19.t2 scaffold67.g19.t2, Morbakka_virulenta_scaffold67.g19.t3 scaffold67.g19.t3, Morbakka_virulenta_scaffold67.g19.t4 scaffold67.g19.t4, Morbakka_virulenta_scaffold67.g19.t1 scaffold67.g19.t1, Morbakka_virulenta_scaffold67.g20.t1 scaffold67.g20.t1, Morbakka_virulenta_scaffold309.g26.t2 scaffold309.g26.t2, Morbakka_virulenta_scaffold309.g26.t1 scaffold309.g26.t1	Stylophora_pistillata_Spis19565 Spis19565 SpisGene19565, Stylophora_pistillata_Spis19563 Spis19563 SpisGene19563
OG0000005	Morbakka_virulenta_scaffold82.g11.t1 scaffold82.g11.t1	Stylophora_pistillata_Spis9964 Spis9964 SpisGene9964
OG0000005	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1	Stylophora_pistillata_Spis15365 Spis15365 SpisGene15365
OG0000005	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1	Stylophora_pistillata_Spis797 Spis797 SpisGene797
OG0000005	Morbakka_virulenta_scaffold71.g50.t3 scaffold71.g50.t3, Morbakka_virulenta_scaffold71.g50.t1 scaffold71.g50.t1, Morbakka_virulenta_scaffold71.g50.t2 scaffold71.g50.t2	Stylophora_pistillata_Spis2327 Spis2327 SpisGene2327
OG0000005	Morbakka_virulenta_scaffold71.g45.t2 scaffold71.g45.t2, Morbakka_virulenta_scaffold71.g45.t1 scaffold71.g45.t1	Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923
OG0000005	Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1	Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719
OG0000006	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437
OG0000006	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1	Stylophora_pistillata_Spis21789 Spis21789 SpisGene21789
OG0000006	Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1	Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091
OG0000006	Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1	Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946, Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512
OG0000006	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234
OG0000006	Morbakka_virulenta_scaffold71.g47.t1 scaffold71.g47.t1	Stylophora_pistillata_Spis11615 Spis11615 SpisGene11615, Stylophora_pistillata_Spis11620 Spis11620 SpisGene11620
OG0000006	Morbakka_virulenta_scaffold354.g2.t1 scaffold354.g2.t1	Stylophora_pistillata_Spis7426 Spis7426 SpisGene7426, Stylophora_pistillata_Spis7882 Spis7882 SpisGene7882
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000007	Morbakka_virulenta_scaffold44.g74.t1 scaffold44.g74.t1	Stylophora_pistillata_Spis20935 Spis20935 SpisGene20935, Stylophora_pistillata_Spis20945 Spis20945 SpisGene20945
OG0000008	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559
OG0000008	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561, Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562, Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560
OG0000008	Morbakka_virulenta_scaffold100.g40.t2 scaffold100.g40.t2, Morbakka_virulenta_scaffold100.g40.t1 scaffold100.g40.t1	Stylophora_pistillata_Spis24858 Spis24858 SpisGene24858
OG0000008	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124
OG0000009	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925
OG0000009	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466
OG0000009	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195
OG0000009	Morbakka_virulenta_scaffold62.g78.t2 scaffold62.g78.t2, Morbakka_virulenta_scaffold62.g78.t1 scaffold62.g78.t1, Morbakka_virulenta_scaffold123.g33.t1 scaffold123.g33.t1	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234
OG0000009	Morbakka_virulenta_scaffold519.g1.t1 scaffold519.g1.t1	Stylophora_pistillata_Spis5431 Spis5431 SpisGene5431
OG0000009	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451
OG0000009	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222
OG0000009	Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1	Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454
OG0000010	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190
OG0000010	Morbakka_virulenta_scaffold529.g8.t1 scaffold529.g8.t1	Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339
OG0000010	Morbakka_virulenta_scaffold425.g3.t1 scaffold425.g3.t1, Morbakka_virulenta_scaffold425.g3.t2 scaffold425.g3.t2	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256
OG0000010	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1	Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830
OG0000010	Morbakka_virulenta_scaffold52.g35.t2 scaffold52.g35.t2, Morbakka_virulenta_scaffold52.g35.t1 scaffold52.g35.t1, Morbakka_virulenta_scaffold52.g28.t1 scaffold52.g28.t1	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002, Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416
OG0000010	Morbakka_virulenta_scaffold2.g140.t1 scaffold2.g140.t1, Morbakka_virulenta_scaffold145.g1.t1 scaffold145.g1.t1, Morbakka_virulenta_scaffold192.g9.t1 scaffold192.g9.t1, Morbakka_virulenta_scaffold47.g97.t1 scaffold47.g97.t1	Stylophora_pistillata_Spis15992 Spis15992 SpisGene15992, Stylophora_pistillata_Spis15994 Spis15994 SpisGene15994, Stylophora_pistillata_Spis23832 Spis23832 SpisGene23832
OG0000010	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690, Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579
OG0000010	Morbakka_virulenta_scaffold61.g42.t2 scaffold61.g42.t2, Morbakka_virulenta_scaffold40.g13.t1 scaffold40.g13.t1	Stylophora_pistillata_Spis13273 Spis13273 SpisGene13273
OG0000012	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613
OG0000012	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321
OG0000012	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283
OG0000013	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313
OG0000013	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384
OG0000013	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385
OG0000013	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363
OG0000013	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312
OG0000013	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000013	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606
OG0000013	Morbakka_virulenta_scaffold86.g22.t1 scaffold86.g22.t1	Stylophora_pistillata_Spis13575 Spis13575 SpisGene13575
OG0000014	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000014	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290
OG0000014	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407
OG0000014	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681
OG0000014	Morbakka_virulenta_scaffold116.g38.t2 scaffold116.g38.t2, Morbakka_virulenta_scaffold116.g38.t3 scaffold116.g38.t3, Morbakka_virulenta_scaffold116.g39.t1 scaffold116.g39.t1	Stylophora_pistillata_Spis13809.t1 Spis13809.t1 SpisGene13809
OG0000014	Morbakka_virulenta_scaffold356.g5.t1 scaffold356.g5.t1	Stylophora_pistillata_Spis19692 Spis19692 SpisGene19692, Stylophora_pistillata_Spis19693 Spis19693 SpisGene19693
