Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Chordata_Vertebrata_Mus_musculus
OG0000004	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1	Mus_musculus_sp_Q2UY11_COSA1_MOUSE sp_Q2UY11_COSA1_MOUSE Collagen alpha-1_XXVIII_ chain OS=Mus musculus OX=10090 GN=Col28a1 PE=2 SV=1
OG0000005	Morbakka_virulenta_scaffold318.g29.t1 scaffold318.g29.t1	Mus_musculus_sp_P28825_MEP1A_MOUSE sp_P28825_MEP1A_MOUSE Meprin A subunit alpha OS=Mus musculus OX=10090 GN=Mep1a PE=1 SV=4
OG0000005	Morbakka_virulenta_scaffold4121.g1.t1 scaffold4121.g1.t1, Morbakka_virulenta_scaffold16.g23.t2 scaffold16.g23.t2, Morbakka_virulenta_scaffold16.g23.t1 scaffold16.g23.t1, Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1, Morbakka_virulenta_scaffold27.g77.t1 scaffold27.g77.t1, Morbakka_virulenta_scaffold377.g16.t1 scaffold377.g16.t1, Morbakka_virulenta_scaffold1609.g1.t1 scaffold1609.g1.t1, Morbakka_virulenta_scaffold17.g2.t1 scaffold17.g2.t1, Morbakka_virulenta_scaffold17.g3.t1 scaffold17.g3.t1, Morbakka_virulenta_scaffold550.g3.t1 scaffold550.g3.t1, Morbakka_virulenta_scaffold550.g3.t2 scaffold550.g3.t2, Morbakka_virulenta_scaffold550.g7.t1 scaffold550.g7.t1, Morbakka_virulenta_scaffold764.g1.t1 scaffold764.g1.t1, Morbakka_virulenta_scaffold550.g1.t1 scaffold550.g1.t1, Morbakka_virulenta_scaffold550.g6.t1 scaffold550.g6.t1, Morbakka_virulenta_scaffold550.g14.t1 scaffold550.g14.t1, Morbakka_virulenta_scaffold550.g14.t2 scaffold550.g14.t2, Morbakka_virulenta_scaffold550.g14.t3 scaffold550.g14.t3, Morbakka_virulenta_scaffold550.g15.t1 scaffold550.g15.t1, Morbakka_virulenta_scaffold550.g15.t2 scaffold550.g15.t2, Morbakka_virulenta_scaffold255.g8.t1 scaffold255.g8.t1, Morbakka_virulenta_scaffold71.g50.t3 scaffold71.g50.t3, Morbakka_virulenta_scaffold71.g50.t1 scaffold71.g50.t1, Morbakka_virulenta_scaffold71.g50.t2 scaffold71.g50.t2, Morbakka_virulenta_scaffold71.g45.t2 scaffold71.g45.t2, Morbakka_virulenta_scaffold71.g45.t1 scaffold71.g45.t1, Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3
OG0000006	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2
OG0000006	Morbakka_virulenta_scaffold94.g59.t1 scaffold94.g59.t1	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1
OG0000007	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1
OG0000007	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1	Mus_musculus_sp_A2AJ76_HMCN2_MOUSE sp_A2AJ76_HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1
OG0000010	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1
OG0000010	Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2	Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
OG0000010	Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000012	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
OG0000012	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2	Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1, Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2
OG0000013	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1
OG0000013	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1	Mus_musculus_sp_P17553_WNT3_MOUSE sp_P17553_WNT3_MOUSE Proto-oncogene Wnt-3 OS=Mus musculus OX=10090 GN=Wnt3 PE=1 SV=1, Mus_musculus_sp_P27467_WNT3A_MOUSE sp_P27467_WNT3A_MOUSE Protein Wnt-3a OS=Mus musculus OX=10090 GN=Wnt3a PE=1 SV=1
OG0000013	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000013	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000014	Morbakka_virulenta_scaffold175.g49.t1 scaffold175.g49.t1	Mus_musculus_sp_Q769J6_ATS13_MOUSE sp_Q769J6_ATS13_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Mus musculus OX=10090 GN=Adamts13 PE=1 SV=1
OG0000014	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
OG0000014	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1	Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2
OG0000014	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
OG0000015	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2
OG0000017	Morbakka_virulenta_scaffold66.g59.t1 scaffold66.g59.t1, Morbakka_virulenta_scaffold259.g30.t1 scaffold259.g30.t1, Morbakka_virulenta_scaffold259.g31.t1 scaffold259.g31.t1, Morbakka_virulenta_scaffold237.g10.t1 scaffold237.g10.t1	Mus_musculus_sp_Q8R121_ZPI_MOUSE sp_Q8R121_ZPI_MOUSE Protein Z-dependent protease inhibitor OS=Mus musculus OX=10090 GN=Serpina10 PE=1 SV=1, Mus_musculus_sp_Q00898_A1AT5_MOUSE sp_Q00898_A1AT5_MOUSE Alpha-1-antitrypsin 1-5 OS=Mus musculus OX=10090 GN=Serpina1e PE=1 SV=1, Mus_musculus_sp_Q00897_A1AT4_MOUSE sp_Q00897_A1AT4_MOUSE Alpha-1-antitrypsin 1-4 OS=Mus musculus OX=10090 GN=Serpina1d PE=1 SV=1, Mus_musculus_sp_Q00896_A1AT3_MOUSE sp_Q00896_A1AT3_MOUSE Alpha-1-antitrypsin 1-3 OS=Mus musculus OX=10090 GN=Serpina1c PE=1 SV=2, Mus_musculus_sp_P07758_A1AT1_MOUSE sp_P07758_A1AT1_MOUSE Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=4, Mus_musculus_sp_P22599_A1AT2_MOUSE sp_P22599_A1AT2_MOUSE Alpha-1-antitrypsin 1-2 OS=Mus musculus OX=10090 GN=Serpina1b PE=1 SV=2, Mus_musculus_sp_Q8CIE0_SPA11_MOUSE sp_Q8CIE0_SPA11_MOUSE Serpin A11 OS=Mus musculus OX=10090 GN=Serpina11 PE=2 SV=1, Mus_musculus_sp_Q9D7D2_SPA9_MOUSE sp_Q9D7D2_SPA9_MOUSE Serpin A9 OS=Mus musculus OX=10090 GN=Serpina9 PE=2 SV=1, Mus_musculus_sp_P61939_THBG_MOUSE sp_P61939_THBG_MOUSE Thyroxine-binding globulin OS=Mus musculus OX=10090 GN=Serpina7 PE=2 SV=1, Mus_musculus_sp_Q03734_SPA3M_MOUSE sp_Q03734_SPA3M_MOUSE Serine protease inhibitor A3M OS=Mus musculus OX=10090 GN=Serpina3m PE=1 SV=2, Mus_musculus_sp_P07759_SPA3K_MOUSE sp_P07759_SPA3K_MOUSE Serine protease inhibitor A3K OS=Mus musculus OX=10090 GN=Serpina3k PE=1 SV=2, Mus_musculus_sp_P29621_SPA3C_MOUSE sp_P29621_SPA3C_MOUSE Serine protease inhibitor A3C OS=Mus musculus OX=10090 GN=Serpina3c PE=2 SV=1, Mus_musculus_sp_Q91WP6_SPA3N_MOUSE sp_Q91WP6_SPA3N_MOUSE Serine protease inhibitor A3N OS=Mus musculus OX=10090 GN=Serpina3n PE=1 SV=1, Mus_musculus_sp_Q5I2A0_SPA3G_MOUSE sp_Q5I2A0_SPA3G_MOUSE Serine protease inhibitor A3G OS=Mus musculus OX=10090 GN=Serpina3g PE=1 SV=2, Mus_musculus_sp_Q80X76_SPA3F_MOUSE sp_Q80X76_SPA3F_MOUSE Serine protease inhibitor A3F OS=Mus musculus OX=10090 GN=Serpina3f PE=1 SV=3, Mus_musculus_sp_Q6P4P1_SPA3A_MOUSE sp_Q6P4P1_SPA3A_MOUSE Serine protease inhibitor A3A OS=Mus musculus OX=10090 GN=Serpina3a PE=1 SV=2, Mus_musculus_sp_Q8BYY9_SPA3B_MOUSE sp_Q8BYY9_SPA3B_MOUSE Serine protease inhibitor A3B OS=Mus musculus OX=10090 GN=Serpina3b PE=2 SV=1, Mus_musculus_sp_Q06770_CBG_MOUSE sp_Q06770_CBG_MOUSE Corticosteroid-binding globulin OS=Mus musculus OX=10090 GN=Serpina6 PE=1 SV=1, Mus_musculus_sp_P49182_HEP2_MOUSE sp_P49182_HEP2_MOUSE Heparin cofactor 2 OS=Mus musculus OX=10090 GN=Serpind1 PE=1 SV=1, Mus_musculus_sp_P97290_IC1_MOUSE sp_P97290_IC1_MOUSE Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3, Mus_musculus_sp_Q61247_A2AP_MOUSE sp_Q61247_A2AP_MOUSE Alpha-2-antiplasmin OS=Mus musculus OX=10090 GN=Serpinf2 PE=1 SV=1
OG0000018	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3	Mus_musculus_sp_Q924C6_LOXL4_MOUSE sp_Q924C6_LOXL4_MOUSE Lysyl oxidase homolog 4 OS=Mus musculus OX=10090 GN=Loxl4 PE=2 SV=2, Mus_musculus_sp_Q9Z175_LOXL3_MOUSE sp_Q9Z175_LOXL3_MOUSE Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2, Mus_musculus_sp_P58022_LOXL2_MOUSE sp_P58022_LOXL2_MOUSE Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2
OG0000019	Morbakka_virulenta_scaffold47.g133.t1 scaffold47.g133.t1	Mus_musculus_sp_Q9Z0J7_GDF15_MOUSE sp_Q9Z0J7_GDF15_MOUSE Growth_differentiation factor 15 OS=Mus musculus OX=10090 GN=Gdf15 PE=1 SV=2
OG0000019	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1	Mus_musculus_sp_P34821_BMP8A_MOUSE sp_P34821_BMP8A_MOUSE Bone morphogenetic protein 8A OS=Mus musculus OX=10090 GN=Bmp8a PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P20722_BMP6_MOUSE sp_P20722_BMP6_MOUSE Bone morphogenetic protein 6 OS=Mus musculus OX=10090 GN=Bmp6 PE=1 SV=2, Mus_musculus_sp_P23359_BMP7_MOUSE sp_P23359_BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2
OG0000019	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1	Mus_musculus_sp_P21274_BMP2_MOUSE sp_P21274_BMP2_MOUSE Bone morphogenetic protein 2 OS=Mus musculus OX=10090 GN=Bmp2 PE=1 SV=3
OG0000019	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1	Mus_musculus_sp_P43028_GDF6_MOUSE sp_P43028_GDF6_MOUSE Growth_differentiation factor 6 OS=Mus musculus OX=10090 GN=Gdf6 PE=2 SV=2, Mus_musculus_sp_P43027_GDF5_MOUSE sp_P43027_GDF5_MOUSE Growth_differentiation factor 5 OS=Mus musculus OX=10090 GN=Gdf5 PE=1 SV=2, Mus_musculus_sp_P43029_GDF7_MOUSE sp_P43029_GDF7_MOUSE Growth_differentiation factor 7 OS=Mus musculus OX=10090 GN=Gdf7 PE=2 SV=2, Mus_musculus_sp_Q8BHE5_BMP3_MOUSE sp_Q8BHE5_BMP3_MOUSE Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1, Mus_musculus_sp_P97737_GDF10_MOUSE sp_P97737_GDF10_MOUSE Growth_differentiation factor 10 OS=Mus musculus OX=10090 GN=Gdf10 PE=1 SV=2
