Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Chordata_Vertebrata_Bos_taurus
OG0000009	Schmidtea_mediterranea_maker-scaffold7935-augustus-gene-0.39-mRNA-1 maker-scaffold7935-augustus-gene-0.39-mRNA-1 protein AED_0.10 eAED_0.10 QI_422|1|1|1|0.35|0.72|18|100|1068	DAA14866.1 TPA_ tolloid-like 2-like [Bos taurus], XP_002698454.2 tolloid-like protein 2 isoform X1 [Bos taurus], NP_001180043.1 tolloid-like protein 1 precursor [Bos taurus]
OG0000009	Schmidtea_mediterranea_maker-scaffold736-augustus-gene-1.62-mRNA-1 maker-scaffold736-augustus-gene-1.62-mRNA-1 protein AED_0.46 eAED_0.47 QI_0|0.27|0.33|0.75|0.36|0.58|12|82|665	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000013	Schmidtea_mediterranea_maker-scaffold1075-snap-gene-0.46-mRNA-1 maker-scaffold1075-snap-gene-0.46-mRNA-1 protein AED_0.12 eAED_0.12 QI_109|0.66|0.42|1|0.33|0|7|0|511, Schmidtea_mediterranea_maker-scaffold4491-snap-gene-0.19-mRNA-1 maker-scaffold4491-snap-gene-0.19-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|0|0|0.5|0.2|0.16|6|0|372, Schmidtea_mediterranea_maker-scaffold14654-snap-gene-0.26-mRNA-1 maker-scaffold14654-snap-gene-0.26-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0|0|0.33|0.8|0.83|6|0|309, Schmidtea_mediterranea_maker-scaffold24568-augustus-gene-0.47-mRNA-1 maker-scaffold24568-augustus-gene-0.47-mRNA-1 protein AED_0.00 eAED_0.00 QI_16|1|1|1|0.5|0.33|3|124|372	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor
OG0000013	Schmidtea_mediterranea_maker-scaffold4184-snap-gene-0.24-mRNA-1 maker-scaffold4184-snap-gene-0.24-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0|0|0.5|0.6|0.5|6|0|427	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]
OG0000013	Schmidtea_mediterranea_maker-scaffold5858-augustus-gene-1.57-mRNA-1 maker-scaffold5858-augustus-gene-1.57-mRNA-1 protein AED_0.19 eAED_0.19 QI_722|0.83|0.85|0.85|0.16|0.71|7|0|346	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus], NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000014	Schmidtea_mediterranea_maker-scaffold35401-snap-gene-0.54-mRNA-1 maker-scaffold35401-snap-gene-0.54-mRNA-1 protein AED_0.10 eAED_0.10 QI_27|0.84|0.84|1|0.36|0.65|26|101|1154	NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus], NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]
OG0000015	Schmidtea_mediterranea_maker-scaffold10441-augustus-gene-0.20-mRNA-1 maker-scaffold10441-augustus-gene-0.20-mRNA-1 protein AED_0.05 eAED_0.05 QI_412|0.71|0.75|1|0.14|0.25|8|123|290	NP_776398.1 zona pellucida sperm-binding protein 2 precursor [Bos taurus], sp|Q9BH10.1|ZP2_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 2; AltName_ Full=Zona pellucida glycoprotein 2; Short=Zp-2; AltName_ Full=Zona pellucida protein A; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 2; Flags_ Precursor, XP_059737125.1 zona pellucida sperm-binding protein 2 isoform X1 [Bos taurus], sp|Q9BH11.2|ZP4_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 4; AltName_ Full=Zona pellucida glycoprotein 4; Short=Zp-4; AltName_ Full=Zona pellucida protein B; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 4; Flags_ Precursor
OG0000018	Schmidtea_mediterranea_maker-scaffold2109-augustus-gene-0.18-mRNA-1 maker-scaffold2109-augustus-gene-0.18-mRNA-1 protein AED_0.33 eAED_0.33 QI_39|0.62|0.66|0.88|0.37|0.66|9|50|645, Schmidtea_mediterranea_maker-scaffold11314-snap-gene-0.19-mRNA-1 maker-scaffold11314-snap-gene-0.19-mRNA-1 protein AED_0.45 eAED_0.50 QI_0|0|0|0.5|0|0|2|0|360, Schmidtea_mediterranea_maker-scaffold11314-snap-gene-0.20-mRNA-1 maker-scaffold11314-snap-gene-0.20-mRNA-1 protein AED_0.45 eAED_0.50 QI_0|0|0|0.5|1|1|2|0|360	DAA17499.1 TPA_ lysyl oxidase homolog 1 precursor [Bos taurus]
OG0000019	Schmidtea_mediterranea_maker-scaffold6043-augustus-gene-0.26-mRNA-1 maker-scaffold6043-augustus-gene-0.26-mRNA-1 protein AED_0.00 eAED_0.00 QI_219|1|1|1|0.33|0.75|4|544|374, Schmidtea_mediterranea_maker-scaffold8614-snap-gene-1.51-mRNA-1 maker-scaffold8614-snap-gene-1.51-mRNA-1 protein AED_0.33 eAED_0.34 QI_0|0.66|0.75|1|0|0.25|4|201|247	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus], XP_002687467.2 growth/differentiation factor 11 [Bos taurus], NP_001192912.1 inhibin beta C chain precursor [Bos taurus], NP_001192771.1 inhibin beta E chain precursor [Bos taurus]
OG0000019	Schmidtea_mediterranea_maker-scaffold34701-augustus-gene-0.6-mRNA-1 maker-scaffold34701-augustus-gene-0.6-mRNA-1 protein AED_0.00 eAED_0.00 QI_51|1|1|1|1|1|2|116|143, Schmidtea_mediterranea_maker-scaffold4731-augustus-gene-0.23-mRNA-1 maker-scaffold4731-augustus-gene-0.23-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0.14|0.12|0.25|1|1|8|64|556, Schmidtea_mediterranea_maker-scaffold34701-augustus-gene-0.5-mRNA-1 maker-scaffold34701-augustus-gene-0.5-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0.5|0.33|0.66|1|0.66|3|116|165, Schmidtea_mediterranea_maker-scaffold2542-augustus-gene-0.6-mRNA-1 maker-scaffold2542-augustus-gene-0.6-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.5|0.33|0.66|1|1|3|116|310	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus], sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor, XP_010804844.1 embryonic growth/differentiation factor 1 [Bos taurus], XP_002687893.2 growth/differentiation factor 3 [Bos taurus], NP_001179047.1 bone morphogenetic protein 10 precursor [Bos taurus], NP_001179349.1 growth/differentiation factor 2 precursor [Bos taurus]
OG0000020	Schmidtea_mediterranea_maker-scaffold19303-augustus-gene-0.58-mRNA-1 maker-scaffold19303-augustus-gene-0.58-mRNA-1 protein AED_0.22 eAED_0.31 QI_0|0.74|0.78|1|0.77|0.85|28|191|2030	XP_024839347.1 collagen alpha-2_XI_ chain isoform X1 [Bos taurus], XP_024855495.1 collagen alpha-1_V_ chain isoform X2 [Bos taurus], NP_001159981.2 collagen alpha-1_XI_ chain [Bos taurus], XP_010805112.2 collagen alpha-3_V_ chain isoform X1 [Bos taurus], sp|P02459.4|CO2A1_BOVIN RecName_ Full=Collagen alpha-1_II_ chain; AltName_ Full=Alpha-1 type II collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02465.2|CO1A2_BOVIN RecName_ Full=Collagen alpha-2_I_ chain; AltName_ Full=Alpha-2 type I collagen; Flags_ Precursor, NP_001070299.1 collagen alpha-1_III_ chain precursor [Bos taurus], XP_059736296.1 collagen alpha-2_V_ chain [Bos taurus]
OG0000020	Schmidtea_mediterranea_augustus_masked-scaffold13202-processed-gene-0.4-mRNA-1 augustus_masked-scaffold13202-processed-gene-0.4-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0|0|0.9|1|1|20|0|2163, Schmidtea_mediterranea_maker-scaffold10673-snap-gene-0.70-mRNA-1 maker-scaffold10673-snap-gene-0.70-mRNA-1 protein AED_0.27 eAED_0.27 QI_0|0.35|0.47|1|0.65|0.80|21|0|2053	XP_024845867.1 collagen alpha-1_XXIV_ chain [Bos taurus], NP_001193609.1 collagen alpha-1_XXVII_ chain [Bos taurus]
OG0000022	Schmidtea_mediterranea_maker-scaffold17507-augustus-gene-0.9-mRNA-1 maker-scaffold17507-augustus-gene-0.9-mRNA-1 protein AED_0.22 eAED_0.22 QI_471|1|1|1|0.5|0.55|9|69|339, Schmidtea_mediterranea_snap_masked-scaffold46263-processed-gene-0.1-mRNA-1 snap_masked-scaffold46263-processed-gene-0.1-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0|0|1|1|1|4|0|149, Schmidtea_mediterranea_maker-scaffold1449-augustus-gene-0.17-mRNA-1 maker-scaffold1449-augustus-gene-0.17-mRNA-1 protein AED_0.20 eAED_0.20 QI_63|0.52|0.55|0.83|0.76|0.66|18|0|1431	XP_005226473.2 annexin A7 isoform X1 [Bos taurus], AAI33571.1 ANXA13 protein [Bos taurus]
OG0000028	Schmidtea_mediterranea_maker-scaffold11455-augustus-gene-0.21-mRNA-1 maker-scaffold11455-augustus-gene-0.21-mRNA-1 protein AED_0.05 eAED_0.08 QI_0|0|0|1|1|1|2|0|135, Schmidtea_mediterranea_maker-scaffold17765-snap-gene-0.7-mRNA-1 maker-scaffold17765-snap-gene-0.7-mRNA-1 protein AED_0.08 eAED_0.08 QI_46|0.92|0.89|0.96|0.96|0.96|29|0|1699, Schmidtea_mediterranea_maker-scaffold7038-augustus-gene-0.53-mRNA-1 maker-scaffold7038-augustus-gene-0.53-mRNA-1 protein AED_0.08 eAED_0.08 QI_168|0.93|0.86|1|1|1|30|0|2199, Schmidtea_mediterranea_maker-scaffold1323-snap-gene-0.42-mRNA-1 maker-scaffold1323-snap-gene-0.42-mRNA-1 protein AED_0.11 eAED_0.13 QI_0|0.91|0.88|1|0.88|0.94|36|391|2129, Schmidtea_mediterranea_maker-scaffold32825-augustus-gene-0.19-mRNA-1 maker-scaffold32825-augustus-gene-0.19-mRNA-1 protein AED_0.05 eAED_0.05 QI_61|0.92|0.96|0.96|0.96|0.96|27|28|1813	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus], NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus], XP_024855939.1 collagen alpha-2_IV_ chain isoform X1 [Bos taurus], XP_005227954.1 collagen alpha-6_IV_ chain isoform X1 [Bos taurus], XP_024837496.1 collagen alpha-4_IV_ chain isoform X1 [Bos taurus]
OG0000030	Schmidtea_mediterranea_maker-scaffold6061-augustus-gene-1.43-mRNA-1 maker-scaffold6061-augustus-gene-1.43-mRNA-1 protein AED_0.27 eAED_0.28 QI_0|0.64|0.61|0.94|0.58|0.88|18|137|784	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]
OG0000030	Schmidtea_mediterranea_maker-scaffold4771-augustus-gene-0.17-mRNA-1 maker-scaffold4771-augustus-gene-0.17-mRNA-1 protein AED_0.15 eAED_0.19 QI_0|0|0|0.83|0.8|1|6|0|430	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor
OG0000040	Schmidtea_mediterranea_maker-scaffold2624-snap-gene-0.62-mRNA-1 maker-scaffold2624-snap-gene-0.62-mRNA-1 protein AED_0.00 eAED_0.00 QI_163|1|1|1|1|1|3|260|253	XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]
OG0000041	Schmidtea_mediterranea_snap_masked-scaffold19108-processed-gene-0.1-mRNA-1 snap_masked-scaffold19108-processed-gene-0.1-mRNA-1 protein AED_0.91 eAED_0.96 QI_0|0|0|0.41|1|1|12|0|406	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus], XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]
OG0000042	Schmidtea_mediterranea_maker-scaffold25981-snap-gene-1.52-mRNA-1 maker-scaffold25981-snap-gene-1.52-mRNA-1 protein AED_0.29 eAED_0.29 QI_0|0.25|0|0.4|1|1|5|0|226, Schmidtea_mediterranea_maker-scaffold2082-snap-gene-0.19-mRNA-1 maker-scaffold2082-snap-gene-0.19-mRNA-1 protein AED_0.75 eAED_0.75 QI_0|0|0|0.04|1|1|24|0|703	sp|Q28142.2|NRX1B_BOVIN RecName_ Full=Neurexin-1-beta; AltName_ Full=Neurexin I-beta; Flags_ Precursor
OG0000045	Schmidtea_mediterranea_maker-scaffold2580-snap-gene-1.69-mRNA-1 maker-scaffold2580-snap-gene-1.69-mRNA-1 protein AED_0.06 eAED_0.08 QI_112|0.76|0.75|0.96|0.48|0.73|53|0|2966	XP_024840372.1 laminin subunit alpha-1 isoform X1 [Bos taurus], XP_002690266.2 laminin subunit alpha-2 [Bos taurus]
OG0000048	Schmidtea_mediterranea_maker-scaffold10901-augustus-gene-0.37-mRNA-1 maker-scaffold10901-augustus-gene-0.37-mRNA-1 protein AED_0.05 eAED_0.05 QI_126|1|1|1|0.66|0.57|7|1281|732	NP_001096797.1 nephrocan precursor [Bos taurus], DAA28111.1 TPA_ Podnl1 protein-like [Bos taurus], NP_001179156.1 podocan [Bos taurus], XP_059731202.1 fibromodulin isoform X1 [Bos taurus], sp|O77742.1|OMD_BOVIN RecName_ Full=Osteomodulin; AltName_ Full=Keratan sulfate proteoglycan osteomodulin; Short=KSPG osteomodulin; AltName_ Full=Osteoadherin; Short=OSAD; Flags_ Precursor, sp|Q9GKN8.1|PRELP_BOVIN RecName_ Full=Prolargin; AltName_ Full=Proline-arginine-rich end leucine-rich repeat protein; Flags_ Precursor, XP_024851602.1 extracellular matrix protein 2 isoform X1 [Bos taurus]
OG0000064	Schmidtea_mediterranea_maker-scaffold2473-augustus-gene-0.58-mRNA-1 maker-scaffold2473-augustus-gene-0.58-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.66|0.25|1|0.33|0.5|4|0|143	XP_024834858.1 latent-transforming growth factor beta-binding protein 4 isoform X1 [Bos taurus], NP_776810.1 latent-transforming growth factor beta-binding protein 2 [Bos taurus], XP_005227171.1 latent-transforming growth factor beta-binding protein 3 isoform X1 [Bos taurus], XP_024854254.1 latent-transforming growth factor beta-binding protein 1 isoform X1 [Bos taurus]
OG0000074	Schmidtea_mediterranea_maker-scaffold388-augustus-gene-4.45-mRNA-1 maker-scaffold388-augustus-gene-4.45-mRNA-1 protein AED_0.03 eAED_0.03 QI_1337|1|1|1|0.30|0.40|27|353|1205	NP_001178445.2 slit homolog 2 protein precursor [Bos taurus], DAA18060.1 TPA_ slit homolog 3 [Bos taurus], XP_002698459.1 slit homolog 1 protein [Bos taurus]
OG0000080	Schmidtea_mediterranea_maker-scaffold16385-augustus-gene-0.38-mRNA-1 maker-scaffold16385-augustus-gene-0.38-mRNA-1 protein AED_0.00 eAED_0.00 QI_443|1|1|1|0|0.33|3|35|141, Schmidtea_mediterranea_maker-scaffold4907-snap-gene-0.19-mRNA-1 maker-scaffold4907-snap-gene-0.19-mRNA-1 protein AED_0.29 eAED_0.29 QI_0|0.16|0.15|0.26|0.72|0.73|19|700|487	sp|P79121.1|TIMP3_BOVIN RecName_ Full=Metalloproteinase inhibitor 3; AltName_ Full=Tissue inhibitor of metalloproteinases 3; Short=TIMP-3; Flags_ Precursor, sp|O97563.2|TIMP4_BOVIN RecName_ Full=Metalloproteinase inhibitor 4; AltName_ Full=Tissue inhibitor of metalloproteinases 4; Short=TIMP-4; Flags_ Precursor, sp|P20414.1|TIMP1_BOVIN RecName_ Full=Metalloproteinase inhibitor 1; AltName_ Full=Embryogenin-1; Short=EG-1; AltName_ Full=Tissue inhibitor of metalloproteinases 1; Short=TIMP-1; Flags_ Precursor
OG0000081	Schmidtea_mediterranea_maker-scaffold21973-augustus-gene-0.25-mRNA-1 maker-scaffold21973-augustus-gene-0.25-mRNA-1 protein AED_0.01 eAED_0.02 QI_2|0|0|1|0|0|2|0|715	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor
OG0000088	Schmidtea_mediterranea_maker-scaffold2562-augustus-gene-0.30-mRNA-1 maker-scaffold2562-augustus-gene-0.30-mRNA-1 protein AED_0.31 eAED_0.32 QI_0|1|0.75|1|0.66|0.5|4|179|609, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.37-mRNA-1 maker-scaffold2562-snap-gene-0.37-mRNA-1 protein AED_0.07 eAED_0.09 QI_0|0.33|0.14|1|0.66|0.57|7|0|1127, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.38-mRNA-1 maker-scaffold2562-snap-gene-0.38-mRNA-1 protein AED_0.62 eAED_0.63 QI_0|0|0|0.16|1|1|6|0|510, Schmidtea_mediterranea_maker-scaffold4198-snap-gene-0.24-mRNA-1 maker-scaffold4198-snap-gene-0.24-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.5|0.2|0.8|0.75|0.8|5|0|730	NP_001039622.1 spondin-2 precursor [Bos taurus], sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor
OG0000093	Schmidtea_mediterranea_maker-scaffold13106-augustus-gene-0.13-mRNA-1 maker-scaffold13106-augustus-gene-0.13-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|0.66|1|1|3|0|99, Schmidtea_mediterranea_maker-scaffold13106-augustus-gene-0.14-mRNA-1 maker-scaffold13106-augustus-gene-0.14-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|0.66|1|1|3|0|99, Schmidtea_mediterranea_maker-scaffold9678-snap-gene-0.36-mRNA-1 maker-scaffold9678-snap-gene-0.36-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.4|0.33|0.5|0.8|0.83|6|359|259, Schmidtea_mediterranea_augustus_masked-scaffold17106-processed-gene-0.0-mRNA-1 augustus_masked-scaffold17106-processed-gene-0.0-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0|0|1|1|1|2|0|77	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A
OG0000114	Schmidtea_mediterranea_maker-scaffold3444-snap-gene-0.54-mRNA-1 maker-scaffold3444-snap-gene-0.54-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.71|0.62|1|0.71|0.62|8|144|1028	NP_001179877.1 host cell factor 2 [Bos taurus]
OG0000120	Schmidtea_mediterranea_maker-scaffold913-augustus-gene-0.3-mRNA-1 maker-scaffold913-augustus-gene-0.3-mRNA-1 protein AED_0.01 eAED_0.01 QI_1098|1|1|1|0.5|0.33|3|511|65	XP_002692376.1 syndecan-4 [Bos taurus], sp|Q58DD4.1|SDC2_BOVIN RecName_ Full=Syndecan-2; Short=SYND2; AltName_ CD_antigen=CD362; Flags_ Precursor, sp|Q08DZ5.1|SDC1_BOVIN RecName_ Full=Syndecan-1; Short=SYND1; AltName_ CD_antigen=CD138; Flags_ Precursor, DAA32372.1 TPA_ syndecan 3-like [Bos taurus]
OG0000141	Schmidtea_mediterranea_maker-scaffold11956-snap-gene-0.30-mRNA-1 maker-scaffold11956-snap-gene-0.30-mRNA-1 protein AED_0.14 eAED_0.14 QI_111|0.75|0.8|0.8|0.5|0.6|5|0|273	NP_001095646.1 CCN family member 5 precursor [Bos taurus], DAA22835.1 TPA_ WNT1 inducible signaling pathway protein 1-like [Bos taurus], NP_001029512.1 CCN family member 1 precursor [Bos taurus]
OG0000156	Schmidtea_mediterranea_maker-scaffold12426-augustus-gene-0.24-mRNA-1 maker-scaffold12426-augustus-gene-0.24-mRNA-1 protein AED_0.01 eAED_0.01 QI_102|1|1|1|0|0|2|41|456	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1
OG0000166	Schmidtea_mediterranea_maker-scaffold2622-augustus-gene-0.20-mRNA-1 maker-scaffold2622-augustus-gene-0.20-mRNA-1 protein AED_0.00 eAED_0.00 QI_387|0.5|0.66|1|1|1|3|193|346	NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus], sp|Q9XSC1.1|SFRP5_BOVIN RecName_ Full=Secreted frizzled-related protein 5; Short=sFRP-5; Flags_ Precursor, NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus]
OG0000171	Schmidtea_mediterranea_maker-scaffold1856-augustus-gene-1.52-mRNA-1 maker-scaffold1856-augustus-gene-1.52-mRNA-1 protein AED_0.15 eAED_0.15 QI_138|0.5|0.8|0.8|0.5|0.6|5|1177|445	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]
