Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Chordata_Vertebrata_Mus_musculus
OG0000019	Schmidtea_mediterranea_maker-scaffold6043-augustus-gene-0.26-mRNA-1 maker-scaffold6043-augustus-gene-0.26-mRNA-1 protein AED_0.00 eAED_0.00 QI_219|1|1|1|0.33|0.75|4|544|374, Schmidtea_mediterranea_maker-scaffold8614-snap-gene-1.51-mRNA-1 maker-scaffold8614-snap-gene-1.51-mRNA-1 protein AED_0.33 eAED_0.34 QI_0|0.66|0.75|1|0|0.25|4|201|247	Mus_musculus_sp_Q9Z0J7_GDF15_MOUSE sp_Q9Z0J7_GDF15_MOUSE Growth_differentiation factor 15 OS=Mus musculus OX=10090 GN=Gdf15 PE=1 SV=2, Mus_musculus_sp_O08689_GDF8_MOUSE sp_O08689_GDF8_MOUSE Growth_differentiation factor 8 OS=Mus musculus OX=10090 GN=Mstn PE=1 SV=1, Mus_musculus_sp_P55104_INHBC_MOUSE sp_P55104_INHBC_MOUSE Inhibin beta C chain OS=Mus musculus OX=10090 GN=Inhbc PE=2 SV=2, Mus_musculus_sp_O08717_INHBE_MOUSE sp_O08717_INHBE_MOUSE Inhibin beta E chain OS=Mus musculus OX=10090 GN=Inhbe PE=2 SV=2, Mus_musculus_sp_Q04998_INHBA_MOUSE sp_Q04998_INHBA_MOUSE Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1
OG0000019	Schmidtea_mediterranea_maker-scaffold34701-augustus-gene-0.6-mRNA-1 maker-scaffold34701-augustus-gene-0.6-mRNA-1 protein AED_0.00 eAED_0.00 QI_51|1|1|1|1|1|2|116|143, Schmidtea_mediterranea_maker-scaffold4731-augustus-gene-0.23-mRNA-1 maker-scaffold4731-augustus-gene-0.23-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0.14|0.12|0.25|1|1|8|64|556, Schmidtea_mediterranea_maker-scaffold34701-augustus-gene-0.5-mRNA-1 maker-scaffold34701-augustus-gene-0.5-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0.5|0.33|0.66|1|0.66|3|116|165, Schmidtea_mediterranea_maker-scaffold2542-augustus-gene-0.6-mRNA-1 maker-scaffold2542-augustus-gene-0.6-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.5|0.33|0.66|1|1|3|116|310	Mus_musculus_sp_P34821_BMP8A_MOUSE sp_P34821_BMP8A_MOUSE Bone morphogenetic protein 8A OS=Mus musculus OX=10090 GN=Bmp8a PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P20722_BMP6_MOUSE sp_P20722_BMP6_MOUSE Bone morphogenetic protein 6 OS=Mus musculus OX=10090 GN=Bmp6 PE=1 SV=2, Mus_musculus_sp_P23359_BMP7_MOUSE sp_P23359_BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2, Mus_musculus_sp_P21274_BMP2_MOUSE sp_P21274_BMP2_MOUSE Bone morphogenetic protein 2 OS=Mus musculus OX=10090 GN=Bmp2 PE=1 SV=3, Mus_musculus_sp_P43028_GDF6_MOUSE sp_P43028_GDF6_MOUSE Growth_differentiation factor 6 OS=Mus musculus OX=10090 GN=Gdf6 PE=2 SV=2, Mus_musculus_sp_P43027_GDF5_MOUSE sp_P43027_GDF5_MOUSE Growth_differentiation factor 5 OS=Mus musculus OX=10090 GN=Gdf5 PE=1 SV=2, Mus_musculus_sp_P43029_GDF7_MOUSE sp_P43029_GDF7_MOUSE Growth_differentiation factor 7 OS=Mus musculus OX=10090 GN=Gdf7 PE=2 SV=2, Mus_musculus_sp_Q8BHE5_BMP3_MOUSE sp_Q8BHE5_BMP3_MOUSE Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1, Mus_musculus_sp_P97737_GDF10_MOUSE sp_P97737_GDF10_MOUSE Growth_differentiation factor 10 OS=Mus musculus OX=10090 GN=Gdf10 PE=1 SV=2, Mus_musculus_sp_P20863_GDF1_MOUSE sp_P20863_GDF1_MOUSE Embryonic growth_differentiation factor 1 OS=Mus musculus OX=10090 GN=Gdf1 PE=2 SV=2, Mus_musculus_sp_Q07104_GDF3_MOUSE sp_Q07104_GDF3_MOUSE Growth_differentiation factor 3 OS=Mus musculus OX=10090 GN=Gdf3 PE=1 SV=2, Mus_musculus_sp_Q9Z0L4_BMP15_MOUSE sp_Q9Z0L4_BMP15_MOUSE Bone morphogenetic protein 15 OS=Mus musculus OX=10090 GN=Bmp15 PE=2 SV=1, Mus_musculus_sp_P43021_NODAL_MOUSE sp_P43021_NODAL_MOUSE Nodal OS=Mus musculus OX=10090 GN=Nodal PE=2 SV=2
OG0000020	Schmidtea_mediterranea_maker-scaffold19303-augustus-gene-0.58-mRNA-1 maker-scaffold19303-augustus-gene-0.58-mRNA-1 protein AED_0.22 eAED_0.31 QI_0|0.74|0.78|1|0.77|0.85|28|191|2030	Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P11087_CO1A1_MOUSE sp_P11087_CO1A1_MOUSE Collagen alpha-1_I_ chain OS=Mus musculus OX=10090 GN=Col1a1 PE=1 SV=4, Mus_musculus_sp_P11087_CO1A1_MOUSE sp_P11087_CO1A1_MOUSE Collagen alpha-1_I_ chain OS=Mus musculus OX=10090 GN=Col1a1 PE=1 SV=4, Mus_musculus_sp_Q01149_CO1A2_MOUSE sp_Q01149_CO1A2_MOUSE Collagen alpha-2_I_ chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2, Mus_musculus_sp_P08121_CO3A1_MOUSE sp_P08121_CO3A1_MOUSE Collagen alpha-1_III_ chain OS=Mus musculus OX=10090 GN=Col3a1 PE=1 SV=4, Mus_musculus_sp_Q3U962_CO5A2_MOUSE sp_Q3U962_CO5A2_MOUSE Collagen alpha-2_V_ chain OS=Mus musculus OX=10090 GN=Col5a2 PE=1 SV=1
OG0000020	Schmidtea_mediterranea_augustus_masked-scaffold13202-processed-gene-0.4-mRNA-1 augustus_masked-scaffold13202-processed-gene-0.4-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|0|0|0.9|1|1|20|0|2163, Schmidtea_mediterranea_maker-scaffold10673-snap-gene-0.70-mRNA-1 maker-scaffold10673-snap-gene-0.70-mRNA-1 protein AED_0.27 eAED_0.27 QI_0|0.35|0.47|1|0.65|0.80|21|0|2053	Mus_musculus_sp_Q30D77_COOA1_MOUSE sp_Q30D77_COOA1_MOUSE Collagen alpha-1_XXIV_ chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2, Mus_musculus_sp_Q5QNQ9_CORA1_MOUSE sp_Q5QNQ9_CORA1_MOUSE Collagen alpha-1_XXVII_ chain OS=Mus musculus OX=10090 GN=Col27a1 PE=2 SV=1
OG0000021	Schmidtea_mediterranea_maker-scaffold5879-augustus-gene-0.28-mRNA-1 maker-scaffold5879-augustus-gene-0.28-mRNA-1 protein AED_0.28 eAED_0.28 QI_330|0.33|0.5|0.9|0.22|0.5|10|395|587, Schmidtea_mediterranea_maker-scaffold19113-snap-gene-0.19-mRNA-1 maker-scaffold19113-snap-gene-0.19-mRNA-1 protein AED_0.15 eAED_0.15 QI_40|0.71|0.75|0.87|0.57|0.75|8|183|628	Mus_musculus_sp_P01132_EGF_MOUSE sp_P01132_EGF_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=2
OG0000022	Schmidtea_mediterranea_maker-scaffold17507-augustus-gene-0.9-mRNA-1 maker-scaffold17507-augustus-gene-0.9-mRNA-1 protein AED_0.22 eAED_0.22 QI_471|1|1|1|0.5|0.55|9|69|339, Schmidtea_mediterranea_snap_masked-scaffold46263-processed-gene-0.1-mRNA-1 snap_masked-scaffold46263-processed-gene-0.1-mRNA-1 protein AED_0.25 eAED_0.25 QI_0|0|0|1|1|1|4|0|149, Schmidtea_mediterranea_maker-scaffold1449-augustus-gene-0.17-mRNA-1 maker-scaffold1449-augustus-gene-0.17-mRNA-1 protein AED_0.20 eAED_0.20 QI_63|0.52|0.55|0.83|0.76|0.66|18|0|1431	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2, Mus_musculus_sp_Q99JG3_ANX13_MOUSE sp_Q99JG3_ANX13_MOUSE Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3
OG0000028	Schmidtea_mediterranea_maker-scaffold11455-augustus-gene-0.21-mRNA-1 maker-scaffold11455-augustus-gene-0.21-mRNA-1 protein AED_0.05 eAED_0.08 QI_0|0|0|1|1|1|2|0|135, Schmidtea_mediterranea_maker-scaffold17765-snap-gene-0.7-mRNA-1 maker-scaffold17765-snap-gene-0.7-mRNA-1 protein AED_0.08 eAED_0.08 QI_46|0.92|0.89|0.96|0.96|0.96|29|0|1699, Schmidtea_mediterranea_maker-scaffold7038-augustus-gene-0.53-mRNA-1 maker-scaffold7038-augustus-gene-0.53-mRNA-1 protein AED_0.08 eAED_0.08 QI_168|0.93|0.86|1|1|1|30|0|2199, Schmidtea_mediterranea_maker-scaffold1323-snap-gene-0.42-mRNA-1 maker-scaffold1323-snap-gene-0.42-mRNA-1 protein AED_0.11 eAED_0.13 QI_0|0.91|0.88|1|0.88|0.94|36|391|2129, Schmidtea_mediterranea_maker-scaffold32825-augustus-gene-0.19-mRNA-1 maker-scaffold32825-augustus-gene-0.19-mRNA-1 protein AED_0.05 eAED_0.05 QI_61|0.92|0.96|0.96|0.96|0.96|27|28|1813	Mus_musculus_sp_P02463_CO4A1_MOUSE sp_P02463_CO4A1_MOUSE Collagen alpha-1_IV_ chain OS=Mus musculus OX=10090 GN=Col4a1 PE=1 SV=4, Mus_musculus_sp_Q9QZS0_CO4A3_MOUSE sp_Q9QZS0_CO4A3_MOUSE Collagen alpha-3_IV_ chain OS=Mus musculus OX=10090 GN=Col4a3 PE=1 SV=2, Mus_musculus_sp_P08122_CO4A2_MOUSE sp_P08122_CO4A2_MOUSE Collagen alpha-2_IV_ chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4, Mus_musculus_sp_Q9QZR9_CO4A4_MOUSE sp_Q9QZR9_CO4A4_MOUSE Collagen alpha-4_IV_ chain OS=Mus musculus OX=10090 GN=Col4a4 PE=1 SV=1
OG0000030	Schmidtea_mediterranea_maker-scaffold6061-augustus-gene-1.43-mRNA-1 maker-scaffold6061-augustus-gene-1.43-mRNA-1 protein AED_0.27 eAED_0.28 QI_0|0.64|0.61|0.94|0.58|0.88|18|137|784	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3
OG0000030	Schmidtea_mediterranea_maker-scaffold4771-augustus-gene-0.17-mRNA-1 maker-scaffold4771-augustus-gene-0.17-mRNA-1 protein AED_0.15 eAED_0.19 QI_0|0|0|0.83|0.8|1|6|0|430	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2
OG0000040	Schmidtea_mediterranea_maker-scaffold2624-snap-gene-0.62-mRNA-1 maker-scaffold2624-snap-gene-0.62-mRNA-1 protein AED_0.00 eAED_0.00 QI_163|1|1|1|1|1|3|260|253	Mus_musculus_sp_Q8BJ66_KAZD1_MOUSE sp_Q8BJ66_KAZD1_MOUSE Kazal-type serine protease inhibitor domain-containing protein 1 OS=Mus musculus OX=10090 GN=Kazald1 PE=1 SV=2, Mus_musculus_sp_Q80W15_IBPL1_MOUSE sp_Q80W15_IBPL1_MOUSE Insulin-like growth factor-binding protein-like 1 OS=Mus musculus OX=10090 GN=Igfbpl1 PE=2 SV=1, Mus_musculus_sp_Q61581_IBP7_MOUSE sp_Q61581_IBP7_MOUSE Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3
OG0000041	Schmidtea_mediterranea_snap_masked-scaffold19108-processed-gene-0.1-mRNA-1 snap_masked-scaffold19108-processed-gene-0.1-mRNA-1 protein AED_0.91 eAED_0.96 QI_0|0|0|0.41|1|1|12|0|406	Mus_musculus_sp_Q99KC8_VMA5A_MOUSE sp_Q99KC8_VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2, Mus_musculus_sp_A9Z1V5_VW5B1_MOUSE sp_A9Z1V5_VW5B1_MOUSE von Willebrand factor A domain-containing protein 5B1 OS=Mus musculus OX=10090 GN=Vwa5b1 PE=2 SV=1
OG0000045	Schmidtea_mediterranea_maker-scaffold2580-snap-gene-1.69-mRNA-1 maker-scaffold2580-snap-gene-1.69-mRNA-1 protein AED_0.06 eAED_0.08 QI_112|0.76|0.75|0.96|0.48|0.73|53|0|2966	Mus_musculus_sp_P19137_LAMA1_MOUSE sp_P19137_LAMA1_MOUSE Laminin subunit alpha-1 OS=Mus musculus OX=10090 GN=Lama1 PE=1 SV=2, Mus_musculus_sp_Q60675_LAMA2_MOUSE sp_Q60675_LAMA2_MOUSE Laminin subunit alpha-2 OS=Mus musculus OX=10090 GN=Lama2 PE=1 SV=2
