protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
26	NV2t001841001.1	NV2t001841001.1	NV2t001841001.1	72576.0	5.74011	0.00982981	29	29	1	1	0	1	1	126	1.60652e+06	2.63427e+06	1.7646e+06	1.85062e+07	1.4043e+07	1.57513e+07	2.00798e+07	1.46012e+07	2.66119e+07	0.0	1.0	1.63974	1.0984	11.5194	8.74125	9.80461	12.499	9.08872	16.565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	NV2t017721001.1	NV2t017721001.1	NV2t017721001.1	130640.0	6.5982	0.0	69	953	24	22	4	20	20	126	6.68436e+07	9.24055e+07	4.90658e+07	1.72717e+08	1.52195e+08	1.90559e+08	1.83953e+09	1.61459e+09	1.23013e+09	264097.0	1.0	1.38067	0.735767	2.56625	2.29028	2.86873	27.3752	24.1257	18.3757	0.0037682	0.0	0.321169	0.163284	1.31725	0.755888	1.08014	13.2736	13.2118	10.5386	0.0129961
28	NV2t012721001.1	NV2t012721001.1	NV2t012721001.1	28988.7	6.68425	0.0	67	342	9	6	3	6	6	126	2.52862e+07	4.80103e+07	3.24066e+07	1.22884e+08	1.29095e+08	2.03123e+08	4.41731e+08	2.39885e+08	5.31987e+08	2.63745e+06	1.0	1.90199	1.28159	4.85972	5.10392	8.04449	17.0991	9.2935	20.6298	0.102385	0.0	0.608082	0.323171	0.980408	0.829707	2.30214	22.5601	13.1094	25.7427	0.389654
29	NV2t003415001.1|NV2t003415002.1	NV2t003415001.1|NV2t003415002.1	NV2t003415001.1|NV2t003415002.1	285017.0|458910.0	5.78716	0.000174764	48	181	9	5	6	3	3	126	5.93778e+06	5.06853e+06	6.1581e+06	5.07278e+07	4.0113e+07	6.23468e+07	7.92882e+07	5.70263e+07	8.20189e+07	408439.0	1.0	0.853607	1.0371	8.54323	6.75557	10.5	13.3532	9.60398	13.8131	0.0687864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	NV2t004447001.1	NV2t004447001.1	NV2t004447001.1	48349.8	6.31739	0.0	66	176	4	4	0	4	4	126	3.34591e+06	3.83086e+06	3.32105e+06	8.96071e+06	7.46695e+06	9.34453e+06	3.7638e+08	2.3247e+08	3.30498e+08	169160.0	1.0	1.14494	0.992569	2.67811	2.23167	2.79282	112.49	69.4789	98.7766	0.0505572	0.0	1.25379	0.350222	3.11216	3.27882	5.75948	163.875	96.8121	141.123	0.270416
31	NV2t011803001.1|NV2t011803002.1	NV2t011803001.1|NV2t011803002.1	NV2t011803001.1|NV2t011803002.1	19812.1|29262.3	6.97483	0.0	84	444	9	8	0	9	8	126	1.45118e+07	1.37123e+07	1.75756e+07	4.58978e+07	4.16045e+07	3.69257e+07	7.4115e+08	5.70607e+08	1.08969e+09	1.43054e+06	1.0	0.937959	1.20645	3.11544	2.84597	2.51643	50.8538	39.4074	74.2667	0.0948475	0.0	0.87294	0.560166	3.25635	2.43527	2.20487	63.1133	45.8158	90.0463	0.343269
32	NV2t020656001.1	NV2t020656001.1	NV2t020656001.1	67892.6	6.46837	0.0	96	427	7	7	1	6	6	126	8.02666e+06	9.80662e+06	9.41317e+06	1.57601e+07	1.75931e+07	1.55294e+07	4.32484e+08	2.55367e+08	3.77147e+08	0.0	1.0	1.21988	1.17667	1.98181	2.20131	1.94372	53.9013	31.8149	47.0433	0.0	0.0	0.635863	0.313246	1.10128	1.02459	1.07865	59.9888	36.8854	49.7501	0.0
33	NV2t000740001.1	NV2t000740001.1	NV2t000740001.1	43425.6	6.06489	0.0	64	64	1	1	0	1	1	126	1.63172e+06	1.29354e+06	857385.0	8.81342e+06	9.57712e+06	1.43027e+07	4.57778e+07	2.53972e+07	2.54178e+07	0.0	1.0	0.792749	0.525448	5.4013	5.86934	8.76543	28.0549	15.5646	15.5773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	NV2t011318001.1|NV2t011318002.1	NV2t011318001.1|NV2t011318002.1	NV2t011318001.1|NV2t011318002.1	72752.4|72752.4	7.19025	0.0	104	1014	21	16	4	17	15	126	2.15915e+07	2.27212e+07	2.06721e+07	6.45731e+07	6.20205e+07	7.34664e+07	1.91276e+09	1.9614e+09	2.24368e+09	2.48041e+06	1.0	1.04997	0.958946	2.98624	2.87205	3.21029	86.1731	90.6319	102.367	0.109896	0.0	0.632851	0.600401	2.25867	2.36282	6.23275	103.554	97.6686	119.636	0.429183
35	NV2t004542002.1	NV2t004542002.1	NV2t004542002.1	38190.4	7.12021	0.0	86	180	9	3	2	6	3	126	1.64514e+07	3.97375e+07	1.30436e+07	4.70077e+07	4.30418e+07	5.19518e+07	5.786e+08	3.53005e+08	6.07838e+08	1.32143e+06	1.0	2.40562	0.794276	2.89536	2.63109	3.20353	35.1703	21.4574	36.5565	0.0783203	0.0	2.15854	0.319783	2.55909	1.96204	1.86921	76.2169	37.7695	63.4107	0.124138
36	NV2t020021001.1	NV2t020021001.1	NV2t020021001.1	46179.3	7.50658	0.0	61	231	10	5	3	7	4	126	2.49116e+07	3.98986e+07	3.0971e+07	1.46623e+08	1.16733e+08	1.66481e+08	7.77657e+08	4.07576e+08	6.18686e+08	0.0	1.0	1.59433	1.24485	5.86228	4.73615	6.67019	30.7728	16.1529	24.6479	0.0	0.0	0.745495	0.467241	4.0266	3.60306	2.52581	68.6359	26.7897	50.3035	0.0
37	NV2t014122001.1|NV2t014122002.1|NV2t014122003.1	NV2t014122001.1|NV2t014122002.1|NV2t014122003.1	NV2t014122001.1|NV2t014122002.1|NV2t014122003.1	107759.0|108829.0|105420.0	6.32275	0.00338826	35	67	2	2	1	1	1	126	4.18372e+06	7.61062e+06	5.26097e+06	8.05424e+06	9.5418e+06	9.75723e+06	4.64652e+07	3.49987e+07	7.65684e+07	0.0	1.0	1.8191	1.25749	1.92514	2.2807	2.33219	11.1062	8.36545	18.3015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	NV2t000353001.1	NV2t000353001.1	NV2t000353001.1	340081.0	6.40987	0.0	92	265	7	4	3	4	4	126	5.56914e+06	1.26847e+07	7.54349e+06	2.5647e+07	1.79624e+07	1.80902e+07	2.91299e+08	2.15248e+08	2.82252e+08	18584.2	1.0	2.27767	1.35452	4.6052	3.22534	3.24829	52.306	38.6502	50.6814	0.00333701	0.0	0.0	0.0	41.1629	29.1416	30.6054	452.211	330.393	439.47	0.0
39	NV2t013183001.1	NV2t013183001.1	NV2t013183001.1	147600.0	6.93443	0.0	83	277	5	5	1	4	4	126	5.90349e+06	1.05926e+07	5.05775e+06	6.94668e+07	5.80707e+07	9.83685e+07	3.78259e+08	2.52848e+08	4.52885e+08	0.0	1.0	1.79429	0.856739	11.7671	9.83668	16.6628	64.0738	42.8302	76.7148	0.0	0.0	1.19779	0.961741	4.8725	3.96967	23.1906	174.305	121.321	226.323	0.0
40	NV2t006463001.1|NV2t006463002.1	NV2t006463001.1|NV2t006463002.1	NV2t006463001.1|NV2t006463002.1	24556.6|32233.4	6.14847	0.00338826	35	35	1	1	0	1	1	126	519157.0	434004.0	790481.0	783851.0	720266.0	1.32307e+06	1.47576e+07	1.41276e+07	1.96702e+07	0.0	1.0	0.835977	1.52262	1.50985	1.38737	2.5485	28.4262	27.2126	37.8887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	NV2t003804001.1	NV2t003804001.1	NV2t003804001.1	77538.9	7.96306	0.0	105	1417	44	24	7	37	23	126	4.04103e+08	9.72471e+08	3.31827e+08	1.15124e+09	1.44473e+09	2.01852e+09	6.76145e+09	4.22142e+09	6.30772e+09	6.2513e+06	1.0	2.39941	0.834125	2.84827	3.58299	4.99837	16.4974	10.2326	15.3385	0.0151302	0.0	2.10007	0.551013	1.54189	1.93052	2.73588	17.6846	11.9799	16.4878	0.0280414
42	NV2t011222002.1	NV2t011222002.1	NV2t011222002.1	52812.7	5.27875	0.00338826	35	61	2	1	2	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	NV2t017081001.1|NV2t017081002.1|NV2t017081003.1	NV2t017081001.1|NV2t017081002.1|NV2t017081003.1	NV2t017081001.1|NV2t017081002.1|NV2t017081003.1	128452.0|128452.0|82453.6	6.98474	0.00745601	31	58	2	1	2	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	NV2t020951001.1	NV2t020951001.1	NV2t020951001.1	32359.9	6.43967	0.00173831	38	95	3	3	0	3	3	126	7.93654e+06	7.50087e+06	5.10876e+06	1.62826e+07	1.15268e+07	1.3944e+07	3.07425e+08	1.62524e+08	2.3512e+08	0.0	1.0	0.945106	0.643702	2.0516	1.45238	1.75693	38.7354	20.478	29.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	NV2t009497001.1|NV2t009497002.1|NV2t009497003.1	NV2t009497001.1|NV2t009497002.1|NV2t009497003.1	NV2t009497001.1|NV2t009497002.1|NV2t009497003.1	32592.2|32663.3|32663.3	6.76144	0.0112409	28	28	1	1	0	1	1	126	3.43794e+06	1.33545e+07	3.70159e+06	5.87566e+07	4.09392e+07	6.76828e+07	3.69169e+07	5.33825e+07	5.19879e+07	245827.0	1.0	3.88443	1.07669	17.0906	11.908	19.687	10.7381	15.5274	15.1218	0.0715041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	NV2t007094001.1	NV2t007094001.1	NV2t007094001.1	43816.4	6.21229	0.000506586	45	45	1	1	0	1	1	126	1.13032e+06	1.5505e+06	1.37338e+06	3.38157e+06	3.507e+06	5.3199e+06	3.91206e+07	2.67445e+07	3.33441e+07	0.0	1.0	1.37173	1.21504	2.99169	3.10266	4.70654	34.6102	23.661	29.4997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	NV2t014867001.1	NV2t014867001.1	NV2t014867001.1	145574.0	6.35421	0.0	95	368	6	6	0	6	6	126	9.88866e+06	1.10696e+07	1.06155e+07	2.91326e+07	2.41892e+07	3.01008e+07	3.29829e+08	2.36086e+08	3.23818e+08	219538.0	1.0	1.13094	1.08348	2.97848	2.46085	3.0498	33.0817	23.8759	32.5432	0.0211908	0.0	0.859343	0.729426	2.66519	2.23432	2.30223	56.4438	37.5697	48.6439	0.0721808
48	NV2t010218007.1	NV2t010218007.1	NV2t010218007.1	95036.1	7.21983	0.0	70	1419	51	7	43	7	6	126	3.70338e+07	5.41913e+07	3.0665e+07	6.25538e+07	6.0668e+07	5.78248e+07	1.18392e+09	1.01206e+09	1.26559e+09	0.0	1.0	1.47046	0.828383	1.68535	1.63818	1.58096	31.5865	26.775	33.671	0.0	0.0	0.577792	0.299554	0.681165	0.651081	4.17263	83.5208	80.1154	84.3626	0.0
49	NV2t011226002.1	NV2t011226002.1	NV2t011226002.1	102059.0	6.37985	0.0	106	534	11	8	3	8	8	126	1.35665e+07	1.21096e+07	1.19347e+07	3.27869e+07	3.11081e+07	2.96675e+07	6.18684e+08	5.61358e+08	6.58752e+08	574324.0	1.0	0.910419	0.883646	2.45827	2.31812	2.21123	46.7678	42.3886	50.3977	0.0423265	0.0	1.59156	1.75099	6.97082	6.35363	7.24205	109.777	87.4793	114.31	0.150754
50	###REV######REV###NV2t008048001.1	###REV###NV2t008048001.1 Reverse sequence, was 	###REV######REV###NV2t008048001.1	6416.45	8.33522	0.00887968	30	30	3	1	1	2	1	126	4.51164e+06	3.82985e+06	4.64678e+06	3.2311e+07	2.56678e+07	2.17503e+07	3.85666e+08	2.48838e+08	3.05081e+08	0.0	1.0	0.848882	1.02995	7.16169	5.68923	4.82093	85.4823	55.1545	67.6208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	NV2t001601001.1	NV2t001601001.1	NV2t001601001.1	52145.5	6.22777	0.000496853	43	43	1	1	0	1	1	126	3.7673e+06	3.35368e+06	4.06368e+06	5.12903e+06	9.52151e+06	5.72953e+06	2.26586e+07	2.26815e+07	1.71076e+07	185045.0	1.0	0.890206	1.07867	1.36146	2.52741	1.52086	6.01454	6.02061	4.54107	0.0491187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	NV2t005710001.1|NV2t005710002.1	NV2t005710001.1|NV2t005710002.1	NV2t005710001.1|NV2t005710002.1	50160.4|56206.9	6.34872	0.0	62	208	5	5	0	5	5	126	1.94232e+07	3.57224e+07	1.87208e+07	4.55668e+07	2.79322e+07	3.43777e+07	3.88401e+08	2.73386e+08	3.67425e+08	3.65413e+06	1.0	1.85132	0.963839	2.34706	1.44088	1.76993	19.9968	14.0752	18.9168	0.188132	0.0	0.96573	0.537621	0.952863	0.238887	0.288926	18.5962	17.437	19.7836	0.552875
53	NV2t021241001.1	NV2t021241001.1	NV2t021241001.1	79942.7	7.40499	0.0	147	1665	59	26	19	37	23	126	1.51929e+08	1.93648e+08	1.46518e+08	3.36879e+08	3.60432e+08	3.4838e+08	3.97418e+09	2.63129e+09	3.32154e+09	1.57159e+06	1.0	1.30969	0.981751	2.29418	2.46548	2.36921	27.3796	17.8143	22.5534	0.00977971	0.0	2.21284	1.70333	3.5263	4.23178	3.94626	38.752	25.7655	33.0911	0.0350275
54	NV2t016248001.1|NV2t016248002.1|NV2t016253001.1	NV2t016248001.1|NV2t016248002.1|NV2t016253001.1	NV2t016248001.1|NV2t016248002.1|NV2t016253001.1	99710.4|99710.4|100083.0	6.39998	0.0	159	649	13	9	5	8	8	126	1.53013e+07	2.19676e+07	1.39861e+07	8.5502e+07	8.39278e+07	9.5169e+07	3.86099e+08	2.77343e+08	3.89167e+08	588791.0	1.0	1.43135	0.914468	5.58346	5.48522	6.21113	25.2762	18.204	25.572	0.0372234	0.0	0.39342	0.370688	1.61659	1.48076	1.26381	8.5409	6.70014	10.4521	0.156793
