	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Cnidaria_Anthozoa_Porites_asteroides	9.0	38.0	91.0	84.0	103.0	66.0	48.0	43.0	41.0	43.0	58.0	69.0	69.0	0.0	45.0	55.0	45.0	54.0	44.0	4.0	68.0	68.0	56.0	31.0	49.0	25.0	16.0	30.0	29.0	28.0	23.0	54.0
Cnidaria_Anthozoa_Stylophora_pistillata	21.0	31.0	403.0	425.0	395.0	153.0	113.0	122.0	114.0	101.0	303.0	335.0	265.0	49.0	0.0	187.0	131.0	133.0	110.0	8.0	185.0	194.0	96.0	53.0	102.0	73.0	40.0	117.0	117.0	52.0	138.0	202.0
Cnidaria_Anthozoa_Xenia_spec	16.0	28.0	158.0	143.0	162.0	54.0	44.0	50.0	35.0	42.0	147.0	181.0	163.0	59.0	135.0	0.0	93.0	67.0	61.0	10.0	58.0	101.0	56.0	52.0	44.0	33.0	23.0	45.0	39.0	27.0	115.0	67.0
Cnidaria_Cubozoa_Morbakka_virulenta	20.0	26.0	159.0	172.0	176.0	76.0	73.0	92.0	63.0	68.0	103.0	204.0	190.0	52.0	108.0	83.0	0.0	95.0	116.0	11.0	86.0	227.0	92.0	46.0	77.0	41.0	50.0	44.0	49.0	42.0	75.0	74.0
Cnidaria_Hydrozoa_Clytia_hemispherica	14.0	34.0	113.0	117.0	105.0	65.0	64.0	79.0	60.0	57.0	104.0	124.0	112.0	61.0	111.0	55.0	89.0	0.0	93.0	5.0	142.0	102.0	62.0	34.0	75.0	30.0	50.0	38.0	38.0	34.0	67.0	63.0
Cnidaria_Hydrozoa_Hydra_vulgaris	19.0	32.0	112.0	117.0	136.0	57.0	42.0	52.0	34.0	45.0	116.0	143.0	119.0	63.0	101.0	51.0	140.0	143.0	0.0	4.0	107.0	149.0	49.0	24.0	39.0	31.0	51.0	42.0	42.0	34.0	64.0	51.0
Cnidaria_Myxozoa_Thelohanellus_kitauei	0.0	0.0	12.0	12.0	12.0	89.0	87.0	89.0	87.0	87.0	16.0	16.0	16.0	12.0	16.0	6.0	87.0	6.0	2.0	0.0	79.0	89.0	85.0	89.0	89.0	16.0	10.0	12.0	2.0	0.0	6.0	6.0
Cnidaria_Scyphozoa_Aurelia_aurita	14.0	43.0	99.0	155.0	149.0	80.0	65.0	89.0	57.0	65.0	101.0	138.0	141.0	69.0	114.0	75.0	103.0	128.0	101.0	12.0	0.0	113.0	81.0	32.0	64.0	47.0	48.0	52.0	50.0	29.0	58.0	57.0
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	20.0	61.0	259.0	295.0	319.0	169.0	140.0	130.0	134.0	120.0	190.0	287.0	283.0	87.0	150.0	112.0	287.0	126.0	181.0	17.0	149.0	0.0	132.0	85.0	117.0	105.0	48.0	53.0	49.0	48.0	104.0	98.0
Ctenophora_Nuda_Beroe_ovata	17.0	29.0	110.0	117.0	153.0	55.0	52.0	49.0	48.0	50.0	63.0	80.0	69.0	40.0	67.0	53.0	85.0	60.0	57.0	8.0	55.0	102.0	0.0	63.0	138.0	40.0	19.0	59.0	52.0	59.0	78.0	36.0
Ctenophora_Tentaculata_Mnemiopsis_leidyi	11.0	23.0	83.0	97.0	98.0	37.0	28.0	31.0	32.0	28.0	57.0	59.0	42.0	14.0	42.0	39.0	53.0	31.0	32.0	11.0	23.0	60.0	54.0	0.0	65.0	24.0	10.0	50.0	41.0	48.0	42.0	45.0
Ctenophora_Tentaculata_Pleurobrachia_bachei	12.0	33.0	130.0	137.0	155.0	76.0	63.0	65.0	54.0	59.0	89.0	81.0	71.0	32.0	71.0	55.0	87.0	71.0	70.0	15.0	43.0	93.0	132.0	75.0	0.0	51.0	48.0	55.0	37.0	57.0	66.0	59.0
Insecta_Diptera_Drosophila_melanogaster	10.0	22.0	181.0	193.0	160.0	195.0	185.0	167.0	161.0	160.0	85.0	103.0	127.0	70.0	79.0	50.0	95.0	60.0	77.0	13.0	52.0	119.0	54.0	36.0	55.0	0.0	55.0	72.0	68.0	36.0	66.0	20.0
Nematoda_Chromadorea_Caenorhabditis_elegans	0.0	2.0	58.0	83.0	72.0	28.0	26.0	24.0	23.0	24.0	33.0	41.0	27.0	31.0	35.0	23.0	23.0	58.0	34.0	4.0	24.0	29.0	33.0	20.0	41.0	19.0	0.0	22.0	22.0	19.0	34.0	22.0
Placozoa_Trichoplacidae_Trichoplax_spec-H2	8.0	15.0	63.0	81.0	88.0	37.0	17.0	19.0	13.0	11.0	89.0	83.0	104.0	32.0	98.0	61.0	37.0	29.0	24.0	6.0	65.0	64.0	44.0	27.0	24.0	20.0	11.0	0.0	5.0	28.0	42.0	54.0
Placozoa_Trichoplacidae_Tricoplax_adhaerens	8.0	16.0	53.0	52.0	61.0	24.0	18.0	20.0	13.0	11.0	73.0	72.0	82.0	27.0	63.0	58.0	42.0	31.0	26.0	4.0	60.0	55.0	39.0	23.0	20.0	20.0	10.0	7.0	0.0	22.0	41.0	36.0
Platyhelminthes_Tricladida_Schmidtea_mediterranea	7.0	32.0	70.0	68.0	78.0	22.0	27.0	20.0	29.0	29.0	54.0	32.0	49.0	42.0	36.0	27.0	29.0	43.0	41.0	0.0	38.0	46.0	52.0	30.0	64.0	36.0	13.0	22.0	22.0	0.0	34.0	28.0
Porifera_Demospongiae_Amphimedon_queenslandica	15.0	29.0	183.0	177.0	180.0	112.0	51.0	77.0	102.0	48.0	107.0	114.0	117.0	59.0	133.0	72.0	82.0	73.0	48.0	8.0	88.0	94.0	61.0	75.0	74.0	155.0	24.0	44.0	51.0	41.0	0.0	117.0
Porifera_Demospongiae_Ephydatia_muelleri	24.0	25.0	144.0	131.0	161.0	76.0	37.0	33.0	57.0	35.0	83.0	118.0	116.0	66.0	131.0	89.0	91.0	109.0	62.0	5.0	71.0	65.0	44.0	59.0	52.0	56.0	16.0	51.0	45.0	57.0	211.0	0.0
