	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Cnidaria_Anthozoa_Acropora_digitifera	49.0	53.0	122.0	115.0	124.0	137.0	138.0	44.0	52.0	77.0	0.0	210.0	192.0	327.0	313.0	177.0	183.0	200.0	107.0	38.0	246.0	127.0	77.0	111.0	86.0	27.0	127.0	67.0	84.0	64.0	143.0	66.0
Cnidaria_Anthozoa_Exaiptasia_diaphana	67.0	66.0	198.0	220.0	209.0	160.0	178.0	68.0	73.0	96.0	373.0	0.0	386.0	486.0	485.0	399.0	221.0	338.0	206.0	67.0	313.0	248.0	95.0	163.0	177.0	48.0	225.0	192.0	186.0	100.0	161.0	64.0
Cnidaria_Anthozoa_Nematostella_vectensis	71.0	99.0	214.0	209.0	186.0	81.0	106.0	50.0	74.0	90.0	460.0	456.0	0.0	484.0	559.0	405.0	247.0	356.0	215.0	54.0	305.0	305.0	84.0	179.0	170.0	45.0	174.0	200.0	184.0	93.0	183.0	89.0
Cnidaria_Anthozoa_Porites_asteroides	22.0	14.0	74.0	74.0	52.0	66.0	55.0	20.0	39.0	43.0	104.0	83.0	76.0	0.0	104.0	92.0	54.0	100.0	46.0	23.0	74.0	87.0	25.0	71.0	47.0	18.0	71.0	62.0	61.0	28.0	76.0	24.0
Cnidaria_Anthozoa_Stylophora_pistillata	60.0	57.0	128.0	137.0	126.0	147.0	158.0	35.0	56.0	91.0	285.0	231.0	210.0	434.0	0.0	215.0	136.0	195.0	90.0	35.0	241.0	115.0	100.0	157.0	99.0	39.0	120.0	100.0	84.0	69.0	181.0	69.0
Cnidaria_Anthozoa_Xenia_spec	51.0	61.0	69.0	77.0	43.0	77.0	77.0	20.0	50.0	60.0	97.0	143.0	79.0	189.0	182.0	0.0	103.0	88.0	86.0	12.0	109.0	120.0	59.0	84.0	123.0	16.0	57.0	56.0	59.0	71.0	61.0	42.0
Cnidaria_Cubozoa_Morbakka_virulenta	31.0	54.0	111.0	81.0	80.0	63.0	76.0	31.0	37.0	72.0	207.0	144.0	160.0	195.0	239.0	145.0	0.0	268.0	168.0	47.0	290.0	176.0	68.0	132.0	87.0	29.0	64.0	132.0	104.0	52.0	94.0	42.0
Cnidaria_Hydrozoa_Clytia_hemispherica	29.0	27.0	78.0	71.0	73.0	63.0	69.0	38.0	28.0	44.0	87.0	76.0	96.0	127.0	83.0	111.0	89.0	0.0	97.0	23.0	97.0	135.0	51.0	86.0	51.0	41.0	81.0	38.0	44.0	34.0	83.0	29.0
Cnidaria_Hydrozoa_Hydra_vulgaris	34.0	27.0	114.0	76.0	58.0	38.0	47.0	21.0	27.0	27.0	119.0	115.0	138.0	161.0	146.0	95.0	135.0	183.0	0.0	32.0	155.0	195.0	33.0	70.0	49.0	11.0	69.0	71.0	99.0	57.0	100.0	33.0
Cnidaria_Myxozoa_Thelohanellus_kitauei	10.0	10.0	73.0	0.0	73.0	0.0	5.0	0.0	5.0	5.0	3.0	0.0	0.0	79.0	0.0	0.0	4.0	10.0	17.0	0.0	10.0	0.0	4.0	0.0	0.0	93.0	2.0	2.0	12.0	5.0	0.0	10.0
Cnidaria_Scyphozoa_Aurelia_aurita	42.0	54.0	121.0	72.0	70.0	51.0	71.0	18.0	27.0	55.0	124.0	103.0	111.0	159.0	127.0	139.0	131.0	132.0	86.0	25.0	0.0	187.0	64.0	94.0	68.0	33.0	90.0	55.0	40.0	47.0	70.0	35.0
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	78.0	99.0	250.0	201.0	164.0	97.0	94.0	68.0	77.0	93.0	289.0	260.0	267.0	333.0	394.0	267.0	322.0	371.0	257.0	58.0	363.0	0.0	99.0	148.0	135.0	66.0	173.0	215.0	184.0	114.0	168.0	98.0
Ctenophora_Nuda_Beroe_ovata	48.0	69.0	93.0	97.0	49.0	49.0	51.0	39.0	56.0	25.0	92.0	73.0	89.0	112.0	110.0	113.0	91.0	89.0	108.0	26.0	93.0	99.0	0.0	280.0	215.0	41.0	65.0	63.0	68.0	54.0	67.0	90.0
Ctenophora_Tentaculata_Mnemiopsis_leidyi	24.0	30.0	42.0	50.0	32.0	22.0	35.0	26.0	31.0	13.0	33.0	30.0	61.0	75.0	44.0	48.0	28.0	32.0	68.0	7.0	63.0	52.0	82.0	0.0	86.0	33.0	31.0	23.0	32.0	32.0	42.0	69.0
Ctenophora_Tentaculata_Pleurobrachia_bachei	38.0	60.0	206.0	108.0	62.0	62.0	43.0	30.0	49.0	18.0	86.0	73.0	98.0	155.0	95.0	90.0	62.0	56.0	83.0	10.0	126.0	89.0	144.0	248.0	0.0	32.0	43.0	54.0	72.0	54.0	68.0	94.0
Insecta_Diptera_Drosophila_melanogaster	33.0	25.0	93.0	54.0	86.0	44.0	33.0	43.0	56.0	64.0	153.0	120.0	115.0	116.0	130.0	96.0	83.0	108.0	49.0	40.0	89.0	72.0	24.0	35.0	41.0	0.0	194.0	100.0	119.0	54.0	27.0	29.0
Nematoda_Chromadorea_Caenorhabditis_elegans	10.0	10.0	11.0	12.0	19.0	21.0	20.0	6.0	7.0	13.0	10.0	8.0	13.0	14.0	14.0	14.0	9.0	9.0	6.0	7.0	36.0	11.0	24.0	44.0	32.0	8.0	0.0	28.0	17.0	10.0	12.0	9.0
Placozoa_Trichoplacidae_Trichoplax_spec-H2	24.0	17.0	48.0	53.0	40.0	39.0	28.0	2.0	6.0	27.0	36.0	24.0	23.0	96.0	40.0	42.0	34.0	42.0	36.0	21.0	32.0	42.0	33.0	39.0	50.0	0.0	28.0	0.0	83.0	16.0	38.0	29.0
Placozoa_Trichoplacidae_Tricoplax_adhaerens	16.0	23.0	39.0	58.0	31.0	36.0	34.0	4.0	10.0	30.0	20.0	27.0	27.0	74.0	48.0	25.0	41.0	36.0	26.0	17.0	38.0	59.0	23.0	40.0	44.0	0.0	20.0	36.0	0.0	19.0	34.0	16.0
Platyhelminthes_Tricladida_Schmidtea_mediterranea	33.0	19.0	24.0	28.0	20.0	17.0	25.0	24.0	17.0	6.0	26.0	43.0	22.0	44.0	49.0	67.0	53.0	33.0	24.0	17.0	43.0	50.0	25.0	45.0	31.0	8.0	22.0	28.0	28.0	0.0	38.0	27.0
Porifera_Demospongiae_Amphimedon_queenslandica	34.0	19.0	82.0	92.0	64.0	85.0	117.0	23.0	52.0	124.0	60.0	119.0	90.0	160.0	277.0	349.0	90.0	325.0	255.0	19.0	130.0	69.0	63.0	80.0	53.0	22.0	219.0	70.0	81.0	55.0	0.0	289.0
Porifera_Demospongiae_Ephydatia_muelleri	73.0	99.0	398.0	276.0	92.0	102.0	119.0	56.0	81.0	119.0	73.0	106.0	64.0	155.0	96.0	93.0	77.0	101.0	90.0	9.0	79.0	79.0	70.0	69.0	69.0	15.0	89.0	54.0	58.0	75.0	485.0	0.0
