	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Cnidaria_Anthozoa_Xenia_spec	4.0	8.0	70.0	82.0	88.0	32.0	30.0	26.0	26.0	26.0	47.0	77.0	89.0	32.0	46.0	0.0	58.0	31.0	33.0	0.0	44.0	84.0	33.0	13.0	24.0	20.0	5.0	11.0	10.0	14.0	26.0	23.0
Cnidaria_Cubozoa_Morbakka_virulenta	3.0	6.0	66.0	75.0	79.0	29.0	32.0	29.0	23.0	24.0	52.0	69.0	70.0	20.0	39.0	30.0	0.0	30.0	48.0	2.0	50.0	102.0	29.0	12.0	21.0	22.0	4.0	11.0	12.0	15.0	17.0	20.0
Cnidaria_Hydrozoa_Clytia_hemispherica	4.0	6.0	76.0	93.0	97.0	27.0	31.0	28.0	22.0	29.0	57.0	91.0	96.0	32.0	48.0	31.0	103.0	0.0	67.0	1.0	54.0	124.0	29.0	13.0	17.0	21.0	4.0	14.0	15.0	13.0	25.0	25.0
Cnidaria_Hydrozoa_Hydra_vulgaris	5.0	6.0	50.0	65.0	67.0	23.0	24.0	28.0	19.0	20.0	35.0	57.0	67.0	19.0	32.0	19.0	68.0	38.0	0.0	3.0	30.0	92.0	32.0	15.0	22.0	14.0	2.0	10.0	9.0	10.0	15.0	16.0
Cnidaria_Myxozoa_Thelohanellus_kitauei	1.0	2.0	4.0	6.0	6.0	2.0	2.0	2.0	2.0	2.0	6.0	7.0	6.0	5.0	3.0	2.0	5.0	4.0	5.0	0.0	4.0	8.0	5.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0
Cnidaria_Scyphozoa_Aurelia_aurita	7.0	11.0	75.0	81.0	85.0	29.0	34.0	37.0	28.0	30.0	61.0	93.0	89.0	20.0	52.0	27.0	106.0	33.0	48.0	1.0	0.0	113.0	26.0	12.0	28.0	19.0	6.0	14.0	15.0	14.0	20.0	22.0
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	7.0	11.0	50.0	66.0	73.0	26.0	26.0	26.0	21.0	25.0	41.0	67.0	75.0	27.0	36.0	21.0	66.0	37.0	50.0	0.0	56.0	0.0	31.0	10.0	20.0	12.0	4.0	17.0	18.0	17.0	18.0	16.0
Ctenophora_Nuda_Beroe_ovata	2.0	3.0	37.0	36.0	30.0	11.0	13.0	13.0	13.0	11.0	16.0	20.0	20.0	5.0	17.0	13.0	18.0	11.0	11.0	1.0	15.0	29.0	0.0	28.0	58.0	8.0	4.0	6.0	4.0	10.0	17.0	18.0
Ctenophora_Tentaculata_Mnemiopsis_leidyi	6.0	9.0	48.0	52.0	54.0	18.0	17.0	16.0	15.0	16.0	22.0	32.0	31.0	15.0	31.0	17.0	34.0	23.0	22.0	0.0	24.0	40.0	111.0	0.0	101.0	10.0	7.0	13.0	12.0	11.0	21.0	18.0
Ctenophora_Tentaculata_Pleurobrachia_bachei	4.0	6.0	43.0	50.0	48.0	13.0	15.0	15.0	15.0	13.0	16.0	33.0	27.0	10.0	23.0	13.0	28.0	13.0	16.0	0.0	20.0	41.0	77.0	31.0	0.0	8.0	5.0	14.0	14.0	10.0	18.0	18.0
Insecta_Diptera_Drosophila_melanogaster	3.0	2.0	18.0	18.0	20.0	13.0	17.0	15.0	16.0	15.0	9.0	11.0	13.0	4.0	8.0	5.0	10.0	9.0	4.0	3.0	8.0	16.0	6.0	2.0	4.0	0.0	3.0	0.0	0.0	3.0	4.0	4.0
Nematoda_Chromadorea_Caenorhabditis_elegans	5.0	8.0	33.0	37.0	41.0	38.0	30.0	30.0	25.0	30.0	20.0	23.0	27.0	10.0	15.0	14.0	19.0	13.0	16.0	1.0	15.0	28.0	19.0	8.0	13.0	33.0	0.0	6.0	5.0	8.0	11.0	8.0
Placozoa_Trichoplacidae_Trichoplax_spec-H2	3.0	5.0	45.0	61.0	66.0	22.0	20.0	20.0	17.0	18.0	17.0	45.0	43.0	15.0	18.0	15.0	42.0	13.0	25.0	1.0	19.0	54.0	24.0	9.0	20.0	17.0	4.0	0.0	16.0	7.0	18.0	14.0
Placozoa_Trichoplacidae_Tricoplax_adhaerens	4.0	8.0	42.0	55.0	62.0	20.0	21.0	22.0	18.0	18.0	19.0	47.0	43.0	14.0	17.0	13.0	34.0	14.0	27.0	2.0	15.0	47.0	25.0	11.0	22.0	18.0	5.0	30.0	0.0	7.0	21.0	15.0
Platyhelminthes_Tricladida_Schmidtea_mediterranea	3.0	5.0	35.0	40.0	45.0	22.0	20.0	19.0	17.0	20.0	16.0	24.0	23.0	10.0	16.0	9.0	18.0	14.0	17.0	2.0	14.0	35.0	19.0	9.0	16.0	14.0	4.0	5.0	6.0	0.0	10.0	11.0
Porifera_Demospongiae_Amphimedon_queenslandica	4.0	8.0	39.0	47.0	45.0	19.0	17.0	15.0	13.0	15.0	31.0	30.0	32.0	21.0	28.0	16.0	25.0	16.0	30.0	0.0	17.0	39.0	23.0	13.0	17.0	6.0	5.0	8.0	11.0	12.0	0.0	57.0
Porifera_Demospongiae_Ephydatia_muelleri	3.0	6.0	33.0	41.0	39.0	8.0	10.0	9.0	8.0	8.0	15.0	15.0	18.0	9.0	16.0	8.0	17.0	10.0	14.0	1.0	9.0	28.0	19.0	13.0	15.0	6.0	3.0	6.0	5.0	6.0	31.0	0.0
