Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Aurelia_aurita_Seg368.1 Seg368.1 transcript_id=Seg368.1_GoldUCD_mRNA.D3Y31 product="Nucleolar GTP-binding protein 2" protein_id=Seg368.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1
OG0000001	Aurelia_aurita_Seg234.2 Seg234.2 transcript_id=Seg234.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg234.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4371.3 Seg4371.3 transcript_id=Seg4371.3_GoldUCD_mRNA.D3Y31 product="Two-pore potassium channel 3" protein_id=Seg4371.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1226.1 Seg1226.1 transcript_id=Seg1226.1_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg1226.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t013521001.1 NV2t013521001.1, Nematostella_vectensis_NV2t000743001.1 NV2t000743001.1
OG0000001	Aurelia_aurita_Seg2178.5 Seg2178.5 transcript_id=Seg2178.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg2178.5_GoldUCD_D3Y31, Aurelia_aurita_Seg95.8 Seg95.8 transcript_id=Seg95.8_GoldUCD_mRNA.D3Y31 product="Potassium voltage-gated channel protein Shaker" protein_id=Seg95.8_GoldUCD_D3Y31	Nematostella_vectensis_NV2t010732001.1 NV2t010732001.1
OG0000001	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1
OG0000001	Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
OG0000001	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1
OG0000002	Aurelia_aurita_Seg1739.10 Seg1739.10 transcript_id=Seg1739.10_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg1739.10_GoldUCD_D3Y31	Nematostella_vectensis_NV2t015519002.1 NV2t015519002.1, Nematostella_vectensis_NV2t015519001.1 NV2t015519001.1
OG0000002	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000002	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31	Nematostella_vectensis_NV2t002146001.1 NV2t002146001.1
OG0000002	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1
OG0000002	Aurelia_aurita_Seg4492.1 Seg4492.1 transcript_id=Seg4492.1_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg4492.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t018541001.1 NV2t018541001.1
OG0000002	Aurelia_aurita_Seg3725.1 Seg3725.1 transcript_id=Seg3725.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3725.3 Seg3725.3 transcript_id=Seg3725.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.3_GoldUCD_D3Y31	Nematostella_vectensis_NV2t013920001.1 NV2t013920001.1, Nematostella_vectensis_NV2t019412001.1 NV2t019412001.1, Nematostella_vectensis_NV2t013919001.1 NV2t013919001.1, Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1
OG0000002	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1
OG0000003	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1
OG0000003	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1
OG0000003	Aurelia_aurita_Seg2343.5 Seg2343.5 transcript_id=Seg2343.5_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg2343.5_GoldUCD_D3Y31, Aurelia_aurita_Seg3108.1 Seg3108.1 transcript_id=Seg3108.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3108.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t006897002.1 NV2t006897002.1, Nematostella_vectensis_NV2t013189001.1 NV2t013189001.1, Nematostella_vectensis_NV2t013189002.1 NV2t013189002.1
OG0000003	Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1
OG0000003	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
OG0000003	Aurelia_aurita_Seg230.12 Seg230.12 transcript_id=Seg230.12_GoldUCD_mRNA.D3Y31 product="Golgi-associated plant pathogenesis-related protein 1" protein_id=Seg230.12_GoldUCD_D3Y31	Nematostella_vectensis_NV2t015872001.1 NV2t015872001.1
OG0000003	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t010392001.1 NV2t010392001.1, Nematostella_vectensis_NV2t010392002.1 NV2t010392002.1, Nematostella_vectensis_NV2t010392003.1 NV2t010392003.1, Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1, Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1
OG0000003	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1
OG0000003	Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1
OG0000003	Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t020944001.1 NV2t020944001.1, Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1
OG0000003	Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1
OG0000003	Aurelia_aurita_Seg689.1 Seg689.1 transcript_id=Seg689.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg689.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1
OG0000004	Aurelia_aurita_Seg5081.1 Seg5081.1 transcript_id=Seg5081.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5081.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t011509001.1 NV2t011509001.1, Nematostella_vectensis_NV2t011507001.1 NV2t011507001.1
OG0000004	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1
OG0000004	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31	Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1
OG0000004	Aurelia_aurita_Seg397.33 Seg397.33 transcript_id=Seg397.33_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg397.33_GoldUCD_D3Y31	Nematostella_vectensis_NV2t021936001.1 NV2t021936001.1, Nematostella_vectensis_NV2t008980001.1 NV2t008980001.1, Nematostella_vectensis_NV2t008406003.1 NV2t008406003.1, Nematostella_vectensis_NV2t008406002.1 NV2t008406002.1, Nematostella_vectensis_NV2t008406001.1 NV2t008406001.1
OG0000004	Aurelia_aurita_Seg656.1 Seg656.1 transcript_id=Seg656.1_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg656.1_GoldUCD_D3Y31	Nematostella_vectensis_NV2t008769001.1 NV2t008769001.1
OG0000004	Aurelia_aurita_Seg3985.4 Seg3985.4 transcript_id=Seg3985.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3985.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1706.3 Seg1706.3 transcript_id=Seg1706.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg1706.3_GoldUCD_D3Y31	Nematostella_vectensis_NV2t011512001.1 NV2t011512001.1
OG0000004	Aurelia_aurita_Seg1785.4 Seg1785.4 transcript_id=Seg1785.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1785.4_GoldUCD_D3Y31	Nematostella_vectensis_NV2t003227001.1 NV2t003227001.1
OG0000004	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1
OG0000004	Aurelia_aurita_Seg1797.2 Seg1797.2 transcript_id=Seg1797.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1797.2_GoldUCD_D3Y31	Nematostella_vectensis_NV2t004191001.1 NV2t004191001.1
