Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000003	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML056959a ML056959a
OG0000003	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31, Aurelia_aurita_Seg328.6 Seg328.6 transcript_id=Seg328.6_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg328.6_GoldUCD_D3Y31, Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg689.1 Seg689.1 transcript_id=Seg689.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg689.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000005	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a
OG0000005	Aurelia_aurita_Seg4825.1 Seg4825.1 transcript_id=Seg4825.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg4825.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML05712a ML05712a
OG0000005	Aurelia_aurita_Seg129.4 Seg129.4 transcript_id=Seg129.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg129.4_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML348710a ML348710a
OG0000006	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML002510a ML002510a, Mnemiopsis_leidyi_ML03095a ML03095a, Mnemiopsis_leidyi_ML05046a ML05046a, Mnemiopsis_leidyi_ML216318a ML216318a, Mnemiopsis_leidyi_ML141715a ML141715a, Mnemiopsis_leidyi_ML218836a ML218836a, Mnemiopsis_leidyi_ML234530a ML234530a, Mnemiopsis_leidyi_ML077215a ML077215a, Mnemiopsis_leidyi_ML077218a ML077218a, Mnemiopsis_leidyi_ML00406a ML00406a, Mnemiopsis_leidyi_ML33721a ML33721a, Mnemiopsis_leidyi_ML105420a ML105420a, Mnemiopsis_leidyi_ML105421a ML105421a, Mnemiopsis_leidyi_ML07118a ML07118a
OG0000007	Aurelia_aurita_Seg1789.9 Seg1789.9 transcript_id=Seg1789.9_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg1789.9_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML19192a ML19192a
OG0000008	Aurelia_aurita_Seg3969.1 Seg3969.1 transcript_id=Seg3969.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3969.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML09866a ML09866a
OG0000010	Aurelia_aurita_Seg114.11 Seg114.11 transcript_id=Seg114.11_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg114.11_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML010533a ML010533a
OG0000010	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3520.1 Seg3520.1 transcript_id=Seg3520.1_GoldUCD_mRNA.D3Y31 product=Pikachurin protein_id=Seg3520.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31, Aurelia_aurita_Seg5994.1 Seg5994.1 transcript_id=Seg5994.1_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg5994.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000013	Aurelia_aurita_Seg3175.2 Seg3175.2 transcript_id=Seg3175.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-5a" protein_id=Seg3175.2_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML07528a ML07528a
OG0000015	Aurelia_aurita_Seg2149.3 Seg2149.3 transcript_id=Seg2149.3_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2149.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3316.2 Seg3316.2 transcript_id=Seg3316.2_GoldUCD_mRNA.D3Y31 product="Oncoprotein-induced transcript 3 protein" protein_id=Seg3316.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2133.4 Seg2133.4 transcript_id=Seg2133.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2133.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1962.3 Seg1962.3 transcript_id=Seg1962.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1962.3_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	Aurelia_aurita_Seg4163.1 Seg4163.1 transcript_id=Seg4163.1_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg4163.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3662.4 Seg3662.4 transcript_id=Seg3662.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3662.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3222.1 Seg3222.1 transcript_id=Seg3222.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3222.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2118.4 Seg2118.4 transcript_id=Seg2118.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2118.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1079.7 Seg1079.7 transcript_id=Seg1079.7_GoldUCD_mRNA.D3Y31 product="E3 ubiquitin-protein ligase ZSWIM2" protein_id=Seg1079.7_GoldUCD_D3Y31, Aurelia_aurita_Seg695.1 Seg695.1 transcript_id=Seg695.1_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg695.1_GoldUCD_D3Y31, Aurelia_aurita_Seg61.6 Seg61.6 transcript_id=Seg61.6_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg61.6_GoldUCD_D3Y31, Aurelia_aurita_Seg3270.2 Seg3270.2 transcript_id=Seg3270.2_GoldUCD_mRNA.D3Y31 product="CUB and zona pellucida-like domain-containing protein 1" protein_id=Seg3270.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg843.3 Seg843.3 transcript_id=Seg843.3_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg843.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2333.6 Seg2333.6 transcript_id=Seg2333.6_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2333.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1221.2 Seg1221.2 transcript_id=Seg1221.2_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg1221.2_GoldUCD_D3Y31, Aurelia_aurita_Seg961.1 Seg961.1 transcript_id=Seg961.1_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg961.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2759.1 Seg2759.1 transcript_id=Seg2759.1_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg2759.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1354.16 Seg1354.16 transcript_id=Seg1354.16_GoldUCD_mRNA.D3Y31 product=Uromodulin protein_id=Seg1354.16_GoldUCD_D3Y31, Aurelia_aurita_Seg207.8 Seg207.8 transcript_id=Seg207.8_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg207.8_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Aurelia_aurita_Seg6389.1 Seg6389.1 transcript_id=Seg6389.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-17" protein_id=Seg6389.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg708.15 Seg708.15 transcript_id=Seg708.15_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-25" protein_id=Seg708.15_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000016	Aurelia_aurita_Seg5044.4 Seg5044.4 transcript_id=Seg5044.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5044.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5044.5 Seg5044.5 transcript_id=Seg5044.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5044.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1669.1 Seg1669.1 transcript_id=Seg1669.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-16" protein_id=Seg1669.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML22971a ML22971a
OG0000017	Aurelia_aurita_Seg1738.13 Seg1738.13 transcript_id=Seg1738.13_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg1738.13_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.2 Seg2208.2 transcript_id=Seg2208.2_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg2208.2_GoldUCD_D3Y31, Aurelia_aurita_Seg659.5 Seg659.5 transcript_id=Seg659.5_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg659.5_GoldUCD_D3Y31, Aurelia_aurita_Seg453.9 Seg453.9 transcript_id=Seg453.9_GoldUCD_mRNA.D3Y31 product="Serpin B10" protein_id=Seg453.9_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML04477a ML04477a, Mnemiopsis_leidyi_ML025013a ML025013a, Mnemiopsis_leidyi_ML005334a ML005334a, Mnemiopsis_leidyi_ML098613a ML098613a, Mnemiopsis_leidyi_ML098614a ML098614a
OG0000017	Aurelia_aurita_Seg932.11 Seg932.11 transcript_id=Seg932.11_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg932.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1617.8 Seg1617.8 transcript_id=Seg1617.8_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg1617.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.5 Seg2092.5 transcript_id=Seg2092.5_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg2092.5_GoldUCD_D3Y31, Aurelia_aurita_Seg910.11 Seg910.11 transcript_id=Seg910.11_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg910.11_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.8 Seg2092.8 transcript_id=Seg2092.8_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg2092.8_GoldUCD_D3Y31, Aurelia_aurita_Seg6085.3 Seg6085.3 transcript_id=Seg6085.3_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg6085.3_GoldUCD_D3Y31, Aurelia_aurita_Seg873.2 Seg873.2 transcript_id=Seg873.2_GoldUCD_mRNA.D3Y31 product="Serpin B8" protein_id=Seg873.2_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML023111a ML023111a, Mnemiopsis_leidyi_ML200228a ML200228a, Mnemiopsis_leidyi_ML200229a ML200229a
OG0000019	Aurelia_aurita_Seg36.3 Seg36.3 transcript_id=Seg36.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 10" protein_id=Seg36.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1073.3 Seg1073.3 transcript_id=Seg1073.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 10" protein_id=Seg1073.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3305.2 Seg3305.2 transcript_id=Seg3305.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg3305.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2319.3 Seg2319.3 transcript_id=Seg2319.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg2319.3_GoldUCD_D3Y31, Aurelia_aurita_Seg630.3 Seg630.3 transcript_id=Seg630.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 2-B" protein_id=Seg630.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4745.1 Seg4745.1 transcript_id=Seg4745.1_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg4745.1_GoldUCD_D3Y31, Aurelia_aurita_Seg562.17 Seg562.17 transcript_id=Seg562.17_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg562.17_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000022	Aurelia_aurita_Seg190.12 Seg190.12 transcript_id=Seg190.12_GoldUCD_mRNA.D3Y31 product="Annexin A6" protein_id=Seg190.12_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	Aurelia_aurita_Seg940.20 Seg940.20 transcript_id=Seg940.20_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg940.20_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6005.1 Seg6005.1 transcript_id=Seg6005.1_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg6005.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000023	Aurelia_aurita_Seg1673.1 Seg1673.1 transcript_id=Seg1673.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like Eoc1" protein_id=Seg1673.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.2 Seg1897.2 transcript_id=Seg1897.2_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 22" protein_id=Seg1897.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1673.2 Seg1673.2 transcript_id=Seg1673.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like VLAIP-A" protein_id=Seg1673.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4219.1 Seg4219.1 transcript_id=Seg4219.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like BfMP" protein_id=Seg4219.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.5 Seg1897.5 transcript_id=Seg1897.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 12" protein_id=Seg1897.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.4 Seg1897.4 transcript_id=Seg1897.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 7" protein_id=Seg1897.4_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML069122a ML069122a, Mnemiopsis_leidyi_ML05372a ML05372a
OG0000024	Aurelia_aurita_Seg72.10 Seg72.10 transcript_id=Seg72.10_GoldUCD_mRNA.D3Y31 product=Equistatin protein_id=Seg72.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4731.1 Seg4731.1 transcript_id=Seg4731.1_GoldUCD_mRNA.D3Y31 product=Equistatin protein_id=Seg4731.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1099.1 Seg1099.1 transcript_id=Seg1099.1_GoldUCD_mRNA.D3Y31 product="Notchless protein 1" protein_id=Seg1099.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000030	Aurelia_aurita_Seg1709.3 Seg1709.3 transcript_id=Seg1709.3_GoldUCD_mRNA.D3Y31 product="ADAM 17-like protease" protein_id=Seg1709.3_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Aurelia_aurita_Seg5003.4 Seg5003.4 transcript_id=Seg5003.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg5003.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg604.5 Seg604.5 transcript_id=Seg604.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg604.5_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000034	Aurelia_aurita_Seg485.7_Seg485.4 Seg485.7_Seg485.4 transcript_id=Seg485.7_Seg485.4_GoldUCD_mRNA.D3Y31 product="putative protein tag-53" protein_id=Seg485.7_Seg485.4_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000034	Aurelia_aurita_Seg2034.3 Seg2034.3 transcript_id=Seg2034.3_GoldUCD_mRNA.D3Y31 product="Multiple epidermal growth factor-like domains protein 8" protein_id=Seg2034.3_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML04261a ML04261a
