Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000001	Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00018494-protein TCONS_00018494-protein, Clytia_hemispherica_TCONS_00018496-protein TCONS_00018496-protein
OG0000001	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein
OG0000001	Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein
OG0000001	Aurelia_aurita_Seg234.2 Seg234.2 transcript_id=Seg234.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg234.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4371.3 Seg4371.3 transcript_id=Seg4371.3_GoldUCD_mRNA.D3Y31 product="Two-pore potassium channel 3" protein_id=Seg4371.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1226.1 Seg1226.1 transcript_id=Seg1226.1_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg1226.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein
OG0000001	Aurelia_aurita_Seg2178.5 Seg2178.5 transcript_id=Seg2178.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg2178.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein
OG0000001	Aurelia_aurita_Seg95.8 Seg95.8 transcript_id=Seg95.8_GoldUCD_mRNA.D3Y31 product="Potassium voltage-gated channel protein Shaker" protein_id=Seg95.8_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein
OG0000001	Aurelia_aurita_Seg1942.11 Seg1942.11 transcript_id=Seg1942.11_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg1942.11_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00015263-protein TCONS_00015263-protein
OG0000001	Aurelia_aurita_Seg894.7 Seg894.7 transcript_id=Seg894.7_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase S" protein_id=Seg894.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1454.6 Seg1454.6 transcript_id=Seg1454.6_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like protein Dscam2" protein_id=Seg1454.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1759.9 Seg1759.9 transcript_id=Seg1759.9_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg1759.9_GoldUCD_D3Y31, Aurelia_aurita_Seg94.1 Seg94.1 transcript_id=Seg94.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg94.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067911-protein TCONS_00067911-protein, Clytia_hemispherica_TCONS_00020960-protein TCONS_00020960-protein, Clytia_hemispherica_TCONS_00046674-protein TCONS_00046674-protein, Clytia_hemispherica_TCONS_00020309-protein TCONS_00020309-protein, Clytia_hemispherica_TCONS_00020949-protein TCONS_00020949-protein, Clytia_hemispherica_TCONS_00019315-protein TCONS_00019315-protein, Clytia_hemispherica_TCONS_00020293-protein TCONS_00020293-protein, Clytia_hemispherica_TCONS_00068135-protein TCONS_00068135-protein
OG0000001	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein
OG0000001	Aurelia_aurita_Seg8698.1 Seg8698.1 transcript_id=Seg8698.1_GoldUCD_mRNA.D3Y31 product="Blastula protease 10" protein_id=Seg8698.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00017274-protein TCONS_00017274-protein
OG0000001	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein
OG0000001	Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein
OG0000001	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein
OG0000002	Aurelia_aurita_Seg770.1 Seg770.1 transcript_id=Seg770.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-3b protein_id=Seg770.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein
OG0000002	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein
OG0000002	Aurelia_aurita_Seg1454.5 Seg1454.5 transcript_id=Seg1454.5_GoldUCD_mRNA.D3Y31 product=SCO-spondin protein_id=Seg1454.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3614.3 Seg3614.3 transcript_id=Seg3614.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg3614.3_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067913-protein TCONS_00067913-protein, Clytia_hemispherica_TCONS_00040020-protein TCONS_00040020-protein
OG0000002	Aurelia_aurita_Seg1202.19 Seg1202.19 transcript_id=Seg1202.19_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1202.19_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1738.7 Seg1738.7 transcript_id=Seg1738.7_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg1738.7_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein
OG0000002	Aurelia_aurita_Seg4699.1 Seg4699.1 transcript_id=Seg4699.1_GoldUCD_mRNA.D3Y31 product="Insulin-like growth factor-binding protein complex acid labile subunit" protein_id=Seg4699.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00011476-protein TCONS_00011476-protein
OG0000002	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Aurelia_aurita_Seg10356.1 Seg10356.1 transcript_id=Seg10356.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg10356.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00073219-protein TCONS_00073219-protein, Clytia_hemispherica_TCONS_00070803-protein TCONS_00070803-protein
OG0000002	Aurelia_aurita_Seg1773.10 Seg1773.10 transcript_id=Seg1773.10_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1773.10_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00070795-protein TCONS_00070795-protein
OG0000002	Aurelia_aurita_Seg1147.11 Seg1147.11 transcript_id=Seg1147.11_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1147.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1581.4 Seg1581.4 transcript_id=Seg1581.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1581.4_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00022855-protein TCONS_00022855-protein, Clytia_hemispherica_TCONS_00064167-protein TCONS_00064167-protein
OG0000002	Aurelia_aurita_Seg1121.9 Seg1121.9 transcript_id=Seg1121.9_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1121.9_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00050865-protein TCONS_00050865-protein
OG0000002	Aurelia_aurita_Seg3725.1 Seg3725.1 transcript_id=Seg3725.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3725.3 Seg3725.3 transcript_id=Seg3725.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.3_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein
OG0000003	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Aurelia_aurita_Seg2343.5 Seg2343.5 transcript_id=Seg2343.5_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg2343.5_GoldUCD_D3Y31, Aurelia_aurita_Seg3108.1 Seg3108.1 transcript_id=Seg3108.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3108.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein
OG0000003	Aurelia_aurita_Seg1040.6 Seg1040.6 transcript_id=Seg1040.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1040.6_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00008793-protein TCONS_00008793-protein
OG0000003	Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein
OG0000003	Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein
OG0000003	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Aurelia_aurita_Seg230.12 Seg230.12 transcript_id=Seg230.12_GoldUCD_mRNA.D3Y31 product="Golgi-associated plant pathogenesis-related protein 1" protein_id=Seg230.12_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein
OG0000003	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein
OG0000003	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein
OG0000003	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00019274-protein TCONS_00019274-protein, Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein
OG0000003	Aurelia_aurita_Seg729.5 Seg729.5 transcript_id=Seg729.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg729.5_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00063107-protein TCONS_00063107-protein
OG0000003	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein
OG0000003	Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein
