Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Chordata_Vertebrata_Danio_rerio
OG0000005	Aurelia_aurita_Seg1823.3 Seg1823.3 transcript_id=Seg1823.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.3_GoldUCD_D3Y31, Aurelia_aurita_Seg599.14 Seg599.14 transcript_id=Seg599.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg599.14_GoldUCD_D3Y31, Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31, Aurelia_aurita_Seg98.3 Seg98.3 transcript_id=Seg98.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg98.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.3 Seg3064.3 transcript_id=Seg3064.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg3064.3_GoldUCD_D3Y31, Aurelia_aurita_Seg910.13 Seg910.13 transcript_id=Seg910.13_GoldUCD_mRNA.D3Y31 product="Methylmalonic aciduria type A-like mitochondrial" protein_id=Seg910.13_GoldUCD_D3Y31, Aurelia_aurita_Seg4360.3 Seg4360.3 transcript_id=Seg4360.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg4360.3_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.2 Seg7750.2 transcript_id=Seg7750.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg7750.2_GoldUCD_D3Y31, Aurelia_aurita_Seg557.4 Seg557.4 transcript_id=Seg557.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.4_GoldUCD_D3Y31, Aurelia_aurita_Seg557.2 Seg557.2 transcript_id=Seg557.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg557.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg910.15 Seg910.15 transcript_id=Seg910.15_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.15_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.1 Seg7750.1 transcript_id=Seg7750.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg7750.1_GoldUCD_D3Y31, Aurelia_aurita_Seg557.3 Seg557.3 transcript_id=Seg557.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.2 Seg3064.2 transcript_id=Seg3064.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg3064.2_GoldUCD_D3Y31, Aurelia_aurita_Seg910.14 Seg910.14 transcript_id=Seg910.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.14_GoldUCD_D3Y31, Aurelia_aurita_Seg876.1 Seg876.1 transcript_id=Seg876.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg876.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1671.13 Seg1671.13 transcript_id=Seg1671.13_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1671.13_GoldUCD_D3Y31, Aurelia_aurita_Seg1491.8 Seg1491.8 transcript_id=Seg1491.8_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1491.8_GoldUCD_D3Y31, Aurelia_aurita_Seg1491.9 Seg1491.9 transcript_id=Seg1491.9_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg1491.9_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.2 Seg6310.2 transcript_id=Seg6310.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1121.12 Seg1121.12 transcript_id=Seg1121.12_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1121.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.2 Seg3715.2 transcript_id=Seg3715.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3715.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6310.3 Seg6310.3 transcript_id=Seg6310.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31, Aurelia_aurita_Seg2976.2 Seg2976.2 transcript_id=Seg2976.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg2976.2_GoldUCD_D3Y31	Danio_rerio_tr_Q1LW00_Q1LW00_DANRE tr|Q1LW00|Q1LW00_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=cb284 PE=1 SV=1, Danio_rerio_tr_Q4G0A2_Q4G0A2_DANRE tr|Q4G0A2|Q4G0A2_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he1 PE=2 SV=1, Danio_rerio_sp_Q1LW01_HE12_DANRE sp|Q1LW01|HE12_DANRE Hatching enzyme 1.2 OS=Danio rerio OX=7955 GN=he1.2 PE=1 SV=1, Danio_rerio_tr_A4VCG4_A4VCG4_DANRE tr|A4VCG4|A4VCG4_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he2 PE=2 SV=1
OG0000006	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_E7F8X0_E7F8X0_DANRE tr|E7F8X0|E7F8X0_DANRE Sushi repeat-containing protein SRPX2 isoform X1 OS=Danio rerio OX=7955 GN=srpx2 PE=4 SV=1, Danio_rerio_tr_Q58ED3_Q58ED3_DANRE tr|Q58ED3|Q58ED3_DANRE Sushi repeat-containing protein SRPX precursor OS=Danio rerio OX=7955 GN=sprx PE=1 SV=1
OG0000009	Aurelia_aurita_Seg479.3 Seg479.3 transcript_id=Seg479.3_GoldUCD_mRNA.D3Y31 product="Protein AKTIP" protein_id=Seg479.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg10327.1 Seg10327.1 transcript_id=Seg10327.1_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg10327.1_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_Q1RLU5_Q1RLU5_DANRE tr|Q1RLU5|Q1RLU5_DANRE Tumor necrosis factor_ alpha-induced protein 6 OS=Danio rerio OX=7955 GN=tnfaip6 PE=2 SV=1, Danio_rerio_tr_B0UY56_B0UY56_DANRE tr|B0UY56|B0UY56_DANRE Tumor necrosis factor_ alpha-induced protein 6 OS=Danio rerio OX=7955 GN=si_dkey-89p3.1 PE=4 SV=1
OG0000009	Aurelia_aurita_Seg9478.1 Seg9478.1 transcript_id=Seg9478.1_GoldUCD_mRNA.D3Y31 product="CUB domain-containing protein 2" protein_id=Seg9478.1_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_X1WD58_X1WD58_DANRE tr|X1WD58|X1WD58_DANRE Procollagen C-endopeptidase enhancer 2 OS=Danio rerio OX=7955 GN=pcolce2a PE=4 SV=2, Danio_rerio_tr_Q7SY25_Q7SY25_DANRE tr|Q7SY25|Q7SY25_DANRE Procollagen C-endopeptidase enhancer 2 precursor OS=Danio rerio OX=7955 GN=zgc_63590 PE=2 SV=1, Danio_rerio_tr_B3DJG2_B3DJG2_DANRE tr|B3DJG2|B3DJG2_DANRE Procollagen C-endopeptidase enhancer b OS=Danio rerio OX=7955 GN=LOC794872 PE=2 SV=1, Danio_rerio_tr_Q1ECX8_Q1ECX8_DANRE tr|Q1ECX8|Q1ECX8_DANRE Procollagen C-endopeptidase enhancer a OS=Danio rerio OX=7955 GN=si_ch211-237l4.5 PE=2 SV=1
OG0000010	Aurelia_aurita_Seg919.4 Seg919.4 transcript_id=Seg919.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg919.4_GoldUCD_D3Y31	Danio_rerio_tr_E7F5U2_E7F5U2_DANRE tr|E7F5U2|E7F5U2_DANRE Immunoglobulin superfamily member 10 OS=Danio rerio OX=7955 GN=igsf10 PE=4 SV=1, Danio_rerio_tr_F1QHX4_F1QHX4_DANRE tr|F1QHX4|F1QHX4_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5b PE=4 SV=2, Danio_rerio_tr_A0A8M1QK92_A0A8M1QK92_DANRE tr|A0A8M1QK92|A0A8M1QK92_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5a PE=4 SV=1
OG0000010	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31	Danio_rerio_tr_A0A0R4IJ40_A0A0R4IJ40_DANRE tr|A0A0R4IJ40|A0A0R4IJ40_DANRE Agrin OS=Danio rerio OX=7955 GN=hm_gc12 PE=1 SV=1, Danio_rerio_tr_B3GQ72_B3GQ72_DANRE tr|B3GQ72|B3GQ72_DANRE Agrin OS=Danio rerio OX=7955 GN=wu_fb57e07 PE=1 SV=1
OG0000010	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	Danio_rerio_tr_A7MBP8_A7MBP8_DANRE tr|A7MBP8|A7MBP8_DANRE Follistatin b isoform 2 precursor OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_tr_Q2PMI4_Q2PMI4_DANRE tr|Q2PMI4|Q2PMI4_DANRE Follistatin 2 OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_sp_Q9YHV4_FSTA_DANRE sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2, Danio_rerio_tr_A4IG14_A4IG14_DANRE tr|A4IG14|A4IG14_DANRE Follistatin-like 3 _secreted glycoprotein_ OS=Danio rerio OX=7955 GN=zgc_114170 PE=2 SV=1
OG0000011	Aurelia_aurita_Seg1871.3 Seg1871.3 transcript_id=Seg1871.3_GoldUCD_mRNA.D3Y31 product="Transmembrane protease serine 9" protein_id=Seg1871.3_GoldUCD_D3Y31	Danio_rerio_tr_E7FAN5_E7FAN5_DANRE tr|E7FAN5|E7FAN5_DANRE Prothrombin OS=Danio rerio OX=7955 GN=wu_fb57c10 PE=1 SV=1, Danio_rerio_tr_Q7SXH8_Q7SXH8_DANRE tr|Q7SXH8|Q7SXH8_DANRE Prothrombin OS=Danio rerio OX=7955 GN=zgc_66319 PE=1 SV=1
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1, Danio_rerio_tr_F1Q752_F1Q752_DANRE tr|F1Q752|F1Q752_DANRE Kielin/chordin-like protein OS=Danio rerio OX=7955 GN=si_dkey-266m15.6 PE=4 SV=3
OG0000013	Aurelia_aurita_Seg3321.1 Seg3321.1 transcript_id=Seg3321.1_GoldUCD_mRNA.D3Y31 product="Protein Wnt-16" protein_id=Seg3321.1_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_A5WVL3_A5WVL3_DANRE tr|A5WVL3|A5WVL3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_77293 PE=3 SV=1
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_F1R205_F1R205_DANRE tr|F1R205|F1R205_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt6b PE=3 SV=1
OG0000013	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31	Danio_rerio_tr_B3DI55_B3DI55_DANRE tr|B3DI55|B3DI55_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1, Danio_rerio_sp_P24257_WNT1_DANRE sp|P24257|WNT1_DANRE Protein Wnt-1 OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1
OG0000013	Aurelia_aurita_Seg385.14 Seg385.14 transcript_id=Seg385.14_GoldUCD_mRNA.D3Y31 product="Proto-oncogene Wnt-3" protein_id=Seg385.14_GoldUCD_D3Y31	Danio_rerio_tr_B0LK22_B0LK22_DANRE tr|B0LK22|B0LK22_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt3 PE=2 SV=1, Danio_rerio_tr_Q6IYD9_Q6IYD9_DANRE tr|Q6IYD9|Q6IYD9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Zwnt[a] PE=2 SV=1
