Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Chordata_Vertebrata_Bos_taurus
OG0000003	Aurelia_aurita_Seg217.6 Seg217.6 transcript_id=Seg217.6_GoldUCD_mRNA.D3Y31 product="Aggrecan core protein" protein_id=Seg217.6_GoldUCD_D3Y31 partial=true	NP_001019705.2 regenerating islet-derived protein 3-gamma precursor [Bos taurus], NP_991356.1 lithostathine precursor [Bos taurus]
OG0000003	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31, Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31, Aurelia_aurita_Seg729.5 Seg729.5 transcript_id=Seg729.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg729.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31, Aurelia_aurita_Seg328.6 Seg328.6 transcript_id=Seg328.6_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg328.6_GoldUCD_D3Y31, Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg689.1 Seg689.1 transcript_id=Seg689.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg689.1_GoldUCD_D3Y31	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31, Aurelia_aurita_Seg1797.2 Seg1797.2 transcript_id=Seg1797.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1797.2_GoldUCD_D3Y31	sp|Q6R8F2.1|CADH1_BOVIN RecName_ Full=Cadherin-1; AltName_ Full=Epithelial cadherin; Short=E-cadherin; AltName_ CD_antigen=CD324; Contains_ RecName_ Full=E-Cad/CTF1; Contains_ RecName_ Full=E-Cad/CTF2; Contains_ RecName_ Full=E-Cad/CTF3; Flags_ Precursor
OG0000006	Aurelia_aurita_Seg6.11 Seg6.11 transcript_id=Seg6.11_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6.11_GoldUCD_D3Y31	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]
OG0000006	Aurelia_aurita_Seg1245.6 Seg1245.6 transcript_id=Seg1245.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1245.6_GoldUCD_D3Y31, Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg8820.2 Seg8820.2 transcript_id=Seg8820.2_GoldUCD_mRNA.D3Y31 product="Protein lev-9" protein_id=Seg8820.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4596.1 Seg4596.1 transcript_id=Seg4596.1_GoldUCD_mRNA.D3Y31 product="CUB and sushi domain-containing protein 3" protein_id=Seg4596.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.1 Seg4426.1 transcript_id=Seg4426.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg4426.1_GoldUCD_D3Y31	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000006	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus], NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus], XP_010806541.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Bos taurus]
OG0000007	Aurelia_aurita_Seg2055.3 Seg2055.3 transcript_id=Seg2055.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg2055.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6370.1 Seg6370.1 transcript_id=Seg6370.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg6370.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.15 Seg1379.15 transcript_id=Seg1379.15_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.15_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.13 Seg1379.13 transcript_id=Seg1379.13_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.13_GoldUCD_D3Y31 partial=true	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000009	Aurelia_aurita_Seg479.3 Seg479.3 transcript_id=Seg479.3_GoldUCD_mRNA.D3Y31 product="Protein AKTIP" protein_id=Seg479.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg10327.1 Seg10327.1 transcript_id=Seg10327.1_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg10327.1_GoldUCD_D3Y31 partial=true	NP_001007814.1 tumor necrosis factor-inducible gene 6 protein precursor [Bos taurus]
OG0000009	Aurelia_aurita_Seg9478.1 Seg9478.1 transcript_id=Seg9478.1_GoldUCD_mRNA.D3Y31 product="CUB domain-containing protein 2" protein_id=Seg9478.1_GoldUCD_D3Y31 partial=true	NP_001069097.1 procollagen C-endopeptidase enhancer 2 precursor [Bos taurus]
OG0000009	Aurelia_aurita_Seg1816.4 Seg1816.4 transcript_id=Seg1816.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1816.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg360.2 Seg360.2 transcript_id=Seg360.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg360.2_GoldUCD_D3Y31, Aurelia_aurita_Seg369.3 Seg369.3 transcript_id=Seg369.3_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg369.3_GoldUCD_D3Y31, Aurelia_aurita_Seg369.1 Seg369.1 transcript_id=Seg369.1_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg369.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4133.3 Seg4133.3 transcript_id=Seg4133.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4133.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1675.2 Seg1675.2 transcript_id=Seg1675.2_GoldUCD_mRNA.D3Y31 product=Neuropilin-2 protein_id=Seg1675.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1446.8 Seg1446.8 transcript_id=Seg1446.8_GoldUCD_mRNA.D3Y31 product=Neuropilin-1 protein_id=Seg1446.8_GoldUCD_D3Y31 partial=true	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000010	Aurelia_aurita_Seg919.4 Seg919.4 transcript_id=Seg919.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg919.4_GoldUCD_D3Y31	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus], XP_005228525.2 matrix-remodeling-associated protein 5 isoform X1 [Bos taurus], sp|P31836.1|NCAM1_BOVIN RecName_ Full=Neural cell adhesion molecule 1; Short=N-CAM-1; Short=NCAM-1; Flags_ Precursor
OG0000010	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31	XP_005217262.1 agrin isoform X1 [Bos taurus]
OG0000010	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor
OG0000011	Aurelia_aurita_Seg1871.3 Seg1871.3 transcript_id=Seg1871.3_GoldUCD_mRNA.D3Y31 product="Transmembrane protease serine 9" protein_id=Seg1871.3_GoldUCD_D3Y31	XP_024843118.2 suppressor of tumorigenicity 14 protein homolog isoform X1 [Bos taurus], sp|P98072.1|ENTK_BOVIN RecName_ Full=Enteropeptidase; AltName_ Full=Enterokinase; AltName_ Full=Serine protease 7; AltName_ Full=Transmembrane protease serine 15; Contains_ RecName_ Full=Enteropeptidase non-catalytic heavy chain; Contains_ RecName_ Full=Enteropeptidase catalytic light chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, NP_776302.1 prothrombin precursor [Bos taurus]
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]
OG0000013	Aurelia_aurita_Seg3321.1 Seg3321.1 transcript_id=Seg3321.1_GoldUCD_mRNA.D3Y31 product="Protein Wnt-16" protein_id=Seg3321.1_GoldUCD_D3Y31 partial=true	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]
OG0000013	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]
OG0000013	Aurelia_aurita_Seg385.14 Seg385.14 transcript_id=Seg385.14_GoldUCD_mRNA.D3Y31 product="Proto-oncogene Wnt-3" protein_id=Seg385.14_GoldUCD_D3Y31	NP_001192953.1 proto-oncogene Wnt-3 precursor [Bos taurus]
OG0000013	Aurelia_aurita_Seg1722.5 Seg1722.5 transcript_id=Seg1722.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1722.5_GoldUCD_D3Y31	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]
OG0000013	Aurelia_aurita_Seg1688.5 Seg1688.5 transcript_id=Seg1688.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11b" protein_id=Seg1688.5_GoldUCD_D3Y31, Aurelia_aurita_Seg13025.1 Seg13025.1 transcript_id=Seg13025.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg13025.1_GoldUCD_D3Y31, Aurelia_aurita_Seg675.38 Seg675.38 transcript_id=Seg675.38_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11" protein_id=Seg675.38_GoldUCD_D3Y31	NP_001075925.1 protein Wnt-11 [Bos taurus]
OG0000013	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31	NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000013	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31	NP_001179299.1 protein Wnt-8a [Bos taurus], XP_059737951.1 protein Wnt-8b [Bos taurus]
OG0000014	Aurelia_aurita_Seg1742.4 Seg1742.4 transcript_id=Seg1742.4_GoldUCD_mRNA.D3Y31 product=Papilin protein_id=Seg1742.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5885.2 Seg5885.2 transcript_id=Seg5885.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5885.2_GoldUCD_D3Y31	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus], XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]
OG0000014	Aurelia_aurita_Seg114.1 Seg114.1 transcript_id=Seg114.1_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 7" protein_id=Seg114.1_GoldUCD_D3Y31	XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus], NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]
OG0000015	Aurelia_aurita_Seg2149.3 Seg2149.3 transcript_id=Seg2149.3_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2149.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3316.2 Seg3316.2 transcript_id=Seg3316.2_GoldUCD_mRNA.D3Y31 product="Oncoprotein-induced transcript 3 protein" protein_id=Seg3316.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2133.4 Seg2133.4 transcript_id=Seg2133.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2133.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1962.3 Seg1962.3 transcript_id=Seg1962.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1962.3_GoldUCD_D3Y31	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]
