Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Insecta_Diptera_Drosophila_melanogaster
OG0000006	Aurelia_aurita_Seg8820.2 Seg8820.2 transcript_id=Seg8820.2_GoldUCD_mRNA.D3Y31 product="Protein lev-9" protein_id=Seg8820.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4596.1 Seg4596.1 transcript_id=Seg4596.1_GoldUCD_mRNA.D3Y31 product="CUB and sushi domain-containing protein 3" protein_id=Seg4596.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.1 Seg4426.1 transcript_id=Seg4426.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg4426.1_GoldUCD_D3Y31	Drosophila_melanogaster_tr_Q058W1_Q058W1_DROME tr|Q058W1|Q058W1_DROME Hig-anchoring scaffold protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1, Drosophila_melanogaster_tr_Q9VIU9_Q9VIU9_DROME tr|Q9VIU9|Q9VIU9_DROME Hig-anchoring scaffold protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=3, Drosophila_melanogaster_tr_B7YZX0_B7YZX0_DROME tr|B7YZX0|B7YZX0_DROME Hig-anchoring scaffold protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=2, Drosophila_melanogaster_tr_Q8INW2_Q8INW2_DROME tr|Q8INW2|Q8INW2_DROME Hig-anchoring scaffold protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1
OG0000009	Aurelia_aurita_Seg1446.4 Seg1446.4 transcript_id=Seg1446.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1446.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1404.2 Seg1404.2 transcript_id=Seg1404.2_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg1404.2_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2
OG0000010	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31	Drosophila_melanogaster_sp_A0A1F4_EYS_DROME sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1, Drosophila_melanogaster_tr_M9PBU9_M9PBU9_DROME tr|M9PBU9|M9PBU9_DROME Eyes shut_ isoform E OS=Drosophila melanogaster OX=7227 GN=eys PE=4 SV=2
OG0000010	Aurelia_aurita_Seg3520.1 Seg3520.1 transcript_id=Seg3520.1_GoldUCD_mRNA.D3Y31 product=Pikachurin protein_id=Seg3520.1_GoldUCD_D3Y31	Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1
OG0000010	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3
OG0000013	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1
OG0000013	Aurelia_aurita_Seg915.2 Seg915.2 transcript_id=Seg915.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg915.2_GoldUCD_D3Y31	Drosophila_melanogaster_sp_P28466_WNT5_DROME sp|P28466|WNT5_DROME Protein Wnt-5 OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=1 SV=2, Drosophila_melanogaster_tr_X2JL29_X2JL29_DROME tr|X2JL29|X2JL29_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=3 SV=1, Drosophila_melanogaster_tr_Q2XY20_Q2XY20_DROME tr|Q2XY20|Q2XY20_DROME Protein Wnt _Fragment_ OS=Drosophila melanogaster OX=7227 GN=Wnt5 PE=3 SV=1
OG0000013	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2
