Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000002	Exaiptasia_diaphana_XP_020908572.1 XP_020908572.1 coadhesin-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00065680-protein TCONS_00065680-protein
OG0000002	Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein, Clytia_hemispherica_TCONS_00050522-protein TCONS_00050522-protein, Clytia_hemispherica_TCONS_00058980-protein TCONS_00058980-protein, Clytia_hemispherica_TCONS_00040179-protein TCONS_00040179-protein
OG0000002	Exaiptasia_diaphana_XP_020895970.2 XP_020895970.2 uncharacterized protein LOC110234901 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900194.1 XP_020900194.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898956.1 XP_020898956.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915806.1 XP_020915806.1 coadhesin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein
OG0000003	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein
OG0000003	Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein
OG0000003	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Exaiptasia_diaphana_XP_020916443.2 XP_020916443.2 C-type lectin domain family 4 member E [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897304.1 XP_020897304.1 perlucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512473.1 XP_028512473.1 C-type mannose receptor 2 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917875.2 XP_020917875.2 macrophage mannose receptor 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512471.1 XP_028512471.1 macrophage mannose receptor 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512472.1 XP_028512472.1 macrophage mannose receptor 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917867.1 XP_020917867.1 galactose-specific lectin nattectin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917876.2 XP_020917876.2 asialoglycoprotein receptor 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512474.1 XP_028512474.1 perlucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910587.1 XP_020910587.1 snaclec coagulation factor IX-binding protein subunit A [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00050531-protein TCONS_00050531-protein
OG0000003	Exaiptasia_diaphana_XP_020894641.1 XP_020894641.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513260.1 XP_028513260.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein
OG0000003	Exaiptasia_diaphana_XP_028515541.1 XP_028515541.1 formin-like protein 20 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902829.1 XP_020902829.1 proline-rich extensin-like protein EPR1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902810.1 XP_020902810.1 uncharacterized protein LOC110241282 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515540.1 XP_028515540.1 uncharacterized protein LOC110241282 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902757.1 XP_020902757.1 uncharacterized protein LOC110241235 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein
OG0000003	Exaiptasia_diaphana_XP_028519268.1 XP_028519268.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914857.1 XP_020914857.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914865.1 XP_020914865.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519269.1 XP_028519269.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein
OG0000003	Exaiptasia_diaphana_XP_020898903.1 XP_020898903.1 macrophage mannose receptor 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913921.1 XP_020913921.1 uncharacterized protein LOC110251540 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein
OG0000003	Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein
OG0000003	Exaiptasia_diaphana_XP_028516914.1 XP_028516914.1 adhesion G protein-coupled receptor E2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein
OG0000004	Exaiptasia_diaphana_XP_028513629.1 XP_028513629.1 uncharacterized protein LOC110235415 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513641.1 XP_028513641.1 uncharacterized protein LOC110235415 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513632.1 XP_028513632.1 uncharacterized protein LOC110235415 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513634.1 XP_028513634.1 uncharacterized protein LOC110235415 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513644.1 XP_028513644.1 uncharacterized protein LOC110235415 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513650.1 XP_028513650.1 uncharacterized protein LOC110235415 isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896538.2 XP_020896538.2 A disintegrin and metalloproteinase with thrombospondin motifs gon-1 isoform X7 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00048850-protein TCONS_00048850-protein
OG0000004	Exaiptasia_diaphana_XP_020894921.1 XP_020894921.1 secretory phospholipase A2 receptor [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516254.1 XP_028516254.1 C-type mannose receptor 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912235.1 XP_020912235.1 collagen alpha-5_VI_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein
OG0000004	Exaiptasia_diaphana_XP_020904882.1 XP_020904882.1 collagen alpha-1_XII_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00000463-protein TCONS_00000463-protein
OG0000004	Exaiptasia_diaphana_XP_028514341.1 XP_028514341.1 uncharacterized protein LOC114574885 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514329.1 XP_028514329.1 uncharacterized protein LOC110237135_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00068905-protein TCONS_00068905-protein, Clytia_hemispherica_TCONS_00014046-protein TCONS_00014046-protein, Clytia_hemispherica_TCONS_00026700-protein TCONS_00026700-protein
OG0000004	Exaiptasia_diaphana_XP_020909926.1 XP_020909926.1 collagen alpha-1_XII_ chain-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00060279-protein TCONS_00060279-protein
OG0000004	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000004	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Exaiptasia_diaphana_XP_028517283.1 XP_028517283.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908856.1 XP_020908856.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912230.1 XP_020912230.1 coadhesin [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein
OG0000004	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900065.1 XP_020900065.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900069.1 XP_020900069.1 protocadherin-like protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein
OG0000004	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Exaiptasia_diaphana_XP_020914238.1 XP_020914238.1 fat-like cadherin-related tumor suppressor homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914237.1 XP_020914237.1 fat-like cadherin-related tumor suppressor homolog isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein
OG0000004	Exaiptasia_diaphana_XP_028518874.1 XP_028518874.1 thrombospondin type-1 domain-containing protein 7A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914373.1 XP_020914373.1 coadhesin_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein
OG0000005	Exaiptasia_diaphana_XP_020906559.1 XP_020906559.1 blastula protease 10 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00015258-protein TCONS_00015258-protein, Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein
OG0000005	Exaiptasia_diaphana_XP_020915721.1 XP_020915721.1 low choriolytic enzyme [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901461.1 XP_020901461.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907018.2 XP_020907018.2 blastula protease 10_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916020.1 XP_020916020.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901178.2 XP_020901178.2 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908170.1 XP_020908170.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910129.1 XP_020910129.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901630.1 XP_020901630.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901634.1 XP_020901634.1 blastula protease 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901633.1 XP_020901633.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901632.1 XP_020901632.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515202.1 XP_028515202.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein
OG0000005	Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Exaiptasia_diaphana_XP_020912788.1 XP_020912788.1 zinc metalloproteinase nas-13-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00057196-protein TCONS_00057196-protein
OG0000005	Exaiptasia_diaphana_XP_020896173.1 XP_020896173.1 MAM and LDL-receptor class A domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917063.1 XP_020917063.1 uncharacterized protein LOC110254422 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein
OG0000005	Exaiptasia_diaphana_XP_028517244.1 XP_028517244.1 MAM and LDL-receptor class A domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911562.2 XP_020911562.2 uncharacterized protein LOC110249325_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900602.2 XP_020900602.2 uncharacterized protein LOC110239232 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900616.2 XP_020900616.2 uncharacterized protein LOC110239247 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514903.1 XP_028514903.1 uncharacterized protein LOC110239249_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895504.2 XP_020895504.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896667.2 XP_020896667.2 LOW QUALITY PROTEIN_ zinc metalloproteinase nas-6-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein
