Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Acropora_digitifera
OG0000001	Exaiptasia_diaphana_XP_028512753.1 XP_028512753.1 uncharacterized protein LOC114574426 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.02555 adi_v1.02555
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600
OG0000001	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.11962 adi_v1.11962
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.04637 adi_v1.04637
OG0000001	Exaiptasia_diaphana_XP_020895914.1 XP_020895914.1 protogenin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895913.1 XP_020895913.1 protogenin isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08764 adi_v1.08764
OG0000001	Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.04277 adi_v1.04277
OG0000001	Exaiptasia_diaphana_XP_028516606.1 XP_028516606.1 protein sidekick [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.11064 adi_v1.11064
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.00967 adi_v1.00967
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03506 adi_v1.03506
OG0000001	Exaiptasia_diaphana_XP_020908404.2 XP_020908404.2 protein sidekick-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512496.1 XP_028512496.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911996.2 XP_020911996.2 protein sidekick-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512495.1 XP_028512495.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516624.1 XP_028516624.1 receptor-type tyrosine-protein phosphatase delta [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518888.1 XP_028518888.1 tyrosine-protein phosphatase Lar_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516631.1 XP_028516631.1 protein sidekick-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911637.1 XP_020911637.1 receptor-type tyrosine-protein phosphatase F_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.23959 adi_v1.23959, Acropora_digitifera_adi_v1.15527 adi_v1.15527, Acropora_digitifera_adi_v1.22420 adi_v1.22420, Acropora_digitifera_adi_v1.18763 adi_v1.18763, Acropora_digitifera_adi_v1.21915 adi_v1.21915, Acropora_digitifera_adi_v1.11811 adi_v1.11811
OG0000001	Exaiptasia_diaphana_XP_020914496.2 XP_020914496.2 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.24527 adi_v1.24527, Acropora_digitifera_adi_v1.18047 adi_v1.18047, Acropora_digitifera_adi_v1.08920 adi_v1.08920, Acropora_digitifera_adi_v1.00227 adi_v1.00227
OG0000001	Exaiptasia_diaphana_XP_020911707.1 XP_020911707.1 neogenin [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.14231 adi_v1.14231, Acropora_digitifera_adi_v1.21625 adi_v1.21625
OG0000001	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01229 adi_v1.01229
OG0000001	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10769 adi_v1.10769
OG0000001	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01960 adi_v1.01960
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.11383 adi_v1.11383
OG0000001	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.12948 adi_v1.12948
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10800 adi_v1.10800
OG0000002	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.13790 adi_v1.13790
OG0000002	Exaiptasia_diaphana_XP_028519577.1 XP_028519577.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519578.1 XP_028519578.1 uncharacterized protein LOC114576685 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519572.1 XP_028519572.1 uncharacterized protein LOC110254262 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916859.1 XP_020916859.1 uncharacterized protein LOC110254228 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904142.1 XP_020904142.1 uncharacterized protein LOC110242489 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517813.1 XP_028517813.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515909.1 XP_028515909.1 semaphorin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518479.1 XP_028518479.1 uncharacterized protein LOC114576303_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519569.1 XP_028519569.1 ADAMTS-like protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.14486 adi_v1.14486, Acropora_digitifera_adi_v1.21225 adi_v1.21225
OG0000002	Exaiptasia_diaphana_XP_028514359.1 XP_028514359.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514358.1 XP_028514358.1 extracellular matrix protein FRAS1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03952 adi_v1.03952, Acropora_digitifera_adi_v1.12807 adi_v1.12807
OG0000002	Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.12523 adi_v1.12523
OG0000002	Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07180 adi_v1.07180
OG0000002	Exaiptasia_diaphana_XP_020897811.1 XP_020897811.1 uncharacterized protein LOC110236613 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03981 adi_v1.03981
OG0000002	Exaiptasia_diaphana_XP_028514725.1 XP_028514725.1 proprotein convertase subtilisin_kexin type 6_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517750.1 XP_028517750.1 proprotein convertase subtilisin_kexin type 6 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03379 adi_v1.03379
OG0000002	Exaiptasia_diaphana_XP_020892077.1 XP_020892077.1 coadhesin [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.19508 adi_v1.19508, Acropora_digitifera_adi_v1.13412 adi_v1.13412, Acropora_digitifera_adi_v1.12190 adi_v1.12190
OG0000002	Exaiptasia_diaphana_XP_020898400.1 XP_020898400.1 coadhesin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514363.1 XP_028514363.1 coadhesin isoform X2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.05945 adi_v1.05945
OG0000002	Exaiptasia_diaphana_XP_020915806.1 XP_020915806.1 coadhesin [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08206 adi_v1.08206
OG0000002	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01409 adi_v1.01409
OG0000003	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681
OG0000003	Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858
OG0000003	Exaiptasia_diaphana_XP_020916572.1 XP_020916572.1 snaclec bothroinsularin subunit alpha [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17681 adi_v1.17681
OG0000003	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332
OG0000003	Exaiptasia_diaphana_XP_020893229.1 XP_020893229.1 snaclec coagulation factor IX_factor X-binding protein subunit B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913541.1 XP_020913541.1 macrophage mannose receptor 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.14330 adi_v1.14330
OG0000003	Exaiptasia_diaphana_XP_020902829.1 XP_020902829.1 proline-rich extensin-like protein EPR1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10368 adi_v1.10368
OG0000003	Exaiptasia_diaphana_XP_020902810.1 XP_020902810.1 uncharacterized protein LOC110241282 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515540.1 XP_028515540.1 uncharacterized protein LOC110241282 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902757.1 XP_020902757.1 uncharacterized protein LOC110241235 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01653 adi_v1.01653
OG0000003	Exaiptasia_diaphana_XP_028512924.1 XP_028512924.1 fibrillin-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517876.1 XP_028517876.1 mucin-2-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.05022 adi_v1.05022
OG0000003	Exaiptasia_diaphana_XP_028519268.1 XP_028519268.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914857.1 XP_020914857.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914865.1 XP_020914865.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519269.1 XP_028519269.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.12238 adi_v1.12238
