Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000001	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290
OG0000001	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369
OG0000001	Exaiptasia_diaphana_XP_020900342.1 XP_020900342.1 receptor-type tyrosine-protein phosphatase delta_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512881.1 XP_028512881.1 uncharacterized protein LOC110232353 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516606.1 XP_028516606.1 protein sidekick [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515621.1 XP_028515621.1 protein sidekick-1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515622.1 XP_028515622.1 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280
OG0000001	Exaiptasia_diaphana_XP_020893198.1 XP_020893198.1 uncharacterized protein LOC110232362 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912117.1 XP_020912117.1 uncharacterized protein LOC110249872 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514824.1 XP_028514824.1 uncharacterized protein LOC110238963 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514825.1 XP_028514825.1 uncharacterized protein LOC110238967 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.26582 Ccrux.Trinity.26582, Calvadosia_cruxmelitensis_Ccrux.Trinity.45522 Ccrux.Trinity.45522
OG0000001	Exaiptasia_diaphana_XP_028513037.1 XP_028513037.1 uncharacterized protein LOC110232847 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517084.1 XP_028517084.1 uncharacterized protein LOC110246414 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518620.1 XP_028518620.1 uncharacterized protein LOC110251137 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.66103 Ccrux.Trinity.66103, Calvadosia_cruxmelitensis_Ccrux.Trinity.1680 Ccrux.Trinity.1680, Calvadosia_cruxmelitensis_Ccrux.Trinity.30826 Ccrux.Trinity.30826, Calvadosia_cruxmelitensis_Ccrux.Trinity.30830 Ccrux.Trinity.30830
OG0000001	Exaiptasia_diaphana_XP_020913082.1 XP_020913082.1 uncharacterized protein LOC110250788 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.56437 Ccrux.Trinity.56437, Calvadosia_cruxmelitensis_Ccrux.Trinity.29916 Ccrux.Trinity.29916, Calvadosia_cruxmelitensis_Ccrux.Trinity.29915 Ccrux.Trinity.29915
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088
OG0000001	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972
OG0000001	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.20012 Ccrux.Trinity.20012
OG0000001	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896
OG0000001	Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.1401 Ccrux.Trinity.1401
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218
OG0000002	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.32954 Ccrux.Trinity.32954, Calvadosia_cruxmelitensis_Ccrux.Trinity.32955 Ccrux.Trinity.32955, Calvadosia_cruxmelitensis_Ccrux.Trinity.32953 Ccrux.Trinity.32953, Calvadosia_cruxmelitensis_Ccrux.Trinity.32959 Ccrux.Trinity.32959, Calvadosia_cruxmelitensis_Ccrux.Trinity.32958 Ccrux.Trinity.32958, Calvadosia_cruxmelitensis_Ccrux.Trinity.32957 Ccrux.Trinity.32957
OG0000002	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.39956 Ccrux.Trinity.39956, Calvadosia_cruxmelitensis_Ccrux.Trinity.39954 Ccrux.Trinity.39954
OG0000002	Exaiptasia_diaphana_XP_028519577.1 XP_028519577.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519578.1 XP_028519578.1 uncharacterized protein LOC114576685 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519572.1 XP_028519572.1 uncharacterized protein LOC110254262 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916859.1 XP_020916859.1 uncharacterized protein LOC110254228 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904142.1 XP_020904142.1 uncharacterized protein LOC110242489 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517813.1 XP_028517813.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515909.1 XP_028515909.1 semaphorin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518479.1 XP_028518479.1 uncharacterized protein LOC114576303_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519569.1 XP_028519569.1 ADAMTS-like protein 1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.67308 Ccrux.Trinity.67308, Calvadosia_cruxmelitensis_Ccrux.Trinity.15392 Ccrux.Trinity.15392
OG0000002	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.25901 Ccrux.Trinity.25901, Calvadosia_cruxmelitensis_Ccrux.Trinity.65483 Ccrux.Trinity.65483, Calvadosia_cruxmelitensis_Ccrux.Trinity.65484 Ccrux.Trinity.65484
OG0000002	Exaiptasia_diaphana_XP_020908572.1 XP_020908572.1 coadhesin-like [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.57509 Ccrux.Trinity.57509, Calvadosia_cruxmelitensis_Ccrux.Trinity.15276 Ccrux.Trinity.15276, Calvadosia_cruxmelitensis_Ccrux.Trinity.56932 Ccrux.Trinity.56932
OG0000002	Exaiptasia_diaphana_XP_028515903.1 XP_028515903.1 hemicentin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515902.1 XP_028515902.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514310.1 XP_028514310.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898306.1 XP_020898306.1 hemicentin-1 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.71852 Ccrux.Trinity.71852
OG0000002	Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.20192 Ccrux.Trinity.20192
OG0000002	Exaiptasia_diaphana_XP_028514725.1 XP_028514725.1 proprotein convertase subtilisin_kexin type 6_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517750.1 XP_028517750.1 proprotein convertase subtilisin_kexin type 6 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.83 Ccrux.Trinity.83
OG0000002	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.66227 Ccrux.Trinity.66227, Calvadosia_cruxmelitensis_Ccrux.Trinity.9254 Ccrux.Trinity.9254
OG0000003	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.16460 Ccrux.Trinity.16460, Calvadosia_cruxmelitensis_Ccrux.Trinity.16459 Ccrux.Trinity.16459, Calvadosia_cruxmelitensis_Ccrux.Trinity.16464 Ccrux.Trinity.16464, Calvadosia_cruxmelitensis_Ccrux.Trinity.16465 Ccrux.Trinity.16465, Calvadosia_cruxmelitensis_Ccrux.Trinity.16461 Ccrux.Trinity.16461
OG0000003	Exaiptasia_diaphana_XP_028512488.1 XP_028512488.1 uncharacterized protein LOC114574349 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.72236 Ccrux.Trinity.72236, Calvadosia_cruxmelitensis_Ccrux.Trinity.60462 Ccrux.Trinity.60462
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.62416 Ccrux.Trinity.62416
