Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Choanozoa_Choanoflagellatea_Monosiga_brevicollis
OG0000012	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748060.1 XP_001748060.1 uncharacterized protein MONBRDRAFT_27644 [Monosiga brevicollis MX1]
OG0000022	Exaiptasia_diaphana_XP_020904987.1 XP_020904987.1 annexin A5 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001747606.1 XP_001747606.1 uncharacterized protein MONBRDRAFT_33246 [Monosiga brevicollis MX1]
OG0000022	Exaiptasia_diaphana_XP_020902679.1 XP_020902679.1 annexin A5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902678.1 XP_020902678.1 annexin A5 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746953.1 XP_001746953.1 uncharacterized protein MONBRDRAFT_26446 [Monosiga brevicollis MX1]
OG0000030	Exaiptasia_diaphana_XP_028518433.1 XP_028518433.1 disintegrin and metalloproteinase domain-containing protein 17 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742741.1 XP_001742741.1 uncharacterized protein MONBRDRAFT_22277 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742663.1 XP_001742663.1 uncharacterized protein MONBRDRAFT_22131 [Monosiga brevicollis MX1]
OG0000030	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519758.1 XP_028519758.1 disintegrin and metalloproteinase domain-containing protein 10_ partial [Exaiptasia diaphana]	Monosiga_brevicollisXP_001744603.1 XP_001744603.1 uncharacterized protein MONBRDRAFT_36614 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750336.1 XP_001750336.1 uncharacterized protein MONBRDRAFT_29860 [Monosiga brevicollis MX1]
OG0000034	Exaiptasia_diaphana_XP_028517202.1 XP_028517202.1 multiple epidermal growth factor-like domains protein 8 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748540.1 XP_001748540.1 uncharacterized protein MONBRDRAFT_38323 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745303.1 XP_001745303.1 uncharacterized protein MONBRDRAFT_24778 [Monosiga brevicollis MX1]
OG0000041	Exaiptasia_diaphana_XP_020905592.1 XP_020905592.1 von Willebrand factor A domain-containing protein 5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513909.1 XP_028513909.1 uncharacterized protein LOC110235739 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903341.1 XP_020903341.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903342.1 XP_020903342.1 von Willebrand factor A domain-containing protein 5B1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912183.1 XP_020912183.1 protein mono-ADP-ribosyltransferase PARP4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912184.1 XP_020912184.1 protein mono-ADP-ribosyltransferase PARP4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912185.1 XP_020912185.1 protein mono-ADP-ribosyltransferase PARP4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518262.1 XP_028518262.1 protein mono-ADP-ribosyltransferase PARP4 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912186.1 XP_020912186.1 protein mono-ADP-ribosyltransferase PARP4 isoform X5 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746473.1 XP_001746473.1 uncharacterized protein MONBRDRAFT_8767 [Monosiga brevicollis MX1]
OG0000047	Exaiptasia_diaphana_XP_020915822.1 XP_020915822.1 ferric-chelate reductase 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915824.1 XP_020915824.1 ferric-chelate reductase 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915825.1 XP_020915825.1 ferric-chelate reductase 1 isoform X3 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001745833.1 XP_001745833.1 uncharacterized protein MONBRDRAFT_25512 [Monosiga brevicollis MX1]
OG0000058	Exaiptasia_diaphana_XP_028514138.1 XP_028514138.1 uncharacterized protein LOC110236629 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517068.1 XP_028517068.1 uncharacterized protein LOC114575757 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516447.1 XP_028516447.1 uncharacterized protein LOC110244407 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001744426.1 XP_001744426.1 uncharacterized protein MONBRDRAFT_31785 [Monosiga brevicollis MX1]
OG0000061	Exaiptasia_diaphana_XP_020897999.1 XP_020897999.1 copine-5 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746878.1 XP_001746878.1 uncharacterized protein MONBRDRAFT_26531 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745608.1 XP_001745608.1 uncharacterized protein MONBRDRAFT_36908 [Monosiga brevicollis MX1]
OG0000070	Exaiptasia_diaphana_XP_020916348.2 XP_020916348.2 peroxidasin [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746375.1 XP_001746375.1 uncharacterized protein MONBRDRAFT_26049 [Monosiga brevicollis MX1]
OG0000076	Exaiptasia_diaphana_XP_028513134.1 XP_028513134.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748741.1 XP_001748741.1 uncharacterized protein MONBRDRAFT_33821 [Monosiga brevicollis MX1]
OG0000081	Exaiptasia_diaphana_XP_020907281.1 XP_020907281.1 cysteine-rich with EGF-like domain protein 2 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001747730.1 XP_001747730.1 uncharacterized protein MONBRDRAFT_9903 [Monosiga brevicollis MX1]
OG0000100	Exaiptasia_diaphana_XP_020915626.1 XP_020915626.1 uncharacterized protein LOC110253095 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912071.1 XP_020912071.1 cuticle collagen 2C [Exaiptasia diaphana]	Monosiga_brevicollisXP_001750646.1 XP_001750646.1 uncharacterized protein MONBRDRAFT_12732 [Monosiga brevicollis MX1]
OG0000112	Exaiptasia_diaphana_XP_020913908.2 XP_020913908.2 heparanase_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908291.2 XP_020908291.2 heparanase [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899290.2 XP_020899290.2 uncharacterized protein LOC110238002 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001750416.1 XP_001750416.1 uncharacterized protein MONBRDRAFT_29948 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747086.1 XP_001747086.1 uncharacterized protein MONBRDRAFT_26729 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742652.1 XP_001742652.1 uncharacterized protein MONBRDRAFT_22110 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745179.1 XP_001745179.1 uncharacterized protein MONBRDRAFT_24839 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001751005.1 XP_001751005.1 uncharacterized protein MONBRDRAFT_30511 [Monosiga brevicollis MX1]
OG0000119	Exaiptasia_diaphana_XP_020903052.1 XP_020903052.1 leucine-rich repeat-containing protein 40 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001744188.1 XP_001744188.1 uncharacterized protein MONBRDRAFT_15699_ partial [Monosiga brevicollis MX1]
OG0000133	Exaiptasia_diaphana_XP_020911647.1 XP_020911647.1 leucine-rich repeat-containing protein 9 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748425.1 XP_001748425.1 uncharacterized protein MONBRDRAFT_27938 [Monosiga brevicollis MX1]
OG0000134	Exaiptasia_diaphana_XP_028519000.1 XP_028519000.1 uncharacterized protein LOC110252463 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914922.1 XP_020914922.1 uncharacterized protein LOC110252439 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742639.1 XP_001742639.1 uncharacterized protein MONBRDRAFT_4977 [Monosiga brevicollis MX1]
OG0000139	Exaiptasia_diaphana_XP_028515786.1 XP_028515786.1 peroxidasin-like [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748132.1 XP_001748132.1 uncharacterized protein MONBRDRAFT_33535 [Monosiga brevicollis MX1]
OG0000146	Exaiptasia_diaphana_XP_028512736.1 XP_028512736.1 uncharacterized protein LOC110231904 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746954.1 XP_001746954.1 uncharacterized protein MONBRDRAFT_26448 [Monosiga brevicollis MX1]
OG0000156	Exaiptasia_diaphana_XP_028513245.1 XP_028513245.1 microfibrillar-associated protein 1 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746092.1 XP_001746092.1 uncharacterized protein MONBRDRAFT_25760 [Monosiga brevicollis MX1]
OG0000165	Exaiptasia_diaphana_XP_020906110.1 XP_020906110.1 leucine-rich repeat-containing protein 58 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746780.1 XP_001746780.1 uncharacterized protein MONBRDRAFT_32857 [Monosiga brevicollis MX1]
OG0000171	Exaiptasia_diaphana_XP_020911895.1 XP_020911895.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746368.1 XP_001746368.1 uncharacterized protein MONBRDRAFT_8805_ partial [Monosiga brevicollis MX1]
OG0000176	Exaiptasia_diaphana_XP_020901377.1 XP_020901377.1 ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901378.1 XP_020901378.1 ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X2 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746650.1 XP_001746650.1 uncharacterized protein MONBRDRAFT_8870 [Monosiga brevicollis MX1]
OG0000177	Exaiptasia_diaphana_XP_020898461.1 XP_020898461.1 protein phosphatase 1 regulatory subunit 7 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742927.1 XP_001742927.1 uncharacterized protein MONBRDRAFT_14396_ partial [Monosiga brevicollis MX1]
OG0000187	Exaiptasia_diaphana_XP_020906478.1 XP_020906478.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894430.1 XP_020894430.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001748759.1 XP_001748759.1 uncharacterized protein MONBRDRAFT_10986 [Monosiga brevicollis MX1]
OG0000192	Exaiptasia_diaphana_XP_020895920.1 XP_020895920.1 protein flightless-1 homolog [Exaiptasia diaphana]	Monosiga_brevicollisXP_001746820.1 XP_001746820.1 uncharacterized protein MONBRDRAFT_26415 [Monosiga brevicollis MX1]
OG0000193	Exaiptasia_diaphana_XP_020902775.1 XP_020902775.1 CCR4-NOT transcription complex subunit 6-like [Exaiptasia diaphana]	Monosiga_brevicollisXP_001745853.1 XP_001745853.1 uncharacterized protein MONBRDRAFT_32477 [Monosiga brevicollis MX1]
OG0000199	Exaiptasia_diaphana_XP_020899985.1 XP_020899985.1 26S proteasome non-ATPase regulatory subunit 4 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001749585.1 XP_001749585.1 uncharacterized protein MONBRDRAFT_38755 [Monosiga brevicollis MX1]
OG0000209	Exaiptasia_diaphana_XP_020908002.1 XP_020908002.1 integrator complex subunit 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908096.2 XP_020908096.2 integrator complex subunit 6-B [Exaiptasia diaphana]	Monosiga_brevicollisXP_001750361.1 XP_001750361.1 uncharacterized protein MONBRDRAFT_34519 [Monosiga brevicollis MX1]
OG0000211	Exaiptasia_diaphana_XP_028519363.1 XP_028519363.1 protein MLP1 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001749206.1 XP_001749206.1 uncharacterized protein MONBRDRAFT_11289 [Monosiga brevicollis MX1]
OG0000219	Exaiptasia_diaphana_XP_020899206.1 XP_020899206.1 von Willebrand factor A domain-containing protein 8 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899208.1 XP_020899208.1 von Willebrand factor A domain-containing protein 8 isoform X2 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742665.1 XP_001742665.1 uncharacterized protein MONBRDRAFT_14058 [Monosiga brevicollis MX1]
OG0000229	Exaiptasia_diaphana_XP_020912652.1 XP_020912652.1 leucine-rich repeat protein 1 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001750312.1 XP_001750312.1 uncharacterized protein MONBRDRAFT_29815 [Monosiga brevicollis MX1]
OG0000230	Exaiptasia_diaphana_XP_020913258.1 XP_020913258.1 E3 ubiquitin-protein ligase RGLG5 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001749674.1 XP_001749674.1 uncharacterized protein MONBRDRAFT_38840 [Monosiga brevicollis MX1]
OG0000363	Exaiptasia_diaphana_XP_020892721.2 XP_020892721.2 uncharacterized protein LOC110231982 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742590.1 XP_001742590.1 uncharacterized protein MONBRDRAFT_21995 [Monosiga brevicollis MX1]
OG0000448	Exaiptasia_diaphana_XP_020901814.1 XP_020901814.1 uncharacterized protein LOC110240353 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001742945.1 XP_001742945.1 uncharacterized protein MONBRDRAFT_22693_ partial [Monosiga brevicollis MX1]
