Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Vertebrata_Bos_taurus
OG0000002	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	sp|P35445.2|COMP_BOVIN RecName_ Full=Cartilage oligomeric matrix protein; Short=COMP; Flags_ Precursor, NP_001095309.1 thrombospondin-3 precursor [Bos taurus], XP_059746602.1 thrombospondin-4 isoform X1 [Bos taurus]
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]
OG0000003	Exaiptasia_diaphana_XP_020893229.1 XP_020893229.1 snaclec coagulation factor IX_factor X-binding protein subunit B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913541.1 XP_020913541.1 macrophage mannose receptor 1 [Exaiptasia diaphana]	sp|A6QP79.1|COL12_BOVIN RecName_ Full=Collectin-12; AltName_ Full=Collectin placenta protein 1; Short=CL-P1, DAA28116.1 TPA_ CLEC17A protein-like_ partial [Bos taurus], NP_001192535.3 C-type lectin domain family 4 member G [Bos taurus], DAA24823.1 TPA_ C-type lectin_ superfamily member 13-like [Bos taurus], sp|Q3LUH2.1|CLC6A_BOVIN RecName_ Full=C-type lectin domain family 6 member A; AltName_ Full=Dendritic cell-associated C-type lectin 2; Short=DC-associated C-type lectin 2; Short=Dectin-2, XP_059743069.1 C-type lectin domain family 4 member E isoform X1 [Bos taurus]
OG0000003	Exaiptasia_diaphana_XP_020913629.1 XP_020913629.1 C-type lectin-like [Exaiptasia diaphana]	NP_001019705.2 regenerating islet-derived protein 3-gamma precursor [Bos taurus], NP_991356.1 lithostathine precursor [Bos taurus]
OG0000003	Exaiptasia_diaphana_XP_028519268.1 XP_028519268.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914857.1 XP_020914857.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914865.1 XP_020914865.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519269.1 XP_028519269.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898903.1 XP_020898903.1 macrophage mannose receptor 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913921.1 XP_020913921.1 uncharacterized protein LOC110251540 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512544.1 XP_028512544.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893947.1 XP_020893947.1 lactose-binding lectin l-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518736.1 XP_028518736.1 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897241.1 XP_020897241.1 protein kinase C-binding protein NELL1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517885.1 XP_028517885.1 nidogen-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514911.1 XP_028514911.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915720.2 XP_020915720.2 uncharacterized protein LOC110253183 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515645.1 XP_028515645.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518390.1 XP_028518390.1 uncharacterized protein LOC114576273 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517873.1 XP_028517873.1 uncharacterized protein LOC110248715 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907890.2 XP_020907890.2 uncharacterized protein LOC110245933 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517870.1 XP_028517870.1 uncharacterized protein LOC110248708 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907891.1 XP_020907891.1 uncharacterized protein LOC110245934 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912859.2 XP_020912859.2 uncharacterized protein LOC110250599 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518448.1 XP_028518448.1 P-selectin-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514228.1 XP_028514228.1 uncharacterized protein LOC114574827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907884.2 XP_020907884.2 uncharacterized protein LOC110245927 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518810.1 XP_028518810.1 uncharacterized protein LOC110251696 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911103.1 XP_020911103.1 uncharacterized protein LOC110248883 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516010.1 XP_028516010.1 uncharacterized protein LOC114575413 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515610.1 XP_028515610.1 fibrillin-3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518447.1 XP_028518447.1 uncharacterized protein LOC110250603 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518446.1 XP_028518446.1 neurotrypsin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907897.2 XP_020907897.2 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519493.1 XP_028519493.1 C-type mannose receptor 2-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512812.1 XP_028512812.1 glycine-rich cell wall structural protein 1.0_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516914.1 XP_028516914.1 adhesion G protein-coupled receptor E2 [Exaiptasia diaphana]	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Exaiptasia_diaphana_XP_020911954.1 XP_020911954.1 cochlin [Exaiptasia diaphana]	XP_024846755.1 collagen alpha-1_XXVIII_ chain isoform X1 [Bos taurus]
OG0000006	Exaiptasia_diaphana_XP_028519346.1 XP_028519346.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519355.1 XP_028519355.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516017.1 XP_028516017.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909969.2 XP_020909969.2 CUB and sushi domain-containing protein 3 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518709.1 XP_028518709.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896763.1 XP_020896763.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]
OG0000006	Exaiptasia_diaphana_XP_020896344.1 XP_020896344.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910180.1 XP_020910180.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910027.1 XP_020910027.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514470.1 XP_028514470.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912105.1 XP_020912105.1 complement factor H-related protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519013.1 XP_028519013.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512547.1 XP_028512547.1 roundabout homolog 3-like [Exaiptasia diaphana]	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000006	Exaiptasia_diaphana_XP_028518080.1 XP_028518080.1 uncharacterized protein LOC110249342 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911575.1 XP_020911575.1 uncharacterized protein LOC110249341 [Exaiptasia diaphana]	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus], NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus]
OG0000006	Exaiptasia_diaphana_XP_020916239.2 XP_020916239.2 uromodulin [Exaiptasia diaphana]	XP_002691171.2 fibulin-7 [Bos taurus]
OG0000007	Exaiptasia_diaphana_XP_028519369.1 XP_028519369.1 mucin-like protein [Exaiptasia diaphana]	NP_001012687.1 fatty acid synthase [Bos taurus]
OG0000007	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000009	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]	sp|Q5E9P5.1|PAMR1_BOVIN RecName_ Full=Inactive serine protease PAMR1; AltName_ Full=Peptidase domain-containing protein associated with muscle regeneration 1; AltName_ Full=Regeneration-associated muscle protease homolog; Flags_ Precursor
OG0000009	Exaiptasia_diaphana_XP_028518737.1 XP_028518737.1 protein SpAN [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914713.1 XP_020914713.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914712.1 XP_020914712.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914711.1 XP_020914711.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512601.1 XP_028512601.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905815.1 XP_020905815.1 tolloid-like protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905817.2 XP_020905817.2 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905818.2 XP_020905818.2 protein shisa-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905821.1 XP_020905821.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905820.1 XP_020905820.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518116.1 XP_028518116.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911687.2 XP_020911687.2 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902050.1 XP_020902050.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914019.1 XP_020914019.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905197.1 XP_020905197.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913976.1 XP_020913976.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913978.1 XP_020913978.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913979.1 XP_020913979.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909071.1 XP_020909071.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515218.1 XP_028515218.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515217.1 XP_028515217.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906175.1 XP_020906175.1 CUB domain-containing protein 2 [Exaiptasia diaphana]	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000010	Exaiptasia_diaphana_XP_028516420.1 XP_028516420.1 hemicentin-1 [Exaiptasia diaphana]	XP_010808812.1 hemicentin-2 isoform X1 [Bos taurus]
OG0000010	Exaiptasia_diaphana_XP_028519293.1 XP_028519293.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519300.1 XP_028519300.1 hemicentin-1 [Exaiptasia diaphana]	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus], XP_005228525.2 matrix-remodeling-associated protein 5 isoform X1 [Bos taurus], sp|P31836.1|NCAM1_BOVIN RecName_ Full=Neural cell adhesion molecule 1; Short=N-CAM-1; Short=NCAM-1; Flags_ Precursor
OG0000010	Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]
OG0000010	Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]	XP_005217262.1 agrin isoform X1 [Bos taurus]
OG0000011	Exaiptasia_diaphana_XP_028513255.1 XP_028513255.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110233543 [Exaiptasia diaphana]	XP_024843118.2 suppressor of tumorigenicity 14 protein homolog isoform X1 [Bos taurus], sp|P98072.1|ENTK_BOVIN RecName_ Full=Enteropeptidase; AltName_ Full=Enterokinase; AltName_ Full=Serine protease 7; AltName_ Full=Transmembrane protease serine 15; Contains_ RecName_ Full=Enteropeptidase non-catalytic heavy chain; Contains_ RecName_ Full=Enteropeptidase catalytic light chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, NP_776302.1 prothrombin precursor [Bos taurus]
OG0000012	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor
OG0000012	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus], NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020904195.1 XP_020904195.1 protein Wnt-16 [Exaiptasia diaphana]	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor
OG0000013	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020893235.1 XP_020893235.1 protein Wnt-3a [Exaiptasia diaphana]	NP_001192953.1 proto-oncogene Wnt-3 precursor [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_028519476.1 XP_028519476.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519475.1 XP_028519475.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916617.1 XP_020916617.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916616.1 XP_020916616.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519474.1 XP_028519474.1 protein Wnt-4 isoform X1 [Exaiptasia diaphana]	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]
