Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Xenia_spec
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027
OG0000001	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000001	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085
OG0000002	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Xenia_spec_Xe_003115_T1 Xe_003115_T1 Xe_003115, Xenia_spec_Xe_003081_T1 Xe_003081_T1 Xe_003081
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903
OG0000002	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641
OG0000002	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189
OG0000002	Exaiptasia_diaphana_XP_020895970.2 XP_020895970.2 uncharacterized protein LOC110234901 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900194.1 XP_020900194.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898956.1 XP_020898956.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915806.1 XP_020915806.1 coadhesin [Exaiptasia diaphana]	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481
OG0000002	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911
OG0000003	Exaiptasia_diaphana_XP_028512488.1 XP_028512488.1 uncharacterized protein LOC114574349 [Exaiptasia diaphana]	Xenia_spec_Xe_012784_T1 Xe_012784_T1 Xe_012784
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799
OG0000003	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651
OG0000003	Exaiptasia_diaphana_XP_020913629.1 XP_020913629.1 C-type lectin-like [Exaiptasia diaphana]	Xenia_spec_Xe_008296_T1 Xe_008296_T1 Xe_008296
OG0000003	Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518736.1 XP_028518736.1 fibrillin-1 [Exaiptasia diaphana]	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093
OG0000003	Exaiptasia_diaphana_XP_028517873.1 XP_028517873.1 uncharacterized protein LOC110248715 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907890.2 XP_020907890.2 uncharacterized protein LOC110245933 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517870.1 XP_028517870.1 uncharacterized protein LOC110248708 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907891.1 XP_020907891.1 uncharacterized protein LOC110245934 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912859.2 XP_020912859.2 uncharacterized protein LOC110250599 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518448.1 XP_028518448.1 P-selectin-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514228.1 XP_028514228.1 uncharacterized protein LOC114574827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907884.2 XP_020907884.2 uncharacterized protein LOC110245927 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518810.1 XP_028518810.1 uncharacterized protein LOC110251696 [Exaiptasia diaphana]	Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591
OG0000004	Exaiptasia_diaphana_XP_020912235.1 XP_020912235.1 collagen alpha-5_VI_ chain [Exaiptasia diaphana]	Xenia_spec_Xe_011604_T1 Xe_011604_T1 Xe_011604
OG0000004	Exaiptasia_diaphana_XP_020911584.1 XP_020911584.1 cartilage matrix protein-like [Exaiptasia diaphana]	Xenia_spec_Xe_009333_T1 Xe_009333_T1 Xe_009333, Xenia_spec_Xe_009334_T1 Xe_009334_T1 Xe_009334, Xenia_spec_Xe_009329_T1 Xe_009329_T1 Xe_009329
OG0000004	Exaiptasia_diaphana_XP_020915329.1 XP_020915329.1 collagen alpha-6_VI_ chain isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915325.1 XP_020915325.1 uncharacterized protein LOC110252824 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519122.1 XP_028519122.1 uncharacterized protein LOC110252824 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915327.1 XP_020915327.1 uncharacterized protein LOC110252824 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915326.1 XP_020915326.1 uncharacterized protein LOC110252824 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898609.1 XP_020898609.1 collagen alpha-6_VI_ chain-like [Exaiptasia diaphana]	Xenia_spec_Xe_009740_T1 Xe_009740_T1 Xe_009740
OG0000004	Exaiptasia_diaphana_XP_020909926.1 XP_020909926.1 collagen alpha-1_XII_ chain-like [Exaiptasia diaphana]	Xenia_spec_Xe_012651_T1 Xe_012651_T1 Xe_012651
OG0000004	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907900.1 XP_020907900.1 cochlin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909150.1 XP_020909150.1 uncharacterized protein LOC110247101_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516116.1 XP_028516116.1 uncharacterized protein LOC110243347 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905083.2 XP_020905083.2 uncharacterized protein LOC110243335 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516114.1 XP_028516114.1 von Willebrand factor A domain-containing protein 2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905097.1 XP_020905097.1 uncharacterized protein LOC110243349 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894469.1 XP_020894469.1 cochlin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910573.1 XP_020910573.1 uncharacterized protein LOC110248392 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516243.1 XP_028516243.1 uncharacterized protein LOC110243783_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515504.1 XP_028515504.1 uncharacterized protein LOC114575234 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897276.2 XP_020897276.2 collagen alpha-1_XIV_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515888.1 XP_028515888.1 uncharacterized protein LOC110242451 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515889.1 XP_028515889.1 collagen alpha-1_XII_ chain-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513285.1 XP_028513285.1 uncharacterized protein LOC110233572 [Exaiptasia diaphana]	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025
OG0000004	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396
OG0000004	Exaiptasia_diaphana_XP_020910017.1 XP_020910017.1 protocadherin Fat 4 [Exaiptasia diaphana]	Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049
OG0000004	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900065.1 XP_020900065.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900069.1 XP_020900069.1 protocadherin-like protein [Exaiptasia diaphana]	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233
OG0000004	Exaiptasia_diaphana_XP_028513163.1 XP_028513163.1 protocadherin-like protein isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513162.1 XP_028513162.1 protocadherin-like protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894174.1 XP_020894174.1 protocadherin-like protein isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231
OG0000004	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008
