Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]	Aurelia_aurita_Seg436.1 Seg436.1 transcript_id=Seg436.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg436.1_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512881.1 XP_028512881.1 uncharacterized protein LOC110232353 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana]	Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana]	Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]	Aurelia_aurita_Seg420.2 Seg420.2 transcript_id=Seg420.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg420.2_GoldUCD_D3Y31
OG0000001	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]	Aurelia_aurita_Seg2740.1 Seg2740.1 transcript_id=Seg2740.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like" protein_id=Seg2740.1_GoldUCD_D3Y31
OG0000001	Exaiptasia_diaphana_XP_020893198.1 XP_020893198.1 uncharacterized protein LOC110232362 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912117.1 XP_020912117.1 uncharacterized protein LOC110249872 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514824.1 XP_028514824.1 uncharacterized protein LOC110238963 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514825.1 XP_028514825.1 uncharacterized protein LOC110238967 [Exaiptasia diaphana]	Aurelia_aurita_Seg234.2 Seg234.2 transcript_id=Seg234.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg234.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4371.3 Seg4371.3 transcript_id=Seg4371.3_GoldUCD_mRNA.D3Y31 product="Two-pore potassium channel 3" protein_id=Seg4371.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1226.1 Seg1226.1 transcript_id=Seg1226.1_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg1226.1_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_020913082.1 XP_020913082.1 uncharacterized protein LOC110250788 [Exaiptasia diaphana]	Aurelia_aurita_Seg2178.5 Seg2178.5 transcript_id=Seg2178.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg2178.5_GoldUCD_D3Y31, Aurelia_aurita_Seg95.8 Seg95.8 transcript_id=Seg95.8_GoldUCD_mRNA.D3Y31 product="Potassium voltage-gated channel protein Shaker" protein_id=Seg95.8_GoldUCD_D3Y31
OG0000001	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31
OG0000001	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true
OG0000001	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31
OG0000001	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000002	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31
OG0000002	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31
OG0000002	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true
OG0000002	Exaiptasia_diaphana_XP_028519577.1 XP_028519577.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519578.1 XP_028519578.1 uncharacterized protein LOC114576685 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519572.1 XP_028519572.1 uncharacterized protein LOC110254262 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916859.1 XP_020916859.1 uncharacterized protein LOC110254228 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904142.1 XP_020904142.1 uncharacterized protein LOC110242489 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517813.1 XP_028517813.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515909.1 XP_028515909.1 semaphorin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518479.1 XP_028518479.1 uncharacterized protein LOC114576303_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519569.1 XP_028519569.1 ADAMTS-like protein 1 [Exaiptasia diaphana]	Aurelia_aurita_Seg3688.1 Seg3688.1 transcript_id=Seg3688.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3688.1_GoldUCD_D3Y31 partial=true
OG0000002	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31
