Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000010	Exaiptasia_diaphana_XP_028518186.1 XP_028518186.1 pikachurin [Exaiptasia diaphana]	Branchiostoma_floridae_tr_C3YTC3_C3YTC3_BRAFL tr|C3YTC3|C3YTC3_BRAFL Pikachurin-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118431892 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MFU4_A0A9J7MFU4_BRAFL tr|A0A9J7MFU4|A0A9J7MFU4_BRAFL Pikachurin-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118431892 PE=4 SV=1
OG0000010	Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7NA58_A0A9J7NA58_BRAFL tr|A0A9J7NA58|A0A9J7NA58_BRAFL Agrin OS=Branchiostoma floridae OX=7739 GN=LOC118430198 PE=4 SV=1
OG0000011	Exaiptasia_diaphana_XP_020895286.2 XP_020895286.2 uncharacterized protein LOC110234259_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513122.1 XP_028513122.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894038.2 XP_020894038.2 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513123.1 XP_028513123.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516046.1 XP_028516046.1 tyrosine-protein kinase transmembrane receptor ROR2 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516044.1 XP_028516044.1 uncharacterized protein LOC110242972 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516045.1 XP_028516045.1 uncharacterized protein LOC110242972 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516043.1 XP_028516043.1 uncharacterized protein LOC110242972 isoform X1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HII8_A0A9J7HII8_BRAFL tr|A0A9J7HII8|A0A9J7HII8_BRAFL Transmembrane matrix receptor MUP-4-like OS=Branchiostoma floridae OX=7739 GN=LOC118404901 PE=4 SV=1
OG0000011	Exaiptasia_diaphana_XP_028513255.1 XP_028513255.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110233543 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7MEK2_A0A9J7MEK2_BRAFL tr|A0A9J7MEK2|A0A9J7MEK2_BRAFL Chymotrypsinogen 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431979 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HML2_A0A9J7HML2_BRAFL tr|A0A9J7HML2|A0A9J7HML2_BRAFL Uncharacterized protein LOC118406418 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118406418 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HMK0_A0A9J7HMK0_BRAFL tr|A0A9J7HMK0|A0A9J7HMK0_BRAFL Uncharacterized protein LOC118406418 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118406418 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HMJ6_A0A9J7HMJ6_BRAFL tr|A0A9J7HMJ6|A0A9J7HMJ6_BRAFL Uncharacterized protein LOC118406418 isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118406418 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M1X2_A0A9J7M1X2_BRAFL tr|A0A9J7M1X2|A0A9J7M1X2_BRAFL Protein adenylyltransferase FICD OS=Branchiostoma floridae OX=7739 GN=LOC118426943 PE=3 SV=1
OG0000012	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7M4K2_A0A9J7M4K2_BRAFL tr|A0A9J7M4K2|A0A9J7M4K2_BRAFL SCO-spondin-like OS=Branchiostoma floridae OX=7739 GN=LOC118428214 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HED2_A0A9J7HED2_BRAFL tr|A0A9J7HED2|A0A9J7HED2_BRAFL SCO-spondin-like OS=Branchiostoma floridae OX=7739 GN=LOC118403437 PE=4 SV=1
OG0000012	Exaiptasia_diaphana_XP_028519674.1 XP_028519674.1 mucin-5AC [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7LSZ6_A0A9J7LSZ6_BRAFL tr|A0A9J7LSZ6|A0A9J7LSZ6_BRAFL SCO-spondin-like OS=Branchiostoma floridae OX=7739 GN=LOC118424280 PE=4 SV=1
OG0000012	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7KFR7_A0A9J7KFR7_BRAFL tr|A0A9J7KFR7|A0A9J7KFR7_BRAFL Zonadhesin-like OS=Branchiostoma floridae OX=7739 GN=LOC118403435 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HGY8_A0A9J7HGY8_BRAFL tr|A0A9J7HGY8|A0A9J7HGY8_BRAFL Uncharacterized protein LOC118404302 OS=Branchiostoma floridae OX=7739 GN=LOC118404302 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HL74_A0A9J7HL74_BRAFL tr|A0A9J7HL74|A0A9J7HL74_BRAFL Uncharacterized protein LOC118404903 OS=Branchiostoma floridae OX=7739 GN=LOC118404903 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LBN4_A0A9J7LBN4_BRAFL tr|A0A9J7LBN4|A0A9J7LBN4_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118418132 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N9L2_A0A9J7N9L2_BRAFL tr|A0A9J7N9L2|A0A9J7N9L2_BRAFL Fibrillin-3-like OS=Branchiostoma floridae OX=7739 GN=LOC118429446 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MS37_A0A9J7MS37_BRAFL tr|A0A9J7MS37|A0A9J7MS37_BRAFL Neurogenic locus Notch protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118417382 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MHR9_A0A9J7MHR9_BRAFL tr|A0A9J7MHR9|A0A9J7MHR9_BRAFL IgGFc-binding protein-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118432311 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF91_A0A9J7MF91_BRAFL tr|A0A9J7MF91|A0A9J7MF91_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118432187 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KJD4_A0A9J7KJD4_BRAFL tr|A0A9J7KJD4|A0A9J7KJD4_BRAFL BMP-binding endothelial regulator protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118405947 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KKE4_A0A9J7KKE4_BRAFL tr|A0A9J7KKE4|A0A9J7KKE4_BRAFL Kielin/chordin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118407028 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HTZ3_A0A9J7HTZ3_BRAFL tr|A0A9J7HTZ3|A0A9J7HTZ3_BRAFL Kielin/chordin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118407080 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI2_A0A9J7KQI2_BRAFL tr|A0A9J7KQI2|A0A9J7KQI2_BRAFL Kielin/chordin-like protein isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE8_A0A9J7KQE8_BRAFL tr|A0A9J7KQE8|A0A9J7KQE8_BRAFL Kielin/chordin-like protein isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQH3_A0A9J7KQH3_BRAFL tr|A0A9J7KQH3|A0A9J7KQH3_BRAFL Kielin/chordin-like protein isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI1_A0A9J7KQI1_BRAFL tr|A0A9J7KQI1|A0A9J7KQI1_BRAFL Kielin/chordin-like protein isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI5_A0A9J7KQI5_BRAFL tr|A0A9J7KQI5|A0A9J7KQI5_BRAFL Kielin/chordin-like protein isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQJ4_A0A9J7KQJ4_BRAFL tr|A0A9J7KQJ4|A0A9J7KQJ4_BRAFL Fibrillin-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRQ9_A0A9J7KRQ9_BRAFL tr|A0A9J7KRQ9|A0A9J7KRQ9_BRAFL Kielin/chordin-like protein isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI63_A0A9J7MI63_BRAFL tr|A0A9J7MI63|A0A9J7MI63_BRAFL Kielin/chordin-like protein isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI85_A0A9J7MI85_BRAFL tr|A0A9J7MI85|A0A9J7MI85_BRAFL Kielin/chordin-like protein isoform X11 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE9_A0A9J7KQE9_BRAFL tr|A0A9J7KQE9|A0A9J7KQE9_BRAFL Fibrillin-1-like isoform X10 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQK6_A0A9J7KQK6_BRAFL tr|A0A9J7KQK6|A0A9J7KQK6_BRAFL Fibrillin-1-like isoform X13 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI69_A0A9J7MI69_BRAFL tr|A0A9J7MI69|A0A9J7MI69_BRAFL Fibrillin-1-like isoform X14 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQG1_A0A9J7KQG1_BRAFL tr|A0A9J7KQG1|A0A9J7KQG1_BRAFL Fibrillin-1-like isoform X12 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQN7_A0A9J7KQN7_BRAFL tr|A0A9J7KQN7|A0A9J7KQN7_BRAFL Fibrillin-1-like isoform X16 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRD2_A0A9J7KRD2_BRAFL tr|A0A9J7KRD2|A0A9J7KRD2_BRAFL Fibrillin-1-like isoform X15 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRE1_A0A9J7KRE1_BRAFL tr|A0A9J7KRE1|A0A9J7KRE1_BRAFL Fibrillin-1-like isoform X17 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI36_A0A9J7MI36_BRAFL tr|A0A9J7MI36|A0A9J7MI36_BRAFL Kielin/chordin-like protein isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1
OG0000012	Exaiptasia_diaphana_XP_020903395.1 XP_020903395.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515705.1 XP_028515705.1 mucin-5AC-like [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7LUQ0_A0A9J7LUQ0_BRAFL tr|A0A9J7LUQ0|A0A9J7LUQ0_BRAFL von Willebrand factor C and EGF domain-containing protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118424175 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N427_A0A9J7N427_BRAFL tr|A0A9J7N427|A0A9J7N427_BRAFL Mucin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118424274 PE=4 SV=1
OG0000012	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HWC3_A0A9J7HWC3_BRAFL tr|A0A9J7HWC3|A0A9J7HWC3_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118409032 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KLZ2_A0A9J7KLZ2_BRAFL tr|A0A9J7KLZ2|A0A9J7KLZ2_BRAFL Uncharacterized protein LOC118409063 OS=Branchiostoma floridae OX=7739 GN=LOC118409063 PE=4 SV=1
OG0000013	Exaiptasia_diaphana_XP_020904195.1 XP_020904195.1 protein Wnt-16 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7L5Y9_A0A9J7L5Y9_BRAFL tr|A0A9J7L5Y9|A0A9J7L5Y9_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118415996 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HKV8_A0A9J7HKV8_BRAFL tr|A0A9J7HKV8|A0A9J7HKV8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HQ70_A0A9J7HQ70_BRAFL tr|A0A9J7HQ70|A0A9J7HQ70_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KG26_A0A9J7KG26_BRAFL tr|A0A9J7KG26|A0A9J7KG26_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7K8T1_A0A9J7K8T1_BRAFL tr|A0A9J7K8T1|A0A9J7K8T1_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HN54_A0A9J7HN54_BRAFL tr|A0A9J7HN54|A0A9J7HN54_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HL09_A0A9J7HL09_BRAFL tr|A0A9J7HL09|A0A9J7HL09_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HNY0_A0A9J7HNY0_BRAFL tr|A0A9J7HNY0|A0A9J7HNY0_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KJ26_A0A9J7KJ26_BRAFL tr|A0A9J7KJ26|A0A9J7KJ26_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HKQ7_A0A9J7HKQ7_BRAFL tr|A0A9J7HKQ7|A0A9J7HKQ7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HN59_A0A9J7HN59_BRAFL tr|A0A9J7HN59|A0A9J7HN59_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_C3YYJ7_C3YYJ7_BRAFL tr|C3YYJ7|C3YYJ7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_C3YYJ8_C3YYJ8_BRAFL tr|C3YYJ8|C3YYJ8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405857 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020893235.1 XP_020893235.1 protein Wnt-3a [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HJL3_A0A9J7HJL3_BRAFL tr|A0A9J7HJL3|A0A9J7HJL3_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405399 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_028519476.1 XP_028519476.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519475.1 XP_028519475.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916617.1 XP_020916617.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916616.1 XP_020916616.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519474.1 XP_028519474.1 protein Wnt-4 isoform X1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_C3XPR5_C3XPR5_BRAFL tr|C3XPR5|C3XPR5_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118430603 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_C3Z2P0_C3Z2P0_BRAFL tr|C3Z2P0|C3Z2P0_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118415326 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_C3ZCG7_C3ZCG7_BRAFL tr|C3ZCG7|C3ZCG7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118427476 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_O61700_O61700_BRAFL tr|O61700|O61700_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=Wnt7b PE=2 SV=1, Branchiostoma_floridae_tr_A0A9J7L7U8_A0A9J7L7U8_BRAFL tr|A0A9J7L7U8|A0A9J7L7U8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118416551 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7L936_A0A9J7L936_BRAFL tr|A0A9J7L936|A0A9J7L936_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118416575 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7L7H8_A0A9J7L7H8_BRAFL tr|A0A9J7L7H8|A0A9J7L7H8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118416575 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7KSJ3_A0A9J7KSJ3_BRAFL tr|A0A9J7KSJ3|A0A9J7KSJ3_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118411526 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KUD2_A0A9J7KUD2_BRAFL tr|A0A9J7KUD2|A0A9J7KUD2_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118411526 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KTK3_A0A9J7KTK3_BRAFL tr|A0A9J7KTK3|A0A9J7KTK3_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118411526 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MJM4_A0A9J7MJM4_BRAFL tr|A0A9J7MJM4|A0A9J7MJM4_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118411526 PE=3 SV=1
OG0000013	Exaiptasia_diaphana_XP_020913046.1 XP_020913046.1 protein Wnt-10a [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HKS6_A0A9J7HKS6_BRAFL tr|A0A9J7HKS6|A0A9J7HKS6_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405723 PE=3 SV=1
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7MZ61_A0A9J7MZ61_BRAFL tr|A0A9J7MZ61|A0A9J7MZ61_BRAFL ADAMTS-like protein 2 OS=Branchiostoma floridae OX=7739 GN=LOC118421162 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MIS4_A0A9J7MIS4_BRAFL tr|A0A9J7MIS4|A0A9J7MIS4_BRAFL Thrombospondin type-1 domain-containing protein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118410647 PE=4 SV=1
OG0000014	Exaiptasia_diaphana_XP_020903155.1 XP_020903155.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515635.1 XP_028515635.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 isoform X1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7ND91_A0A9J7ND91_BRAFL tr|A0A9J7ND91|A0A9J7ND91_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118432483 PE=4 SV=1
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7M338_A0A9J7M338_BRAFL tr|A0A9J7M338|A0A9J7M338_BRAFL Papilin-like OS=Branchiostoma floridae OX=7739 GN=LOC118427434 PE=4 SV=1
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7L9D6_A0A9J7L9D6_BRAFL tr|A0A9J7L9D6|A0A9J7L9D6_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs 20-like OS=Branchiostoma floridae OX=7739 GN=LOC118416375 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L735_A0A9J7L735_BRAFL tr|A0A9J7L735|A0A9J7L735_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs 9-like OS=Branchiostoma floridae OX=7739 GN=LOC118416374 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L4W5_A0A9J7L4W5_BRAFL tr|A0A9J7L4W5|A0A9J7L4W5_BRAFL A disintegrin and metalloproteinase with thrombospondin motifs 9-like OS=Branchiostoma floridae OX=7739 GN=LOC118415541 PE=4 SV=1
