Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000002	Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897811.1 XP_020897811.1 uncharacterized protein LOC110236613 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1
OG0000002	Exaiptasia_diaphana_XP_020911994.1 XP_020911994.1 SCO-spondin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold13.g74.t1 scaffold13.g74.t1
OG0000002	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold15.g40.t1 scaffold15.g40.t1, Morbakka_virulenta_scaffold44.g87.t5 scaffold44.g87.t5, Morbakka_virulenta_scaffold44.g87.t4 scaffold44.g87.t4, Morbakka_virulenta_scaffold44.g87.t3 scaffold44.g87.t3, Morbakka_virulenta_scaffold44.g87.t2 scaffold44.g87.t2
OG0000003	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1
OG0000003	Exaiptasia_diaphana_XP_028512488.1 XP_028512488.1 uncharacterized protein LOC114574349 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold71.g67.t1 scaffold71.g67.t1
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1
OG0000003	Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1
OG0000003	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2
OG0000003	Exaiptasia_diaphana_XP_020894641.1 XP_020894641.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513260.1 XP_028513260.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold45.g61.t1 scaffold45.g61.t1
OG0000003	Exaiptasia_diaphana_XP_028515541.1 XP_028515541.1 formin-like protein 20 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902829.1 XP_020902829.1 proline-rich extensin-like protein EPR1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902810.1 XP_020902810.1 uncharacterized protein LOC110241282 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515540.1 XP_028515540.1 uncharacterized protein LOC110241282 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902757.1 XP_020902757.1 uncharacterized protein LOC110241235 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1
OG0000003	Exaiptasia_diaphana_XP_028519268.1 XP_028519268.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914857.1 XP_020914857.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914865.1 XP_020914865.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519269.1 XP_028519269.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3
OG0000003	Exaiptasia_diaphana_XP_020897241.1 XP_020897241.1 protein kinase C-binding protein NELL1_ partial [Exaiptasia diaphana]	Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1
OG0000003	Exaiptasia_diaphana_XP_028517885.1 XP_028517885.1 nidogen-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514911.1 XP_028514911.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915720.2 XP_020915720.2 uncharacterized protein LOC110253183 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515645.1 XP_028515645.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518390.1 XP_028518390.1 uncharacterized protein LOC114576273 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1
OG0000004	Exaiptasia_diaphana_XP_020911584.1 XP_020911584.1 cartilage matrix protein-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold216.g32.t1 scaffold216.g32.t1
OG0000004	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana]	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1
OG0000004	Exaiptasia_diaphana_XP_020911954.1 XP_020911954.1 cochlin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1
OG0000004	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2
OG0000004	Exaiptasia_diaphana_XP_028517283.1 XP_028517283.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908856.1 XP_020908856.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912230.1 XP_020912230.1 coadhesin [Exaiptasia diaphana]	Morbakka_virulenta_scaffold109.g53.t1 scaffold109.g53.t1
OG0000004	Exaiptasia_diaphana_XP_020910017.1 XP_020910017.1 protocadherin Fat 4 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold495.g5.t1 scaffold495.g5.t1
OG0000004	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900065.1 XP_020900065.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900069.1 XP_020900069.1 protocadherin-like protein [Exaiptasia diaphana]	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1
OG0000004	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1
OG0000004	Exaiptasia_diaphana_XP_020914238.1 XP_020914238.1 fat-like cadherin-related tumor suppressor homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914237.1 XP_020914237.1 fat-like cadherin-related tumor suppressor homolog isoform X1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1
OG0000004	Exaiptasia_diaphana_XP_028518873.1 XP_028518873.1 protocadherin Fat 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518874.1 XP_028518874.1 thrombospondin type-1 domain-containing protein 7A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914373.1 XP_020914373.1 coadhesin_ partial [Exaiptasia diaphana]	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1
OG0000005	Exaiptasia_diaphana_XP_020906559.1 XP_020906559.1 blastula protease 10 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1
OG0000005	Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1
OG0000005	Exaiptasia_diaphana_XP_020915721.1 XP_020915721.1 low choriolytic enzyme [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901461.1 XP_020901461.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907018.2 XP_020907018.2 blastula protease 10_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916020.1 XP_020916020.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901178.2 XP_020901178.2 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908170.1 XP_020908170.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910129.1 XP_020910129.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901630.1 XP_020901630.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901634.1 XP_020901634.1 blastula protease 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901633.1 XP_020901633.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901632.1 XP_020901632.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515202.1 XP_028515202.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1, Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1
OG0000005	Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1
OG0000005	Exaiptasia_diaphana_XP_020896173.1 XP_020896173.1 MAM and LDL-receptor class A domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917063.1 XP_020917063.1 uncharacterized protein LOC110254422 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold203.g14.t2 scaffold203.g14.t2, Morbakka_virulenta_scaffold203.g14.t1 scaffold203.g14.t1
OG0000005	Exaiptasia_diaphana_XP_028517244.1 XP_028517244.1 MAM and LDL-receptor class A domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911562.2 XP_020911562.2 uncharacterized protein LOC110249325_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900602.2 XP_020900602.2 uncharacterized protein LOC110239232 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900616.2 XP_020900616.2 uncharacterized protein LOC110239247 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514903.1 XP_028514903.1 uncharacterized protein LOC110239249_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895504.2 XP_020895504.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896667.2 XP_020896667.2 LOW QUALITY PROTEIN_ zinc metalloproteinase nas-6-like [Exaiptasia diaphana]	Morbakka_virulenta_scaffold67.g19.t5 scaffold67.g19.t5, Morbakka_virulenta_scaffold67.g19.t6 scaffold67.g19.t6, Morbakka_virulenta_scaffold67.g19.t2 scaffold67.g19.t2, Morbakka_virulenta_scaffold67.g19.t3 scaffold67.g19.t3, Morbakka_virulenta_scaffold67.g19.t4 scaffold67.g19.t4, Morbakka_virulenta_scaffold67.g19.t1 scaffold67.g19.t1, Morbakka_virulenta_scaffold67.g20.t1 scaffold67.g20.t1, Morbakka_virulenta_scaffold309.g26.t2 scaffold309.g26.t2, Morbakka_virulenta_scaffold309.g26.t1 scaffold309.g26.t1
OG0000005	Exaiptasia_diaphana_XP_020904158.1 XP_020904158.1 uncharacterized protein LOC110242500 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold99.g7.t2 scaffold99.g7.t2, Morbakka_virulenta_scaffold99.g7.t1 scaffold99.g7.t1, Morbakka_virulenta_scaffold44.g41.t2 scaffold44.g41.t2, Morbakka_virulenta_scaffold44.g41.t1 scaffold44.g41.t1
OG0000005	Exaiptasia_diaphana_XP_020905647.1 XP_020905647.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905645.1 XP_020905645.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905649.1 XP_020905649.1 zinc metalloproteinase nas-14 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905643.1 XP_020905643.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905646.1 XP_020905646.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold82.g11.t1 scaffold82.g11.t1
OG0000005	Exaiptasia_diaphana_XP_020900957.1 XP_020900957.1 meprin A subunit beta isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515006.1 XP_028515006.1 meprin A subunit beta isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900956.1 XP_020900956.1 meprin A subunit beta isoform X1 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1
OG0000005	Exaiptasia_diaphana_XP_020911192.1 XP_020911192.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1
