Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Placozoa_Trichoplacidae_Tricoplax_adhaerens
OG0000003	Exaiptasia_diaphana_XP_028518736.1 XP_028518736.1 fibrillin-1 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RS18_B3RS18_TRIAD tr_B3RS18_B3RS18_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22336 PE=4 SV=1
OG0000005	Exaiptasia_diaphana_XP_020906559.1 XP_020906559.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902117.2 XP_020902117.2 nematocyst expressed protein 6-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915721.1 XP_020915721.1 low choriolytic enzyme [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901461.1 XP_020901461.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907018.2 XP_020907018.2 blastula protease 10_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916020.1 XP_020916020.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901178.2 XP_020901178.2 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908170.1 XP_020908170.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910129.1 XP_020910129.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901630.1 XP_020901630.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901634.1 XP_020901634.1 blastula protease 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901633.1 XP_020901633.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901632.1 XP_020901632.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515202.1 XP_028515202.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514125.1 XP_028514125.1 zinc metalloproteinase nas-13 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514126.1 XP_028514126.1 zinc metalloproteinase nas-13 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893266.1 XP_020893266.1 uncharacterized protein LOC110232415 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893267.1 XP_020893267.1 uncharacterized protein LOC110232415 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909077.1 XP_020909077.1 zinc metalloproteinase nas-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512430.1 XP_028512430.1 zinc metalloproteinase nas-36 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514338.1 XP_028514338.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911183.1 XP_020911183.1 bone morphogenetic protein 1 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RTE3_B3RTE3_TRIAD tr_B3RTE3_B3RTE3_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54934 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTE4_B3RTE4_TRIAD tr_B3RTE4_B3RTE4_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54935 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9X8_B3S9X8_TRIAD tr_B3S9X8_B3S9X8_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32049 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTC7_B3RTC7_TRIAD tr_B3RTC7_B3RTC7_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_8107 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SD01_B3SD01_TRIAD tr_B3SD01_B3SD01_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33646 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S0U5_B3S0U5_TRIAD tr_B3S0U5_B3S0U5_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26557 PE=4 SV=1
OG0000007	Exaiptasia_diaphana_XP_028514699.1 XP_028514699.1 uncharacterized protein LOC110238486 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RJF7_B3RJF7_TRIAD tr_B3RJF7_B3RJF7_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_2919 PE=4 SV=1
OG0000007	Exaiptasia_diaphana_XP_028519369.1 XP_028519369.1 mucin-like protein [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3S3N0_B3S3N0_TRIAD tr_B3S3N0_B3S3N0_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_50 PE=4 SV=1
OG0000007	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3SD52_B3SD52_TRIAD tr_B3SD52_B3SD52_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33760 PE=4 SV=1
OG0000007	Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RIT7_B3RIT7_TRIAD tr_B3RIT7_B3RIT7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIU2_B3RIU2_TRIAD tr_B3RIU2_B3RIU2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51368 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SES2_B3SES2_TRIAD tr_B3SES2_B3SES2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62756 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW9_B3SDW9_TRIAD tr_B3SDW9_B3SDW9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62473 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW6_B3SDW6_TRIAD tr_B3SDW6_B3SDW6_TRIAD EGF-like domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62471 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT9_B3RIT9_TRIAD tr_B3RIT9_B3RIT9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51365 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT6_B3RIT6_TRIAD tr_B3RIT6_B3RIT6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19226 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS19_B3RS19_TRIAD tr_B3RS19_B3RS19_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV6_B3RZV6_TRIAD tr_B3RZV6_B3RZV6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27138 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS17_B3RS17_TRIAD tr_B3RS17_B3RS17_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54443 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV7_B3RZV7_TRIAD tr_B3RZV7_B3RZV7_TRIAD VWFD domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_14672 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEN2_B3SEN2_TRIAD tr_B3SEN2_B3SEN2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62718 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEJ1_B3SEJ1_TRIAD tr_B3SEJ1_B3SEJ1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62682 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS22_B3RS22_TRIAD tr_B3RS22_B3RS22_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54448 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RQ10_B3RQ10_TRIAD tr_B3RQ10_B3RQ10_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53736 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ07_B3RQ07_TRIAD tr_B3RQ07_B3RQ07_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53733 PE=4 SV=1
OG0000007	Exaiptasia_diaphana_XP_028519601.1 XP_028519601.1 fibulin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3SDB5_B3SDB5_TRIAD tr_B3SDB5_B3SDB5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33810 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDB2_B3SDB2_TRIAD tr_B3SDB2_B3SDB2_TRIAD EGF-like domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62270 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDB3_B3SDB3_TRIAD tr_B3SDB3_B3SDB3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62271 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDN3_B3SDN3_TRIAD tr_B3SDN3_B3SDN3_TRIAD EGF-like domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62390 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDN4_B3SDN4_TRIAD tr_B3SDN4_B3SDN4_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62391 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDN5_B3SDN5_TRIAD tr_B3SDN5_B3SDN5_TRIAD EGF-like domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62392 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDR0_B3SDR0_TRIAD tr_B3SDR0_B3SDR0_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62420 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020901878.1 XP_020901878.1 uncharacterized protein LOC110240410 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515273.1 XP_028515273.1 uncharacterized protein LOC110240410 isoform X1 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RNJ4_B3RNJ4_TRIAD tr_B3RNJ4_B3RNJ4_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21526 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020901957.1 XP_020901957.1 protein jagged-1-like [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RZW2_B3RZW2_TRIAD tr_B3RZW2_B3RZW2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26462 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV8_B3RZV8_TRIAD tr_B3RZV8_B3RZV8_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26206 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020908364.1 XP_020908364.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516255.1 XP_028516255.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516256.1 XP_028516256.1 uncharacterized protein LOC110243828 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905625.1 XP_020905625.1 uncharacterized protein LOC110243830_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516771.1 XP_028516771.1 fibropellin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893910.1 XP_020893910.1 oncoprotein-induced transcript 3 protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513086.1 XP_028513086.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519038.1 XP_028519038.1 uncharacterized protein LOC110252550 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915034.1 XP_020915034.1 uncharacterized protein LOC110252550 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516912.1 XP_028516912.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518784.1 XP_028518784.1 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513929.1 XP_028513929.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904484.1 XP_020904484.1 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514431.1 XP_028514431.1 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513931.1 XP_028513931.1 uncharacterized protein LOC114574740 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897911.1 XP_020897911.1 uromodulin [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RK62_B3RK62_TRIAD tr_B3RK62_B3RK62_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63477 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S5W3_B3S5W3_TRIAD tr_B3S5W3_B3S5W3_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59529 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RNP9_B3RNP9_TRIAD tr_B3RNP9_B3RNP9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53244 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RRK3_B3RRK3_TRIAD tr_B3RRK3_B3RRK3_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54273 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020901125.1 XP_020901125.1 fibropellin-1_ partial [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3SCF3_B3SCF3_TRIAD tr_B3SCF3_B3SCF3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61951 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RRJ9_B3RRJ9_TRIAD tr_B3RRJ9_B3RRJ9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22228 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SE78_B3SE78_TRIAD tr_B3SE78_B3SE78_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_34389 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_028516250.1 XP_028516250.1 fibropellin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907949.1 XP_020907949.1 fibropellin-1_ partial [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RZ30_B3RZ30_TRIAD tr_B3RZ30_B3RZ30_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26446 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_028515036.1 XP_028515036.1 fibrillin-2 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3S1M9_B3S1M9_TRIAD tr_B3S1M9_B3S1M9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57820 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020916542.1 XP_020916542.1 fibropellin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898504.2 XP_020898504.2 uncharacterized protein LOC110237252 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3SCF4_B3SCF4_TRIAD tr_B3SCF4_B3SCF4_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_1758 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RX46_B3RX46_TRIAD tr_B3RX46_B3RX46_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_25024 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RRK2_B3RRK2_TRIAD tr_B3RRK2_B3RRK2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22358 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_028513439.1 XP_028513439.1 fibulin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912929.2 XP_020912929.2 protein kinase C-binding protein NELL2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911361.1 XP_020911361.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911360.1 XP_020911360.1 fibropellin-1 isoform X1 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RZV3_B3RZV3_TRIAD tr_B3RZV3_B3RZV3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26633 PE=4 SV=1
OG0000008	Exaiptasia_diaphana_XP_020917270.2 XP_020917270.2 neurogenic locus notch homolog protein 1-like_ partial [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RPA9_B3RPA9_TRIAD tr_B3RPA9_B3RPA9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21402 PE=4 SV=1
OG0000009	Exaiptasia_diaphana_XP_020913923.2 XP_020913923.2 CUB domain-containing protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913902.1 XP_020913902.1 procollagen C-endopeptidase enhancer 2 [Exaiptasia diaphana]	Tricoplax_adhaerens_tr_B3RMB5_B3RMB5_TRIAD tr_B3RMB5_B3RMB5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53888 PE=4 SV=1
