Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Vertebrata_Homo_sapiens
OG0000003	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2
OG0000003	Exaiptasia_diaphana_XP_020893229.1 XP_020893229.1 snaclec coagulation factor IX_factor X-binding protein subunit B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913541.1 XP_020913541.1 macrophage mannose receptor 1 [Exaiptasia diaphana]	Homo_sapiens_sp_Q5KU26_COL12_HUMAN sp|Q5KU26|COL12_HUMAN Collectin-12 OS=Homo sapiens OX=9606 GN=COLEC12 PE=1 SV=3, Homo_sapiens_sp_Q9ULY5_CLC4E_HUMAN sp|Q9ULY5|CLC4E_HUMAN C-type lectin domain family 4 member E OS=Homo sapiens OX=9606 GN=CLEC4E PE=1 SV=1
OG0000003	Exaiptasia_diaphana_XP_020913629.1 XP_020913629.1 C-type lectin-like [Exaiptasia diaphana]	Homo_sapiens_sp_Q06141_REG3A_HUMAN sp|Q06141|REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens OX=9606 GN=REG3A PE=1 SV=1, Homo_sapiens_sp_Q6UW15_REG3G_HUMAN sp|Q6UW15|REG3G_HUMAN Regenerating islet-derived protein 3-gamma OS=Homo sapiens OX=9606 GN=REG3G PE=1 SV=1, Homo_sapiens_sp_P48304_REG1B_HUMAN sp|P48304|REG1B_HUMAN Lithostathine-1-beta OS=Homo sapiens OX=9606 GN=REG1B PE=1 SV=1
OG0000004	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907900.1 XP_020907900.1 cochlin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909150.1 XP_020909150.1 uncharacterized protein LOC110247101_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516116.1 XP_028516116.1 uncharacterized protein LOC110243347 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905083.2 XP_020905083.2 uncharacterized protein LOC110243335 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516114.1 XP_028516114.1 von Willebrand factor A domain-containing protein 2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905097.1 XP_020905097.1 uncharacterized protein LOC110243349 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894469.1 XP_020894469.1 cochlin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910573.1 XP_020910573.1 uncharacterized protein LOC110248392 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516243.1 XP_028516243.1 uncharacterized protein LOC110243783_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515504.1 XP_028515504.1 uncharacterized protein LOC114575234 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897276.2 XP_020897276.2 collagen alpha-1_XIV_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515888.1 XP_028515888.1 uncharacterized protein LOC110242451 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515889.1 XP_028515889.1 collagen alpha-1_XII_ chain-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513285.1 XP_028513285.1 uncharacterized protein LOC110233572 [Exaiptasia diaphana]	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1
OG0000004	Exaiptasia_diaphana_XP_020911954.1 XP_020911954.1 cochlin [Exaiptasia diaphana]	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2
OG0000006	Exaiptasia_diaphana_XP_028519346.1 XP_028519346.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519355.1 XP_028519355.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516017.1 XP_028516017.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909969.2 XP_020909969.2 CUB and sushi domain-containing protein 3 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518709.1 XP_028518709.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896763.1 XP_020896763.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3
OG0000006	Exaiptasia_diaphana_XP_028518080.1 XP_028518080.1 uncharacterized protein LOC110249342 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911575.1 XP_020911575.1 uncharacterized protein LOC110249341 [Exaiptasia diaphana]	Homo_sapiens_sp_O60687_SRPX2_HUMAN sp|O60687|SRPX2_HUMAN Sushi repeat-containing protein SRPX2 OS=Homo sapiens OX=9606 GN=SRPX2 PE=1 SV=1, Homo_sapiens_sp_P78539_SRPX_HUMAN sp|P78539|SRPX_HUMAN Sushi repeat-containing protein SRPX OS=Homo sapiens OX=9606 GN=SRPX PE=1 SV=1
OG0000006	Exaiptasia_diaphana_XP_020916239.2 XP_020916239.2 uromodulin [Exaiptasia diaphana]	Homo_sapiens_sp_Q53RD9_FBLN7_HUMAN sp|Q53RD9|FBLN7_HUMAN Fibulin-7 OS=Homo sapiens OX=9606 GN=FBLN7 PE=2 SV=1
OG0000010	Exaiptasia_diaphana_XP_028516420.1 XP_028516420.1 hemicentin-1 [Exaiptasia diaphana]	Homo_sapiens_sp_Q8NDA2_HMCN2_HUMAN sp|Q8NDA2|HMCN2_HUMAN Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=2 SV=3
OG0000010	Exaiptasia_diaphana_XP_028519293.1 XP_028519293.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519300.1 XP_028519300.1 hemicentin-1 [Exaiptasia diaphana]	Homo_sapiens_sp_Q6WRI0_IGS10_HUMAN sp|Q6WRI0|IGS10_HUMAN Immunoglobulin superfamily member 10 OS=Homo sapiens OX=9606 GN=IGSF10 PE=1 SV=1, Homo_sapiens_sp_Q9NR99_MXRA5_HUMAN sp|Q9NR99|MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3
OG0000010	Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana]	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5
OG0000010	Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]	Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
OG0000010	Exaiptasia_diaphana_XP_028518186.1 XP_028518186.1 pikachurin [Exaiptasia diaphana]	Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2
OG0000010	Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]	Homo_sapiens_sp_O00468_AGRIN_HUMAN sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6
OG0000011	Exaiptasia_diaphana_XP_028513255.1 XP_028513255.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110233543 [Exaiptasia diaphana]	Homo_sapiens_sp_P00734_THRB_HUMAN sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2
OG0000012	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]	Homo_sapiens_sp_A2VEC9_SSPO_HUMAN sp|A2VEC9|SSPO_HUMAN SCO-spondin OS=Homo sapiens OX=9606 GN=SSPOP PE=2 SV=2
OG0000012	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]	Homo_sapiens_sp_Q8N8U9_BMPER_HUMAN sp|Q8N8U9|BMPER_HUMAN BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3, Homo_sapiens_sp_Q96DN2_VWCE_HUMAN sp|Q96DN2|VWCE_HUMAN von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens OX=9606 GN=VWCE PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]	Homo_sapiens_sp_Q9Y6F9_WNT6_HUMAN sp|Q9Y6F9|WNT6_HUMAN Protein Wnt-6 OS=Homo sapiens OX=9606 GN=WNT6 PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]	Homo_sapiens_sp_P04628_WNT1_HUMAN sp|P04628|WNT1_HUMAN Proto-oncogene Wnt-1 OS=Homo sapiens OX=9606 GN=WNT1 PE=1 SV=1
OG0000013	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]	Homo_sapiens_sp_Q9H1J7_WNT5B_HUMAN sp|Q9H1J7|WNT5B_HUMAN Protein Wnt-5b OS=Homo sapiens OX=9606 GN=WNT5B PE=2 SV=2, Homo_sapiens_sp_P41221_WNT5A_HUMAN sp|P41221|WNT5A_HUMAN Protein Wnt-5a OS=Homo sapiens OX=9606 GN=WNT5A PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	Homo_sapiens_sp_O96014_WNT11_HUMAN sp|O96014|WNT11_HUMAN Protein Wnt-11 OS=Homo sapiens OX=9606 GN=WNT11 PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2
OG0000013	Exaiptasia_diaphana_XP_020913046.1 XP_020913046.1 protein Wnt-10a [Exaiptasia diaphana]	Homo_sapiens_sp_O00744_WN10B_HUMAN sp|O00744|WN10B_HUMAN Protein Wnt-10b OS=Homo sapiens OX=9606 GN=WNT10B PE=1 SV=2, Homo_sapiens_sp_Q9GZT5_WN10A_HUMAN sp|Q9GZT5|WN10A_HUMAN Protein Wnt-10a OS=Homo sapiens OX=9606 GN=WNT10A PE=1 SV=1
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2
OG0000014	Exaiptasia_diaphana_XP_020903155.1 XP_020903155.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515635.1 XP_028515635.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 isoform X1 [Exaiptasia diaphana]	Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2, Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4
