Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Chordata_Vertebrata_Mus_musculus
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Mus_musculus_sp_Q8R2Z5_VWA1_MOUSE sp_Q8R2Z5_VWA1_MOUSE von Willebrand factor A domain-containing protein 1 OS=Mus musculus OX=10090 GN=Vwa1 PE=1 SV=1, Mus_musculus_sp_Q63870_CO7A1_MOUSE sp_Q63870_CO7A1_MOUSE Collagen alpha-1_VII_ chain OS=Mus musculus OX=10090 GN=Col7a1 PE=1 SV=3, Mus_musculus_sp_Q923P0_COKA1_MOUSE sp_Q923P0_COKA1_MOUSE Collagen alpha-1_XX_ chain OS=Mus musculus OX=10090 GN=Col20a1 PE=2 SV=3, Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3, Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3, Mus_musculus_sp_Q80X19_COEA1_MOUSE sp_Q80X19_COEA1_MOUSE Collagen alpha-1_XIV_ chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2, Mus_musculus_sp_Q70UZ7_VWA2_MOUSE sp_Q70UZ7_VWA2_MOUSE von Willebrand factor A domain-containing protein 2 OS=Mus musculus OX=10090 GN=Vwa2 PE=1 SV=1, Mus_musculus_sp_A6H584_CO6A5_MOUSE sp_A6H584_CO6A5_MOUSE Collagen alpha-5_VI_ chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2, Mus_musculus_sp_A2AX52_CO6A4_MOUSE sp_A2AX52_CO6A4_MOUSE Collagen alpha-4_VI_ chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2, Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2, Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2, Mus_musculus_sp_O35701_MATN3_MOUSE sp_O35701_MATN3_MOUSE Matrilin-3 OS=Mus musculus OX=10090 GN=Matn3 PE=1 SV=2, Mus_musculus_sp_O08746_MATN2_MOUSE sp_O08746_MATN2_MOUSE Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2, Mus_musculus_sp_P51942_MATN1_MOUSE sp_P51942_MATN1_MOUSE Cartilage matrix protein OS=Mus musculus OX=10090 GN=Matn1 PE=2 SV=2, Mus_musculus_sp_O89029_MATN4_MOUSE sp_O89029_MATN4_MOUSE Matrilin-4 OS=Mus musculus OX=10090 GN=Matn4 PE=1 SV=1
OG0000005	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350, Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3
OG0000006	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1
OG0000007	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1, Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2
OG0000007	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492	Mus_musculus_sp_Q70E20_SNED1_MOUSE sp_Q70E20_SNED1_MOUSE Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sned1 PE=2 SV=2
OG0000007	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671, Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650, Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
OG0000012	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
OG0000013	Xenia_spec_Xe_012562_T1 Xe_012562_T1 Xe_012562	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1
OG0000013	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1
OG0000013	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000014	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
OG0000014	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
OG0000018	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934	Mus_musculus_sp_Q924C6_LOXL4_MOUSE sp_Q924C6_LOXL4_MOUSE Lysyl oxidase homolog 4 OS=Mus musculus OX=10090 GN=Loxl4 PE=2 SV=2, Mus_musculus_sp_Q9Z175_LOXL3_MOUSE sp_Q9Z175_LOXL3_MOUSE Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2, Mus_musculus_sp_P58022_LOXL2_MOUSE sp_P58022_LOXL2_MOUSE Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2
OG0000018	Xenia_spec_Xe_009686_T1 Xe_009686_T1 Xe_009686, Xenia_spec_Xe_009691_T1 Xe_009691_T1 Xe_009691, Xenia_spec_Xe_010129_T1 Xe_010129_T1 Xe_010129, Xenia_spec_Xe_010158_T1 Xe_010158_T1 Xe_010158, Xenia_spec_Xe_006051_T1 Xe_006051_T1 Xe_006051, Xenia_spec_Xe_010156_T1 Xe_010156_T1 Xe_010156, Xenia_spec_Xe_010159_T1 Xe_010159_T1 Xe_010159, Xenia_spec_Xe_010157_T1 Xe_010157_T1 Xe_010157, Xenia_spec_Xe_002016_T1 Xe_002016_T1 Xe_002016	Mus_musculus_sp_Q60997_DMBT1_MOUSE sp_Q60997_DMBT1_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus OX=10090 GN=Dmbt1 PE=1 SV=2
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371	Mus_musculus_sp_P34821_BMP8A_MOUSE sp_P34821_BMP8A_MOUSE Bone morphogenetic protein 8A OS=Mus musculus OX=10090 GN=Bmp8a PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P49003_BMP5_MOUSE sp_P49003_BMP5_MOUSE Bone morphogenetic protein 5 OS=Mus musculus OX=10090 GN=Bmp5 PE=2 SV=1, Mus_musculus_sp_P20722_BMP6_MOUSE sp_P20722_BMP6_MOUSE Bone morphogenetic protein 6 OS=Mus musculus OX=10090 GN=Bmp6 PE=1 SV=2, Mus_musculus_sp_P23359_BMP7_MOUSE sp_P23359_BMP7_MOUSE Bone morphogenetic protein 7 OS=Mus musculus OX=10090 GN=Bmp7 PE=1 SV=2
OG0000019	Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961	Mus_musculus_sp_P21274_BMP2_MOUSE sp_P21274_BMP2_MOUSE Bone morphogenetic protein 2 OS=Mus musculus OX=10090 GN=Bmp2 PE=1 SV=3
OG0000019	Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Mus_musculus_sp_P43028_GDF6_MOUSE sp_P43028_GDF6_MOUSE Growth_differentiation factor 6 OS=Mus musculus OX=10090 GN=Gdf6 PE=2 SV=2, Mus_musculus_sp_P43027_GDF5_MOUSE sp_P43027_GDF5_MOUSE Growth_differentiation factor 5 OS=Mus musculus OX=10090 GN=Gdf5 PE=1 SV=2, Mus_musculus_sp_P43029_GDF7_MOUSE sp_P43029_GDF7_MOUSE Growth_differentiation factor 7 OS=Mus musculus OX=10090 GN=Gdf7 PE=2 SV=2, Mus_musculus_sp_Q8BHE5_BMP3_MOUSE sp_Q8BHE5_BMP3_MOUSE Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1, Mus_musculus_sp_P97737_GDF10_MOUSE sp_P97737_GDF10_MOUSE Growth_differentiation factor 10 OS=Mus musculus OX=10090 GN=Gdf10 PE=1 SV=2
OG0000020	Xenia_spec_Xe_008243_T1 Xe_008243_T1 Xe_008243	Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2
OG0000020	Xenia_spec_Xe_007965_T1 Xe_007965_T1 Xe_007965, Xenia_spec_Xe_009290_T1 Xe_009290_T1 Xe_009290, Xenia_spec_Xe_009738_T1 Xe_009738_T1 Xe_009738, Xenia_spec_Xe_010176_T1 Xe_010176_T1 Xe_010176, Xenia_spec_Xe_009677_T1 Xe_009677_T1 Xe_009677, Xenia_spec_Xe_001362_T1 Xe_001362_T1 Xe_001362, Xenia_spec_Xe_009975_T1 Xe_009975_T1 Xe_009975, Xenia_spec_Xe_009974_T1 Xe_009974_T1 Xe_009974	Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P28481_CO2A1_MOUSE sp_P28481_CO2A1_MOUSE Collagen alpha-1_II_ chain OS=Mus musculus OX=10090 GN=Col2a1 PE=1 SV=2, Mus_musculus_sp_P11087_CO1A1_MOUSE sp_P11087_CO1A1_MOUSE Collagen alpha-1_I_ chain OS=Mus musculus OX=10090 GN=Col1a1 PE=1 SV=4, Mus_musculus_sp_P11087_CO1A1_MOUSE sp_P11087_CO1A1_MOUSE Collagen alpha-1_I_ chain OS=Mus musculus OX=10090 GN=Col1a1 PE=1 SV=4, Mus_musculus_sp_Q01149_CO1A2_MOUSE sp_Q01149_CO1A2_MOUSE Collagen alpha-2_I_ chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2, Mus_musculus_sp_P08121_CO3A1_MOUSE sp_P08121_CO3A1_MOUSE Collagen alpha-1_III_ chain OS=Mus musculus OX=10090 GN=Col3a1 PE=1 SV=4, Mus_musculus_sp_Q3U962_CO5A2_MOUSE sp_Q3U962_CO5A2_MOUSE Collagen alpha-2_V_ chain OS=Mus musculus OX=10090 GN=Col5a2 PE=1 SV=1
OG0000021	Xenia_spec_Xe_012353_T1 Xe_012353_T1 Xe_012353	Mus_musculus_sp_O88322_NID2_MOUSE sp_O88322_NID2_MOUSE Nidogen-2 OS=Mus musculus OX=10090 GN=Nid2 PE=1 SV=2, Mus_musculus_sp_P10493_NID1_MOUSE sp_P10493_NID1_MOUSE Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Mus_musculus_sp_P01132_EGF_MOUSE sp_P01132_EGF_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=2
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2
