Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Ctenophora_Nuda_Beroe_ovata
OG0000005	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516, Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1
OG0000005	Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Beroe_ovata_Bova1_4.0020.g36.t1 Bova1_4.0020.g36.t1, Beroe_ovata_Bova1_4.0020.g37.t1 Bova1_4.0020.g37.t1, Beroe_ovata_Bova1_4.0536.g2.t1 Bova1_4.0536.g2.t1, Beroe_ovata_Bova1_4.0019.g62.t1 Bova1_4.0019.g62.t1, Beroe_ovata_Bova1_4.0040.g7.t1 Bova1_4.0040.g7.t1, Beroe_ovata_Bova1_4.0040.g7.t2 Bova1_4.0040.g7.t2
OG0000007	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834	Beroe_ovata_Bova1_4.0498.g2.t1 Bova1_4.0498.g2.t1, Beroe_ovata_Bova1_4.0498.g2.t2 Bova1_4.0498.g2.t2, Beroe_ovata_Bova1_4.0498.g3.t1 Bova1_4.0498.g3.t1
OG0000010	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1
OG0000010	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671, Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650, Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1
OG0000012	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1
OG0000012	Xenia_spec_Xe_000849_T1 Xe_000849_T1 Xe_000849, Xenia_spec_Xe_018689_T1 Xe_018689_T1 Xe_018689	Beroe_ovata_Bova1_4.0496.g4.t1 Bova1_4.0496.g4.t1, Beroe_ovata_Bova1_4.0048.g63.t1 Bova1_4.0048.g63.t1, Beroe_ovata_Bova1_4.0048.g62.t1 Bova1_4.0048.g62.t1, Beroe_ovata_Bova1_4.0484.g2.t1 Bova1_4.0484.g2.t1
OG0000013	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066, Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1
OG0000015	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1
OG0000016	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705	Beroe_ovata_Bova1_4.0108.g30.t1 Bova1_4.0108.g30.t1, Beroe_ovata_Bova1_4.0236.g7.t1 Bova1_4.0236.g7.t1, Beroe_ovata_Bova1_4.0254.g4.t1 Bova1_4.0254.g4.t1, Beroe_ovata_Bova1_4.0289.g10.t1 Bova1_4.0289.g10.t1, Beroe_ovata_Bova1_4.0289.g9.t1 Bova1_4.0289.g9.t1, Beroe_ovata_Bova1_4.3261.g1.t1 Bova1_4.3261.g1.t1, Beroe_ovata_Bova1_4.0098.g32.t1 Bova1_4.0098.g32.t1, Beroe_ovata_Bova1_4.0028.g5.t1 Bova1_4.0028.g5.t1, Beroe_ovata_Bova1_4.0001.g168.t1 Bova1_4.0001.g168.t1
OG0000018	Xenia_spec_Xe_004831_T1 Xe_004831_T1 Xe_004831	Beroe_ovata_Bova1_4.0023.g78.t1 Bova1_4.0023.g78.t1, Beroe_ovata_Bova1_4.0023.g78.t2 Bova1_4.0023.g78.t2
OG0000019	Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366	Beroe_ovata_Bova1_4.0045.g60.t1 Bova1_4.0045.g60.t1
OG0000019	Xenia_spec_Xe_016031_T1 Xe_016031_T1 Xe_016031, Xenia_spec_Xe_009824_T1 Xe_009824_T1 Xe_009824	Beroe_ovata_Bova1_4.0186.g10.t1 Bova1_4.0186.g10.t1
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371, Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961, Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Beroe_ovata_Bova1_4.0442.g1.t2 Bova1_4.0442.g1.t2, Beroe_ovata_Bova1_4.0442.g1.t1 Bova1_4.0442.g1.t1, Beroe_ovata_Bova1_4.0288.g8.t2 Bova1_4.0288.g8.t2, Beroe_ovata_Bova1_4.0288.g8.t3 Bova1_4.0288.g8.t3, Beroe_ovata_Bova1_4.0288.g8.t4 Bova1_4.0288.g8.t4, Beroe_ovata_Bova1_4.0288.g8.t1 Bova1_4.0288.g8.t1, Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1, Beroe_ovata_Bova1_4.0018.g74.t1 Bova1_4.0018.g74.t1, Beroe_ovata_Bova1_4.0226.g12.t1 Bova1_4.0226.g12.t1
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2
OG0000024	Xenia_spec_Xe_019806_T1 Xe_019806_T1 Xe_019806	Beroe_ovata_Bova1_4.0234.g25.t1 Bova1_4.0234.g25.t1, Beroe_ovata_Bova1_4.0234.g20.t2 Bova1_4.0234.g20.t2, Beroe_ovata_Bova1_4.0234.g20.t1 Bova1_4.0234.g20.t1, Beroe_ovata_Bova1_4.0002.g2.t1 Bova1_4.0002.g2.t1, Beroe_ovata_Bova1_4.0002.g2.t3 Bova1_4.0002.g2.t3, Beroe_ovata_Bova1_4.0002.g2.t2 Bova1_4.0002.g2.t2
OG0000030	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1
OG0000030	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374, Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1
OG0000030	Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964	Beroe_ovata_Bova1_4.0006.g133.t1 Bova1_4.0006.g133.t1
OG0000034	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2
OG0000036	Xenia_spec_Xe_012812_T1 Xe_012812_T1 Xe_012812, Xenia_spec_Xe_004446_T1 Xe_004446_T1 Xe_004446	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1
OG0000041	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454, Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1
OG0000042	Xenia_spec_Xe_006333_T1 Xe_006333_T1 Xe_006333	Beroe_ovata_Bova1_4.0521.g2.t1 Bova1_4.0521.g2.t1, Beroe_ovata_Bova1_4.2632.g1.t1 Bova1_4.2632.g1.t1
OG0000042	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350, Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822	Beroe_ovata_Bova1_4.0050.g30.t2 Bova1_4.0050.g30.t2, Beroe_ovata_Bova1_4.0050.g30.t1 Bova1_4.0050.g30.t1, Beroe_ovata_Bova1_4.0822.g1.t1 Bova1_4.0822.g1.t1
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060, Xenia_spec_Xe_002603_T1 Xe_002603_T1 Xe_002603	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1
OG0000045	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1
OG0000051	Xenia_spec_Xe_014313_T1 Xe_014313_T1 Xe_014313, Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1
OG0000053	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104	Beroe_ovata_Bova1_4.0359.g4.t1 Bova1_4.0359.g4.t1
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386, Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1
OG0000058	Xenia_spec_Xe_018432_T1 Xe_018432_T1 Xe_018432, Xenia_spec_Xe_018431_T1 Xe_018431_T1 Xe_018431, Xenia_spec_Xe_018421_T1 Xe_018421_T1 Xe_018421, Xenia_spec_Xe_018425_T1 Xe_018425_T1 Xe_018425, Xenia_spec_Xe_018257_T1 Xe_018257_T1 Xe_018257, Xenia_spec_Xe_018259_T1 Xe_018259_T1 Xe_018259, Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1
OG0000061	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705	Beroe_ovata_Bova1_4.0085.g17.t2 Bova1_4.0085.g17.t2, Beroe_ovata_Bova1_4.0085.g17.t1 Bova1_4.0085.g17.t1, Beroe_ovata_Bova1_4.0085.g17.t5 Bova1_4.0085.g17.t5, Beroe_ovata_Bova1_4.0085.g17.t3 Bova1_4.0085.g17.t3, Beroe_ovata_Bova1_4.0085.g17.t4 Bova1_4.0085.g17.t4
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1
OG0000065	Xenia_spec_Xe_015641_T1 Xe_015641_T1 Xe_015641, Xenia_spec_Xe_015614_T1 Xe_015614_T1 Xe_015614, Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1
OG0000073	Xenia_spec_Xe_001002_T1 Xe_001002_T1 Xe_001002, Xenia_spec_Xe_001017_T1 Xe_001017_T1 Xe_001017, Xenia_spec_Xe_001018_T1 Xe_001018_T1 Xe_001018, Xenia_spec_Xe_001020_T1 Xe_001020_T1 Xe_001020, Xenia_spec_Xe_001022_T1 Xe_001022_T1 Xe_001022, Xenia_spec_Xe_001024_T1 Xe_001024_T1 Xe_001024, Xenia_spec_Xe_020104_T1 Xe_020104_T1 Xe_020104, Xenia_spec_Xe_001000_T1 Xe_001000_T1 Xe_001000, Xenia_spec_Xe_000999_T1 Xe_000999_T1 Xe_000999, Xenia_spec_Xe_001025_T1 Xe_001025_T1 Xe_001025, Xenia_spec_Xe_000993_T1 Xe_000993_T1 Xe_000993, Xenia_spec_Xe_000995_T1 Xe_000995_T1 Xe_000995, Xenia_spec_Xe_000995_T2 Xe_000995_T2 Xe_000995, Xenia_spec_Xe_000996_T1 Xe_000996_T1 Xe_000996, Xenia_spec_Xe_000994_T2 Xe_000994_T2 Xe_000994, Xenia_spec_Xe_000994_T1 Xe_000994_T1 Xe_000994	Beroe_ovata_Bova1_4.0225.g2.t1 Bova1_4.0225.g2.t1
OG0000076	Xenia_spec_Xe_015835_T1 Xe_015835_T1 Xe_015835	Beroe_ovata_Bova1_4.0005.g52.t1 Bova1_4.0005.g52.t1
OG0000078	Xenia_spec_Xe_013237_T1 Xe_013237_T1 Xe_013237	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1
OG0000078	Xenia_spec_Xe_013236_T1 Xe_013236_T1 Xe_013236	Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1
OG0000087	Xenia_spec_Xe_004782_T1 Xe_004782_T1 Xe_004782	Beroe_ovata_Bova1_4.0068.g34.t1 Bova1_4.0068.g34.t1, Beroe_ovata_Bova1_4.0068.g34.t2 Bova1_4.0068.g34.t2
OG0000093	Xenia_spec_Xe_018263_T1 Xe_018263_T1 Xe_018263	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1
OG0000094	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308	Beroe_ovata_Bova1_4.0260.g6.t1 Bova1_4.0260.g6.t1
OG0000103	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673	Beroe_ovata_Bova1_4.0001.g4.t1 Bova1_4.0001.g4.t1, Beroe_ovata_Bova1_4.0001.g5.t1 Bova1_4.0001.g5.t1
OG0000106	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492	Beroe_ovata_Bova1_4.0273.g10.t1 Bova1_4.0273.g10.t1, Beroe_ovata_Bova1_4.0273.g11.t1 Bova1_4.0273.g11.t1, Beroe_ovata_Bova1_4.0273.g7.t1 Bova1_4.0273.g7.t1, Beroe_ovata_Bova1_4.0269.g12.t1 Bova1_4.0269.g12.t1, Beroe_ovata_Bova1_4.0033.g43.t1 Bova1_4.0033.g43.t1, Beroe_ovata_Bova1_4.0180.g26.t1 Bova1_4.0180.g26.t1, Beroe_ovata_Bova1_4.0112.g46.t1 Bova1_4.0112.g46.t1
OG0000113	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2
OG0000114	Xenia_spec_Xe_015898_T1 Xe_015898_T1 Xe_015898	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2
OG0000119	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603	Beroe_ovata_Bova1_4.0022.g107.t1 Bova1_4.0022.g107.t1, Beroe_ovata_Bova1_4.0022.g109.t1 Bova1_4.0022.g109.t1
OG0000133	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1
OG0000134	Xenia_spec_Xe_007510_T1 Xe_007510_T1 Xe_007510	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3
OG0000155	Xenia_spec_Xe_002899_T1 Xe_002899_T1 Xe_002899, Xenia_spec_Xe_002898_T1 Xe_002898_T1 Xe_002898	Beroe_ovata_Bova1_4.0404.g3.t5 Bova1_4.0404.g3.t5, Beroe_ovata_Bova1_4.0404.g3.t1 Bova1_4.0404.g3.t1, Beroe_ovata_Bova1_4.0404.g3.t4 Bova1_4.0404.g3.t4, Beroe_ovata_Bova1_4.0404.g3.t3 Bova1_4.0404.g3.t3, Beroe_ovata_Bova1_4.0404.g3.t2 Bova1_4.0404.g3.t2
OG0000159	Xenia_spec_Xe_013605_T1 Xe_013605_T1 Xe_013605	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1
OG0000165	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1
OG0000177	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1
OG0000187	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930	Beroe_ovata_Bova1_4.0039.g18.t1 Bova1_4.0039.g18.t1
OG0000192	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1
OG0000193	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1
OG0000195	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1
OG0000199	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1
OG0000200	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1
OG0000204	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988	Beroe_ovata_Bova1_4.0059.g16.t1 Bova1_4.0059.g16.t1, Beroe_ovata_Bova1_4.0059.g17.t1 Bova1_4.0059.g17.t1
OG0000210	Xenia_spec_Xe_014129_T1 Xe_014129_T1 Xe_014129	Beroe_ovata_Bova1_4.0208.g6.t1 Bova1_4.0208.g6.t1, Beroe_ovata_Bova1_4.0208.g6.t2 Bova1_4.0208.g6.t2
OG0000211	Xenia_spec_Xe_009004_T2 Xe_009004_T2 Xe_009004, Xenia_spec_Xe_009004_T1 Xe_009004_T1 Xe_009004	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1
OG0000212	Xenia_spec_Xe_007486_T1 Xe_007486_T1 Xe_007486	Beroe_ovata_Bova1_4.0035.g39.t1 Bova1_4.0035.g39.t1, Beroe_ovata_Bova1_4.0035.g40.t1 Bova1_4.0035.g40.t1
