Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Anthozoa_Porites_asteroides
OG0000002	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481	Porites_asteroides_isotig01659 isotig01659 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup00662 length=832 numContigs=2, Porites_asteroides_isotig01658 isotig01658 extracted_CDS GOMatch=D3XFH3 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_d_ Match_Acc=D3XFH3 gene=isogroup00662 length=968 numContigs=2, Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1, Porites_asteroides_isotig10942 isotig10942 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup09210 length=625 numContigs=1
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1
OG0000002	Xenia_spec_Xe_014527_T1 Xe_014527_T1 Xe_014527, Xenia_spec_Xe_014521_T1 Xe_014521_T1 Xe_014521	Porites_asteroides_GCKDGN101BOILH GCKDGN101BOILH extracted_CDS GOMatch=C3Y5G9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Thrombospondin-like_protein_2__Fragment__ Match_Acc=Q8MVL2 length=456 region=1 run=R_2010_02_19_08_49_25_ xy=0572_0659
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799	Porites_asteroides_isotig03882 isotig03882 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mrc2_protein_ Match_Acc=A1A5G9 gene=isogroup02150 length=1475 numContigs=1, Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1
OG0000003	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093	Porites_asteroides_isotig31118 isotig31118 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Mutant_fibrillin-1_ Match_Acc=O88840 gene=isogroup29386 length=184 numContigs=1, Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527, Porites_asteroides_isotig30830 isotig30830 extracted_CDS GOMatch=A7SCA6 GOTerms=GO_0005102_GO_0005509_GO_0007165 Gene=Fibrillin-1__putative__Fragment__ Match_Acc=B7Q8G4 gene=isogroup29098 length=202 numContigs=1, Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1, Porites_asteroides_isotig02367 isotig02367 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup01016 length=514 numContigs=2, Porites_asteroides_isotig31910 isotig31910 extracted_CDS GOMatch=B3RQ07 GOTerms=GO_0005201_GO_0005509_GO_0005578_GO_0007160_GO_0016020 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup30178 length=161 numContigs=1
OG0000003	Xenia_spec_Xe_009593_T1 Xe_009593_T1 Xe_009593	Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1
OG0000004	Xenia_spec_Xe_009333_T1 Xe_009333_T1 Xe_009333, Xenia_spec_Xe_009334_T1 Xe_009334_T1 Xe_009334, Xenia_spec_Xe_009329_T1 Xe_009329_T1 Xe_009329	Porites_asteroides_isotig08732 isotig08732 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup07000 length=742 numContigs=1
OG0000004	Xenia_spec_Xe_011536_T1 Xe_011536_T1 Xe_011536, Xenia_spec_Xe_011542_T1 Xe_011542_T1 Xe_011542, Xenia_spec_Xe_011546_T1 Xe_011546_T1 Xe_011546, Xenia_spec_Xe_011555_T1 Xe_011555_T1 Xe_011555, Xenia_spec_Xe_011529_T1 Xe_011529_T1 Xe_011529, Xenia_spec_Xe_011579_T1 Xe_011579_T1 Xe_011579, Xenia_spec_Xe_011524_T1 Xe_011524_T1 Xe_011524, Xenia_spec_Xe_011450_T1 Xe_011450_T1 Xe_011450	Porites_asteroides_isotig08387 isotig08387 extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup06655 length=758 numContigs=1, Porites_asteroides_isotig15088 isotig15088 extracted_CDS GOMatch=C3ZCS4 GOTerms=GO_0005509 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup13356 length=475 numContigs=1
OG0000004	Xenia_spec_Xe_009740_T1 Xe_009740_T1 Xe_009740	Porites_asteroides_isotig03424 isotig03424 extracted_CDS GOMatch=Q6DCQ6 GOTerms=GO_0005576 Gene=von_Willebrand_factor_A_domain-containing_protein_2_ Match_Acc=Q6DCQ6 gene=isogroup01692 length=1891 numContigs=1, Porites_asteroides_isotig11847 isotig11847 extracted_CDS GOMatch=C3ZCS4 GOTerms=GO_0005509 Gene=Collagen_alpha-4_VI__chain_ Match_Acc=A2AX52 gene=isogroup10115 length=581 numContigs=1, Porites_asteroides_GCKDGN102DY9ZO GCKDGN102DY9ZO extracted_CDS Gene=Collagen_alpha-6_VI__chain_ run=R_2010_02_19_08_49_25_ region=2 Match_Acc=Q8C6K9 xy=1514_3522 length=494
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1, Porites_asteroides_isotig08816 isotig08816 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup07084 length=736 numContigs=1, Porites_asteroides_isotig20757 isotig20757 extracted_CDS GOMatch=D2H080 GOTerms=GO_0005539_GO_0005614_GO_0010811_GO_0030198_GO_0031012 Gene=VIT_protein_ Match_Acc=A1A526 gene=isogroup19025 length=385 numContigs=1, Porites_asteroides_isotig15239 isotig15239 extracted_CDS GOMatch=D2HSH8 GOTerms=GO_0005198_GO_0005615_GO_0007155_GO_0031012 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=Q60847 gene=isogroup13507 length=472 numContigs=1, Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1
OG0000004	Xenia_spec_Xe_006069_T1 Xe_006069_T1 Xe_006069, Xenia_spec_Xe_002856_T1 Xe_002856_T1 Xe_002856, Xenia_spec_Xe_014802_T1 Xe_014802_T1 Xe_014802, Xenia_spec_Xe_002857_T1 Xe_002857_T1 Xe_002857, Xenia_spec_Xe_002855_T1 Xe_002855_T1 Xe_002855, Xenia_spec_Xe_002596_T1 Xe_002596_T1 Xe_002596, Xenia_spec_Xe_002592_T1 Xe_002592_T1 Xe_002592, Xenia_spec_Xe_002593_T1 Xe_002593_T1 Xe_002593, Xenia_spec_Xe_015695_T1 Xe_015695_T1 Xe_015695	Porites_asteroides_isotig06264 isotig06264 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=CnPolydom__Fragment__ Match_Acc=A8S0U2 gene=isogroup04532 length=937 numContigs=1
OG0000004	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396	Porites_asteroides_isotig22979 isotig22979 extracted_CDS GOMatch=A9UIA7 GOTerms=GO_0005509_GO_0005886_GO_0007154_GO_0007155_GO_0007156_GO_0007267_GO_0007275_GO_0008233_GO_0016020_GO_0016021_GO_0016787 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup21247 length=360 numContigs=1
OG0000004	Xenia_spec_Xe_016398_T1 Xe_016398_T1 Xe_016398, Xenia_spec_Xe_009339_T1 Xe_009339_T1 Xe_009339, Xenia_spec_Xe_009337_T1 Xe_009337_T1 Xe_009337, Xenia_spec_Xe_009340_T1 Xe_009340_T1 Xe_009340	Porites_asteroides_isotig05743 isotig05743 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup04011 length=1013 numContigs=1, Porites_asteroides_isotig22120 isotig22120 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup20388 length=371 numContigs=1, Porites_asteroides_GCKDGN103G6RCQ GCKDGN103G6RCQ extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 length=229 region=3 run=R_2010_02_19_08_49_25_ xy=2830_1128
OG0000004	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233	Porites_asteroides_isotig03712 isotig03712 extracted_CDS GOMatch=A7RQ19 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=CHz-cadherin_ Match_Acc=Q6W4W6 gene=isogroup01980 length=1587 numContigs=1
OG0000004	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008	Porites_asteroides_isotig09962 isotig09962 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Protocadherin_Fat_1_ Match_Acc=Q14517 gene=isogroup08230 length=678 numContigs=1, Porites_asteroides_isotig08089 isotig08089 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Fat1_protein__Fragment__ Match_Acc=Q80XT9 gene=isogroup06357 length=773 numContigs=1
OG0000004	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644	Porites_asteroides_isotig15110 isotig15110 extracted_CDS GOMatch=Q52R83 GOTerms=GO_0008083 Gene=Thrombospondin_type_1_repeat_containing_protein_ Match_Acc=Q52R83 gene=isogroup13378 length=475 numContigs=1
OG0000005	Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516	Porites_asteroides_GCKDGN103GTR5D GCKDGN103GTR5D extracted_CDS GOMatch=C3XUJ9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Peptidase_M12A_astacin_ Match_Acc=D6VK54 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2682_1839
OG0000005	Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383	Porites_asteroides_isotig06224 isotig06224 extracted_CDS GOMatch=A7S9I8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin-like_zinc_metalloprotease-like_protein_ Match_Acc=A8CAF7 gene=isogroup04492 length=938 numContigs=1
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Porites_asteroides_isotig23348 isotig23348 extracted_CDS GOMatch=Q4SJ96 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Bone_morphogenetic_protein_1__Fragment__ Match_Acc=O57658 gene=isogroup21616 length=355 numContigs=1
OG0000005	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665	Porites_asteroides_isotig01650 isotig01650 extracted_CDS GOMatch=A7SA78 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Putative_metalloproteinase_1__Fragment__ Match_Acc=Q5EN83 gene=isogroup00658 length=1154 numContigs=2, Porites_asteroides_isotig06903 isotig06903 extracted_CDS GOMatch=A7S728 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacus_protease_domain__304..897__two_repeats_of_CUB_domain__8 98..1578__ Match_Acc=B7ZQ15 gene=isogroup05171 length=863 numContigs=1
OG0000006	Xenia_spec_Xe_008035_T1 Xe_008035_T1 Xe_008035	Porites_asteroides_isotig00812 isotig00812 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2835 numContigs=3, Porites_asteroides_isotig00811 isotig00811 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2836 numContigs=3
OG0000006	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895	Porites_asteroides_isotig14115 isotig14115 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup12383 length=501 numContigs=1
OG0000007	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1, Porites_asteroides_isotig01547 isotig01547 extracted_CDS GOMatch=C3Z8P3 GOTerms=GO_0005509 Gene=Growth_arrest-specific_6_ Match_Acc=Q7T3H4 gene=isogroup00606 length=705 numContigs=2, Porites_asteroides_GE916615 GE916615 extracted_CDS Past_32_20453_M19.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig15207 isotig15207 extracted_CDS GOMatch=C3ZNN3 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup13475 length=474 numContigs=1
OG0000007	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492	Porites_asteroides_isotig22939 isotig22939 extracted_CDS GOMatch=C3YL45 GOTerms=GO_0005488_GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup21207 length=358 numContigs=1
OG0000007	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1, Porites_asteroides_isotig10752 isotig10752 extracted_CDS GOMatch=B3RS17 GOTerms=GO_0005044_GO_0005509_GO_0007160_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup09020 length=633 numContigs=1
OG0000007	Xenia_spec_Xe_016389_T1 Xe_016389_T1 Xe_016389	Porites_asteroides_isotig10912 isotig10912 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup09180 length=627 numContigs=1
OG0000007	Xenia_spec_Xe_014646_T1 Xe_014646_T1 Xe_014646	Porites_asteroides_isotig15882 isotig15882 extracted_CDS GOMatch=C3YBV0 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup14150 length=462 numContigs=1, Porites_asteroides_isotig20493 isotig20493 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=Latent-transforming_growth_factor_beta-binding_protein_1_ Match_Acc=Q8CG19 gene=isogroup18761 length=391 numContigs=1
