Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Stylophora_pistillata_Spis313 Spis313 SpisGene313, Stylophora_pistillata_Spis312 Spis312 SpisGene312
OG0000001	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304
OG0000001	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Stylophora_pistillata_Spis315 Spis315 SpisGene315
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126
OG0000001	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645, Stylophora_pistillata_Spis598 Spis598 SpisGene598
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382
OG0000002	Xenia_spec_Xe_003115_T1 Xe_003115_T1 Xe_003115, Xenia_spec_Xe_003081_T1 Xe_003081_T1 Xe_003081	Stylophora_pistillata_Spis3385.t1 Spis3385.t1 SpisGene3385
OG0000002	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820
OG0000002	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500
OG0000002	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680	Stylophora_pistillata_Spis3169 Spis3169 SpisGene3169
OG0000002	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189	Stylophora_pistillata_Spis4974 Spis4974 SpisGene4974, Stylophora_pistillata_Spis9568 Spis9568 SpisGene9568, Stylophora_pistillata_Spis14369 Spis14369 SpisGene14369
OG0000002	Xenia_spec_Xe_016275_T1 Xe_016275_T1 Xe_016275	Stylophora_pistillata_Spis17964.t1 Spis17964.t1 SpisGene17964, Stylophora_pistillata_Spis17966 Spis17966 SpisGene17966
OG0000002	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746	Stylophora_pistillata_Spis14421 Spis14421 SpisGene14421
OG0000002	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481	Stylophora_pistillata_Spis13469 Spis13469 SpisGene13469, Stylophora_pistillata_Spis549 Spis549 SpisGene549, Stylophora_pistillata_Spis24848 Spis24848 SpisGene24848, Stylophora_pistillata_Spis7560 Spis7560 SpisGene7560, Stylophora_pistillata_Spis7559 Spis7559 SpisGene7559, Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789
OG0000003	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966
OG0000003	Xenia_spec_Xe_008296_T1 Xe_008296_T1 Xe_008296	Stylophora_pistillata_Spis6052 Spis6052 SpisGene6052
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093	Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012, Stylophora_pistillata_Spis22574 Spis22574 SpisGene22574, Stylophora_pistillata_Spis19863 Spis19863 SpisGene19863
OG0000003	Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591	Stylophora_pistillata_Spis18451 Spis18451 SpisGene18451, Stylophora_pistillata_Spis15328 Spis15328 SpisGene15328, Stylophora_pistillata_Spis23195 Spis23195 SpisGene23195, Stylophora_pistillata_Spis22238 Spis22238 SpisGene22238, Stylophora_pistillata_Spis21940 Spis21940 SpisGene21940
OG0000004	Xenia_spec_Xe_011536_T1 Xe_011536_T1 Xe_011536, Xenia_spec_Xe_011542_T1 Xe_011542_T1 Xe_011542, Xenia_spec_Xe_011546_T1 Xe_011546_T1 Xe_011546, Xenia_spec_Xe_011555_T1 Xe_011555_T1 Xe_011555, Xenia_spec_Xe_011529_T1 Xe_011529_T1 Xe_011529, Xenia_spec_Xe_011579_T1 Xe_011579_T1 Xe_011579, Xenia_spec_Xe_011524_T1 Xe_011524_T1 Xe_011524, Xenia_spec_Xe_011450_T1 Xe_011450_T1 Xe_011450	Stylophora_pistillata_Spis13211 Spis13211 SpisGene13211, Stylophora_pistillata_Spis20566 Spis20566 SpisGene20566
OG0000004	Xenia_spec_Xe_016725_T1 Xe_016725_T1 Xe_016725, Xenia_spec_Xe_016786_T1 Xe_016786_T1 Xe_016786, Xenia_spec_Xe_016743_T1 Xe_016743_T1 Xe_016743, Xenia_spec_Xe_016731_T1 Xe_016731_T1 Xe_016731, Xenia_spec_Xe_016842_T1 Xe_016842_T1 Xe_016842, Xenia_spec_Xe_011736_T1 Xe_011736_T1 Xe_011736, Xenia_spec_Xe_011737_T1 Xe_011737_T1 Xe_011737	Stylophora_pistillata_Spis12772 Spis12772 SpisGene12772
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Stylophora_pistillata_Spis23738 Spis23738 SpisGene23738, Stylophora_pistillata_Spis5287 Spis5287 SpisGene5287, Stylophora_pistillata_Spis5541 Spis5541 SpisGene5541, Stylophora_pistillata_Spis16168 Spis16168 SpisGene16168, Stylophora_pistillata_Spis11197 Spis11197 SpisGene11197, Stylophora_pistillata_Spis6567 Spis6567 SpisGene6567, Stylophora_pistillata_Spis6569 Spis6569 SpisGene6569, Stylophora_pistillata_Spis16235 Spis16235 SpisGene16235
OG0000004	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789
OG0000004	Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182
OG0000004	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233	Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899, Stylophora_pistillata_Spis30 Spis30 SpisGene30
OG0000004	Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231	Stylophora_pistillata_Spis26 Spis26 SpisGene26
OG0000004	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895
OG0000004	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357
OG0000005	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516	Stylophora_pistillata_Spis399 Spis399 SpisGene399
OG0000005	Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693	Stylophora_pistillata_Spis8938.t1 Spis8938.t1 SpisGene8938, Stylophora_pistillata_Spis8937 Spis8937 SpisGene8937
OG0000005	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406
OG0000005	Xenia_spec_Xe_010629_T1 Xe_010629_T1 Xe_010629, Xenia_spec_Xe_010645_T1 Xe_010645_T1 Xe_010645	Stylophora_pistillata_Spis5609 Spis5609 SpisGene5609
OG0000005	Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516	Stylophora_pistillata_Spis16651 Spis16651 SpisGene16651
OG0000005	Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383	Stylophora_pistillata_Spis6483 Spis6483 SpisGene6483, Stylophora_pistillata_Spis12826 Spis12826 SpisGene12826, Stylophora_pistillata_Spis12825 Spis12825 SpisGene12825
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Stylophora_pistillata_Spis8400 Spis8400 SpisGene8400, Stylophora_pistillata_Spis22252 Spis22252 SpisGene22252, Stylophora_pistillata_Spis2313 Spis2313 SpisGene2313
OG0000005	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350	Stylophora_pistillata_Spis797 Spis797 SpisGene797
OG0000005	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665	Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719
OG0000006	Xenia_spec_Xe_008035_T1 Xe_008035_T1 Xe_008035	Stylophora_pistillata_Spis21789 Spis21789 SpisGene21789
OG0000006	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234
OG0000007	Xenia_spec_Xe_013053_T1 Xe_013053_T1 Xe_013053	Stylophora_pistillata_Spis18722 Spis18722 SpisGene18722, Stylophora_pistillata_Spis5318 Spis5318 SpisGene5318, Stylophora_pistillata_Spis5312 Spis5312 SpisGene5312
OG0000007	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000007	Xenia_spec_Xe_014646_T1 Xe_014646_T1 Xe_014646	Stylophora_pistillata_Spis12667 Spis12667 SpisGene12667
OG0000007	Xenia_spec_Xe_001341_T1 Xe_001341_T1 Xe_001341	Stylophora_pistillata_Spis15279 Spis15279 SpisGene15279
OG0000008	Xenia_spec_Xe_003896_T1 Xe_003896_T1 Xe_003896	Stylophora_pistillata_Spis24039 Spis24039 SpisGene24039
OG0000008	Xenia_spec_Xe_019742_T1 Xe_019742_T1 Xe_019742, Xenia_spec_Xe_019744_T1 Xe_019744_T1 Xe_019744, Xenia_spec_Xe_019739_T1 Xe_019739_T1 Xe_019739	Stylophora_pistillata_Spis16725 Spis16725 SpisGene16725, Stylophora_pistillata_Spis24462 Spis24462 SpisGene24462
OG0000008	Xenia_spec_Xe_011936_T1 Xe_011936_T1 Xe_011936, Xenia_spec_Xe_011933_T1 Xe_011933_T1 Xe_011933	Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060
OG0000008	Xenia_spec_Xe_002861_T1 Xe_002861_T1 Xe_002861	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559
OG0000008	Xenia_spec_Xe_002415_T1 Xe_002415_T1 Xe_002415	Stylophora_pistillata_Spis15894.t1 Spis15894.t1 SpisGene15894
OG0000008	Xenia_spec_Xe_002862_T1 Xe_002862_T1 Xe_002862	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561, Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562, Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560
OG0000008	Xenia_spec_Xe_007896_T1 Xe_007896_T1 Xe_007896	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124
OG0000009	Xenia_spec_Xe_015996_T1 Xe_015996_T1 Xe_015996	Stylophora_pistillata_Spis8057 Spis8057 SpisGene8057
OG0000009	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997, Xenia_spec_Xe_012293_T1 Xe_012293_T1 Xe_012293, Xenia_spec_Xe_012207_T1 Xe_012207_T1 Xe_012207, Xenia_spec_Xe_017784_T1 Xe_017784_T1 Xe_017784	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466
OG0000009	Xenia_spec_Xe_018428_T1 Xe_018428_T1 Xe_018428, Xenia_spec_Xe_018419_T1 Xe_018419_T1 Xe_018419	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195
OG0000009	Xenia_spec_Xe_003323_T1 Xe_003323_T1 Xe_003323	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222
OG0000009	Xenia_spec_Xe_015833_T1 Xe_015833_T1 Xe_015833	Stylophora_pistillata_Spis7662.t1 Spis7662.t1 SpisGene7662, Stylophora_pistillata_Spis19155 Spis19155 SpisGene19155, Stylophora_pistillata_Spis7661.t1 Spis7661.t1 SpisGene7661
OG0000010	Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190
OG0000010	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256
OG0000010	Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579
OG0000012	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613
OG0000012	Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283
OG0000013	Xenia_spec_Xe_009620_T1 Xe_009620_T1 Xe_009620, Xenia_spec_Xe_002014_T1 Xe_002014_T1 Xe_002014, Xenia_spec_Xe_001883_T1 Xe_001883_T1 Xe_001883, Xenia_spec_Xe_003143_T1 Xe_003143_T1 Xe_003143	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313
OG0000013	Xenia_spec_Xe_012562_T1 Xe_012562_T1 Xe_012562	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312
OG0000013	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461
OG0000013	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868
OG0000013	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000013	Xenia_spec_Xe_014744_T1 Xe_014744_T1 Xe_014744	Stylophora_pistillata_Spis13575 Spis13575 SpisGene13575
OG0000014	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000014	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407
OG0000014	Xenia_spec_Xe_004267_T1 Xe_004267_T1 Xe_004267	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681
OG0000014	Xenia_spec_Xe_002207_T1 Xe_002207_T1 Xe_002207	Stylophora_pistillata_Spis12680 Spis12680 SpisGene12680
OG0000014	Xenia_spec_Xe_007487_T1 Xe_007487_T1 Xe_007487	Stylophora_pistillata_Spis13809.t1 Spis13809.t1 SpisGene13809
OG0000014	Xenia_spec_Xe_014217_T1 Xe_014217_T1 Xe_014217	Stylophora_pistillata_Spis17420 Spis17420 SpisGene17420, Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486, Stylophora_pistillata_Spis10967 Spis10967 SpisGene10967, Stylophora_pistillata_Spis1488 Spis1488 SpisGene1488, Stylophora_pistillata_Spis10964 Spis10964 SpisGene10964, Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490
OG0000014	Xenia_spec_Xe_002644_T1 Xe_002644_T1 Xe_002644	Stylophora_pistillata_Spis2986 Spis2986 SpisGene2986, Stylophora_pistillata_Spis2985 Spis2985 SpisGene2985
OG0000015	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945	Stylophora_pistillata_Spis11353 Spis11353 SpisGene11353, Stylophora_pistillata_Spis20235.t1 Spis20235.t1 SpisGene20235, Stylophora_pistillata_Spis6262 Spis6262 SpisGene6262, Stylophora_pistillata_Spis6260 Spis6260 SpisGene6260, Stylophora_pistillata_Spis6259 Spis6259 SpisGene6259, Stylophora_pistillata_Spis6258 Spis6258 SpisGene6258, Stylophora_pistillata_Spis20234 Spis20234 SpisGene20234, Stylophora_pistillata_Spis12021 Spis12021 SpisGene12021, Stylophora_pistillata_Spis7563 Spis7563 SpisGene7563, Stylophora_pistillata_Spis7569 Spis7569 SpisGene7569, Stylophora_pistillata_Spis7566 Spis7566 SpisGene7566, Stylophora_pistillata_Spis12022 Spis12022 SpisGene12022, Stylophora_pistillata_Spis7567 Spis7567 SpisGene7567, Stylophora_pistillata_Spis7572 Spis7572 SpisGene7572, Stylophora_pistillata_Spis7575 Spis7575 SpisGene7575, Stylophora_pistillata_Spis7573 Spis7573 SpisGene7573, Stylophora_pistillata_Spis8023 Spis8023 SpisGene8023, Stylophora_pistillata_Spis8022 Spis8022 SpisGene8022, Stylophora_pistillata_Spis12645 Spis12645 SpisGene12645, Stylophora_pistillata_Spis12644 Spis12644 SpisGene12644, Stylophora_pistillata_Spis12648 Spis12648 SpisGene12648, Stylophora_pistillata_Spis13905 Spis13905 SpisGene13905, Stylophora_pistillata_Spis12653 Spis12653 SpisGene12653, Stylophora_pistillata_Spis13901 Spis13901 SpisGene13901, Stylophora_pistillata_Spis12668 Spis12668 SpisGene12668, Stylophora_pistillata_Spis10275 Spis10275 SpisGene10275, Stylophora_pistillata_Spis6060 Spis6060 SpisGene6060, Stylophora_pistillata_Spis14393 Spis14393 SpisGene14393, Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814
OG0000016	Xenia_spec_Xe_000409_T1 Xe_000409_T1 Xe_000409	Stylophora_pistillata_Spis5432 Spis5432 SpisGene5432
