Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31, Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true
OG0000001	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31
OG0000001	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31
OG0000002	Xenia_spec_Xe_002082_T1 Xe_002082_T1 Xe_002082	Aurelia_aurita_Seg770.1 Seg770.1 transcript_id=Seg770.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-3b protein_id=Seg770.1_GoldUCD_D3Y31
OG0000002	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31
OG0000002	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true
OG0000002	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31
OG0000002	Xenia_spec_Xe_016275_T1 Xe_016275_T1 Xe_016275	Aurelia_aurita_Seg5607.1 Seg5607.1 transcript_id=Seg5607.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg5607.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg760.2 Seg760.2 transcript_id=Seg760.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg760.2_GoldUCD_D3Y31 partial=true
OG0000002	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481	Aurelia_aurita_Seg3725.1 Seg3725.1 transcript_id=Seg3725.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3725.3 Seg3725.3 transcript_id=Seg3725.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.3_GoldUCD_D3Y31
OG0000002	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000003	Xenia_spec_Xe_008214_T1 Xe_008214_T1 Xe_008214	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true
OG0000003	Xenia_spec_Xe_009800_T1 Xe_009800_T1 Xe_009800	Aurelia_aurita_Seg4101.1 Seg4101.1 transcript_id=Seg4101.1_GoldUCD_mRNA.D3Y31 product="C-type lectin lectoxin-Phi1" protein_id=Seg4101.1_GoldUCD_D3Y31
OG0000003	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Xenia_spec_Xe_008296_T1 Xe_008296_T1 Xe_008296	Aurelia_aurita_Seg217.6 Seg217.6 transcript_id=Seg217.6_GoldUCD_mRNA.D3Y31 product="Aggrecan core protein" protein_id=Seg217.6_GoldUCD_D3Y31 partial=true
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093	Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true
OG0000003	Xenia_spec_Xe_009593_T1 Xe_009593_T1 Xe_009593	Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true
OG0000003	Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591	Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true
OG0000004	Xenia_spec_Xe_009333_T1 Xe_009333_T1 Xe_009333, Xenia_spec_Xe_009334_T1 Xe_009334_T1 Xe_009334, Xenia_spec_Xe_009329_T1 Xe_009329_T1 Xe_009329, Xenia_spec_Xe_011536_T1 Xe_011536_T1 Xe_011536, Xenia_spec_Xe_011542_T1 Xe_011542_T1 Xe_011542, Xenia_spec_Xe_011546_T1 Xe_011546_T1 Xe_011546, Xenia_spec_Xe_011555_T1 Xe_011555_T1 Xe_011555, Xenia_spec_Xe_011529_T1 Xe_011529_T1 Xe_011529, Xenia_spec_Xe_011579_T1 Xe_011579_T1 Xe_011579, Xenia_spec_Xe_011524_T1 Xe_011524_T1 Xe_011524, Xenia_spec_Xe_011450_T1 Xe_011450_T1 Xe_011450, Xenia_spec_Xe_002979_T1 Xe_002979_T1 Xe_002979	Aurelia_aurita_Seg429.6 Seg429.6 transcript_id=Seg429.6_GoldUCD_mRNA.D3Y31 product=Matrilin-2 protein_id=Seg429.6_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_012651_T1 Xe_012651_T1 Xe_012651	Aurelia_aurita_Seg2797.7 Seg2797.7 transcript_id=Seg2797.7_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg2797.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6483.2 Seg6483.2 transcript_id=Seg6483.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg6483.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2869.2 Seg2869.2 transcript_id=Seg2869.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg2869.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1649.3 Seg1649.3 transcript_id=Seg1649.3_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg1649.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1649.2 Seg1649.2 transcript_id=Seg1649.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-4 chain" protein_id=Seg1649.2_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_011402_T1 Xe_011402_T1 Xe_011402	Aurelia_aurita_Seg3985.4 Seg3985.4 transcript_id=Seg3985.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3985.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1706.3 Seg1706.3 transcript_id=Seg1706.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-3 protein_id=Seg1706.3_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049	Aurelia_aurita_Seg1785.4 Seg1785.4 transcript_id=Seg1785.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1785.4_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true
OG0000004	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31
OG0000004	Xenia_spec_Xe_002353_T1 Xe_002353_T1 Xe_002353, Xenia_spec_Xe_002350_T2 Xe_002350_T2 Xe_002350, Xenia_spec_Xe_002350_T1 Xe_002350_T1 Xe_002350, Xenia_spec_Xe_002347_T1 Xe_002347_T1 Xe_002347	Aurelia_aurita_Seg1839.10 Seg1839.10 transcript_id=Seg1839.10_GoldUCD_mRNA.D3Y31 product="Cadherin-related tumor suppressor" protein_id=Seg1839.10_GoldUCD_D3Y31 partial=true
OG0000005	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31
OG0000005	Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383	Aurelia_aurita_Seg353.7 Seg353.7 transcript_id=Seg353.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-38" protein_id=Seg353.7_GoldUCD_D3Y31, Aurelia_aurita_Seg1823.2 Seg1823.2 transcript_id=Seg1823.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.2_GoldUCD_D3Y31, Aurelia_aurita_Seg5647.1 Seg5647.1 transcript_id=Seg5647.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg5647.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5647.2 Seg5647.2 transcript_id=Seg5647.2_GoldUCD_mRNA.D3Y31 product="Protein SpAN" protein_id=Seg5647.2_GoldUCD_D3Y31
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Aurelia_aurita_Seg4825.1 Seg4825.1 transcript_id=Seg4825.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg4825.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3177.4 Seg3177.4 transcript_id=Seg3177.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3177.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg129.4 Seg129.4 transcript_id=Seg129.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg129.4_GoldUCD_D3Y31
OG0000005	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31
OG0000005	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31, Aurelia_aurita_Seg2976.2 Seg2976.2 transcript_id=Seg2976.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg2976.2_GoldUCD_D3Y31
