Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000005	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516, Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a
OG0000005	Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516	Mnemiopsis_leidyi_ML073410a ML073410a
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Mnemiopsis_leidyi_ML19042a ML19042a, Mnemiopsis_leidyi_ML05712a ML05712a, Mnemiopsis_leidyi_ML348710a ML348710a
OG0000009	Xenia_spec_Xe_015996_T1 Xe_015996_T1 Xe_015996	Mnemiopsis_leidyi_ML016314a ML016314a
OG0000010	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671, Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650, Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000012	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Xenia_spec_Xe_000849_T1 Xe_000849_T1 Xe_000849, Xenia_spec_Xe_018689_T1 Xe_018689_T1 Xe_018689	Mnemiopsis_leidyi_ML189317a ML189317a, Mnemiopsis_leidyi_ML00495a ML00495a
OG0000012	Xenia_spec_Xe_015812_T1 Xe_015812_T1 Xe_015812, Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811	Mnemiopsis_leidyi_ML020019a ML020019a
OG0000013	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066, Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000015	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705	Mnemiopsis_leidyi_ML13379a ML13379a, Mnemiopsis_leidyi_ML073224a ML073224a, Mnemiopsis_leidyi_ML305524a ML305524a, Mnemiopsis_leidyi_ML227810a ML227810a, Mnemiopsis_leidyi_ML14713a ML14713a, Mnemiopsis_leidyi_ML14714a ML14714a, Mnemiopsis_leidyi_ML030215a ML030215a, Mnemiopsis_leidyi_ML35325a ML35325a, Mnemiopsis_leidyi_ML110511a ML110511a, Mnemiopsis_leidyi_ML33825a ML33825a, Mnemiopsis_leidyi_ML11342a ML11342a, Mnemiopsis_leidyi_ML104211a ML104211a, Mnemiopsis_leidyi_ML218938a ML218938a, Mnemiopsis_leidyi_ML077631a ML077631a, Mnemiopsis_leidyi_ML175611a ML175611a, Mnemiopsis_leidyi_ML19191a ML19191a
OG0000018	Xenia_spec_Xe_009686_T1 Xe_009686_T1 Xe_009686, Xenia_spec_Xe_009691_T1 Xe_009691_T1 Xe_009691, Xenia_spec_Xe_010129_T1 Xe_010129_T1 Xe_010129, Xenia_spec_Xe_010158_T1 Xe_010158_T1 Xe_010158, Xenia_spec_Xe_006051_T1 Xe_006051_T1 Xe_006051, Xenia_spec_Xe_010156_T1 Xe_010156_T1 Xe_010156, Xenia_spec_Xe_010159_T1 Xe_010159_T1 Xe_010159, Xenia_spec_Xe_010157_T1 Xe_010157_T1 Xe_010157, Xenia_spec_Xe_002016_T1 Xe_002016_T1 Xe_002016, Xenia_spec_Xe_013911_T1 Xe_013911_T1 Xe_013911	Mnemiopsis_leidyi_ML02231a ML02231a, Mnemiopsis_leidyi_ML02243a ML02243a, Mnemiopsis_leidyi_ML006919a ML006919a, Mnemiopsis_leidyi_ML096926a ML096926a
OG0000018	Xenia_spec_Xe_004831_T1 Xe_004831_T1 Xe_004831	Mnemiopsis_leidyi_ML044129a ML044129a
OG0000019	Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366	Mnemiopsis_leidyi_ML368911a ML368911a, Mnemiopsis_leidyi_ML368915a ML368915a
OG0000019	Xenia_spec_Xe_016031_T1 Xe_016031_T1 Xe_016031, Xenia_spec_Xe_009824_T1 Xe_009824_T1 Xe_009824	Mnemiopsis_leidyi_ML200252a ML200252a, Mnemiopsis_leidyi_ML200253a ML200253a
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371, Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961, Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Mnemiopsis_leidyi_ML094333a ML094333a, Mnemiopsis_leidyi_ML03664a ML03664a, Mnemiopsis_leidyi_ML082718a ML082718a, Mnemiopsis_leidyi_ML02274a ML02274a
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000024	Xenia_spec_Xe_015864_T1 Xe_015864_T1 Xe_015864	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000024	Xenia_spec_Xe_019806_T1 Xe_019806_T1 Xe_019806	Mnemiopsis_leidyi_ML03706a ML03706a, Mnemiopsis_leidyi_ML10106a ML10106a, Mnemiopsis_leidyi_ML01537a ML01537a
OG0000030	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374, Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000030	Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964	Mnemiopsis_leidyi_ML02305a ML02305a, Mnemiopsis_leidyi_ML021121a ML021121a
OG0000034	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000034	Xenia_spec_Xe_014074_T1 Xe_014074_T1 Xe_014074, Xenia_spec_Xe_014072_T1 Xe_014072_T1 Xe_014072	Mnemiopsis_leidyi_ML04261a ML04261a
OG0000036	Xenia_spec_Xe_012812_T1 Xe_012812_T1 Xe_012812, Xenia_spec_Xe_004446_T1 Xe_004446_T1 Xe_004446	Mnemiopsis_leidyi_ML11227a ML11227a
OG0000039	Xenia_spec_Xe_010089_T1 Xe_010089_T1 Xe_010089	Mnemiopsis_leidyi_ML267515a ML267515a
OG0000041	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454, Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595	Mnemiopsis_leidyi_ML21898a ML21898a
OG0000042	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350, Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822	Mnemiopsis_leidyi_ML044119a ML044119a
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060, Xenia_spec_Xe_002603_T1 Xe_002603_T1 Xe_002603	Mnemiopsis_leidyi_ML097515a ML097515a
OG0000048	Xenia_spec_Xe_016590_T1 Xe_016590_T1 Xe_016590	Mnemiopsis_leidyi_ML015611a ML015611a
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000051	Xenia_spec_Xe_014313_T1 Xe_014313_T1 Xe_014313, Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a
OG0000053	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104	Mnemiopsis_leidyi_ML11053a ML11053a
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386, Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000058	Xenia_spec_Xe_018432_T1 Xe_018432_T1 Xe_018432, Xenia_spec_Xe_018431_T1 Xe_018431_T1 Xe_018431, Xenia_spec_Xe_018421_T1 Xe_018421_T1 Xe_018421, Xenia_spec_Xe_018425_T1 Xe_018425_T1 Xe_018425, Xenia_spec_Xe_018257_T1 Xe_018257_T1 Xe_018257, Xenia_spec_Xe_018259_T1 Xe_018259_T1 Xe_018259, Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100	Mnemiopsis_leidyi_ML15451a ML15451a, Mnemiopsis_leidyi_ML048618a ML048618a, Mnemiopsis_leidyi_ML048623a ML048623a
OG0000061	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705	Mnemiopsis_leidyi_ML07526a ML07526a, Mnemiopsis_leidyi_ML07523a ML07523a
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Mnemiopsis_leidyi_ML072819a ML072819a
OG0000062	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999	Mnemiopsis_leidyi_ML085714a ML085714a
OG0000065	Xenia_spec_Xe_015641_T1 Xe_015641_T1 Xe_015641, Xenia_spec_Xe_015614_T1 Xe_015614_T1 Xe_015614, Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613	Mnemiopsis_leidyi_ML14244a ML14244a
OG0000076	Xenia_spec_Xe_015835_T1 Xe_015835_T1 Xe_015835	Mnemiopsis_leidyi_ML078816a ML078816a
OG0000078	Xenia_spec_Xe_013236_T1 Xe_013236_T1 Xe_013236	Mnemiopsis_leidyi_ML09791a ML09791a
OG0000087	Xenia_spec_Xe_004782_T1 Xe_004782_T1 Xe_004782	Mnemiopsis_leidyi_ML06334a ML06334a
OG0000093	Xenia_spec_Xe_018469_T1 Xe_018469_T1 Xe_018469, Xenia_spec_Xe_020077_T1 Xe_020077_T1 Xe_020077, Xenia_spec_Xe_018297_T1 Xe_018297_T1 Xe_018297, Xenia_spec_Xe_018334_T1 Xe_018334_T1 Xe_018334, Xenia_spec_Xe_018335_T1 Xe_018335_T1 Xe_018335	Mnemiopsis_leidyi_ML093044a ML093044a
OG0000094	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308	Mnemiopsis_leidyi_ML09081a ML09081a
OG0000103	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673	Mnemiopsis_leidyi_ML14703a ML14703a
OG0000106	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a
OG0000113	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684	Mnemiopsis_leidyi_ML086612a ML086612a
OG0000114	Xenia_spec_Xe_015898_T1 Xe_015898_T1 Xe_015898	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000119	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603	Mnemiopsis_leidyi_ML18521a ML18521a, Mnemiopsis_leidyi_ML11002a ML11002a
OG0000133	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448	Mnemiopsis_leidyi_ML018015a ML018015a
OG0000134	Xenia_spec_Xe_007510_T1 Xe_007510_T1 Xe_007510	Mnemiopsis_leidyi_ML126214a ML126214a
OG0000155	Xenia_spec_Xe_002899_T1 Xe_002899_T1 Xe_002899, Xenia_spec_Xe_002898_T1 Xe_002898_T1 Xe_002898	Mnemiopsis_leidyi_ML03547a ML03547a, Mnemiopsis_leidyi_ML068119a ML068119a
OG0000159	Xenia_spec_Xe_013605_T1 Xe_013605_T1 Xe_013605	Mnemiopsis_leidyi_ML074238a ML074238a
OG0000165	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000167	Xenia_spec_Xe_009503_T2 Xe_009503_T2 Xe_009503, Xenia_spec_Xe_009503_T1 Xe_009503_T1 Xe_009503	Mnemiopsis_leidyi_ML068314a ML068314a
OG0000177	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000193	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000195	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000199	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084	Mnemiopsis_leidyi_ML46359a ML46359a
OG0000204	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000212	Xenia_spec_Xe_007486_T1 Xe_007486_T1 Xe_007486	Mnemiopsis_leidyi_ML097529a ML097529a
OG0000213	Xenia_spec_Xe_007490_T1 Xe_007490_T1 Xe_007490	Mnemiopsis_leidyi_ML128617a ML128617a
OG0000214	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000229	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336	Mnemiopsis_leidyi_ML019415a ML019415a
OG0000237	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192	Mnemiopsis_leidyi_ML008016a ML008016a
OG0000393	Xenia_spec_Xe_014743_T1 Xe_014743_T1 Xe_014743	Mnemiopsis_leidyi_ML06302a ML06302a
OG0001594	Xenia_spec_Xe_015836_T1 Xe_015836_T1 Xe_015836	Mnemiopsis_leidyi_ML342213a ML342213a
