Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000001	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein
OG0000002	Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085	Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein
OG0000002	Xenia_spec_Xe_002082_T1 Xe_002082_T1 Xe_002082	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein
OG0000002	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein
OG0000002	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein
OG0000002	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Xenia_spec_Xe_003253_T1 Xe_003253_T1 Xe_003253	Clytia_hemispherica_TCONS_00042536-protein TCONS_00042536-protein, Clytia_hemispherica_TCONS_00008538-protein TCONS_00008538-protein
OG0000002	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746	Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein
OG0000002	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein
OG0000002	Xenia_spec_Xe_014527_T1 Xe_014527_T1 Xe_014527, Xenia_spec_Xe_014521_T1 Xe_014521_T1 Xe_014521	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein, Clytia_hemispherica_TCONS_00030562-protein TCONS_00030562-protein, Clytia_hemispherica_TCONS_00070450-protein TCONS_00070450-protein
OG0000003	Xenia_spec_Xe_008214_T1 Xe_008214_T1 Xe_008214	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein
OG0000003	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein
OG0000003	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093	Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein
OG0000004	Xenia_spec_Xe_011604_T1 Xe_011604_T1 Xe_011604	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein
OG0000004	Xenia_spec_Xe_012651_T1 Xe_012651_T1 Xe_012651	Clytia_hemispherica_TCONS_00060279-protein TCONS_00060279-protein
OG0000004	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000004	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein
OG0000004	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein
OG0000005	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Xenia_spec_Xe_020345_T1 Xe_020345_T1 Xe_020345	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein, Clytia_hemispherica_TCONS_00002523-protein TCONS_00002523-protein, Clytia_hemispherica_TCONS_00025486-protein TCONS_00025486-protein, Clytia_hemispherica_TCONS_00071313-protein TCONS_00071313-protein, Clytia_hemispherica_TCONS_00020048-protein TCONS_00020048-protein, Clytia_hemispherica_TCONS_00012296-protein TCONS_00012296-protein, Clytia_hemispherica_TCONS_00027133-protein TCONS_00027133-protein, Clytia_hemispherica_TCONS_00070170-protein TCONS_00070170-protein, Clytia_hemispherica_TCONS_00064563-protein TCONS_00064563-protein, Clytia_hemispherica_TCONS_00002689-protein TCONS_00002689-protein, Clytia_hemispherica_TCONS_00002617-protein TCONS_00002617-protein, Clytia_hemispherica_TCONS_00002686-protein TCONS_00002686-protein, Clytia_hemispherica_TCONS_00051638-protein TCONS_00051638-protein, Clytia_hemispherica_TCONS_00062688-protein TCONS_00062688-protein, Clytia_hemispherica_TCONS_00019373-protein TCONS_00019373-protein
OG0000005	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein, Clytia_hemispherica_TCONS_00059075-protein TCONS_00059075-protein
OG0000006	Xenia_spec_Xe_008035_T1 Xe_008035_T1 Xe_008035	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein
OG0000007	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein
OG0000007	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein
OG0000008	Xenia_spec_Xe_002860_T1 Xe_002860_T1 Xe_002860	Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein
OG0000008	Xenia_spec_Xe_002861_T1 Xe_002861_T1 Xe_002861	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein
OG0000008	Xenia_spec_Xe_002415_T1 Xe_002415_T1 Xe_002415	Clytia_hemispherica_TCONS_00016471-protein TCONS_00016471-protein
OG0000008	Xenia_spec_Xe_002862_T1 Xe_002862_T1 Xe_002862	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein
OG0000008	Xenia_spec_Xe_002863_T1 Xe_002863_T1 Xe_002863	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein
OG0000008	Xenia_spec_Xe_007896_T1 Xe_007896_T1 Xe_007896	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein
OG0000008	Xenia_spec_Xe_002416_T1 Xe_002416_T1 Xe_002416	Clytia_hemispherica_TCONS_00071623-protein TCONS_00071623-protein
OG0000009	Xenia_spec_Xe_014294_T1 Xe_014294_T1 Xe_014294	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein
OG0000009	Xenia_spec_Xe_003323_T1 Xe_003323_T1 Xe_003323	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein
OG0000010	Xenia_spec_Xe_012929_T1 Xe_012929_T1 Xe_012929	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein
OG0000010	Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein
OG0000010	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000012	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein
OG0000012	Xenia_spec_Xe_000849_T1 Xe_000849_T1 Xe_000849, Xenia_spec_Xe_018689_T1 Xe_018689_T1 Xe_018689	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein
OG0000013	Xenia_spec_Xe_009620_T1 Xe_009620_T1 Xe_009620, Xenia_spec_Xe_002014_T1 Xe_002014_T1 Xe_002014, Xenia_spec_Xe_001883_T1 Xe_001883_T1 Xe_001883, Xenia_spec_Xe_003143_T1 Xe_003143_T1 Xe_003143	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein
OG0000013	Xenia_spec_Xe_012562_T1 Xe_012562_T1 Xe_012562	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000014	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Xenia_spec_Xe_007050_T1 Xe_007050_T1 Xe_007050, Xenia_spec_Xe_007052_T1 Xe_007052_T1 Xe_007052, Xenia_spec_Xe_007053_T1 Xe_007053_T1 Xe_007053	Clytia_hemispherica_TCONS_00019992-protein TCONS_00019992-protein
OG0000014	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Xenia_spec_Xe_004267_T1 Xe_004267_T1 Xe_004267	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein
OG0000014	Xenia_spec_Xe_002207_T1 Xe_002207_T1 Xe_002207	Clytia_hemispherica_TCONS_00024372-protein TCONS_00024372-protein
OG0000014	Xenia_spec_Xe_007487_T1 Xe_007487_T1 Xe_007487	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein
OG0000014	Xenia_spec_Xe_014217_T1 Xe_014217_T1 Xe_014217, Xenia_spec_Xe_002644_T1 Xe_002644_T1 Xe_002644	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein
OG0000014	Xenia_spec_Xe_008099_T1 Xe_008099_T1 Xe_008099, Xenia_spec_Xe_007055_T1 Xe_007055_T1 Xe_007055	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein, Clytia_hemispherica_TCONS_00053160-protein TCONS_00053160-protein
OG0000015	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Xenia_spec_Xe_000409_T1 Xe_000409_T1 Xe_000409	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein
OG0000016	Xenia_spec_Xe_012250_T1 Xe_012250_T1 Xe_012250, Xenia_spec_Xe_012250_T2 Xe_012250_T2 Xe_012250	Clytia_hemispherica_TCONS_00002797-protein TCONS_00002797-protein, Clytia_hemispherica_TCONS_00051485-protein TCONS_00051485-protein, Clytia_hemispherica_TCONS_00030305-protein TCONS_00030305-protein
OG0000016	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein, Clytia_hemispherica_TCONS_00071586-protein TCONS_00071586-protein, Clytia_hemispherica_TCONS_00002805-protein TCONS_00002805-protein
OG0000018	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Xenia_spec_Xe_014972_T1 Xe_014972_T1 Xe_014972, Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein
OG0000019	Xenia_spec_Xe_016031_T1 Xe_016031_T1 Xe_016031, Xenia_spec_Xe_009824_T1 Xe_009824_T1 Xe_009824	Clytia_hemispherica_TCONS_00033833-protein TCONS_00033833-protein
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Xenia_spec_Xe_009290_T1 Xe_009290_T1 Xe_009290	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Xenia_spec_Xe_009738_T1 Xe_009738_T1 Xe_009738, Xenia_spec_Xe_010176_T1 Xe_010176_T1 Xe_010176, Xenia_spec_Xe_009677_T1 Xe_009677_T1 Xe_009677	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Xenia_spec_Xe_007912_T2 Xe_007912_T2 Xe_007912, Xenia_spec_Xe_007912_T1 Xe_007912_T1 Xe_007912	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein
OG0000021	Xenia_spec_Xe_012353_T1 Xe_012353_T1 Xe_012353	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Xenia_spec_Xe_008104_T1 Xe_008104_T1 Xe_008104	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000023	Xenia_spec_Xe_013551_T1 Xe_013551_T1 Xe_013551, Xenia_spec_Xe_013537_T1 Xe_013537_T1 Xe_013537	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000024	Xenia_spec_Xe_015634_T1 Xe_015634_T1 Xe_015634	Clytia_hemispherica_TCONS_00055942-protein TCONS_00055942-protein
OG0000026	Xenia_spec_Xe_012042_T1 Xe_012042_T1 Xe_012042	Clytia_hemispherica_TCONS_00015262-protein TCONS_00015262-protein
OG0000027	Xenia_spec_Xe_010141_T1 Xe_010141_T1 Xe_010141	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein
OG0000028	Xenia_spec_Xe_014296_T1 Xe_014296_T1 Xe_014296	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000029	Xenia_spec_Xe_005745_T1 Xe_005745_T1 Xe_005745	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein
OG0000029	Xenia_spec_Xe_009791_T1 Xe_009791_T1 Xe_009791	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein
OG0000030	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein
OG0000030	Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000033	Xenia_spec_Xe_009545_T1 Xe_009545_T1 Xe_009545, Xenia_spec_Xe_009552_T1 Xe_009552_T1 Xe_009552, Xenia_spec_Xe_009447_T1 Xe_009447_T1 Xe_009447, Xenia_spec_Xe_009467_T1 Xe_009467_T1 Xe_009467, Xenia_spec_Xe_009470_T2 Xe_009470_T2 Xe_009470, Xenia_spec_Xe_009470_T1 Xe_009470_T1 Xe_009470, Xenia_spec_Xe_009458_T1 Xe_009458_T1 Xe_009458, Xenia_spec_Xe_009454_T1 Xe_009454_T1 Xe_009454, Xenia_spec_Xe_009450_T1 Xe_009450_T1 Xe_009450, Xenia_spec_Xe_009466_T1 Xe_009466_T1 Xe_009466, Xenia_spec_Xe_009546_T1 Xe_009546_T1 Xe_009546, Xenia_spec_Xe_009448_T1 Xe_009448_T1 Xe_009448, Xenia_spec_Xe_018287_T1 Xe_018287_T1 Xe_018287, Xenia_spec_Xe_018285_T1 Xe_018285_T1 Xe_018285	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000034	Xenia_spec_Xe_014072_T1 Xe_014072_T1 Xe_014072	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000035	Xenia_spec_Xe_008542_T1 Xe_008542_T1 Xe_008542, Xenia_spec_Xe_008540_T1 Xe_008540_T1 Xe_008540	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein
OG0000035	Xenia_spec_Xe_003267_T1 Xe_003267_T1 Xe_003267	Clytia_hemispherica_TCONS_00040600-protein TCONS_00040600-protein
OG0000036	Xenia_spec_Xe_012812_T1 Xe_012812_T1 Xe_012812	Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein
OG0000036	Xenia_spec_Xe_004446_T1 Xe_004446_T1 Xe_004446	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000037	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974	Clytia_hemispherica_TCONS_00059237-protein TCONS_00059237-protein
OG0000039	Xenia_spec_Xe_001980_T1 Xe_001980_T1 Xe_001980, Xenia_spec_Xe_015792_T1 Xe_015792_T1 Xe_015792, Xenia_spec_Xe_001991_T1 Xe_001991_T1 Xe_001991, Xenia_spec_Xe_015795_T1 Xe_015795_T1 Xe_015795	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Xenia_spec_Xe_008384_T1 Xe_008384_T1 Xe_008384, Xenia_spec_Xe_008384_T2 Xe_008384_T2 Xe_008384	Clytia_hemispherica_TCONS_00002499-protein TCONS_00002499-protein
OG0000040	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
