Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Porifera_Demospongiae_Ephydatia_muelleri
OG0000007	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492	Ephydatia_muelleri_Em0019g209a Em0019g209a, Ephydatia_muelleri_Em0007g174a Em0007g174a, Ephydatia_muelleri_Em0009g900a Em0009g900a, Ephydatia_muelleri_Em0009g956a Em0009g956a, Ephydatia_muelleri_Em0009g906a Em0009g906a, Ephydatia_muelleri_Em0009g884a Em0009g884a, Ephydatia_muelleri_Em0009g827a Em0009g827a, Ephydatia_muelleri_Em0051g23a Em0051g23a, Ephydatia_muelleri_Em0051g11a Em0051g11a, Ephydatia_muelleri_Em0009g853a Em0009g853a, Ephydatia_muelleri_Em0009g926a Em0009g926a, Ephydatia_muelleri_Em0009g957a Em0009g957a, Ephydatia_muelleri_Em0020g19a Em0020g19a, Ephydatia_muelleri_Em0001g1320a Em0001g1320a, Ephydatia_muelleri_Em0557g1a Em0557g1a, Ephydatia_muelleri_Em0003g1678a Em0003g1678a, Ephydatia_muelleri_Em0014g245a Em0014g245a
OG0000007	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a
OG0000008	Xenia_spec_Xe_019742_T1 Xe_019742_T1 Xe_019742, Xenia_spec_Xe_019744_T1 Xe_019744_T1 Xe_019744, Xenia_spec_Xe_019739_T1 Xe_019739_T1 Xe_019739, Xenia_spec_Xe_011936_T1 Xe_011936_T1 Xe_011936, Xenia_spec_Xe_011933_T1 Xe_011933_T1 Xe_011933	Ephydatia_muelleri_Em0006g945a Em0006g945a
OG0000010	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964	Ephydatia_muelleri_Em0006g1150a Em0006g1150a
OG0000010	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000013	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066, Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000018	Xenia_spec_Xe_009686_T1 Xe_009686_T1 Xe_009686, Xenia_spec_Xe_009691_T1 Xe_009691_T1 Xe_009691, Xenia_spec_Xe_010129_T1 Xe_010129_T1 Xe_010129, Xenia_spec_Xe_010158_T1 Xe_010158_T1 Xe_010158, Xenia_spec_Xe_006051_T1 Xe_006051_T1 Xe_006051, Xenia_spec_Xe_010156_T1 Xe_010156_T1 Xe_010156, Xenia_spec_Xe_010159_T1 Xe_010159_T1 Xe_010159, Xenia_spec_Xe_010157_T1 Xe_010157_T1 Xe_010157, Xenia_spec_Xe_002016_T1 Xe_002016_T1 Xe_002016	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a
OG0000018	Xenia_spec_Xe_005091_T1 Xe_005091_T1 Xe_005091	Ephydatia_muelleri_Em0017g348a Em0017g348a, Ephydatia_muelleri_Em0010g820a Em0010g820a, Ephydatia_muelleri_Em0010g816a Em0010g816a
OG0000019	Xenia_spec_Xe_014972_T1 Xe_014972_T1 Xe_014972	Ephydatia_muelleri_Em0015g47a Em0015g47a, Ephydatia_muelleri_Em0002g1863a Em0002g1863a
OG0000019	Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366	Ephydatia_muelleri_Em0016g133a Em0016g133a, Ephydatia_muelleri_Em0016g138a Em0016g138a
OG0000019	Xenia_spec_Xe_000860_T1 Xe_000860_T1 Xe_000860	Ephydatia_muelleri_Em0006g1427a Em0006g1427a, Ephydatia_muelleri_Em0019g98a Em0019g98a
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000024	Xenia_spec_Xe_015864_T1 Xe_015864_T1 Xe_015864, Xenia_spec_Xe_019806_T1 Xe_019806_T1 Xe_019806, Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637, Xenia_spec_Xe_015634_T1 Xe_015634_T1 Xe_015634	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000030	Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a
OG0000034	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993	Ephydatia_muelleri_Em0013g44a Em0013g44a
OG0000037	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974	Ephydatia_muelleri_Em0022g51a Em0022g51a, Ephydatia_muelleri_Em0969g3a Em0969g3a, Ephydatia_muelleri_Em0022g56a Em0022g56a, Ephydatia_muelleri_Em0022g52a Em0022g52a, Ephydatia_muelleri_Em0022g54a Em0022g54a, Ephydatia_muelleri_Em0022g55a Em0022g55a
OG0000039	Xenia_spec_Xe_001980_T1 Xe_001980_T1 Xe_001980, Xenia_spec_Xe_015792_T1 Xe_015792_T1 Xe_015792, Xenia_spec_Xe_001991_T1 Xe_001991_T1 Xe_001991, Xenia_spec_Xe_015795_T1 Xe_015795_T1 Xe_015795	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a
OG0000040	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a
OG0000041	Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Ephydatia_muelleri_Em0014g267a Em0014g267a
OG0000051	Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Ephydatia_muelleri_Em0005g1163a Em0005g1163a
OG0000058	Xenia_spec_Xe_018432_T1 Xe_018432_T1 Xe_018432, Xenia_spec_Xe_018431_T1 Xe_018431_T1 Xe_018431, Xenia_spec_Xe_018421_T1 Xe_018421_T1 Xe_018421, Xenia_spec_Xe_018425_T1 Xe_018425_T1 Xe_018425, Xenia_spec_Xe_018257_T1 Xe_018257_T1 Xe_018257, Xenia_spec_Xe_018259_T1 Xe_018259_T1 Xe_018259, Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100	Ephydatia_muelleri_Em0006g1503a Em0006g1503a
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a
OG0000065	Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000081	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	Xenia_spec_Xe_012872_T2 Xe_012872_T2 Xe_012872, Xenia_spec_Xe_012872_T1 Xe_012872_T1 Xe_012872	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000103	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000111	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449	Ephydatia_muelleri_Em0020g1027a Em0020g1027a
OG0000113	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000114	Xenia_spec_Xe_015898_T1 Xe_015898_T1 Xe_015898	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a
OG0000119	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603	Ephydatia_muelleri_Em0011g673a Em0011g673a
OG0000121	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a
OG0000131	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a
OG0000133	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000147	Xenia_spec_Xe_010957_T1 Xe_010957_T1 Xe_010957, Xenia_spec_Xe_011005_T1 Xe_011005_T1 Xe_011005	Ephydatia_muelleri_Em0020g1008a Em0020g1008a, Ephydatia_muelleri_Em0020g802a Em0020g802a
OG0000158	Xenia_spec_Xe_010642_T1 Xe_010642_T1 Xe_010642, Xenia_spec_Xe_016401_T1 Xe_016401_T1 Xe_016401, Xenia_spec_Xe_016396_T1 Xe_016396_T1 Xe_016396	Ephydatia_muelleri_Em0023g200a Em0023g200a
OG0000159	Xenia_spec_Xe_013605_T1 Xe_013605_T1 Xe_013605	Ephydatia_muelleri_Em0013g93a Em0013g93a, Ephydatia_muelleri_Em0002g1824a Em0002g1824a
OG0000165	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000166	Xenia_spec_Xe_001947_T1 Xe_001947_T1 Xe_001947	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a
OG0000177	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000182	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472, Xenia_spec_Xe_018473_T1 Xe_018473_T1 Xe_018473	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000184	Xenia_spec_Xe_004255_T1 Xe_004255_T1 Xe_004255, Xenia_spec_Xe_004160_T1 Xe_004160_T1 Xe_004160	Ephydatia_muelleri_Em0020g39a Em0020g39a, Ephydatia_muelleri_Em0020g43a Em0020g43a
OG0000187	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000193	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000195	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000214	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000219	Xenia_spec_Xe_014122_T1 Xe_014122_T1 Xe_014122	Ephydatia_muelleri_Em0021g659a Em0021g659a
OG0000229	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000237	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192	Ephydatia_muelleri_Em0021g631a Em0021g631a
OG0000240	Xenia_spec_Xe_003918_T1 Xe_003918_T1 Xe_003918	Ephydatia_muelleri_Em0001g85a Em0001g85a
OG0000270	Xenia_spec_Xe_013052_T1 Xe_013052_T1 Xe_013052	Ephydatia_muelleri_Em0013g791a Em0013g791a, Ephydatia_muelleri_Em0013g790a Em0013g790a
OG0000284	Xenia_spec_Xe_015013_T1 Xe_015013_T1 Xe_015013, Xenia_spec_Xe_005296_T1 Xe_005296_T1 Xe_005296	Ephydatia_muelleri_Em0001g1874a Em0001g1874a
OG0000309	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052	Ephydatia_muelleri_Em0009g1217a Em0009g1217a
OG0000363	Xenia_spec_Xe_011421_T1 Xe_011421_T1 Xe_011421, Xenia_spec_Xe_011419_T1 Xe_011419_T1 Xe_011419	Ephydatia_muelleri_Em0010g253a Em0010g253a
