Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Chordata_Vertebrata_Danio_rerio
OG0000012	Tricoplax_adhaerens_tr_B3RQT5_B3RQT5_TRIAD tr_B3RQT5_B3RQT5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21952 PE=4 SV=1	Danio_rerio_tr_E7F9Z1_E7F9Z1_DANRE tr|E7F9Z1|E7F9Z1_DANRE von Willebrand factor OS=Danio rerio OX=7955 GN=VWF PE=1 SV=3
OG0000012	Tricoplax_adhaerens_tr_B3RRG7_B3RRG7_TRIAD tr_B3RRG7_B3RRG7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54231 PE=4 SV=1	Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1, Danio_rerio_tr_F1Q752_F1Q752_DANRE tr|F1Q752|F1Q752_DANRE Kielin/chordin-like protein OS=Danio rerio OX=7955 GN=si_dkey-266m15.6 PE=4 SV=3
OG0000013	Tricoplax_adhaerens_tr_B3S743_B3S743_TRIAD tr_B3S743_B3S743_TRIAD Protein Wnt _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_30370 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RIQ5_B3RIQ5_TRIAD tr_B3RIQ5_B3RIQ5_TRIAD Protein Wnt OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52489 PE=3 SV=1	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2, Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1
OG0000014	Tricoplax_adhaerens_tr_B3RJG1_B3RJG1_TRIAD tr_B3RJG1_B3RJG1_TRIAD Peptidase M12B domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52613 PE=4 SV=1	Danio_rerio_tr_E7FBX1_E7FBX1_DANRE tr|E7FBX1|E7FBX1_DANRE ADAMTS-like 3 OS=Danio rerio OX=7955 GN=adamtsl3 PE=4 SV=3, Danio_rerio_tr_E7FEJ5_E7FEJ5_DANRE tr|E7FEJ5|E7FEJ5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 OS=Danio rerio OX=7955 GN=adamts18 PE=4 SV=1, Danio_rerio_tr_A0A0R4ISF7_A0A0R4ISF7_DANRE tr|A0A0R4ISF7|A0A0R4ISF7_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 2 isoform X1 OS=Danio rerio OX=7955 GN=adamts2 PE=4 SV=2, Danio_rerio_tr_S5RVW8_S5RVW8_DANRE tr|S5RVW8|S5RVW8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 3 precursor OS=Danio rerio OX=7955 GN=adamts3 PE=2 SV=1, Danio_rerio_tr_A0A8M6Z1D0_A0A8M6Z1D0_DANRE tr|A0A8M6Z1D0|A0A8M6Z1D0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X1 OS=Danio rerio OX=7955 GN=adamts6 PE=4 SV=1, Danio_rerio_tr_A0A8M1NG56_A0A8M1NG56_DANRE tr|A0A8M1NG56|A0A8M1NG56_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 OS=Danio rerio OX=7955 GN=si_dkey-45m5.4 PE=4 SV=1, Danio_rerio_tr_F1R8A1_F1R8A1_DANRE tr|F1R8A1|F1R8A1_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Danio rerio OX=7955 GN=adamts12 PE=4 SV=2, Danio_rerio_tr_Q503V4_Q503V4_DANRE tr|Q503V4|Q503V4_DANRE Papilin b_ proteoglycan-like sulfated glycoprotein OS=Danio rerio OX=7955 GN=wu_fi31b03 PE=2 SV=1, Danio_rerio_tr_G3G3K0_G3G3K0_DANRE tr|G3G3K0|G3G3K0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Danio rerio OX=7955 GN=adamts9 PE=2 SV=1, Danio_rerio_tr_G3G3J8_G3G3J8_DANRE tr|G3G3J8|G3G3J8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor OS=Danio rerio OX=7955 GN=adamts5 PE=2 SV=1, Danio_rerio_tr_X1WDJ8_X1WDJ8_DANRE tr|X1WDJ8|X1WDJ8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15-like OS=Danio rerio OX=7955 GN=LOC100002059 PE=4 SV=1, Danio_rerio_tr_A2BIA3_A2BIA3_DANRE tr|A2BIA3|A2BIA3_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15 precursor OS=Danio rerio OX=7955 GN=adamts15 PE=4 SV=1, Danio_rerio_tr_E7EYL5_E7EYL5_DANRE tr|E7EYL5|E7EYL5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Danio rerio OX=7955 GN=LOC100001991 PE=4 SV=1
OG0000017	Tricoplax_adhaerens_tr_B3S0N6_B3S0N6_TRIAD tr_B3S0N6_B3S0N6_TRIAD SERPIN domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_50363 PE=3 SV=1	Danio_rerio_tr_B3DJI9_B3DJI9_DANRE tr|B3DJI9|B3DJI9_DANRE Neuroserpin precursor OS=Danio rerio OX=7955 GN=si_ch211-167c22.4 PE=2 SV=1, Danio_rerio_tr_A8WGQ0_A8WGQ0_DANRE tr|A8WGQ0|A8WGQ0_DANRE Plasminogen activator inhibitor 1 precursor OS=Danio rerio OX=7955 GN=si_ch211-138a11.1 PE=2 SV=1, Danio_rerio_tr_F1QRB8_F1QRB8_DANRE tr|F1QRB8|F1QRB8_DANRE Plasminogen activator inhibitor 1 OS=Danio rerio OX=7955 GN=PAI-1 PE=1 SV=1, Danio_rerio_tr_Q7ZVL5_Q7ZVL5_DANRE tr|Q7ZVL5|Q7ZVL5_DANRE Glia-derived nexin precursor OS=Danio rerio OX=7955 GN=zgc_55929 PE=2 SV=1, Danio_rerio_sp_B0UYL8_SERP3_DANRE sp|B0UYL8|SERP3_DANRE Probable serpin E3 OS=Danio rerio OX=7955 GN=serpine3 PE=3 SV=1
OG0000017	Tricoplax_adhaerens_tr_B3S279_B3S279_TRIAD tr_B3S279_B3S279_TRIAD SERPIN domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63332 PE=3 SV=1	Danio_rerio_tr_Q8AYE3_Q8AYE3_DANRE tr|Q8AYE3|Q8AYE3_DANRE Antithrombin OS=Danio rerio OX=7955 GN=wu_fb18f10 PE=1 SV=1, Danio_rerio_tr_Q5RIK7_Q5RIK7_DANRE tr|Q5RIK7|Q5RIK7_DANRE Serpin peptidase inhibitor_ clade B _ovalbumin__ member 1_-like 2 OS=Danio rerio OX=7955 GN=zgc_56075 PE=2 SV=1, Danio_rerio_tr_Q6DG30_Q6DG30_DANRE tr|Q6DG30|Q6DG30_DANRE Serpin peptidase inhibitor_ clade B _Ovalbumin__ member 1 OS=Danio rerio OX=7955 GN=si_dkey-177p2.12 PE=1 SV=1
OG0000019	Tricoplax_adhaerens_tr_B3S1T4_B3S1T4_TRIAD tr_B3S1T4_B3S1T4_TRIAD TGF_BETA_2 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57877 PE=3 SV=1	Danio_rerio_tr_A1L1T8_A1L1T8_DANRE tr|A1L1T8|A1L1T8_DANRE Inhibin beta A chain precursor OS=Danio rerio OX=7955 GN=inhbal PE=2 SV=1, Danio_rerio_tr_Q8QGE3_Q8QGE3_DANRE tr|Q8QGE3|Q8QGE3_DANRE Activin beta A subunit OS=Danio rerio OX=7955 GN=wu_fk40h12 PE=2 SV=1, Danio_rerio_tr_Q90261_Q90261_DANRE tr|Q90261|Q90261_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=ZactbetaB PE=2 SV=1, Danio_rerio_tr_B0S7E0_B0S7E0_DANRE tr|B0S7E0|B0S7E0_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=actbb PE=2 SV=1
OG0000019	Tricoplax_adhaerens_tr_B3S0I2_B3S0I2_TRIAD tr_B3S0I2_B3S0I2_TRIAD TGF_BETA_2 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57057 PE=3 SV=1	Danio_rerio_tr_O57574_O57574_DANRE tr|O57574|O57574_DANRE Bone genetic protein 4 OS=Danio rerio OX=7955 GN=zBMP-4 PE=2 SV=1, Danio_rerio_tr_O13109_O13109_DANRE tr|O13109|O13109_DANRE BMP2 OS=Danio rerio OX=7955 GN=BMP2 PE=2 SV=1, Danio_rerio_tr_O93369_O93369_DANRE tr|O93369|O93369_DANRE Bone morphogenetic protein 2 OS=Danio rerio OX=7955 GN=BMP2b PE=2 SV=1
OG0000021	Tricoplax_adhaerens_tr_B3S0C6_B3S0C6_TRIAD tr_B3S0C6_B3S0C6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57765 PE=4 SV=1	Danio_rerio_tr_F1RAG3_F1RAG3_DANRE tr|F1RAG3|F1RAG3_DANRE Nidogen 1a OS=Danio rerio OX=7955 GN=nid1a PE=1 SV=2
OG0000023	Tricoplax_adhaerens_tr_B3SAV4_B3SAV4_TRIAD tr_B3SAV4_B3SAV4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64349 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV3_B3SAV3_TRIAD tr_B3SAV3_B3SAV3_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32380 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV2_B3SAV2_TRIAD tr_B3SAV2_B3SAV2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV6_B3SAV6_TRIAD tr_B3SAV6_B3SAV6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV5_B3SAV5_TRIAD tr_B3SAV5_B3SAV5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61393 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAW2_B3SAW2_TRIAD tr_B3SAW2_B3SAW2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32386 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIV5_B3RIV5_TRIAD tr_B3RIV5_B3RIV5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_1282 PE=4 SV=1	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1
OG0000028	Tricoplax_adhaerens_tr_B3S7P7_B3S7P7_TRIAD tr_B3S7P7_B3S7P7_TRIAD Collagen IV NC1 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_30529 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S7P5_B3S7P5_TRIAD tr_B3S7P5_B3S7P5_TRIAD Collagen IV NC1 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_60245 PE=4 SV=1	Danio_rerio_tr_X1WFR7_X1WFR7_DANRE tr|X1WFR7|X1WFR7_DANRE Collagen alpha-4_IV_ chain OS=Danio rerio OX=7955 GN=col4a4 PE=4 SV=1
OG0000030	Tricoplax_adhaerens_tr_B3S467_B3S467_TRIAD tr_B3S467_B3S467_TRIAD Peptidase M12B domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58971 PE=4 SV=1	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1
OG0000030	Tricoplax_adhaerens_tr_B3RL71_B3RL71_TRIAD tr_B3RL71_B3RL71_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19172 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RJM6_B3RJM6_TRIAD tr_B3RJM6_B3RJM6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19354 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RJQ4_B3RJQ4_TRIAD tr_B3RJQ4_B3RJQ4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51548 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RMA9_B3RMA9_TRIAD tr_B3RMA9_B3RMA9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52298 PE=4 SV=1	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2
OG0000034	Tricoplax_adhaerens_tr_B3RTL8_B3RTL8_TRIAD tr_B3RTL8_B3RTL8_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_55971 PE=4 SV=1	Danio_rerio_tr_F1QBZ9_F1QBZ9_DANRE tr|F1QBZ9|F1QBZ9_DANRE Multiple EGF-like-domains 8 OS=Danio rerio OX=7955 GN=megf8 PE=4 SV=2
OG0000040	Tricoplax_adhaerens_tr_B3SCG1_B3SCG1_TRIAD tr_B3SCG1_B3SCG1_TRIAD IGFBP N-terminal domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64395 PE=4 SV=1	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1
