Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Chordata_Vertebrata_Coturnix_japonica
OG0000010	Tricoplax_adhaerens_tr_B3S003_B3S003_TRIAD tr_B3S003_B3S003_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57635 PE=4 SV=1	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica], Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]
OG0000010	Tricoplax_adhaerens_tr_B3RSW2_B3RSW2_TRIAD tr_B3RSW2_B3RSW2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63780 PE=4 SV=1	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]
OG0000011	Tricoplax_adhaerens_tr_B3RYG3_B3RYG3_TRIAD tr_B3RYG3_B3RYG3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_25018 PE=4 SV=1	Coturnix_japonica_XP_015730064.1 hepatocyte growth factor-like protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734132.1 hepatocyte growth factor isoform X4 [Coturnix japonica]
OG0000011	Tricoplax_adhaerens_tr_B3SBX2_B3SBX2_TRIAD tr_B3SBX2_B3SBX2_TRIAD Kringle domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61767 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9J1_B3S9J1_TRIAD tr_B3S9J1_B3S9J1_TRIAD Kringle domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_9319 PE=4 SV=1	Coturnix_japonica_XP_015733606.1 phosphoinositide-3-kinase-interacting protein 1 isoform X1 [Coturnix japonica]
OG0000012	Tricoplax_adhaerens_tr_B3RQT5_B3RQT5_TRIAD tr_B3RQT5_B3RQT5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21952 PE=4 SV=1	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica]
OG0000012	Tricoplax_adhaerens_tr_B3RRG7_B3RRG7_TRIAD tr_B3RRG7_B3RRG7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54231 PE=4 SV=1	Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]
OG0000013	Tricoplax_adhaerens_tr_B3S743_B3S743_TRIAD tr_B3S743_B3S743_TRIAD Protein Wnt _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_30370 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RIQ5_B3RIQ5_TRIAD tr_B3RIQ5_B3RIQ5_TRIAD Protein Wnt OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52489 PE=3 SV=1	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]
OG0000014	Tricoplax_adhaerens_tr_B3RJG1_B3RJG1_TRIAD tr_B3RJG1_B3RJG1_TRIAD Peptidase M12B domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52613 PE=4 SV=1	Coturnix_japonica_XP_015734540.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015729658.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731090.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 2 [Coturnix japonica], Coturnix_japonica_XP_015721929.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717246.1 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015704104.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015742113.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica], Coturnix_japonica_XP_015728644.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 17 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015704889.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 [Coturnix japonica], Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015737403.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 [Coturnix japonica], Coturnix_japonica_XP_015739474.1 A disintegrin and metalloproteinase with thrombospondin motifs 15 [Coturnix japonica], Coturnix_japonica_XP_015736363.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Coturnix japonica], Coturnix_japonica_XP_015739476.1 A disintegrin and metalloproteinase with thrombospondin motifs 8 [Coturnix japonica]
OG0000017	Tricoplax_adhaerens_tr_B3S0N6_B3S0N6_TRIAD tr_B3S0N6_B3S0N6_TRIAD SERPIN domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_50363 PE=3 SV=1	Coturnix_japonica_XP_015727492.1 neuroserpin [Coturnix japonica], Coturnix_japonica_XP_015726831.1 glia-derived nexin isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015707344.1 serpin E3 [Coturnix japonica]
OG0000017	Tricoplax_adhaerens_tr_B3S279_B3S279_TRIAD tr_B3S279_B3S279_TRIAD SERPIN domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63332 PE=3 SV=1	Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica], Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica], Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica], Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica], Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica], Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]
OG0000018	Tricoplax_adhaerens_tr_B3SCU9_B3SCU9_TRIAD tr_B3SCU9_B3SCU9_TRIAD Sortilin-related receptor OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62104 PE=3 SV=1	Coturnix_japonica_XP_015722969.1 PREDICTED_ deleted in malignant brain tumors 1 protein [Coturnix japonica]
OG0000019	Tricoplax_adhaerens_tr_B3S1T4_B3S1T4_TRIAD tr_B3S1T4_B3S1T4_TRIAD TGF_BETA_2 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57877 PE=3 SV=1	Coturnix_japonica_XP_015742408.1 PREDICTED_ inhibin beta E chain-like [Coturnix japonica], Coturnix_japonica_XP_015710501.1 inhibin beta A chain isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015724327.1 inhibin beta B chain [Coturnix japonica]
OG0000019	Tricoplax_adhaerens_tr_B3S0I2_B3S0I2_TRIAD tr_B3S0I2_B3S0I2_TRIAD TGF_BETA_2 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57057 PE=3 SV=1	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]
OG0000021	Tricoplax_adhaerens_tr_B3S0C6_B3S0C6_TRIAD tr_B3S0C6_B3S0C6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57765 PE=4 SV=1	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]
OG0000022	Tricoplax_adhaerens_tr_B3S0N9_B3S0N9_TRIAD tr_B3S0N9_B3S0N9_TRIAD Annexin OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57118 PE=3 SV=1	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]
OG0000023	Tricoplax_adhaerens_tr_B3SAV4_B3SAV4_TRIAD tr_B3SAV4_B3SAV4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64349 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV3_B3SAV3_TRIAD tr_B3SAV3_B3SAV3_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32380 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV2_B3SAV2_TRIAD tr_B3SAV2_B3SAV2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV6_B3SAV6_TRIAD tr_B3SAV6_B3SAV6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAV5_B3SAV5_TRIAD tr_B3SAV5_B3SAV5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61393 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAW2_B3SAW2_TRIAD tr_B3SAW2_B3SAW2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32386 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIV5_B3RIV5_TRIAD tr_B3RIV5_B3RIV5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_1282 PE=4 SV=1	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]
OG0000028	Tricoplax_adhaerens_tr_B3S7P7_B3S7P7_TRIAD tr_B3S7P7_B3S7P7_TRIAD Collagen IV NC1 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_30529 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S7P5_B3S7P5_TRIAD tr_B3S7P5_B3S7P5_TRIAD Collagen IV NC1 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_60245 PE=4 SV=1	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]
OG0000030	Tricoplax_adhaerens_tr_B3S467_B3S467_TRIAD tr_B3S467_B3S467_TRIAD Peptidase M12B domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58971 PE=4 SV=1	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]
OG0000030	Tricoplax_adhaerens_tr_B3RL71_B3RL71_TRIAD tr_B3RL71_B3RL71_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19172 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RJM6_B3RJM6_TRIAD tr_B3RJM6_B3RJM6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19354 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RJQ4_B3RJQ4_TRIAD tr_B3RJQ4_B3RJQ4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51548 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RMA9_B3RMA9_TRIAD tr_B3RMA9_B3RMA9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52298 PE=4 SV=1	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]
OG0000040	Tricoplax_adhaerens_tr_B3SCG1_B3SCG1_TRIAD tr_B3SCG1_B3SCG1_TRIAD IGFBP N-terminal domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64395 PE=4 SV=1	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]
OG0000049	Tricoplax_adhaerens_tr_B3RWZ7_B3RWZ7_TRIAD tr_B3RWZ7_B3RWZ7_TRIAD Sema domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56941 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RWZ9_B3RWZ9_TRIAD tr_B3RWZ9_B3RWZ9_TRIAD Sema domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56943 PE=3 SV=1	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]
OG0000065	Tricoplax_adhaerens_tr_B3SCH4_B3SCH4_TRIAD tr_B3SCH4_B3SCH4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61971 PE=3 SV=1, Tricoplax_adhaerens_tr_B3SCH2_B3SCH2_TRIAD tr_B3SCH2_B3SCH2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61969 PE=3 SV=1, Tricoplax_adhaerens_tr_B3SCH3_B3SCH3_TRIAD tr_B3SCH3_B3SCH3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61970 PE=3 SV=1	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]
OG0000074	Tricoplax_adhaerens_tr_B3S3J9_B3S3J9_TRIAD tr_B3S3J9_B3S3J9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58750 PE=4 SV=1	Coturnix_japonica_XP_015718244.1 slit homolog 2 protein isoform X16 [Coturnix japonica], Coturnix_japonica_XP_015731429.1 slit homolog 3 protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015722602.1 slit homolog 1 protein [Coturnix japonica]
OG0000080	Tricoplax_adhaerens_tr_B3RWZ3_B3RWZ3_TRIAD tr_B3RWZ3_B3RWZ3_TRIAD NTR domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56937 PE=3 SV=1	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]
