Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Porites_asteroides_GCKDGN103HIQDM GCKDGN103HIQDM extracted_CDS GOMatch=B3S1D6 GOTerms=GO_0004725_GO_0006470_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_delta_ Match_Acc=Q9IAJ1 length=290 region=3 run=R_2010_02_19_08_49_25_ xy=2966_2680	Nematostella_vectensis_NV2t000360001.1 NV2t000360001.1
OG0000001	Porites_asteroides_isotig08245 isotig08245 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin_1_ Match_Acc=B1ARR0 gene=isogroup06513 length=765 numContigs=1	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1
OG0000001	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1, Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000002	Porites_asteroides_isotig14027 isotig14027 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup12295 length=507 numContigs=1	Nematostella_vectensis_NV2t014004001.1 NV2t014004001.1
OG0000002	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1, Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Porites_asteroides_isotig13118 isotig13118 extracted_CDS GOMatch=A7RL39 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_ Match_Acc=Q172A7 gene=isogroup11386 length=535 numContigs=1	Nematostella_vectensis_NV2t015519002.1 NV2t015519002.1, Nematostella_vectensis_NV2t015519001.1 NV2t015519001.1
OG0000002	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Porites_asteroides_isotig05386 isotig05386 extracted_CDS GOMatch=C3ZT55 GOTerms=GO_0005488 Gene=Hemicentin-1_ Match_Acc=B0XGP5 gene=isogroup03654 length=1059 numContigs=1	Nematostella_vectensis_NV2t007220001.1 NV2t007220001.1
OG0000002	Porites_asteroides_GE916868 GE916868 extracted_CDS Past_33_20453_J03.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Nematostella_vectensis_NV2t010038001.1 NV2t010038001.1
OG0000002	Porites_asteroides_isotig10489 isotig10489 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup08757 length=650 numContigs=1	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1
OG0000002	Porites_asteroides_isotig11437 isotig11437 extracted_CDS GOMatch=C3YH52 GOTerms=GO_0005488 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup09705 length=599 numContigs=1	Nematostella_vectensis_NV2t014919003.1 NV2t014919003.1, Nematostella_vectensis_NV2t014919004.1 NV2t014919004.1, Nematostella_vectensis_NV2t014919005.1 NV2t014919005.1, Nematostella_vectensis_NV2t014919002.1 NV2t014919002.1, Nematostella_vectensis_NV2t014919001.1 NV2t014919001.1, Nematostella_vectensis_NV2t017429004.1 NV2t017429004.1, Nematostella_vectensis_NV2t017429002.1 NV2t017429002.1, Nematostella_vectensis_NV2t017421001.1 NV2t017421001.1, Nematostella_vectensis_NV2t025851002.1 NV2t025851002.1, Nematostella_vectensis_NV2t025847002.1 NV2t025847002.1, Nematostella_vectensis_NV2t025847001.1 NV2t025847001.1, Nematostella_vectensis_NV2t025851001.1 NV2t025851001.1, Nematostella_vectensis_NV2t017422001.1 NV2t017422001.1, Nematostella_vectensis_NV2t017429003.1 NV2t017429003.1, Nematostella_vectensis_NV2t002666001.1 NV2t002666001.1
OG0000002	Porites_asteroides_isotig08787 isotig08787 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup07055 length=736 numContigs=1	Nematostella_vectensis_NV2t004066003.1 NV2t004066003.1, Nematostella_vectensis_NV2t004066001.1 NV2t004066001.1, Nematostella_vectensis_NV2t004066002.1 NV2t004066002.1
OG0000002	Porites_asteroides_isotig03575 isotig03575 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01843 length=1707 numContigs=1	Nematostella_vectensis_NV2t011945001.1 NV2t011945001.1, Nematostella_vectensis_NV2t014005001.1 NV2t014005001.1, Nematostella_vectensis_NV2t014831001.1 NV2t014831001.1, Nematostella_vectensis_NV2t018541001.1 NV2t018541001.1, Nematostella_vectensis_NV2t001634001.1 NV2t001634001.1, Nematostella_vectensis_NV2t015933002.1 NV2t015933002.1, Nematostella_vectensis_NV2t015933001.1 NV2t015933001.1
OG0000002	Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1	Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1
OG0000002	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1
OG0000003	Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1
OG0000003	Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1	Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1
OG0000003	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
OG0000003	Porites_asteroides_isotig03282 isotig03282 extracted_CDS GOMatch=A7S362 GOTerms=GO_0005488 Gene=CD209_antigen-like_protein_A_ Match_Acc=B9EPI6 gene=isogroup01550 length=2187 numContigs=1, Porites_asteroides_isotig13983 isotig13983 extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Si_ch211-125e6.14_protein_ Match_Acc=A8KB16 gene=isogroup12251 length=507 numContigs=1, Porites_asteroides_isotig00667 isotig00667 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig00668 isotig00668 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig14265 isotig14265 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup12533 length=500 numContigs=1, Porites_asteroides_isotig04682 isotig04682 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=Nattectin_ Match_Acc=B5XBM3 gene=isogroup02950 length=1214 numContigs=1, Porites_asteroides_isotig06386 isotig06386 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_domain_family_4__member_a4_ Match_Acc=Q5YIR8 gene=isogroup04654 length=924 numContigs=1, Porites_asteroides_isotig01112 isotig01112 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup00389 length=1760 numContigs=2	Nematostella_vectensis_NV2t013847001.1 NV2t013847001.1, Nematostella_vectensis_NV2t014543001.1 NV2t014543001.1
OG0000003	Porites_asteroides_isotig13011 isotig13011 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup11279 length=534 numContigs=1	Nematostella_vectensis_NV2t012173001.1 NV2t012173001.1
OG0000003	Porites_asteroides_isotig25037 isotig25037 extracted_CDS gene=isogroup23305 length=331 numContigs=1	Nematostella_vectensis_NV2t010392001.1 NV2t010392001.1, Nematostella_vectensis_NV2t010392002.1 NV2t010392002.1, Nematostella_vectensis_NV2t010392003.1 NV2t010392003.1, Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1, Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Porites_asteroides_isotig24779 isotig24779 extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup23047 length=333 numContigs=1	Nematostella_vectensis_NV2t019497001.1 NV2t019497001.1, Nematostella_vectensis_NV2t019497002.1 NV2t019497002.1
OG0000003	Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527	Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1
OG0000003	Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1	Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1
OG0000003	Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1	Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1
OG0000003	Porites_asteroides_isotig23687 isotig23687 extracted_CDS GOMatch=A7REX6 GOTerms=GO_0005509 gene=isogroup21955 length=348 numContigs=1	Nematostella_vectensis_NV2t012174001.1 NV2t012174001.1, Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1
OG0000004	Porites_asteroides_isotig09193 isotig09193 extracted_CDS gene=isogroup07461 length=713 numContigs=1	Nematostella_vectensis_NV2t011509001.1 NV2t011509001.1, Nematostella_vectensis_NV2t011507001.1 NV2t011507001.1
OG0000004	Porites_asteroides_GCKDGN101A9DR5 GCKDGN101A9DR5 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 Gene=Macrophage_mannose_receptor_1-like_protein_1_ Match_Acc=Q5VSK2 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0399_3187	Nematostella_vectensis_NV2t020957001.1 NV2t020957001.1, Nematostella_vectensis_NV2t020956001.1 NV2t020956001.1, Nematostella_vectensis_NV2t020522006.1 NV2t020522006.1, Nematostella_vectensis_NV2t020522008.1 NV2t020522008.1, Nematostella_vectensis_NV2t020522007.1 NV2t020522007.1, Nematostella_vectensis_NV2t020522003.1 NV2t020522003.1, Nematostella_vectensis_NV2t020522004.1 NV2t020522004.1, Nematostella_vectensis_NV2t020522005.1 NV2t020522005.1, Nematostella_vectensis_NV2t020522002.1 NV2t020522002.1, Nematostella_vectensis_NV2t020522001.1 NV2t020522001.1
OG0000004	Porites_asteroides_GCKDGN102EJBMA GCKDGN102EJBMA extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 length=465 region=2 run=R_2010_02_19_08_49_25_ xy=1743_0768, Porites_asteroides_isotig06079 isotig06079 extracted_CDS GOMatch=A1XVT4 GOTerms=GO_0005576_GO_0005581_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup04347 length=960 numContigs=1	Nematostella_vectensis_NV2t011511001.1 NV2t011511001.1
OG0000004	Porites_asteroides_isotig03424 isotig03424 extracted_CDS GOMatch=Q6DCQ6 GOTerms=GO_0005576 Gene=von_Willebrand_factor_A_domain-containing_protein_2_ Match_Acc=Q6DCQ6 gene=isogroup01692 length=1891 numContigs=1	Nematostella_vectensis_NV2t011346003.1 NV2t011346003.1, Nematostella_vectensis_NV2t011346001.1 NV2t011346001.1, Nematostella_vectensis_NV2t011346002.1 NV2t011346002.1
OG0000004	Porites_asteroides_GCKDGN102DY9ZO GCKDGN102DY9ZO extracted_CDS Gene=Collagen_alpha-6_VI__chain_ run=R_2010_02_19_08_49_25_ region=2 Match_Acc=Q8C6K9 xy=1514_3522 length=494	Nematostella_vectensis_NV2t012411002.1 NV2t012411002.1, Nematostella_vectensis_NV2t012411003.1 NV2t012411003.1, Nematostella_vectensis_NV2t012411001.1 NV2t012411001.1
OG0000004	Porites_asteroides_isotig12304 isotig12304 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup10572 length=565 numContigs=1, Porites_asteroides_isotig14034 isotig14034 extracted_CDS GOMatch=A7SJB7 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup12302 length=507 numContigs=1, Porites_asteroides_isotig01107 isotig01107 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup00386 length=1720 numContigs=2, Porites_asteroides_isotig01106 isotig01106 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup00386 length=1789 numContigs=2, Porites_asteroides_isotig25706 isotig25706 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup23974 length=322 numContigs=1, Porites_asteroides_isotig25243 isotig25243 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup23511 length=327 numContigs=1, Porites_asteroides_isotig04798 isotig04798 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-3_VI__chain_ Match_Acc=P15989 gene=isogroup03066 length=1193 numContigs=1, Porites_asteroides_isotig01609 isotig01609 extracted_CDS GOMatch=A7SJB7 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup00637 length=652 numContigs=2, Porites_asteroides_isotig01608 isotig01608 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup00637 length=1202 numContigs=2, Porites_asteroides_isotig05064 isotig05064 extracted_CDS GOMatch=A7S5X4 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup03332 length=1131 numContigs=1	Nematostella_vectensis_NV2t014046003.1 NV2t014046003.1, Nematostella_vectensis_NV2t014046004.1 NV2t014046004.1, Nematostella_vectensis_NV2t014049001.1 NV2t014049001.1, Nematostella_vectensis_NV2t014050001.1 NV2t014050001.1
OG0000004	Porites_asteroides_isotig06780 isotig06780 extracted_CDS GOMatch=A7S5X4 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-4_VI__chain_ Match_Acc=A2AX52 gene=isogroup05048 length=871 numContigs=1	Nematostella_vectensis_NV2t025978001.1 NV2t025978001.1, Nematostella_vectensis_NV2t024227001.1 NV2t024227001.1, Nematostella_vectensis_NV2t024226002.1 NV2t024226002.1, Nematostella_vectensis_NV2t024226001.1 NV2t024226001.1, Nematostella_vectensis_NV2t024204001.1 NV2t024204001.1, Nematostella_vectensis_NV2t024228002.1 NV2t024228002.1, Nematostella_vectensis_NV2t024228001.1 NV2t024228001.1
OG0000004	Porites_asteroides_isotig04220 isotig04220 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Papilin_ Match_Acc=Q868Z9 gene=isogroup02488 length=1341 numContigs=1	Nematostella_vectensis_NV2t011796001.1 NV2t011796001.1
OG0000004	Porites_asteroides_isotig18015 isotig18015 extracted_CDS GOMatch=A7SV43 GOTerms=GO_0007155 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup16283 length=423 numContigs=1, Porites_asteroides_GCKDGN102C26XM GCKDGN102C26XM extracted_CDS GOMatch=A7SV43 GOTerms=GO_0007155 Gene=Collagen-like_protein__Fragment__ Match_Acc=O16003 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1149_1608	Nematostella_vectensis_NV2t013622002.1 NV2t013622002.1
OG0000004	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1
OG0000004	Porites_asteroides_isotig15239 isotig15239 extracted_CDS GOMatch=D2HSH8 GOTerms=GO_0005198_GO_0005615_GO_0007155_GO_0031012 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=Q60847 gene=isogroup13507 length=472 numContigs=1	Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1
OG0000004	Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1	Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1, Nematostella_vectensis_NV2t016479001.1 NV2t016479001.1
