Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Porifera_Demospongiae_Ephydatia_muelleri
OG0000020	Porites_asteroides_isotig03714 isotig03714 extracted_CDS GOMatch=A7RG67 GOTerms=GO_0005201_GO_0005581 Gene=Col2a1b_protein_ Match_Acc=Q7ZTM4 gene=isogroup01982 length=1584 numContigs=1, Porites_asteroides_isotig20458 isotig20458 extracted_CDS GOMatch=A7S046 GOTerms=GO_0005201_GO_0005576_GO_0005581_GO_0010466_GO_0030414 Gene=Fibrillar_collagen__Fragment__ Match_Acc=Q283I7 gene=isogroup18726 length=390 numContigs=1	Ephydatia_muelleri_Em0016g1034a Em0016g1034a, Ephydatia_muelleri_Em0016g1035a Em0016g1035a
OG0000021	Porites_asteroides_isotig00263 isotig00263 extracted_CDS GOMatch=A7RXU8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Vitellogenin_receptor__putative__Fragment__ Match_Acc=B7QBX8 gene=isogroup00059 length=1548 numContigs=4	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a
OG0000021	Porites_asteroides_isotig22018 isotig22018 extracted_CDS GOMatch=A7RGB0 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Lipophorin_receptor_ Match_Acc=A3KL84 gene=isogroup20286 length=372 numContigs=1, Porites_asteroides_GCKDGN101AP0FG GCKDGN101AP0FG extracted_CDS GOMatch=A7RXB8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=LDL_receptor-related_protein_4_ Match_Acc=Q76LU2 length=293 region=1 run=R_2010_02_19_08_49_25_ xy=0179_0538	Ephydatia_muelleri_Em0001g1116a Em0001g1116a
OG0000022	Porites_asteroides_GE911485 GE911485 extracted_CDS Past_17_20453_L23.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig03484 isotig03484 extracted_CDS GOMatch=A7T6G0 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_ Match_Acc=Q4W6D6 gene=isogroup01752 length=1813 numContigs=1	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000022	Porites_asteroides_isotig07424 isotig07424 extracted_CDS GOMatch=A7SW86 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_max1_ Match_Acc=O93444 gene=isogroup05692 length=816 numContigs=1	Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a
OG0000024	Porites_asteroides_isotig15214 isotig15214 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=Q9U6K8 gene=isogroup13482 length=474 numContigs=1, Porites_asteroides_isotig00462 isotig00462 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup00113 length=2396 numContigs=4, Porites_asteroides_isotig00463 isotig00463 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup00113 length=2305 numContigs=3, Porites_asteroides_isotig00461 isotig00461 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup00113 length=2396 numContigs=3, Porites_asteroides_isotig06246 isotig06246 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup04514 length=941 numContigs=1, Porites_asteroides_isotig06808 isotig06808 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup05076 length=874 numContigs=1, Porites_asteroides_isotig05381 isotig05381 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Thyroglobulin_ Match_Acc=P01267 gene=isogroup03649 length=1073 numContigs=1, Porites_asteroides_isotig21908 isotig21908 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Thyroglobulin_ Match_Acc=Q1ERT3 gene=isogroup20176 length=372 numContigs=1, Porites_asteroides_isotig11565 isotig11565 extracted_CDS GOMatch=A1L1D2 GOTerms=GO_0005509_GO_0007160_GO_0008218_GO_0016020_GO_0018298 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup09833 length=593 numContigs=1, Porites_asteroides_isotig15557 isotig15557 extracted_CDS GOMatch=P81439 GOTerms=GO_0004869_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup13825 length=470 numContigs=1, Porites_asteroides_isotig03469 isotig03469 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Thyroglobulin_ Match_Acc=B2RU26 gene=isogroup01737 length=1838 numContigs=1, Porites_asteroides_isotig03203 isotig03203 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup01471 length=2565 numContigs=1, Porites_asteroides_isotig18070 isotig18070 extracted_CDS GOMatch=P81439 GOTerms=GO_0004869_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=Q9U6K8 gene=isogroup16338 length=423 numContigs=1, Porites_asteroides_GCKDGN102EM1H0 GCKDGN102EM1H0 extracted_CDS Gene=Equistatin_ Match_Acc=P81439 run=R_2010_02_19_08_49_25_ region=2 xy=1785_2246 length=346, Porites_asteroides_isotig04080 isotig04080 extracted_CDS GOMatch=C3Y986 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup02348 length=1388 numContigs=1, Porites_asteroides_isotig22648 isotig22648 extracted_CDS GOMatch=A1L1D2 GOTerms=GO_0005509_GO_0007160_GO_0008218_GO_0016020_GO_0018298 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup20916 length=363 numContigs=1, Porites_asteroides_isotig28378 isotig28378 extracted_CDS GOMatch=Q4SEE4 GOTerms=GO_0005509_GO_0007160_GO_0008218_GO_0016020_GO_0018298 Gene=Thyroglobulin_ Match_Acc=D1KKB3 gene=isogroup26646 length=264 numContigs=1, Porites_asteroides_isotig10759 isotig10759 extracted_CDS GOMatch=B3SAJ2 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=Q9U6K8 gene=isogroup09027 length=634 numContigs=1, Porites_asteroides_isotig21314 isotig21314 extracted_CDS GOMatch=P81439 GOTerms=GO_0004869_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup19582 length=368 numContigs=1, Porites_asteroides_GCKDGN102DDUNO GCKDGN102DDUNO extracted_CDS xy=1270_3298 Gene=Thyroglobulin__Fragment__ Match_Acc=A9J464 run=R_2010_02_19_08_49_25_ region=2 length=413, Porites_asteroides_GCKDGN101B60AF GCKDGN101B60AF extracted_CDS length=143 region=1 run=R_2010_02_19_08_49_25_ xy=0782_3237, Porites_asteroides_isotig04675 isotig04675 extracted_CDS GOMatch=A7RFR0 GOTerms=GO_0005509_GO_0005578_GO_0007165 Gene=Testican-3_ Match_Acc=Q8BKV0 gene=isogroup02943 length=1220 numContigs=1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	Porites_asteroides_isotig13870 isotig13870 extracted_CDS GOMatch=Q7QC01 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0016787 Gene=Adam_ Match_Acc=Q17E69 gene=isogroup12138 length=509 numContigs=1	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000030	Porites_asteroides_isotig18345 isotig18345 extracted_CDS GOMatch=A7S393 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=ADAM_10_ Match_Acc=O46354 gene=isogroup16613 length=415 numContigs=1	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a
OG0000034	Porites_asteroides_isotig07045 isotig07045 extracted_CDS GOMatch=A7SHD7 GOTerms=GO_0016020_GO_0016021 Gene=Attractin-like_protein_1_ Match_Acc=Q5VV63 gene=isogroup05313 length=840 numContigs=1	Ephydatia_muelleri_Em0013g43a Em0013g43a
OG0000037	Porites_asteroides_isotig29751 isotig29751 extracted_CDS gene=isogroup28019 length=236 numContigs=1	Ephydatia_muelleri_Em0022g51a Em0022g51a, Ephydatia_muelleri_Em0969g3a Em0969g3a, Ephydatia_muelleri_Em0022g56a Em0022g56a, Ephydatia_muelleri_Em0022g52a Em0022g52a, Ephydatia_muelleri_Em0022g54a Em0022g54a, Ephydatia_muelleri_Em0022g55a Em0022g55a
OG0000039	Porites_asteroides_GCKDGN101CCCXT GCKDGN101CCCXT extracted_CDS GOMatch=A7SGB4 GOTerms=GO_0005509 Gene=Notch1_ Match_Acc=B5U9W5 length=353 region=1 run=R_2010_02_19_08_49_25_ xy=0843_3055	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a
OG0000040	Porites_asteroides_isotig04961 isotig04961 extracted_CDS GOMatch=Q2VYC5 GOTerms=GO_0001558_GO_0004867_GO_0005520_GO_0005576_GO_0010466_GO_0030414 Gene=Chordin-like_protein_ Match_Acc=Q2VYC5 gene=isogroup03229 length=1149 numContigs=1	Ephydatia_muelleri_Em1222g1a Em1222g1a, Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000041	Porites_asteroides_GCKDGN102DHWBB GCKDGN102DHWBB extracted_CDS Gene=Loh11cr2a_protein_ Match_Acc=Q66JE2 length=358 region=2 run=R_2010_02_19_08_49_25_ xy=1316_3653	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a, Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Porites_asteroides_isotig04697 isotig04697 extracted_CDS GOMatch=A7RXW8 GOTerms=GO_0003810_GO_0018149 Gene=Extracellular_transglutaminase_ Match_Acc=C4P258 gene=isogroup02965 length=1206 numContigs=1	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Porites_asteroides_isotig07888 isotig07888 extracted_CDS GOMatch=B0WAD7 GOTerms=GO_0005604_GO_0007155_GO_0031012 Gene=Laminin_subunit_alpha_ Match_Acc=B0WAD7 gene=isogroup06156 length=785 numContigs=1	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000054	Porites_asteroides_isotig12480 isotig12480 extracted_CDS Gene=Erbb2_interacting_protein__Fragment__ Match_Acc=Q28E10 gene=isogroup10748 length=557 numContigs=1, Porites_asteroides_isotig06387 isotig06387 extracted_CDS Gene=Densin-180_ Match_Acc=Q0IHU8 gene=isogroup04655 length=921 numContigs=1	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Porites_asteroides_isotig08425 isotig08425 extracted_CDS Gene=Protein_scribble_homolog_ Match_Acc=Q4H4B6 gene=isogroup06693 length=748 numContigs=1	Ephydatia_muelleri_Em0005g1163a Em0005g1163a
OG0000065	Porites_asteroides_isotig12383 isotig12383 extracted_CDS GOMatch=D2HAA5 GOTerms=GO_0005578_GO_0005626_GO_0005886_GO_0009897_GO_0016020_GO_0031225_GO_0043395 Gene=Glypican_Knypek_ Match_Acc=Q90Z52 gene=isogroup10651 length=558 numContigs=1	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000081	Porites_asteroides_isotig28749 isotig28749 extracted_CDS GOMatch=A7RT96 GOTerms=GO_0005509 Gene=Cysteine-rich_with_EGF-like_domain_protein_2_ Match_Acc=Q7SXF6 gene=isogroup27017 length=261 numContigs=1, Porites_asteroides_GCKDGN101BNNFL GCKDGN101BNNFL extracted_CDS GOMatch=A8XVJ4 GOTerms=GO_0004867_GO_0005509 Gene=MEC-9L_ Match_Acc=Q27422 length=456 region=1 run=R_2010_02_19_08_49_25_ xy=0562_1231	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	Porites_asteroides_isotig18563 isotig18563 extracted_CDS GOMatch=C3XYF8 GOTerms=GO_0003824_GO_0004415_GO_0005975_GO_0008152 Gene=Hyaluronidase_5__Fragment__ Match_Acc=D6C449 gene=isogroup16831 length=410 numContigs=1, Porites_asteroides_isotig07169 isotig07169 extracted_CDS GOMatch=A7RL66 GOTerms=GO_0003824_GO_0004415_GO_0005975_GO_0006952_GO_0008152 Gene=Hyal2-prov_protein_ Match_Acc=Q801T1 gene=isogroup05437 length=839 numContigs=1	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000089	Porites_asteroides_isotig24370 isotig24370 extracted_CDS GOMatch=B5DEB6 GOTerms=GO_0001947_GO_0003143_GO_0007368_GO_0009948_GO_0009953_GO_0010159_GO_0030514_GO_0035143_GO_0035162_GO_0043049_GO_0048264_GO_0060030_GO_0061371_GO_0070121_GO_2000223 Gene=Chordin_ Match_Acc=Q27W09 gene=isogroup22638 length=342 numContigs=1	Ephydatia_muelleri_Em0021g686a Em0021g686a, Ephydatia_muelleri_Em0021g687a Em0021g687a
OG0000103	Porites_asteroides_isotig04048 isotig04048 extracted_CDS Gene=Leucine-rich_repeat-containing_protein_49_ Match_Acc=Q91YK0 gene=isogroup02316 length=1405 numContigs=1	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000104	Porites_asteroides_GCKDGN103F5DU7 GCKDGN103F5DU7 extracted_CDS GOMatch=D2HCA8 GOTerms=GO_0005615_GO_0007155_GO_0008022_GO_0031012 Gene=Perlecan__Heparan_sulfate_proteoglycan_2__ Match_Acc=B1B0C7 length=371 region=3 run=R_2010_02_19_08_49_25_ xy=2404_2273	Ephydatia_muelleri_Em0016g522a Em0016g522a
OG0000113	Porites_asteroides_GCKDGN103F6SL1 GCKDGN103F6SL1 extracted_CDS GOMatch=Q5RBN1 GOTerms=GO_0000139_GO_0005794_GO_0016020_GO_0016021 Gene=Fibronectin_type-III_domain-containing_protein_3A_ Match_Acc=Q5RBN1 length=346 region=3 run=R_2010_02_19_08_49_25_ xy=2420_2503	Ephydatia_muelleri_Em0021g75a Em0021g75a
OG0000113	Porites_asteroides_isotig20059 isotig20059 extracted_CDS GOMatch=D2HHG0 GOTerms=GO_0005783_GO_0045600 Gene=Fibronectin_type_III_domain_containing_protein_3C1_ Match_Acc=Q6DFV6 gene=isogroup18327 length=395 numContigs=1	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000114	Porites_asteroides_isotig03579 isotig03579 extracted_CDS GOMatch=P51611 GOTerms=GO_0003682_GO_0003713_GO_0005634_GO_0005737_GO_0007049_GO_0045931_GO_0048188_GO_0050821_GO_0071339 Gene=Host_cell_factor_1_ Match_Acc=P51611 gene=isogroup01847 length=1700 numContigs=1	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a
OG0000131	Porites_asteroides_isotig07287 isotig07287 extracted_CDS GOMatch=A7SAX4 GOTerms=GO_0000166_GO_0004672_GO_0004872_GO_0005003_GO_0005524_GO_0006468_GO_0016020_GO_0016021 Gene=Ephrin_receptor_ Match_Acc=Q6P4R6 gene=isogroup05555 length=829 numContigs=1	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a
OG0000146	Porites_asteroides_isotig16830 isotig16830 extracted_CDS gene=isogroup15098 length=441 numContigs=1	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a
OG0000152	Porites_asteroides_isotig12193 isotig12193 extracted_CDS GOMatch=Q8AVI4 GOTerms=GO_0000164_GO_0005634_GO_0005737_GO_0019903_GO_0046579 Gene=Leucine-rich_repeat_protein_soc-2_homolog_ Match_Acc=A7SFP1 gene=isogroup10461 length=569 numContigs=1, Porites_asteroides_isotig06496 isotig06496 extracted_CDS GOMatch=B7PKB9 GOTerms=GO_0004721_GO_0016787 Gene=Leucine-rich_repeat_protein_soc-2_homolog_ Match_Acc=A7SFP1 gene=isogroup04764 length=912 numContigs=1	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a
OG0000165	Porites_asteroides_isotig04010 isotig04010 extracted_CDS Gene=Leucine-rich_repeat-containing_protein_58_ Match_Acc=Q32NT4 gene=isogroup02278 length=1414 numContigs=1	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000184	Porites_asteroides_isotig12168 isotig12168 extracted_CDS gene=isogroup10436 length=569 numContigs=1, Porites_asteroides_isotig16751 isotig16751 extracted_CDS GOMatch=B7ZR47 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Xolloid_ Match_Acc=B7ZR47 gene=isogroup15019 length=445 numContigs=1	Ephydatia_muelleri_Em0020g39a Em0020g39a, Ephydatia_muelleri_Em0020g43a Em0020g43a
OG0000187	Porites_asteroides_isotig17751 isotig17751 extracted_CDS GOMatch=B2IUT6 GOTerms=GO_0004888_GO_0005525_GO_0005622_GO_0007165_GO_0007264_GO_0031224_GO_0045087 Gene=Leucine-rich_repeat-containing_protein_69_ Match_Acc=Q3KQF4 gene=isogroup16019 length=428 numContigs=1	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000193	Porites_asteroides_GCKDGN102D6QYD GCKDGN102D6QYD extracted_CDS GOMatch=B7P4D9 GOTerms=GO_0004535_GO_0016787 Gene=Glucose-repressible_alcohol_dehydrogenase__putative__Fragment__ Match_Acc=B7P4D9 length=220 region=2 run=R_2010_02_19_08_49_25_ xy=1599_3939	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000195	Porites_asteroides_isotig07810 isotig07810 extracted_CDS GOMatch=B7P3B9 GOTerms=GO_0004721_GO_0016787 Gene=Rsu1_protein__Fragment__ Match_Acc=Q5U3F0 gene=isogroup06078 length=789 numContigs=1	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000204	Porites_asteroides_GCKDGN103HI8NS GCKDGN103HI8NS extracted_CDS GOMatch=B5G021 GOTerms=GO_0042645 Gene=Putative_leucine_rich_repeat_containing_59_variant_1_ Match_Acc=B5G021 length=404 region=3 run=R_2010_02_19_08_49_25_ xy=2972_1798	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000209	Porites_asteroides_GCKDGN103GEHWU GCKDGN103GEHWU extracted_CDS GOMatch=Q5U4W6 GOTerms=GO_0005634 Gene=Integrator_complex_subunit_6-B_ Match_Acc=Q5U4W6 length=279 region=3 run=R_2010_02_19_08_49_25_ xy=2508_1436	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000253	Porites_asteroides_isotig04411 isotig04411 extracted_CDS GOMatch=A7S1M7 GOTerms=GO_0005622_GO_0005634_GO_0006281_GO_0008270 Gene=General_transcription_factor_II_H__polypeptide_2__isoform_CRA_a_ Match_Acc=Q91YN8 gene=isogroup02679 length=1286 numContigs=1	Ephydatia_muelleri_Em0008g944a Em0008g944a
OG0000274	Porites_asteroides_isotig04820 isotig04820 extracted_CDS Gene=Axonemal_leucine-rich_repeat_protein_ Match_Acc=Q8T896 gene=isogroup03088 length=1182 numContigs=1	Ephydatia_muelleri_Em0008g1007a Em0008g1007a
OG0000284	Porites_asteroides_isotig01718 isotig01718 extracted_CDS GOMatch=B4QA19 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Cell_adhesion_molecule_with_homology_to_L1CAM_ Match_Acc=A2RRK1 gene=isogroup00692 length=947 numContigs=2, Porites_asteroides_isotig14108 isotig14108 extracted_CDS gene=isogroup12376 length=504 numContigs=1	Ephydatia_muelleri_Em0001g1874a Em0001g1874a
OG0000314	Porites_asteroides_isotig23443 isotig23443 extracted_CDS GOMatch=C3Z7V4 GOTerms=GO_0005488 Gene=Rab_family_protein_ Match_Acc=Q8KC98 gene=isogroup21711 length=351 numContigs=1	Ephydatia_muelleri_Em0020g193a Em0020g193a
OG0000577	Porites_asteroides_isotig22898 isotig22898 extracted_CDS GOMatch=C3XVC3 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup21166 length=358 numContigs=1, Porites_asteroides_isotig02329 isotig02329 extracted_CDS GOMatch=C3YCB7 GOTerms=GO_0004867_GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup00997 length=565 numContigs=2	Ephydatia_muelleri_Em0009g817a Em0009g817a, Ephydatia_muelleri_Em0006g1310a Em0006g1310a
OG0000794	Porites_asteroides_isotig14680 isotig14680 extracted_CDS GOMatch=Q4SR25 GOTerms=GO_0007165_GO_0016608 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup12948 length=486 numContigs=1	Ephydatia_muelleri_Em0005g600a Em0005g600a
OG0000899	Porites_asteroides_GCKDGN102DKP5S GCKDGN102DKP5S extracted_CDS GOMatch=A7SIF5 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_alpha_5_ Match_Acc=Q2Q1W5 length=226 region=2 run=R_2010_02_19_08_49_25_ xy=1349_0478	Ephydatia_muelleri_Em0012g487a Em0012g487a
OG0001583	Porites_asteroides_isotig20179 isotig20179 extracted_CDS gene=isogroup18447 length=388 numContigs=1	Ephydatia_muelleri_Em0006g1113a Em0006g1113a
