Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Acropora_digitifera
OG0000001	Porites_asteroides_isotig17881 isotig17881 extracted_CDS GOMatch=A7SYW2 GOTerms=GO_0007155_GO_0031012 gene=isogroup16149 length=423 numContigs=1	Acropora_digitifera_adi_v1.11082 adi_v1.11082
OG0000001	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000002	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161, Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607, Acropora_digitifera_adi_v1.17842 adi_v1.17842
OG0000002	Porites_asteroides_isotig13118 isotig13118 extracted_CDS GOMatch=A7RL39 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_ Match_Acc=Q172A7 gene=isogroup11386 length=535 numContigs=1	Acropora_digitifera_adi_v1.09542 adi_v1.09542
OG0000002	Porites_asteroides_isotig04429 isotig04429 extracted_CDS GOMatch=C3Z8H9 GOTerms=GO_0005509_GO_0005576_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Thrombospondin__Fragment__ Match_Acc=Q16ZU9 gene=isogroup02697 length=1276 numContigs=1	Acropora_digitifera_adi_v1.13969 adi_v1.13969
OG0000002	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1	Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794
OG0000002	Porites_asteroides_isotig13977 isotig13977 extracted_CDS GOMatch=Q17NJ6 GOTerms=GO_0004888_GO_0007165_GO_0016020_GO_0016021_GO_0031224_GO_0045087 Gene=Toll_ Match_Acc=Q17NJ6 gene=isogroup12245 length=508 numContigs=1	Acropora_digitifera_adi_v1.21700 adi_v1.21700, Acropora_digitifera_adi_v1.09763 adi_v1.09763
OG0000002	Porites_asteroides_isotig02238 isotig02238 extracted_CDS GOMatch=C3YH52 GOTerms=GO_0005488 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup00952 length=801 numContigs=2	Acropora_digitifera_adi_v1.10438 adi_v1.10438
OG0000002	Porites_asteroides_isotig03926 isotig03926 extracted_CDS GOMatch=A7RQV4 GOTerms=GO_0005576_GO_0006030_GO_0008061 Gene=Peritrophic_membrane_protein_3__Fragment__ Match_Acc=C4N883 gene=isogroup02194 length=1450 numContigs=1, Porites_asteroides_GE916868 GE916868 extracted_CDS Past_33_20453_J03.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Acropora_digitifera_adi_v1.09130 adi_v1.09130, Acropora_digitifera_adi_v1.09132 adi_v1.09132
OG0000002	Porites_asteroides_isotig21628 isotig21628 extracted_CDS GOMatch=Q4S2G3 GOTerms=GO_0004888_GO_0005509_GO_0007596_GO_0008218_GO_0016020_GO_0018298 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 gene=isogroup19896 length=380 numContigs=1	Acropora_digitifera_adi_v1.21416 adi_v1.21416
OG0000002	Porites_asteroides_isotig24137 isotig24137 extracted_CDS GOMatch=B3LF40 GOTerms=GO_0007155 Gene=SCO-spondin_ Match_Acc=B3LF40 gene=isogroup22405 length=333 numContigs=1	Acropora_digitifera_adi_v1.13210 adi_v1.13210
OG0000002	Porites_asteroides_isotig02929 isotig02929 extracted_CDS GOMatch=Q969A3 GOTerms=GO_0005579_GO_0006955 Gene=Complement_component_C6_ Match_Acc=Q969A3 gene=isogroup01297 length=305 numContigs=2, Porites_asteroides_isotig02928 isotig02928 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01297 length=476 numContigs=3, Porites_asteroides_isotig08153 isotig08153 extracted_CDS GOMatch=C3ZHX1 GOTerms=GO_0004888_GO_0005509_GO_0007596_GO_0008218_GO_0016020_GO_0018298 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 gene=isogroup06421 length=767 numContigs=1, Porites_asteroides_GE905866 GE905866 extracted_CDS 5_200060-20400_C04.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Acropora_digitifera_adi_v1.03952 adi_v1.03952, Acropora_digitifera_adi_v1.12807 adi_v1.12807
OG0000002	Porites_asteroides_GCKDGN102C59F3 GCKDGN102C59F3 extracted_CDS GOMatch=Q4SMY0 GOTerms=GO_0004872_GO_0007275_GO_0016020 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 length=422 region=2 run=R_2010_02_19_08_49_25_ xy=1184_1473	Acropora_digitifera_adi_v1.14624 adi_v1.14624, Acropora_digitifera_adi_v1.14936 adi_v1.14936
OG0000002	Porites_asteroides_GE913773 GE913773 extracted_CDS Past_24_20453_H05.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Acropora_digitifera_adi_v1.11795 adi_v1.11795
OG0000002	Porites_asteroides_isotig08787 isotig08787 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup07055 length=736 numContigs=1	Acropora_digitifera_adi_v1.03981 adi_v1.03981
OG0000002	Porites_asteroides_isotig03575 isotig03575 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01843 length=1707 numContigs=1	Acropora_digitifera_adi_v1.14306 adi_v1.14306, Acropora_digitifera_adi_v1.19596 adi_v1.19596, Acropora_digitifera_adi_v1.05200 adi_v1.05200
OG0000002	Porites_asteroides_isotig22484 isotig22484 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 gene=isogroup20752 length=365 numContigs=1	Acropora_digitifera_adi_v1.13233 adi_v1.13233, Acropora_digitifera_adi_v1.16491 adi_v1.16491
OG0000002	Porites_asteroides_isotig01659 isotig01659 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup00662 length=832 numContigs=2, Porites_asteroides_isotig01658 isotig01658 extracted_CDS GOMatch=D3XFH3 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_d_ Match_Acc=D3XFH3 gene=isogroup00662 length=968 numContigs=2	Acropora_digitifera_adi_v1.24510 adi_v1.24510
OG0000002	Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1	Acropora_digitifera_adi_v1.08206 adi_v1.08206
OG0000002	Porites_asteroides_isotig10942 isotig10942 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup09210 length=625 numContigs=1	Acropora_digitifera_adi_v1.09809 adi_v1.09809
OG0000002	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1	Acropora_digitifera_adi_v1.01409 adi_v1.01409
OG0000003	Porites_asteroides_isotig30002 isotig30002 extracted_CDS GOMatch=C3ZR66 GOTerms=GO_0005488_GO_0005529 Gene=Venom_C-type_lectin_mannose_binding_isoform_1_ Match_Acc=D2YVI3 gene=isogroup28270 length=229 numContigs=1	Acropora_digitifera_adi_v1.20019 adi_v1.20019, Acropora_digitifera_adi_v1.07652 adi_v1.07652
OG0000003	Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681
OG0000003	Porites_asteroides_isotig18052 isotig18052 extracted_CDS GOMatch=A7RL02 GOTerms=GO_0005488 Gene=Collectin-12_ Match_Acc=Q8K4Q8 gene=isogroup16320 length=417 numContigs=1	Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858
OG0000003	Porites_asteroides_isotig12169 isotig12169 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Tyrosine_kinase_receptor_ Match_Acc=Q25199 gene=isogroup10437 length=571 numContigs=1	Acropora_digitifera_adi_v1.17681 adi_v1.17681
OG0000003	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332
OG0000003	Porites_asteroides_isotig00667 isotig00667 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig00668 isotig00668 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3	Acropora_digitifera_adi_v1.04620 adi_v1.04620, Acropora_digitifera_adi_v1.15479 adi_v1.15479, Acropora_digitifera_adi_v1.17665 adi_v1.17665, Acropora_digitifera_adi_v1.18386 adi_v1.18386, Acropora_digitifera_adi_v1.17664 adi_v1.17664
OG0000003	Porites_asteroides_isotig04682 isotig04682 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=Nattectin_ Match_Acc=B5XBM3 gene=isogroup02950 length=1214 numContigs=1, Porites_asteroides_isotig06386 isotig06386 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_domain_family_4__member_a4_ Match_Acc=Q5YIR8 gene=isogroup04654 length=924 numContigs=1	Acropora_digitifera_adi_v1.09977 adi_v1.09977
OG0000003	Porites_asteroides_isotig01112 isotig01112 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup00389 length=1760 numContigs=2	Acropora_digitifera_adi_v1.08376 adi_v1.08376
OG0000003	Porites_asteroides_isotig01352 isotig01352 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00509 length=1228 numContigs=2, Porites_asteroides_isotig01353 isotig01353 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00509 length=1225 numContigs=2, Porites_asteroides_GE916031 GE916031 extracted_CDS Past_31_20453_B10.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Acropora_digitifera_adi_v1.09840 adi_v1.09840, Acropora_digitifera_adi_v1.08075 adi_v1.08075, Acropora_digitifera_adi_v1.07831 adi_v1.07831, Acropora_digitifera_adi_v1.06761 adi_v1.06761, Acropora_digitifera_adi_v1.20323 adi_v1.20323, Acropora_digitifera_adi_v1.08076 adi_v1.08076, Acropora_digitifera_adi_v1.08077 adi_v1.08077
OG0000003	Porites_asteroides_isotig13011 isotig13011 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup11279 length=534 numContigs=1	Acropora_digitifera_adi_v1.01273 adi_v1.01273
OG0000003	Porites_asteroides_isotig25037 isotig25037 extracted_CDS gene=isogroup23305 length=331 numContigs=1	Acropora_digitifera_adi_v1.10368 adi_v1.10368, Acropora_digitifera_adi_v1.01653 adi_v1.01653, Acropora_digitifera_adi_v1.10367 adi_v1.10367
OG0000003	Porites_asteroides_isotig24779 isotig24779 extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup23047 length=333 numContigs=1	Acropora_digitifera_adi_v1.05022 adi_v1.05022
OG0000003	Porites_asteroides_isotig24573 isotig24573 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup22841 length=339 numContigs=1	Acropora_digitifera_adi_v1.18239 adi_v1.18239
OG0000003	Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1	Acropora_digitifera_adi_v1.04076 adi_v1.04076
OG0000003	Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1	Acropora_digitifera_adi_v1.02396 adi_v1.02396
OG0000003	Porites_asteroides_isotig03251 isotig03251 extracted_CDS GOMatch=A7SS60 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM2 gene=isogroup01519 length=2316 numContigs=1	Acropora_digitifera_adi_v1.20653 adi_v1.20653, Acropora_digitifera_adi_v1.00076 adi_v1.00076, Acropora_digitifera_adi_v1.00080 adi_v1.00080
OG0000003	Porites_asteroides_isotig23352 isotig23352 extracted_CDS GOMatch=A7T1U0 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM1 gene=isogroup21620 length=356 numContigs=1	Acropora_digitifera_adi_v1.13597 adi_v1.13597, Acropora_digitifera_adi_v1.06330 adi_v1.06330
OG0000003	Porites_asteroides_isotig23687 isotig23687 extracted_CDS GOMatch=A7REX6 GOTerms=GO_0005509 gene=isogroup21955 length=348 numContigs=1	Acropora_digitifera_adi_v1.12241 adi_v1.12241, Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493
OG0000003	Porites_asteroides_isotig27434 isotig27434 extracted_CDS GOMatch=A7SCM0 GOTerms=GO_0005509 gene=isogroup25702 length=291 numContigs=1	Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000004	Porites_asteroides_isotig09193 isotig09193 extracted_CDS gene=isogroup07461 length=713 numContigs=1	Acropora_digitifera_adi_v1.09258 adi_v1.09258
OG0000004	Porites_asteroides_isotig27956 isotig27956 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 gene=isogroup26224 length=281 numContigs=1	Acropora_digitifera_adi_v1.08696 adi_v1.08696
OG0000004	Porites_asteroides_isotig08387 isotig08387 extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup06655 length=758 numContigs=1	Acropora_digitifera_adi_v1.05900 adi_v1.05900, Acropora_digitifera_adi_v1.23089 adi_v1.23089, Acropora_digitifera_adi_v1.14602 adi_v1.14602, Acropora_digitifera_adi_v1.03325 adi_v1.03325
OG0000004	Porites_asteroides_isotig15088 isotig15088 extracted_CDS GOMatch=C3ZCS4 GOTerms=GO_0005509 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup13356 length=475 numContigs=1	Acropora_digitifera_adi_v1.18241 adi_v1.18241
