Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000002	Porites_asteroides_isotig13118 isotig13118 extracted_CDS GOMatch=A7RL39 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_ Match_Acc=Q172A7 gene=isogroup11386 length=535 numContigs=1	Aurelia_aurita_Seg1739.10 Seg1739.10 transcript_id=Seg1739.10_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg1739.10_GoldUCD_D3Y31
OG0000002	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31
OG0000002	Porites_asteroides_isotig13977 isotig13977 extracted_CDS GOMatch=Q17NJ6 GOTerms=GO_0004888_GO_0007165_GO_0016020_GO_0016021_GO_0031224_GO_0045087 Gene=Toll_ Match_Acc=Q17NJ6 gene=isogroup12245 length=508 numContigs=1	Aurelia_aurita_Seg4699.1 Seg4699.1 transcript_id=Seg4699.1_GoldUCD_mRNA.D3Y31 product="Insulin-like growth factor-binding protein complex acid labile subunit" protein_id=Seg4699.1_GoldUCD_D3Y31 partial=true
OG0000002	Porites_asteroides_GCKDGN102DP9HK GCKDGN102DP9HK extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 length=331 region=2 run=R_2010_02_19_08_49_25_ xy=1412_0758	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true
OG0000002	Porites_asteroides_GCKDGN102C59F3 GCKDGN102C59F3 extracted_CDS GOMatch=Q4SMY0 GOTerms=GO_0004872_GO_0007275_GO_0016020 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 length=422 region=2 run=R_2010_02_19_08_49_25_ xy=1184_1473	Aurelia_aurita_Seg5607.1 Seg5607.1 transcript_id=Seg5607.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg5607.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg760.2 Seg760.2 transcript_id=Seg760.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg760.2_GoldUCD_D3Y31 partial=true
OG0000002	Porites_asteroides_isotig10489 isotig10489 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup08757 length=650 numContigs=1	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31
OG0000002	Porites_asteroides_GCKDGN102ECV3C GCKDGN102ECV3C extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 length=356 region=2 run=R_2010_02_19_08_49_25_ xy=1669_3814	Aurelia_aurita_Seg10356.1 Seg10356.1 transcript_id=Seg10356.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg10356.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1773.10 Seg1773.10 transcript_id=Seg1773.10_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1773.10_GoldUCD_D3Y31
OG0000002	Porites_asteroides_isotig03575 isotig03575 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01843 length=1707 numContigs=1	Aurelia_aurita_Seg4492.1 Seg4492.1 transcript_id=Seg4492.1_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg4492.1_GoldUCD_D3Y31
OG0000002	Porites_asteroides_isotig01659 isotig01659 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup00662 length=832 numContigs=2, Porites_asteroides_isotig01658 isotig01658 extracted_CDS GOMatch=D3XFH3 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_d_ Match_Acc=D3XFH3 gene=isogroup00662 length=968 numContigs=2, Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1, Porites_asteroides_isotig10942 isotig10942 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup09210 length=625 numContigs=1	Aurelia_aurita_Seg3725.1 Seg3725.1 transcript_id=Seg3725.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3725.3 Seg3725.3 transcript_id=Seg3725.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg3725.3_GoldUCD_D3Y31
OG0000002	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000002	Porites_asteroides_isotig18539 isotig18539 extracted_CDS GOMatch=C3Z1N0 GOTerms=GO_0005102_GO_0007165 Gene=Thrombospondin-2_ Match_Acc=Q95116 gene=isogroup16807 length=412 numContigs=1	Aurelia_aurita_Seg3290.3 Seg3290.3 transcript_id=Seg3290.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg3290.3_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1	Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_isotig18052 isotig18052 extracted_CDS GOMatch=A7RL02 GOTerms=GO_0005488 Gene=Collectin-12_ Match_Acc=Q8K4Q8 gene=isogroup16320 length=417 numContigs=1	Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31
OG0000003	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Porites_asteroides_isotig25037 isotig25037 extracted_CDS gene=isogroup23305 length=331 numContigs=1	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_isotig24573 isotig24573 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup22841 length=339 numContigs=1	Aurelia_aurita_Seg729.5 Seg729.5 transcript_id=Seg729.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg729.5_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527	Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1	Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true
OG0000003	Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1	Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true
