Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000010	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1, Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000011	Porites_asteroides_GCKDGN103GEML0 GCKDGN103GEML0 extracted_CDS GOMatch=A7RKA9 GOTerms=GO_0004672_GO_0004713_GO_0004872_GO_0005524_GO_0006468_GO_0016020_GO_0016021 Gene=Receptor_tyrosine_kinase-like_orphan_receptor__Fragment__ Match_Acc=A1IKE0 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2509_3430	Mnemiopsis_leidyi_ML040527a ML040527a, Mnemiopsis_leidyi_ML049626a ML049626a, Mnemiopsis_leidyi_ML020038a ML020038a, Mnemiopsis_leidyi_ML24001a ML24001a, Mnemiopsis_leidyi_ML07111a ML07111a, Mnemiopsis_leidyi_ML30814a ML30814a, Mnemiopsis_leidyi_ML00872a ML00872a, Mnemiopsis_leidyi_ML120750a ML120750a, Mnemiopsis_leidyi_ML046712a ML046712a, Mnemiopsis_leidyi_ML07112a ML07112a
OG0000012	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000013	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000015	Porites_asteroides_GCKDGN103G43NE GCKDGN103G43NE extracted_CDS length=510 region=3 run=R_2010_02_19_08_49_25_ xy=2811_1576, Porites_asteroides_isotig23555 isotig23555 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q29RU2 gene=isogroup21823 length=353 numContigs=1, Porites_asteroides_isotig03556 isotig03556 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q8R4V5 gene=isogroup01824 length=1724 numContigs=1, Porites_asteroides_isotig20731 isotig20731 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=SCUBE1_protein_ Match_Acc=A0JP65 gene=isogroup18999 length=388 numContigs=1, Porites_asteroides_isotig06044 isotig06044 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup04312 length=968 numContigs=1, Porites_asteroides_GCKDGN103F7MUU GCKDGN103F7MUU extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=Transforming_growth_factor_beta_receptor_type_3_ Match_Acc=P26342 length=331 region=3 run=R_2010_02_19_08_49_25_ xy=2430_0740	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	Porites_asteroides_isotig27995 isotig27995 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Mesoglein__Fragment__ Match_Acc=Q1KMS3 gene=isogroup26263 length=280 numContigs=1, Porites_asteroides_isotig07155 isotig07155 extracted_CDS GOMatch=C3ZQZ3 GOTerms=GO_0000287_GO_0005509_GO_0016740_GO_0030976 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup05423 length=841 numContigs=1, Porites_asteroides_GCKDGN103GY7DX GCKDGN103GY7DX extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 length=441 region=3 run=R_2010_02_19_08_49_25_ xy=2744_0915, Porites_asteroides_isotig03209 isotig03209 extracted_CDS GOMatch=C3ZXH0 GOTerms=GO_0007155_GO_0016020 Gene=Putative_uterine-ovary_specific-44_protein__Fragment__ Match_Acc=A9LYL8 gene=isogroup01477 length=2556 numContigs=1, Porites_asteroides_isotig03459 isotig03459 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 gene=isogroup01727 length=1846 numContigs=1, Porites_asteroides_isotig03685 isotig03685 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 gene=isogroup01953 length=1609 numContigs=1, Porites_asteroides_isotig26531 isotig26531 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 gene=isogroup24799 length=309 numContigs=1, Porites_asteroides_isotig10268 isotig10268 extracted_CDS GOMatch=C3ZGX1 GOTerms=GO_0016020 gene=isogroup08536 length=662 numContigs=1, Porites_asteroides_isotig08942 isotig08942 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 Gene=Mesoglein__Fragment__ Match_Acc=Q1KMS3 gene=isogroup07210 length=728 numContigs=1, Porites_asteroides_isotig07633 isotig07633 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup05901 length=797 numContigs=1, Porites_asteroides_isotig06120 isotig06120 extracted_CDS GOMatch=C3XUV1 GOTerms=GO_0005509 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup04388 length=958 numContigs=1, Porites_asteroides_isotig04447 isotig04447 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup02715 length=1274 numContigs=1, Porites_asteroides_isotig11187 isotig11187 extracted_CDS GOMatch=C3ZSB8 GOTerms=GO_0005529 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup09455 length=614 numContigs=1, Porites_asteroides_isotig07129 isotig07129 extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=cDNA_FLJ51324__highly_similar_to_CUB_and_zona_pellucida-like_domain-containing_protein_1_ Match_Acc=B4DUY8 gene=isogroup05397 length=842 numContigs=1, Porites_asteroides_isotig22086 isotig22086 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 gene=isogroup20354 length=369 numContigs=1	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Porites_asteroides_isotig20158 isotig20158 extracted_CDS GOMatch=Q70AB1 GOTerms=GO_0004222_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Putative_hatching_enzyme__Fragment__ Match_Acc=Q70AB1 gene=isogroup18426 length=395 numContigs=1	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000016	Porites_asteroides_isotig02071 isotig02071 extracted_CDS GOMatch=A7RJ23 GOTerms=GO_0004222_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase-25_ Match_Acc=Q3U435 gene=isogroup00868 length=512 numContigs=2	Mnemiopsis_leidyi_ML22971a ML22971a
OG0000017	Porites_asteroides_GCKDGN101CG90N GCKDGN101CG90N extracted_CDS GOMatch=A7S7S1 GOTerms=GO_0004867 Gene=Leukocyte_elastase_inhibitor_B_ Match_Acc=Q8VHP7 length=288 region=1 run=R_2010_02_19_08_49_25_ xy=0899_3173	Mnemiopsis_leidyi_ML023111a ML023111a, Mnemiopsis_leidyi_ML200228a ML200228a, Mnemiopsis_leidyi_ML200229a ML200229a
OG0000018	Porites_asteroides_isotig17989 isotig17989 extracted_CDS GOMatch=A7SEY3 GOTerms=GO_0005507_GO_0016641_GO_0055114 Gene=Gelatinase_A_ Match_Acc=Q6U7G9 gene=isogroup16257 length=424 numContigs=1	Mnemiopsis_leidyi_ML02231a ML02231a, Mnemiopsis_leidyi_ML02243a ML02243a, Mnemiopsis_leidyi_ML006919a ML006919a, Mnemiopsis_leidyi_ML096926a ML096926a
OG0000018	Porites_asteroides_isotig07771 isotig07771 extracted_CDS GOMatch=B0W5W8 GOTerms=GO_0000166_GO_0004672_GO_0004674_GO_0005524_GO_0006468 Gene=Dscam_ Match_Acc=Q68J72 gene=isogroup06039 length=790 numContigs=1	Mnemiopsis_leidyi_ML044129a ML044129a
OG0000019	Porites_asteroides_isotig11482 isotig11482 extracted_CDS GOMatch=Q27W10 GOTerms=GO_0008083_GO_0040007 Gene=BMP5-8__Fragment__ Match_Acc=Q27W10 gene=isogroup09750 length=601 numContigs=1, Porites_asteroides_isotig26330 isotig26330 extracted_CDS GOMatch=Q4R5W6 GOTerms=GO_0005576_GO_0008083 Gene=Testis_cDNA__clone__QtsA-20238__similar_to_human_bone_morphogenetic_protein_5__BMP5___ Match_Acc=Q4R5W6 gene=isogroup24598 length=312 numContigs=1, Porites_asteroides_isotig13411 isotig13411 extracted_CDS GOMatch=B6SCR5 GOTerms=GO_0008083_GO_0040007 Gene=BMP2_4__Fragment__ Match_Acc=B6SCR5 gene=isogroup11679 length=526 numContigs=1, Porites_asteroides_isotig11160 isotig11160 extracted_CDS GOMatch=Q5YJC3 GOTerms=GO_0005576_GO_0008083_GO_0040007 Gene=GDF5-like_protein_ Match_Acc=Q5YJC3 gene=isogroup09428 length=616 numContigs=1, Porites_asteroides_isotig03574 isotig03574 extracted_CDS GOMatch=D2H0Q8 GOTerms=GO_0001649_GO_0001654_GO_0001822_GO_0001958_GO_0006954_GO_0006955_GO_0008083_GO_0010862_GO_0030154_GO_0030501_GO_0030509_GO_0030539_GO_0032349_GO_0040007_GO_0045666_GO_0045669_GO_0045944_GO_0046982_GO_0060395_GO_0070700 Gene=Bone_morphogenetic_protein_6_ Match_Acc=Q5CZV5 gene=isogroup01842 length=1711 numContigs=1, Porites_asteroides_isotig03506 isotig03506 extracted_CDS GOMatch=A7RNC2 GOTerms=GO_0005576_GO_0008083_GO_0040007 Gene=Anti-dorsalizing_morphogenetic_protein_1_ Match_Acc=Q91597 gene=isogroup01774 length=1790 numContigs=1	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000021	Porites_asteroides_isotig00263 isotig00263 extracted_CDS GOMatch=A7RXU8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Vitellogenin_receptor__putative__Fragment__ Match_Acc=B7QBX8 gene=isogroup00059 length=1548 numContigs=4	Mnemiopsis_leidyi_ML082718a ML082718a
OG0000021	Porites_asteroides_isotig22018 isotig22018 extracted_CDS GOMatch=A7RGB0 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Lipophorin_receptor_ Match_Acc=A3KL84 gene=isogroup20286 length=372 numContigs=1	Mnemiopsis_leidyi_ML02274a ML02274a
OG0000022	Porites_asteroides_isotig09016 isotig09016 extracted_CDS GOMatch=A7RWX1 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_A13_ Match_Acc=Q29471 gene=isogroup07284 length=727 numContigs=1, Porites_asteroides_isotig01376 isotig01376 extracted_CDS GOMatch=A7RWX3 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_A5_ Match_Acc=A7YIG9 gene=isogroup00521 length=1269 numContigs=2	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
