Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Chordata_Vertebrata_Mus_musculus
OG0000006	Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1, Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998, Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1	Mus_musculus_sp_Q8R054_SRPX2_MOUSE sp_Q8R054_SRPX2_MOUSE Sushi repeat-containing protein SRPX2 OS=Mus musculus OX=10090 GN=Srpx2 PE=1 SV=2, Mus_musculus_sp_Q9R0M3_SRPX_MOUSE sp_Q9R0M3_SRPX_MOUSE Sushi-repeat-containing protein SRPX OS=Mus musculus OX=10090 GN=Srpx PE=2 SV=1
OG0000006	Porites_asteroides_GE917285 GE917285 extracted_CDS Past_34_20453_M08.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_GE915324 GE915324 extracted_CDS Past_28_20453_P11.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Mus_musculus_sp_A2AVA0_SVEP1_MOUSE sp_A2AVA0_SVEP1_MOUSE Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1
OG0000007	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1
OG0000007	Porites_asteroides_isotig01547 isotig01547 extracted_CDS GOMatch=C3Z8P3 GOTerms=GO_0005509 Gene=Growth_arrest-specific_6_ Match_Acc=Q7T3H4 gene=isogroup00606 length=705 numContigs=2	Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2
OG0000007	Porites_asteroides_isotig05423 isotig05423 extracted_CDS GOMatch=D3BG27 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup03691 length=1057 numContigs=1	Mus_musculus_sp_Q501P1_FBLN7_MOUSE sp_Q501P1_FBLN7_MOUSE Fibulin-7 OS=Mus musculus OX=10090 GN=Fbln7 PE=1 SV=1
OG0000007	Porites_asteroides_isotig22939 isotig22939 extracted_CDS GOMatch=C3YL45 GOTerms=GO_0005488_GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup21207 length=358 numContigs=1	Mus_musculus_sp_Q70E20_SNED1_MOUSE sp_Q70E20_SNED1_MOUSE Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sned1 PE=2 SV=2
OG0000007	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1, Porites_asteroides_isotig10752 isotig10752 extracted_CDS GOMatch=B3RS17 GOTerms=GO_0005044_GO_0005509_GO_0007160_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup09020 length=633 numContigs=1	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000010	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
OG0000010	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000012	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1	Mus_musculus_sp_Q6PZE0_MUC19_MOUSE sp_Q6PZE0_MUC19_MOUSE Mucin-19 OS=Mus musculus OX=10090 GN=Muc19 PE=2 SV=2, Mus_musculus_sp_Q80T03_MUC6_MOUSE sp_Q80T03_MUC6_MOUSE Mucin-6 OS=Mus musculus OX=10090 GN=Muc6 PE=2 SV=1, Mus_musculus_sp_Q80Z19_MUC2_MOUSE sp_Q80Z19_MUC2_MOUSE Mucin-2 _Fragment_ OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=2, Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2, Mus_musculus_sp_Q8CIZ8_VWF_MOUSE sp_Q8CIZ8_VWF_MOUSE von Willebrand factor OS=Mus musculus OX=10090 GN=Vwf PE=1 SV=2, Mus_musculus_sp_F7A4A7_OTOGL_MOUSE sp_F7A4A7_OTOGL_MOUSE Otogelin-like protein OS=Mus musculus OX=10090 GN=Otogl PE=1 SV=1, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3
OG0000013	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1
OG0000013	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	Porites_asteroides_isotig28579 isotig28579 extracted_CDS GOMatch=Q5IRC2 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IRC2 gene=isogroup26847 length=267 numContigs=1	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1
OG0000013	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1
OG0000013	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000013	Porites_asteroides_GCKDGN101BB3QF GCKDGN101BB3QF extracted_CDS GOMatch=Q5J2D3 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D3 length=397 region=1 run=R_2010_02_19_08_49_25_ xy=0430_3157	Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1, Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1
OG0000014	Porites_asteroides_isotig29281 isotig29281 extracted_CDS GOMatch=C3YAS4 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=A_disintegrin-like_and_metallopeptidase__Reprolysin_type__with_thrombospondin_type _1_motif__20_ Match_Acc=Q0V926 gene=isogroup27549 length=247 numContigs=1	Mus_musculus_sp_Q8BLI0_ATL1_MOUSE sp_Q8BLI0_ATL1_MOUSE ADAMTS-like protein 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=2 SV=2
OG0000014	Porites_asteroides_isotig05308 isotig05308 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=Papilin_ Match_Acc=Q16UT3 gene=isogroup03576 length=1084 numContigs=1, Porites_asteroides_isotig04880 isotig04880 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=cDNA_FLJ53165__weakly_similar_to_Homo_sapiens_thrombospondin_repeat_containing_1__TSRC1___transcript_variant_1__mRNA_ Match_Acc=B4DR13 gene=isogroup03148 length=1170 numContigs=1	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
OG0000015	Porites_asteroides_GCKDGN103G43NE GCKDGN103G43NE extracted_CDS length=510 region=3 run=R_2010_02_19_08_49_25_ xy=2811_1576, Porites_asteroides_isotig23555 isotig23555 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q29RU2 gene=isogroup21823 length=353 numContigs=1, Porites_asteroides_isotig03556 isotig03556 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q8R4V5 gene=isogroup01824 length=1724 numContigs=1, Porites_asteroides_isotig20731 isotig20731 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=SCUBE1_protein_ Match_Acc=A0JP65 gene=isogroup18999 length=388 numContigs=1, Porites_asteroides_isotig06044 isotig06044 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup04312 length=968 numContigs=1, Porites_asteroides_GCKDGN103F7MUU GCKDGN103F7MUU extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=Transforming_growth_factor_beta_receptor_type_3_ Match_Acc=P26342 length=331 region=3 run=R_2010_02_19_08_49_25_ xy=2430_0740	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2
