Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Chordata_Vertebrata_Danio_rerio
OG0000013	Pleurobrachia_bachei_sb_2647019_ sb_2647019_, Pleurobrachia_bachei_sb_2664184_ sb_2664184_, Pleurobrachia_bachei_sb_2664185_ sb_2664185_	Danio_rerio_tr_B6V3E2_B6V3E2_DANRE tr|B6V3E2|B6V3E2_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt9b PE=2 SV=1, Danio_rerio_tr_B6V3E1_B6V3E1_DANRE tr|B6V3E1|B6V3E1_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1, Danio_rerio_tr_Q0P406_Q0P406_DANRE tr|Q0P406|Q0P406_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1
OG0000015	Pleurobrachia_bachei_sb_2660647_ sb_2660647_	Danio_rerio_tr_Q5PR99_Q5PR99_DANRE tr|Q5PR99|Q5PR99_DANRE Beta tectorin OS=Danio rerio OX=7955 GN=zgc_101843 PE=2 SV=1
OG0000017	Pleurobrachia_bachei_sb_2667785_ sb_2667785_, Pleurobrachia_bachei_sb_2652454_ sb_2652454_, Pleurobrachia_bachei_sb_2657074_ sb_2657074_, Pleurobrachia_bachei_sb_2648544_ sb_2648544_	Danio_rerio_tr_A4IG87_A4IG87_DANRE tr|A4IG87|A4IG87_DANRE Protein Z-dependent protease inhibitor precursor OS=Danio rerio OX=7955 GN=si_dkey-85n7.5 PE=2 SV=1, Danio_rerio_tr_Q8JH29_Q8JH29_DANRE tr|Q8JH29|Q8JH29_DANRE Angiotensinogen OS=Danio rerio OX=7955 GN=wu_fb62f06 PE=2 SV=1, Danio_rerio_tr_Q5SPJ4_Q5SPJ4_DANRE tr|Q5SPJ4|Q5SPJ4_DANRE Serine _Or cysteine_ proteinase inhibitor_ clade A _Alpha-1 antiproteinase_ antitrypsin__ member 1 OS=Danio rerio OX=7955 GN=wu_fb61c07 PE=1 SV=1, Danio_rerio_tr_F8W5C3_F8W5C3_DANRE tr|F8W5C3|F8W5C3_DANRE Serpin peptidase inhibitor_ clade A _Alpha-1 antiproteinase_ antitrypsin__ member 7 precursor OS=Danio rerio OX=7955 GN=zgc_103617 PE=1 SV=1, Danio_rerio_tr_B0V3R7_B0V3R7_DANRE tr|B0V3R7|B0V3R7_DANRE Heparin cofactor 2 isoform X1 OS=Danio rerio OX=7955 GN=HCII PE=3 SV=1, Danio_rerio_tr_Q8AYE2_Q8AYE2_DANRE tr|Q8AYE2|Q8AYE2_DANRE Heparin cofactor 2 precursor OS=Danio rerio OX=7955 GN=HCII PE=2 SV=1, Danio_rerio_tr_B0V2R7_B0V2R7_DANRE tr|B0V2R7|B0V2R7_DANRE Plasma protease C1 inhibitor precursor OS=Danio rerio OX=7955 GN=C1IN PE=1 SV=1, Danio_rerio_tr_A1A5Y8_A1A5Y8_DANRE tr|A1A5Y8|A1A5Y8_DANRE Alpha-2-antiplasmin precursor OS=Danio rerio OX=7955 GN=zgc_158410 PE=2 SV=1, Danio_rerio_tr_F6NQ58_F6NQ58_DANRE tr|F6NQ58|F6NQ58_DANRE Alpha-2-antiplasmin OS=Danio rerio OX=7955 GN=serpinf2a PE=3 SV=1
OG0000019	Pleurobrachia_bachei_sb_2666226_ sb_2666226_	Danio_rerio_tr_Q68IN2_Q68IN2_DANRE tr|Q68IN2|Q68IN2_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=gdf8l PE=2 SV=1, Danio_rerio_sp_O42222_GDF8_DANRE sp|O42222|GDF8_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=mstnb PE=2 SV=2, Danio_rerio_tr_Q8JFP9_Q8JFP9_DANRE tr|Q8JFP9|Q8JFP9_DANRE Gdf11-like OS=Danio rerio OX=7955 GN=gdf11 PE=2 SV=2
OG0000019	Pleurobrachia_bachei_sb_2641584_ sb_2641584_	Danio_rerio_tr_Q1LWW7_Q1LWW7_DANRE tr|Q1LWW7|Q1LWW7_DANRE Bone morphogenetic protein 8A OS=Danio rerio OX=7955 GN=bmp8 PE=3 SV=1, Danio_rerio_tr_Q7T288_Q7T288_DANRE tr|Q7T288|Q7T288_DANRE Bone morphogenetic protein 5 OS=Danio rerio OX=7955 GN=bmp5l PE=2 SV=1, Danio_rerio_tr_Q5CZV5_Q5CZV5_DANRE tr|Q5CZV5|Q5CZV5_DANRE Bmp6 protein OS=Danio rerio OX=7955 GN=zgc_113595 PE=2 SV=1, Danio_rerio_tr_Q9PTF9_Q9PTF9_DANRE tr|Q9PTF9|Q9PTF9_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=Bmp7 PE=2 SV=1, Danio_rerio_tr_Q08CJ5_Q08CJ5_DANRE tr|Q08CJ5|Q08CJ5_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=zgc_153025 PE=2 SV=1, Danio_rerio_tr_F1QD07_F1QD07_DANRE tr|F1QD07|F1QD07_DANRE Bone morphogenetic protein 7 isoform X1 OS=Danio rerio OX=7955 GN=zgc_153025 PE=3 SV=1, Danio_rerio_tr_O57574_O57574_DANRE tr|O57574|O57574_DANRE Bone genetic protein 4 OS=Danio rerio OX=7955 GN=zBMP-4 PE=2 SV=1, Danio_rerio_tr_O13109_O13109_DANRE tr|O13109|O13109_DANRE BMP2 OS=Danio rerio OX=7955 GN=BMP2 PE=2 SV=1, Danio_rerio_tr_O93369_O93369_DANRE tr|O93369|O93369_DANRE Bone morphogenetic protein 2 OS=Danio rerio OX=7955 GN=BMP2b PE=2 SV=1, Danio_rerio_sp_A8E7N9_GDF6B_DANRE sp|A8E7N9|GDF6B_DANRE Growth/differentiation factor 6-B OS=Danio rerio OX=7955 GN=gdf6b PE=2 SV=1, Danio_rerio_sp_P85857_GDF6A_DANRE sp|P85857|GDF6A_DANRE Growth/differentiation factor 6-A OS=Danio rerio OX=7955 GN=gdf6a PE=1 SV=1, Danio_rerio_tr_F1QK08_F1QK08_DANRE tr|F1QK08|F1QK08_DANRE Growth differentiation factor 5 OS=Danio rerio OX=7955 GN=gdf5 PE=3 SV=1, Danio_rerio_tr_A0JML2_A0JML2_DANRE tr|A0JML2|A0JML2_DANRE Bone morphogenetic protein 3 OS=Danio rerio OX=7955 GN=zgc_153939 PE=2 SV=1, Danio_rerio_tr_D2CN89_D2CN89_DANRE tr|D2CN89|D2CN89_DANRE BMP3b OS=Danio rerio OX=7955 GN=bmp3b PE=2 SV=1, Danio_rerio_tr_B8A5X9_B8A5X9_DANRE tr|B8A5X9|B8A5X9_DANRE Growth differentiation factor 10a OS=Danio rerio OX=7955 GN=gdf10a PE=3 SV=1, Danio_rerio_sp_P35621_DVR1_DANRE sp|P35621|DVR1_DANRE Protein DVR-1 OS=Danio rerio OX=7955 GN=dvr1 PE=2 SV=1, Danio_rerio_tr_Q58FS4_Q58FS4_DANRE tr|Q58FS4|Q58FS4_DANRE Bone morphogenetic protein 15 precursor OS=Danio rerio OX=7955 GN=wu_fi35a05 PE=2 SV=1, Danio_rerio_tr_Q5MD90_Q5MD90_DANRE tr|Q5MD90|Q5MD90_DANRE Growth and differentiation factor 9 OS=Danio rerio OX=7955 GN=zgc_123030 PE=2 SV=1, Danio_rerio_tr_A2BGK2_A2BGK2_DANRE tr|A2BGK2|A2BGK2_DANRE Bone morphogenetic protein 10 OS=Danio rerio OX=7955 GN=si_dkey-13n15.5 PE=2 SV=1, Danio_rerio_sp_F1QWZ4_GDF2_DANRE sp|F1QWZ4|GDF2_DANRE Growth/differentiation factor 2 OS=Danio rerio OX=7955 GN=gdf2 PE=2 SV=1, Danio_rerio_tr_P87358_P87358_DANRE tr|P87358|P87358_DANRE Cyclops OS=Danio rerio OX=7955 GN=Znr-1 PE=2 SV=2, Danio_rerio_tr_O13144_O13144_DANRE tr|O13144|O13144_DANRE Nodal-related 1 OS=Danio rerio OX=7955 GN=CHUNP6892 PE=2 SV=3
OG0000021	Pleurobrachia_bachei_sb_2653712_ sb_2653712_, Pleurobrachia_bachei_sb_2658415_ sb_2658415_, Pleurobrachia_bachei_sb_2656801_ sb_2656801_	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1
OG0000022	Pleurobrachia_bachei_sb_2639090_ sb_2639090_, Pleurobrachia_bachei_sb_2646697_ sb_2646697_, Pleurobrachia_bachei_sb_2657768_ sb_2657768_, Pleurobrachia_bachei_sb_2659001_ sb_2659001_	Danio_rerio_tr_Q803A1_Q803A1_DANRE tr|Q803A1|Q803A1_DANRE Annexin OS=Danio rerio OX=7955 GN=ANX V PE=1 SV=1, Danio_rerio_tr_A8WG37_A8WG37_DANRE tr|A8WG37|A8WG37_DANRE Annexin OS=Danio rerio OX=7955 GN=zgc_172159 PE=2 SV=1, Danio_rerio_tr_A8KBY8_A8KBY8_DANRE tr|A8KBY8|A8KBY8_DANRE Annexin OS=Danio rerio OX=7955 GN=anx6 PE=1 SV=1, Danio_rerio_tr_A8E5G1_A8E5G1_DANRE tr|A8E5G1|A8E5G1_DANRE Annexin OS=Danio rerio OX=7955 GN=anx2b PE=1 SV=1, Danio_rerio_tr_Q804G9_Q804G9_DANRE tr|Q804G9|Q804G9_DANRE Annexin OS=Danio rerio OX=7955 GN=anx2a PE=1 SV=1, Danio_rerio_tr_Q804H1_Q804H1_DANRE tr|Q804H1|Q804H1_DANRE Annexin OS=Danio rerio OX=7955 GN=zgc_109778 PE=1 SV=1, Danio_rerio_tr_Q804H0_Q804H0_DANRE tr|Q804H0|Q804H0_DANRE Annexin OS=Danio rerio OX=7955 GN=ANX Ic PE=1 SV=1, Danio_rerio_tr_Q804H2_Q804H2_DANRE tr|Q804H2|Q804H2_DANRE Annexin OS=Danio rerio OX=7955 GN=anx1a PE=1 SV=1, Danio_rerio_tr_Q804G7_Q804G7_DANRE tr|Q804G7|Q804G7_DANRE Annexin OS=Danio rerio OX=7955 GN=ANXIV PE=1 SV=1, Danio_rerio_tr_Q804G3_Q804G3_DANRE tr|Q804G3|Q804G3_DANRE Annexin OS=Danio rerio OX=7955 GN=anx11b PE=1 SV=1, Danio_rerio_tr_B8A4V2_B8A4V2_DANRE tr|B8A4V2|B8A4V2_DANRE Annexin OS=Danio rerio OX=7955 GN=ANX-XIa PE=1 SV=1, Danio_rerio_tr_Q7T391_Q7T391_DANRE tr|Q7T391|Q7T391_DANRE Annexin OS=Danio rerio OX=7955 GN=ANX-XIa PE=1 SV=1, Danio_rerio_tr_Q66ID8_Q66ID8_DANRE tr|Q66ID8|Q66ID8_DANRE Annexin OS=Danio rerio OX=7955 GN=anxa3 PE=1 SV=1, Danio_rerio_tr_Q5U369_Q5U369_DANRE tr|Q5U369|Q5U369_DANRE Annexin OS=Danio rerio OX=7955 GN=zgc_92888 PE=1 SV=1, Danio_rerio_tr_A8E5E5_A8E5E5_DANRE tr|A8E5E5|A8E5E5_DANRE Annexin OS=Danio rerio OX=7955 GN=anxa3b PE=2 SV=1
OG0000022	Pleurobrachia_bachei_sb_2664400_ sb_2664400_, Pleurobrachia_bachei_sb_2669029_ sb_2669029_, Pleurobrachia_bachei_sb_2669026_ sb_2669026_	Danio_rerio_tr_Q6PHG3_Q6PHG3_DANRE tr|Q6PHG3|Q6PHG3_DANRE Annexin OS=Danio rerio OX=7955 GN=wu_fb40a08 PE=1 SV=1, Danio_rerio_tr_Q4VBH6_Q4VBH6_DANRE tr|Q4VBH6|Q4VBH6_DANRE Annexin OS=Danio rerio OX=7955 GN=anxa13l PE=1 SV=1
OG0000030	Pleurobrachia_bachei_sb_2669546_ sb_2669546_, Pleurobrachia_bachei_sb_2648059_ sb_2648059_, Pleurobrachia_bachei_sb_2657674_ sb_2657674_, Pleurobrachia_bachei_sb_2655687_ sb_2655687_	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1
OG0000030	Pleurobrachia_bachei_sb_2643788_ sb_2643788_, Pleurobrachia_bachei_sb_2660324_ sb_2660324_, Pleurobrachia_bachei_sb_2642194_ sb_2642194_	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2
OG0000036	Pleurobrachia_bachei_sb_2653653_ sb_2653653_, Pleurobrachia_bachei_sb_2644258_ sb_2644258_	Danio_rerio_tr_Q1RLZ3_Q1RLZ3_DANRE tr|Q1RLZ3|Q1RLZ3_DANRE EGF-like-domain_ multiple 7 OS=Danio rerio OX=7955 GN=zgc_136669 PE=2 SV=1, Danio_rerio_tr_Q6DHG1_Q6DHG1_DANRE tr|Q6DHG1|Q6DHG1_DANRE EGF-like-domain_ multiple 6 OS=Danio rerio OX=7955 GN=cb3 PE=2 SV=1, Danio_rerio_tr_B8A5G4_B8A5G4_DANRE tr|B8A5G4|B8A5G4_DANRE Nephronectin a OS=Danio rerio OX=7955 GN=POEM PE=3 SV=1
OG0000044	Pleurobrachia_bachei_sb_2650976_ sb_2650976_, Pleurobrachia_bachei_sb_2661328_ sb_2661328_	Danio_rerio_tr_Q66L63_Q66L63_DANRE tr|Q66L63|Q66L63_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=tgm2 PE=2 SV=1, Danio_rerio_tr_Q1ECX3_Q1ECX3_DANRE tr|Q1ECX3|Q1ECX3_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=TGM2 PE=1 SV=1, Danio_rerio_tr_A0A0R4IGK8_A0A0R4IGK8_DANRE tr|A0A0R4IGK8|A0A0R4IGK8_DANRE Transglutaminase 5_-like OS=Danio rerio OX=7955 GN=si_ch1073-277p6.1 PE=3 SV=2, Danio_rerio_tr_F1QC84_F1QC84_DANRE tr|F1QC84|F1QC84_DANRE Coagulation factor XIII_ A1 polypeptide a_ tandem duplicate 1 OS=Danio rerio OX=7955 GN=f13a1a.1 PE=1 SV=1, Danio_rerio_tr_Q08CA3_Q08CA3_DANRE tr|Q08CA3|Q08CA3_DANRE Coagulation factor XIII A chain OS=Danio rerio OX=7955 GN=f13a1 PE=1 SV=1, Danio_rerio_tr_Q4V9H9_Q4V9H9_DANRE tr|Q4V9H9|Q4V9H9_DANRE Transglutaminase 1 OS=Danio rerio OX=7955 GN=tgm1l4 PE=1 SV=1
OG0000045	Pleurobrachia_bachei_sb_2652096_ sb_2652096_, Pleurobrachia_bachei_sb_2652094_ sb_2652094_	Danio_rerio_tr_Q2Q1W5_Q2Q1W5_DANRE tr|Q2Q1W5|Q2Q1W5_DANRE Laminin alpha 5 OS=Danio rerio OX=7955 GN=wu_fb81a10 PE=1 SV=1, Danio_rerio_tr_Q45H72_Q45H72_DANRE tr|Q45H72|Q45H72_DANRE Laminin alpha 1 OS=Danio rerio OX=7955 GN=lama1 PE=1 SV=1
OG0000045	Pleurobrachia_bachei_sb_2660985_ sb_2660985_	Danio_rerio_tr_Q2TJF5_Q2TJF5_DANRE tr|Q2TJF5|Q2TJF5_DANRE Laminin alpha 4 OS=Danio rerio OX=7955 GN=si_busm1-189a20.2 PE=1 SV=1
OG0000048	Pleurobrachia_bachei_sb_2663997_ sb_2663997_	Danio_rerio_tr_Q6DBT8_Q6DBT8_DANRE tr|Q6DBT8|Q6DBT8_DANRE Aspn protein _Fragment_ OS=Danio rerio OX=7955 GN=aspn PE=2 SV=1, Danio_rerio_tr_Q1LXA7_Q1LXA7_DANRE tr|Q1LXA7|Q1LXA7_DANRE Asporin _LRR class 1_ OS=Danio rerio OX=7955 GN=aspnl PE=3 SV=1, Danio_rerio_tr_Q803T1_Q803T1_DANRE tr|Q803T1|Q803T1_DANRE Decorin OS=Danio rerio OX=7955 GN=decorin PE=1 SV=1, Danio_rerio_tr_B7ZDB5_B7ZDB5_DANRE tr|B7ZDB5|B7ZDB5_DANRE Biglycan OS=Danio rerio OX=7955 GN=bgn PE=1 SV=1, Danio_rerio_tr_Q6GMI5_Q6GMI5_DANRE tr|Q6GMI5|Q6GMI5_DANRE Biglycan OS=Danio rerio OX=7955 GN=bgn PE=2 SV=1, Danio_rerio_tr_Q4V9E0_Q4V9E0_DANRE tr|Q4V9E0|Q4V9E0_DANRE Fibromodulin-like precursor OS=Danio rerio OX=7955 GN=zgc_113456 PE=2 SV=1, Danio_rerio_tr_A0A8M1PS86_A0A8M1PS86_DANRE tr|A0A8M1PS86|A0A8M1PS86_DANRE Fibromodulin OS=Danio rerio OX=7955 GN=fmodb PE=1 SV=1, Danio_rerio_tr_Q6IQQ7_Q6IQQ7_DANRE tr|Q6IQQ7|Q6IQQ7_DANRE Lumican OS=Danio rerio OX=7955 GN=Lum PE=1 SV=1, Danio_rerio_tr_F6NL91_F6NL91_DANRE tr|F6NL91|F6NL91_DANRE Osteomodulin OS=Danio rerio OX=7955 GN=omd PE=4 SV=1, Danio_rerio_sp_Q5RI43_KERA_DANRE sp|Q5RI43|KERA_DANRE Keratocan OS=Danio rerio OX=7955 GN=kera PE=1 SV=1, Danio_rerio_tr_F1QY29_F1QY29_DANRE tr|F1QY29|F1QY29_DANRE Prolargin OS=Danio rerio OX=7955 GN=prelp PE=1 SV=1, Danio_rerio_tr_F1R2S9_F1R2S9_DANRE tr|F1R2S9|F1R2S9_DANRE Extracellular matrix protein 2 OS=Danio rerio OX=7955 GN=ecm2 PE=4 SV=1
