Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000003	Clytia_hemispherica_TCONS_00038274-protein TCONS_00038274-protein, Clytia_hemispherica_TCONS_00025012-protein TCONS_00025012-protein, Clytia_hemispherica_TCONS_00056350-protein TCONS_00056350-protein, Clytia_hemispherica_TCONS_00063658-protein TCONS_00063658-protein, Clytia_hemispherica_TCONS_00056360-protein TCONS_00056360-protein, Clytia_hemispherica_TCONS_00012031-protein TCONS_00012031-protein, Clytia_hemispherica_TCONS_00000809-protein TCONS_00000809-protein, Clytia_hemispherica_TCONS_00065193-protein TCONS_00065193-protein, Clytia_hemispherica_TCONS_00065170-protein TCONS_00065170-protein, Clytia_hemispherica_TCONS_00065169-protein TCONS_00065169-protein, Clytia_hemispherica_TCONS_00026958-protein TCONS_00026958-protein, Clytia_hemispherica_TCONS_00026645-protein TCONS_00026645-protein	Nematostella_vectensis_NV2t010232001.1 NV2t010232001.1
OG0000003	Clytia_hemispherica_TCONS_00050531-protein TCONS_00050531-protein	Nematostella_vectensis_NV2t013847001.1 NV2t013847001.1, Nematostella_vectensis_NV2t014543001.1 NV2t014543001.1, Nematostella_vectensis_NV2t025674001.1 NV2t025674001.1, Nematostella_vectensis_NV2t025675002.1 NV2t025675002.1, Nematostella_vectensis_NV2t025675001.1 NV2t025675001.1, Nematostella_vectensis_NV2t010399001.1 NV2t010399001.1, Nematostella_vectensis_NV2t018114001.1 NV2t018114001.1, Nematostella_vectensis_NV2t005984001.1 NV2t005984001.1
OG0000003	Clytia_hemispherica_TCONS_00044056-protein TCONS_00044056-protein, Clytia_hemispherica_TCONS_00006800-protein TCONS_00006800-protein, Clytia_hemispherica_TCONS_00067484-protein TCONS_00067484-protein, Clytia_hemispherica_TCONS_00053707-protein TCONS_00053707-protein, Clytia_hemispherica_TCONS_00018684-protein TCONS_00018684-protein	Nematostella_vectensis_NV2t020059001.1 NV2t020059001.1, Nematostella_vectensis_NV2t012173001.1 NV2t012173001.1
OG0000003	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein	Nematostella_vectensis_NV2t015872001.1 NV2t015872001.1
OG0000003	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein	Nematostella_vectensis_NV2t010392001.1 NV2t010392001.1, Nematostella_vectensis_NV2t010392002.1 NV2t010392002.1, Nematostella_vectensis_NV2t010392003.1 NV2t010392003.1, Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1, Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1
OG0000003	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1
OG0000003	Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein	Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1
OG0000004	Clytia_hemispherica_TCONS_00048850-protein TCONS_00048850-protein	Nematostella_vectensis_NV2t001610001.1 NV2t001610001.1, Nematostella_vectensis_NV2t001610003.1 NV2t001610003.1
OG0000004	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein	Nematostella_vectensis_NV2t020957001.1 NV2t020957001.1, Nematostella_vectensis_NV2t020956001.1 NV2t020956001.1, Nematostella_vectensis_NV2t020522006.1 NV2t020522006.1, Nematostella_vectensis_NV2t020522008.1 NV2t020522008.1, Nematostella_vectensis_NV2t020522007.1 NV2t020522007.1, Nematostella_vectensis_NV2t020522003.1 NV2t020522003.1, Nematostella_vectensis_NV2t020522004.1 NV2t020522004.1, Nematostella_vectensis_NV2t020522005.1 NV2t020522005.1, Nematostella_vectensis_NV2t020522002.1 NV2t020522002.1, Nematostella_vectensis_NV2t020522001.1 NV2t020522001.1
OG0000004	Clytia_hemispherica_TCONS_00000463-protein TCONS_00000463-protein	Nematostella_vectensis_NV2t024201001.1 NV2t024201001.1
OG0000004	Clytia_hemispherica_TCONS_00068905-protein TCONS_00068905-protein, Clytia_hemispherica_TCONS_00014046-protein TCONS_00014046-protein, Clytia_hemispherica_TCONS_00026700-protein TCONS_00026700-protein	Nematostella_vectensis_NV2t023710001.1 NV2t023710001.1, Nematostella_vectensis_NV2t023164002.1 NV2t023164002.1, Nematostella_vectensis_NV2t023164001.1 NV2t023164001.1, Nematostella_vectensis_NV2t024229003.1 NV2t024229003.1, Nematostella_vectensis_NV2t024229001.1 NV2t024229001.1, Nematostella_vectensis_NV2t024229002.1 NV2t024229002.1
OG0000004	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1
OG0000004	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein	Nematostella_vectensis_NV2t002229001.1 NV2t002229001.1, Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1
OG0000004	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein	Nematostella_vectensis_NV2t021936001.1 NV2t021936001.1, Nematostella_vectensis_NV2t008980001.1 NV2t008980001.1, Nematostella_vectensis_NV2t008406003.1 NV2t008406003.1, Nematostella_vectensis_NV2t008406002.1 NV2t008406002.1, Nematostella_vectensis_NV2t008406001.1 NV2t008406001.1
OG0000004	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1, Nematostella_vectensis_NV2t004921001.1 NV2t004921001.1, Nematostella_vectensis_NV2t004715001.1 NV2t004715001.1
OG0000004	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1
OG0000004	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1
OG0000004	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein	Nematostella_vectensis_NV2t023594001.1 NV2t023594001.1
OG0000005	Clytia_hemispherica_TCONS_00015258-protein TCONS_00015258-protein, Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein	Nematostella_vectensis_NV2t021687001.1 NV2t021687001.1, Nematostella_vectensis_NV2t021684001.1 NV2t021684001.1
OG0000005	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein	Nematostella_vectensis_NV2t016729001.1 NV2t016729001.1, Nematostella_vectensis_NV2t016730001.1 NV2t016730001.1, Nematostella_vectensis_NV2t015011001.1 NV2t015011001.1, Nematostella_vectensis_NV2t023859001.1 NV2t023859001.1, Nematostella_vectensis_NV2t013745004.1 NV2t013745004.1, Nematostella_vectensis_NV2t013745003.1 NV2t013745003.1, Nematostella_vectensis_NV2t013745002.1 NV2t013745002.1, Nematostella_vectensis_NV2t013745001.1 NV2t013745001.1, Nematostella_vectensis_NV2t013745005.1 NV2t013745005.1, Nematostella_vectensis_NV2t013749001.1 NV2t013749001.1, Nematostella_vectensis_NV2t023064002.1 NV2t023064002.1, Nematostella_vectensis_NV2t023064001.1 NV2t023064001.1
OG0000005	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1
OG0000005	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein	Nematostella_vectensis_NV2t006019001.1 NV2t006019001.1, Nematostella_vectensis_NV2t005698001.1 NV2t005698001.1
OG0000005	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein	Nematostella_vectensis_NV2t015018001.1 NV2t015018001.1, Nematostella_vectensis_NV2t014862004.1 NV2t014862004.1, Nematostella_vectensis_NV2t013368001.1 NV2t013368001.1
OG0000005	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1
OG0000005	Clytia_hemispherica_TCONS_00018805-protein TCONS_00018805-protein, Clytia_hemispherica_TCONS_00062392-protein TCONS_00062392-protein, Clytia_hemispherica_TCONS_00072115-protein TCONS_00072115-protein	Nematostella_vectensis_NV2t002486001.1 NV2t002486001.1
OG0000006	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1, Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1, Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1
OG0000006	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein	Nematostella_vectensis_NV2t003560001.1 NV2t003560001.1
OG0000006	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein	Nematostella_vectensis_NV2t003792001.1 NV2t003792001.1, Nematostella_vectensis_NV2t003300001.1 NV2t003300001.1
OG0000006	Clytia_hemispherica_TCONS_00042167-protein TCONS_00042167-protein	Nematostella_vectensis_NV2t025187001.1 NV2t025187001.1
OG0000006	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein	Nematostella_vectensis_NV2t011255001.1 NV2t011255001.1
OG0000007	Clytia_hemispherica_TCONS_00064084-protein TCONS_00064084-protein	Nematostella_vectensis_NV2t025186001.1 NV2t025186001.1, Nematostella_vectensis_NV2t023400001.1 NV2t023400001.1
OG0000007	Clytia_hemispherica_TCONS_00007902-protein TCONS_00007902-protein	Nematostella_vectensis_NV2t014812001.1 NV2t014812001.1
OG0000007	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1
OG0000008	Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein	Nematostella_vectensis_NV2t005910001.1 NV2t005910001.1
OG0000008	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1
OG0000008	Clytia_hemispherica_TCONS_00016471-protein TCONS_00016471-protein	Nematostella_vectensis_NV2t006441001.1 NV2t006441001.1
OG0000008	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1, Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1, Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1
OG0000008	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1
OG0000008	Clytia_hemispherica_TCONS_00052901-protein TCONS_00052901-protein, Clytia_hemispherica_TCONS_00025445-protein TCONS_00025445-protein	Nematostella_vectensis_NV2t024543001.1 NV2t024543001.1, Nematostella_vectensis_NV2t021526001.1 NV2t021526001.1, Nematostella_vectensis_NV2t003407001.1 NV2t003407001.1
OG0000008	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1
OG0000008	Clytia_hemispherica_TCONS_00071623-protein TCONS_00071623-protein	Nematostella_vectensis_NV2t022145001.1 NV2t022145001.1, Nematostella_vectensis_NV2t006034001.1 NV2t006034001.1
OG0000008	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein	Nematostella_vectensis_NV2t010370001.1 NV2t010370001.1, Nematostella_vectensis_NV2t010398001.1 NV2t010398001.1, Nematostella_vectensis_NV2t010398002.1 NV2t010398002.1
OG0000008	Clytia_hemispherica_TCONS_00070167-protein TCONS_00070167-protein	Nematostella_vectensis_NV2t010371001.1 NV2t010371001.1
OG0000009	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein	Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1
OG0000009	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000009	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1, Nematostella_vectensis_NV2t002825001.1 NV2t002825001.1
OG0000009	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein	Nematostella_vectensis_NV2t016314001.1 NV2t016314001.1, Nematostella_vectensis_NV2t016315002.1 NV2t016315002.1, Nematostella_vectensis_NV2t016315001.1 NV2t016315001.1
OG0000009	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein	Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1, Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1, Nematostella_vectensis_NV2t002814001.1 NV2t002814001.1, Nematostella_vectensis_NV2t003167001.1 NV2t003167001.1, Nematostella_vectensis_NV2t003167002.1 NV2t003167002.1, Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1, Nematostella_vectensis_NV2t003699001.1 NV2t003699001.1, Nematostella_vectensis_NV2t003699002.1 NV2t003699002.1, Nematostella_vectensis_NV2t003699003.1 NV2t003699003.1, Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1
OG0000009	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1
OG0000010	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1
OG0000010	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1, Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1
OG0000010	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1
OG0000012	Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein	Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1
OG0000012	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000013	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
