Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Porites_asteroides
OG0000001	Clytia_hemispherica_TCONS_00058445-protein TCONS_00058445-protein	Porites_asteroides_isotig09925 isotig09925 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Protein_tyrosine_phosphatase__receptor_type__F_isoform_2_variant__Fragment__ Match_Acc=Q59FI2 gene=isogroup08193 length=681 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein	Porites_asteroides_isotig15249 isotig15249 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup13517 length=473 numContigs=1, Porites_asteroides_isotig27586 isotig27586 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup25854 length=284 numContigs=1, Porites_asteroides_isotig20126 isotig20126 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup18394 length=392 numContigs=1, Porites_asteroides_isotig05184 isotig05184 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup03452 length=1104 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00025379-protein TCONS_00025379-protein	Porites_asteroides_isotig18503 isotig18503 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Neural_adhesion_molecule_L1.1_ Match_Acc=Q6U7I5 gene=isogroup16771 length=416 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00030584-protein TCONS_00030584-protein	Porites_asteroides_GCKDGN103HIQDM GCKDGN103HIQDM extracted_CDS GOMatch=B3S1D6 GOTerms=GO_0004725_GO_0006470_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_delta_ Match_Acc=Q9IAJ1 length=290 region=3 run=R_2010_02_19_08_49_25_ xy=2966_2680
OG0000001	Clytia_hemispherica_TCONS_00017274-protein TCONS_00017274-protein	Porites_asteroides_isotig17881 isotig17881 extracted_CDS GOMatch=A7SYW2 GOTerms=GO_0007155_GO_0031012 gene=isogroup16149 length=423 numContigs=1
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein	Porites_asteroides_isotig04429 isotig04429 extracted_CDS GOMatch=C3Z8H9 GOTerms=GO_0005509_GO_0005576_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Thrombospondin__Fragment__ Match_Acc=Q16ZU9 gene=isogroup02697 length=1276 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein	Porites_asteroides_isotig31427 isotig31427 extracted_CDS GOMatch=Q16PP3 GOTerms=GO_0005509 Gene=Cell_adhesion_molecule_ Match_Acc=Q16PP3 gene=isogroup29695 length=181 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00011476-protein TCONS_00011476-protein	Porites_asteroides_isotig13977 isotig13977 extracted_CDS GOMatch=Q17NJ6 GOTerms=GO_0004888_GO_0007165_GO_0016020_GO_0016021_GO_0031224_GO_0045087 Gene=Toll_ Match_Acc=Q17NJ6 gene=isogroup12245 length=508 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00055220-protein TCONS_00055220-protein, Clytia_hemispherica_TCONS_00055166-protein TCONS_00055166-protein	Porites_asteroides_isotig05386 isotig05386 extracted_CDS GOMatch=C3ZT55 GOTerms=GO_0005488 Gene=Hemicentin-1_ Match_Acc=B0XGP5 gene=isogroup03654 length=1059 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein	Porites_asteroides_GCKDGN102DP9HK GCKDGN102DP9HK extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 length=331 region=2 run=R_2010_02_19_08_49_25_ xy=1412_0758, Porites_asteroides_isotig03926 isotig03926 extracted_CDS GOMatch=A7RQV4 GOTerms=GO_0005576_GO_0006030_GO_0008061 Gene=Peritrophic_membrane_protein_3__Fragment__ Match_Acc=C4N883 gene=isogroup02194 length=1450 numContigs=1, Porites_asteroides_GE916868 GE916868 extracted_CDS Past_33_20453_J03.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig21628 isotig21628 extracted_CDS GOMatch=Q4S2G3 GOTerms=GO_0004888_GO_0005509_GO_0007596_GO_0008218_GO_0016020_GO_0018298 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 gene=isogroup19896 length=380 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00007070-protein TCONS_00007070-protein	Porites_asteroides_isotig02929 isotig02929 extracted_CDS GOMatch=Q969A3 GOTerms=GO_0005579_GO_0006955 Gene=Complement_component_C6_ Match_Acc=Q969A3 gene=isogroup01297 length=305 numContigs=2, Porites_asteroides_isotig02928 isotig02928 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01297 length=476 numContigs=3, Porites_asteroides_isotig08153 isotig08153 extracted_CDS GOMatch=C3ZHX1 GOTerms=GO_0004888_GO_0005509_GO_0007596_GO_0008218_GO_0016020_GO_0018298 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 gene=isogroup06421 length=767 numContigs=1, Porites_asteroides_GE905866 GE905866 extracted_CDS 5_200060-20400_C04.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
OG0000002	Clytia_hemispherica_TCONS_00052653-protein TCONS_00052653-protein, Clytia_hemispherica_TCONS_00043372-protein TCONS_00043372-protein, Clytia_hemispherica_TCONS_00016728-protein TCONS_00016728-protein, Clytia_hemispherica_TCONS_00046683-protein TCONS_00046683-protein	Porites_asteroides_GCKDGN101BT4PH GCKDGN101BT4PH extracted_CDS GOMatch=D2I5A7 GOTerms=GO_0005021_GO_0005524_GO_0005576_GO_0005604_GO_0005887_GO_0005938_GO_0006468_GO_0030054_GO_0048010 Gene=Hemicentin1_protein_ Match_Acc=D7PS96 length=470 region=1 run=R_2010_02_19_08_49_25_ xy=0636_0451
OG0000002	Clytia_hemispherica_TCONS_00021585-protein TCONS_00021585-protein	Porites_asteroides_isotig10475 isotig10475 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 gene=isogroup08743 length=648 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00065680-protein TCONS_00065680-protein	Porites_asteroides_isotig20336 isotig20336 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup18604 length=393 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00042536-protein TCONS_00042536-protein, Clytia_hemispherica_TCONS_00008538-protein TCONS_00008538-protein	Porites_asteroides_GCKDGN103G3VAZ GCKDGN103G3VAZ extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 length=383 region=3 run=R_2010_02_19_08_49_25_ xy=2797_1449
OG0000002	Clytia_hemispherica_TCONS_00073219-protein TCONS_00073219-protein, Clytia_hemispherica_TCONS_00070803-protein TCONS_00070803-protein, Clytia_hemispherica_TCONS_00070795-protein TCONS_00070795-protein	Porites_asteroides_GCKDGN102ECV3C GCKDGN102ECV3C extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 length=356 region=2 run=R_2010_02_19_08_49_25_ xy=1669_3814
OG0000002	Clytia_hemispherica_TCONS_00050254-protein TCONS_00050254-protein, Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein, Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein	Porites_asteroides_isotig03575 isotig03575 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01843 length=1707 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein	Porites_asteroides_isotig01659 isotig01659 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup00662 length=832 numContigs=2, Porites_asteroides_isotig01658 isotig01658 extracted_CDS GOMatch=D3XFH3 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_d_ Match_Acc=D3XFH3 gene=isogroup00662 length=968 numContigs=2, Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1
OG0000002	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein, Clytia_hemispherica_TCONS_00030562-protein TCONS_00030562-protein, Clytia_hemispherica_TCONS_00070450-protein TCONS_00070450-protein	Porites_asteroides_GCKDGN101BOILH GCKDGN101BOILH extracted_CDS GOMatch=C3Y5G9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Thrombospondin-like_protein_2__Fragment__ Match_Acc=Q8MVL2 length=456 region=1 run=R_2010_02_19_08_49_25_ xy=0572_0659
OG0000003	Clytia_hemispherica_TCONS_00002700-protein TCONS_00002700-protein	Porites_asteroides_isotig09599 isotig09599 extracted_CDS GOMatch=C3Z1R1 GOTerms=GO_0005488_GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup07867 length=697 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein	Porites_asteroides_isotig03882 isotig03882 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mrc2_protein_ Match_Acc=A1A5G9 gene=isogroup02150 length=1475 numContigs=1, Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein	Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein	Porites_asteroides_isotig18052 isotig18052 extracted_CDS GOMatch=A7RL02 GOTerms=GO_0005488 Gene=Collectin-12_ Match_Acc=Q8K4Q8 gene=isogroup16320 length=417 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein, Clytia_hemispherica_TCONS_00020645-protein TCONS_00020645-protein	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416
OG0000003	Clytia_hemispherica_TCONS_00050531-protein TCONS_00050531-protein	Porites_asteroides_isotig03282 isotig03282 extracted_CDS GOMatch=A7S362 GOTerms=GO_0005488 Gene=CD209_antigen-like_protein_A_ Match_Acc=B9EPI6 gene=isogroup01550 length=2187 numContigs=1, Porites_asteroides_isotig13983 isotig13983 extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Si_ch211-125e6.14_protein_ Match_Acc=A8KB16 gene=isogroup12251 length=507 numContigs=1, Porites_asteroides_isotig00667 isotig00667 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig00668 isotig00668 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig14265 isotig14265 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup12533 length=500 numContigs=1, Porites_asteroides_isotig04682 isotig04682 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=Nattectin_ Match_Acc=B5XBM3 gene=isogroup02950 length=1214 numContigs=1, Porites_asteroides_isotig06386 isotig06386 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_domain_family_4__member_a4_ Match_Acc=Q5YIR8 gene=isogroup04654 length=924 numContigs=1, Porites_asteroides_isotig01112 isotig01112 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup00389 length=1760 numContigs=2
OG0000003	Clytia_hemispherica_TCONS_00044056-protein TCONS_00044056-protein, Clytia_hemispherica_TCONS_00006800-protein TCONS_00006800-protein, Clytia_hemispherica_TCONS_00067484-protein TCONS_00067484-protein, Clytia_hemispherica_TCONS_00053707-protein TCONS_00053707-protein, Clytia_hemispherica_TCONS_00018684-protein TCONS_00018684-protein	Porites_asteroides_isotig13011 isotig13011 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup11279 length=534 numContigs=1, Porites_asteroides_isotig24280 isotig24280 extracted_CDS GOMatch=Q8AXR8 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_2_ Match_Acc=Q8AXR8 gene=isogroup22548 length=342 numContigs=1, Porites_asteroides_isotig24366 isotig24366 extracted_CDS GOMatch=Q4R919 GOTerms=GO_0004872_GO_0005488_GO_0005529 Gene=Si_ch211-125e6.11_ Match_Acc=B3DIG2 gene=isogroup22634 length=338 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein	Porites_asteroides_isotig25037 isotig25037 extracted_CDS gene=isogroup23305 length=331 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00063107-protein TCONS_00063107-protein	Porites_asteroides_isotig24573 isotig24573 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup22841 length=339 numContigs=1
OG0000003	Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein	Porites_asteroides_isotig27434 isotig27434 extracted_CDS GOMatch=A7SCM0 GOTerms=GO_0005509 gene=isogroup25702 length=291 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein	Porites_asteroides_GCKDGN101A9DR5 GCKDGN101A9DR5 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 Gene=Macrophage_mannose_receptor_1-like_protein_1_ Match_Acc=Q5VSK2 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0399_3187, Porites_asteroides_isotig27956 isotig27956 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 gene=isogroup26224 length=281 numContigs=1, Porites_asteroides_isotig05532 isotig05532 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 Gene=Vitrin_ Match_Acc=Q95LI2 gene=isogroup03800 length=1044 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein	Porites_asteroides_isotig22979 isotig22979 extracted_CDS GOMatch=A9UIA7 GOTerms=GO_0005509_GO_0005886_GO_0007154_GO_0007155_GO_0007156_GO_0007267_GO_0007275_GO_0008233_GO_0016020_GO_0016021_GO_0016787 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup21247 length=360 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein, Clytia_hemispherica_TCONS_00067439-protein TCONS_00067439-protein, Clytia_hemispherica_TCONS_00048295-protein TCONS_00048295-protein	Porites_asteroides_isotig30183 isotig30183 extracted_CDS gene=isogroup28451 length=224 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein	Porites_asteroides_isotig03712 isotig03712 extracted_CDS GOMatch=A7RQ19 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=CHz-cadherin_ Match_Acc=Q6W4W6 gene=isogroup01980 length=1587 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein	Porites_asteroides_isotig09962 isotig09962 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Protocadherin_Fat_1_ Match_Acc=Q14517 gene=isogroup08230 length=678 numContigs=1, Porites_asteroides_isotig08089 isotig08089 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Fat1_protein__Fragment__ Match_Acc=Q80XT9 gene=isogroup06357 length=773 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00032716-protein TCONS_00032716-protein	Porites_asteroides_GCKDGN102D67PI GCKDGN102D67PI extracted_CDS length=445 region=2 run=R_2010_02_19_08_49_25_ xy=1605_1076
OG0000004	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein	Porites_asteroides_isotig15110 isotig15110 extracted_CDS GOMatch=Q52R83 GOTerms=GO_0008083 Gene=Thrombospondin_type_1_repeat_containing_protein_ Match_Acc=Q52R83 gene=isogroup13378 length=475 numContigs=1
OG0000004	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein	Porites_asteroides_isotig18590 isotig18590 extracted_CDS GOMatch=A7RLR7 GOTerms=GO_0004872 Gene=Hemicentin-like__Fragment__ Match_Acc=Q69HT6 gene=isogroup16858 length=415 numContigs=1
OG0000005	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein	Porites_asteroides_isotig02129 isotig02129 extracted_CDS GOMatch=A7SPC2 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=639 numContigs=2, Porites_asteroides_isotig02128 isotig02128 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=700 numContigs=2, Porites_asteroides_isotig11492 isotig11492 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup09760 length=598 numContigs=1
