Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000019	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein, Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein, Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein, Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000021	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein	Mnemiopsis_leidyi_ML082718a ML082718a
OG0000022	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein, Clytia_hemispherica_TCONS_00058750-protein TCONS_00058750-protein, Clytia_hemispherica_TCONS_00052106-protein TCONS_00052106-protein	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000023	Clytia_hemispherica_TCONS_00062427-protein TCONS_00062427-protein, Clytia_hemispherica_TCONS_00051806-protein TCONS_00051806-protein, Clytia_hemispherica_TCONS_00052344-protein TCONS_00052344-protein, Clytia_hemispherica_TCONS_00019578-protein TCONS_00019578-protein	Mnemiopsis_leidyi_ML069122a ML069122a, Mnemiopsis_leidyi_ML05372a ML05372a
OG0000024	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein, Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein, Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000030	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein, Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000034	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000034	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein	Mnemiopsis_leidyi_ML04261a ML04261a
OG0000036	Clytia_hemispherica_TCONS_00021392-protein TCONS_00021392-protein, Clytia_hemispherica_TCONS_00053283-protein TCONS_00053283-protein, Clytia_hemispherica_TCONS_00054322-protein TCONS_00054322-protein, Clytia_hemispherica_TCONS_00055213-protein TCONS_00055213-protein, Clytia_hemispherica_TCONS_00068268-protein TCONS_00068268-protein, Clytia_hemispherica_TCONS_00033652-protein TCONS_00033652-protein, Clytia_hemispherica_TCONS_00055215-protein TCONS_00055215-protein, Clytia_hemispherica_TCONS_00068309-protein TCONS_00068309-protein, Clytia_hemispherica_TCONS_00048494-protein TCONS_00048494-protein, Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein, Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein, Clytia_hemispherica_TCONS_00057743-protein TCONS_00057743-protein, Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein	Mnemiopsis_leidyi_ML11227a ML11227a
OG0000041	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein	Mnemiopsis_leidyi_ML08024a ML08024a
OG0000042	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein, Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein	Mnemiopsis_leidyi_ML044119a ML044119a
OG0000044	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000045	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein, Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein	Mnemiopsis_leidyi_ML097515a ML097515a
OG0000048	Clytia_hemispherica_TCONS_00004490-protein TCONS_00004490-protein, Clytia_hemispherica_TCONS_00070298-protein TCONS_00070298-protein, Clytia_hemispherica_TCONS_00034864-protein TCONS_00034864-protein	Mnemiopsis_leidyi_ML015611a ML015611a
OG0000049	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000051	Clytia_hemispherica_TCONS_00024466-protein TCONS_00024466-protein, Clytia_hemispherica_TCONS_00037794-protein TCONS_00037794-protein, Clytia_hemispherica_TCONS_00046933-protein TCONS_00046933-protein, Clytia_hemispherica_TCONS_00065253-protein TCONS_00065253-protein	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a
OG0000053	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein	Mnemiopsis_leidyi_ML11053a ML11053a
OG0000054	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein, Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000061	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein	Mnemiopsis_leidyi_ML07526a ML07526a, Mnemiopsis_leidyi_ML07523a ML07523a
OG0000061	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein	Mnemiopsis_leidyi_ML072819a ML072819a
OG0000062	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein	Mnemiopsis_leidyi_ML085714a ML085714a
OG0000063	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein	Mnemiopsis_leidyi_ML073718a ML073718a
OG0000081	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein	Mnemiopsis_leidyi_ML056914a ML056914a
OG0000087	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein	Mnemiopsis_leidyi_ML06334a ML06334a
OG0000094	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein	Mnemiopsis_leidyi_ML09081a ML09081a
OG0000103	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein	Mnemiopsis_leidyi_ML14703a ML14703a
OG0000106	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a
OG0000113	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein	Mnemiopsis_leidyi_ML086612a ML086612a
OG0000119	Clytia_hemispherica_TCONS_00020107-protein TCONS_00020107-protein	Mnemiopsis_leidyi_ML18521a ML18521a, Mnemiopsis_leidyi_ML11002a ML11002a
OG0000133	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein	Mnemiopsis_leidyi_ML018015a ML018015a
OG0000134	Clytia_hemispherica_TCONS_00070544-protein TCONS_00070544-protein, Clytia_hemispherica_TCONS_00009201-protein TCONS_00009201-protein	Mnemiopsis_leidyi_ML126214a ML126214a
OG0000152	Clytia_hemispherica_TCONS_00060223-protein TCONS_00060223-protein	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a
OG0000156	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000171	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein	Mnemiopsis_leidyi_ML104332a ML104332a
OG0000176	Clytia_hemispherica_TCONS_00050730-protein TCONS_00050730-protein	Mnemiopsis_leidyi_ML50511a ML50511a
OG0000177	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000182	Clytia_hemispherica_TCONS_00046759-protein TCONS_00046759-protein	Mnemiopsis_leidyi_ML07572a ML07572a
OG0000193	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000194	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000195	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000199	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein	Mnemiopsis_leidyi_ML46359a ML46359a
OG0000204	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000213	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein	Mnemiopsis_leidyi_ML128617a ML128617a
OG0000237	Clytia_hemispherica_TCONS_00028314-protein TCONS_00028314-protein	Mnemiopsis_leidyi_ML008016a ML008016a
OG0000253	Clytia_hemispherica_TCONS_00003407-protein TCONS_00003407-protein	Mnemiopsis_leidyi_ML015627a ML015627a
OG0000331	Clytia_hemispherica_TCONS_00057393-protein TCONS_00057393-protein	Mnemiopsis_leidyi_ML017312a ML017312a
OG0001184	Clytia_hemispherica_TCONS_00003342-protein TCONS_00003342-protein	Mnemiopsis_leidyi_ML04122a ML04122a
OG0001202	Clytia_hemispherica_TCONS_00059487-protein TCONS_00059487-protein	Mnemiopsis_leidyi_ML27964a ML27964a
