Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Acropora_digitifera
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161
OG0000002	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607
OG0000002	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein	Acropora_digitifera_adi_v1.13969 adi_v1.13969
OG0000002	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031
OG0000002	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein	Acropora_digitifera_adi_v1.10800 adi_v1.10800
OG0000002	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235
OG0000002	Clytia_hemispherica_TCONS_00011476-protein TCONS_00011476-protein	Acropora_digitifera_adi_v1.21700 adi_v1.21700, Acropora_digitifera_adi_v1.09763 adi_v1.09763
OG0000002	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein	Acropora_digitifera_adi_v1.13790 adi_v1.13790
OG0000002	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein	Acropora_digitifera_adi_v1.09130 adi_v1.09130, Acropora_digitifera_adi_v1.09132 adi_v1.09132, Acropora_digitifera_adi_v1.21416 adi_v1.21416
OG0000002	Clytia_hemispherica_TCONS_00007070-protein TCONS_00007070-protein	Acropora_digitifera_adi_v1.03952 adi_v1.03952, Acropora_digitifera_adi_v1.12807 adi_v1.12807
OG0000002	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein	Acropora_digitifera_adi_v1.12523 adi_v1.12523
OG0000002	Clytia_hemispherica_TCONS_00050865-protein TCONS_00050865-protein	Acropora_digitifera_adi_v1.20375 adi_v1.20375, Acropora_digitifera_adi_v1.00391 adi_v1.00391
OG0000002	Clytia_hemispherica_TCONS_00022744-protein TCONS_00022744-protein	Acropora_digitifera_adi_v1.24510 adi_v1.24510, Acropora_digitifera_adi_v1.08206 adi_v1.08206
OG0000003	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein	Acropora_digitifera_adi_v1.14319 adi_v1.14319
OG0000003	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161
OG0000003	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681
OG0000003	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein	Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858
OG0000003	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332
OG0000003	Clytia_hemispherica_TCONS_00050531-protein TCONS_00050531-protein	Acropora_digitifera_adi_v1.15432 adi_v1.15432, Acropora_digitifera_adi_v1.15433 adi_v1.15433, Acropora_digitifera_adi_v1.03585 adi_v1.03585, Acropora_digitifera_adi_v1.13721 adi_v1.13721, Acropora_digitifera_adi_v1.02565 adi_v1.02565, Acropora_digitifera_adi_v1.04620 adi_v1.04620, Acropora_digitifera_adi_v1.15479 adi_v1.15479, Acropora_digitifera_adi_v1.17665 adi_v1.17665, Acropora_digitifera_adi_v1.18386 adi_v1.18386, Acropora_digitifera_adi_v1.17664 adi_v1.17664, Acropora_digitifera_adi_v1.09977 adi_v1.09977, Acropora_digitifera_adi_v1.08376 adi_v1.08376
OG0000003	Clytia_hemispherica_TCONS_00044056-protein TCONS_00044056-protein, Clytia_hemispherica_TCONS_00006800-protein TCONS_00006800-protein, Clytia_hemispherica_TCONS_00067484-protein TCONS_00067484-protein, Clytia_hemispherica_TCONS_00053707-protein TCONS_00053707-protein, Clytia_hemispherica_TCONS_00018684-protein TCONS_00018684-protein	Acropora_digitifera_adi_v1.01273 adi_v1.01273
OG0000003	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein	Acropora_digitifera_adi_v1.10368 adi_v1.10368, Acropora_digitifera_adi_v1.01653 adi_v1.01653, Acropora_digitifera_adi_v1.10367 adi_v1.10367
OG0000003	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein	Acropora_digitifera_adi_v1.12238 adi_v1.12238
OG0000003	Clytia_hemispherica_TCONS_00019274-protein TCONS_00019274-protein	Acropora_digitifera_adi_v1.21433 adi_v1.21433
OG0000003	Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein	Acropora_digitifera_adi_v1.20004 adi_v1.20004
OG0000003	Clytia_hemispherica_TCONS_00063107-protein TCONS_00063107-protein	Acropora_digitifera_adi_v1.18239 adi_v1.18239
OG0000003	Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein	Acropora_digitifera_adi_v1.14876 adi_v1.14876, Acropora_digitifera_adi_v1.14877 adi_v1.14877, Acropora_digitifera_adi_v1.20752 adi_v1.20752, Acropora_digitifera_adi_v1.21376 adi_v1.21376, Acropora_digitifera_adi_v1.21106 adi_v1.21106, Acropora_digitifera_adi_v1.02803 adi_v1.02803, Acropora_digitifera_adi_v1.15897 adi_v1.15897, Acropora_digitifera_adi_v1.23691 adi_v1.23691
OG0000003	Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein, Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein	Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000004	Clytia_hemispherica_TCONS_00048850-protein TCONS_00048850-protein	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405
OG0000004	Clytia_hemispherica_TCONS_00049030-protein TCONS_00049030-protein	Acropora_digitifera_adi_v1.08696 adi_v1.08696
OG0000004	Clytia_hemispherica_TCONS_00068905-protein TCONS_00068905-protein, Clytia_hemispherica_TCONS_00014046-protein TCONS_00014046-protein, Clytia_hemispherica_TCONS_00026700-protein TCONS_00026700-protein	Acropora_digitifera_adi_v1.13313 adi_v1.13313
OG0000004	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein	Acropora_digitifera_adi_v1.01068 adi_v1.01068
OG0000004	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein	Acropora_digitifera_adi_v1.15324 adi_v1.15324
OG0000004	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein	Acropora_digitifera_adi_v1.16039 adi_v1.16039, Acropora_digitifera_adi_v1.20707 adi_v1.20707
OG0000004	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein	Acropora_digitifera_adi_v1.10196 adi_v1.10196
OG0000004	Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein	Acropora_digitifera_adi_v1.13754 adi_v1.13754
OG0000004	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148
OG0000004	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein	Acropora_digitifera_adi_v1.02301 adi_v1.02301
OG0000005	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein	Acropora_digitifera_adi_v1.06940 adi_v1.06940, Acropora_digitifera_adi_v1.17845 adi_v1.17845
OG0000005	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein	Acropora_digitifera_adi_v1.15751 adi_v1.15751
OG0000005	Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein	Acropora_digitifera_adi_v1.03919 adi_v1.03919
OG0000005	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein	Acropora_digitifera_adi_v1.24503 adi_v1.24503
OG0000005	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein	Acropora_digitifera_adi_v1.02212 adi_v1.02212
OG0000005	Clytia_hemispherica_TCONS_00018805-protein TCONS_00018805-protein, Clytia_hemispherica_TCONS_00062392-protein TCONS_00062392-protein, Clytia_hemispherica_TCONS_00072115-protein TCONS_00072115-protein	Acropora_digitifera_adi_v1.08322 adi_v1.08322
OG0000005	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein	Acropora_digitifera_adi_v1.23604 adi_v1.23604
OG0000006	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870, Acropora_digitifera_adi_v1.13727 adi_v1.13727, Acropora_digitifera_adi_v1.10661 adi_v1.10661, Acropora_digitifera_adi_v1.17948 adi_v1.17948, Acropora_digitifera_adi_v1.13200 adi_v1.13200, Acropora_digitifera_adi_v1.01538 adi_v1.01538, Acropora_digitifera_adi_v1.02127 adi_v1.02127, Acropora_digitifera_adi_v1.13976 adi_v1.13976, Acropora_digitifera_adi_v1.13728 adi_v1.13728, Acropora_digitifera_adi_v1.09591 adi_v1.09591, Acropora_digitifera_adi_v1.07190 adi_v1.07190, Acropora_digitifera_adi_v1.01853 adi_v1.01853
OG0000006	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein	Acropora_digitifera_adi_v1.02129 adi_v1.02129
OG0000006	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein	Acropora_digitifera_adi_v1.06181 adi_v1.06181
OG0000006	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein	Acropora_digitifera_adi_v1.15090 adi_v1.15090, Acropora_digitifera_adi_v1.14680 adi_v1.14680
OG0000006	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein	Acropora_digitifera_adi_v1.15339 adi_v1.15339, Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915, Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851, Acropora_digitifera_adi_v1.05992 adi_v1.05992, Acropora_digitifera_adi_v1.21365 adi_v1.21365, Acropora_digitifera_adi_v1.06531 adi_v1.06531, Acropora_digitifera_adi_v1.22516 adi_v1.22516, Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557, Acropora_digitifera_adi_v1.12685 adi_v1.12685, Acropora_digitifera_adi_v1.23984 adi_v1.23984, Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507, Acropora_digitifera_adi_v1.08407 adi_v1.08407, Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506
OG0000007	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188
OG0000007	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein	Acropora_digitifera_adi_v1.00199 adi_v1.00199
OG0000007	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511
OG0000008	Clytia_hemispherica_TCONS_00010866-protein TCONS_00010866-protein, Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein	Acropora_digitifera_adi_v1.19358 adi_v1.19358
OG0000008	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein	Acropora_digitifera_adi_v1.09584 adi_v1.09584
OG0000008	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583
OG0000008	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697
OG0000008	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein	Acropora_digitifera_adi_v1.01978 adi_v1.01978
OG0000008	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein	Acropora_digitifera_adi_v1.14878 adi_v1.14878, Acropora_digitifera_adi_v1.10976 adi_v1.10976
OG0000008	Clytia_hemispherica_TCONS_00054240-protein TCONS_00054240-protein	Acropora_digitifera_adi_v1.07797 adi_v1.07797, Acropora_digitifera_adi_v1.05293 adi_v1.05293
OG0000009	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein, Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000009	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein	Acropora_digitifera_adi_v1.19086 adi_v1.19086
OG0000009	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310, Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168, Acropora_digitifera_adi_v1.02161 adi_v1.02161, Acropora_digitifera_adi_v1.02163 adi_v1.02163
OG0000009	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein	Acropora_digitifera_adi_v1.13554 adi_v1.13554
OG0000009	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein	Acropora_digitifera_adi_v1.04391 adi_v1.04391
OG0000009	Clytia_hemispherica_TCONS_00064060-protein TCONS_00064060-protein, Clytia_hemispherica_TCONS_00064059-protein TCONS_00064059-protein	Acropora_digitifera_adi_v1.04567 adi_v1.04567, Acropora_digitifera_adi_v1.16833 adi_v1.16833, Acropora_digitifera_adi_v1.17647 adi_v1.17647, Acropora_digitifera_adi_v1.11637 adi_v1.11637
OG0000010	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein	Acropora_digitifera_adi_v1.00664 adi_v1.00664
OG0000010	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein	Acropora_digitifera_adi_v1.04228 adi_v1.04228
OG0000010	Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein	Acropora_digitifera_adi_v1.02202 adi_v1.02202, Acropora_digitifera_adi_v1.04096 adi_v1.04096
OG0000010	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Acropora_digitifera_adi_v1.05525 adi_v1.05525
OG0000010	Clytia_hemispherica_TCONS_00002898-protein TCONS_00002898-protein, Clytia_hemispherica_TCONS_00064483-protein TCONS_00064483-protein	Acropora_digitifera_adi_v1.04348 adi_v1.04348, Acropora_digitifera_adi_v1.21574 adi_v1.21574
OG0000010	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Acropora_digitifera_adi_v1.05424 adi_v1.05424
OG0000012	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein	Acropora_digitifera_adi_v1.00068 adi_v1.00068, Acropora_digitifera_adi_v1.03852 adi_v1.03852, Acropora_digitifera_adi_v1.00069 adi_v1.00069
OG0000012	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein	Acropora_digitifera_adi_v1.12876 adi_v1.12876
OG0000013	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein	Acropora_digitifera_adi_v1.17615 adi_v1.17615
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Acropora_digitifera_adi_v1.13606 adi_v1.13606
OG0000013	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654
OG0000013	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein	Acropora_digitifera_adi_v1.16598 adi_v1.16598
OG0000013	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063
OG0000013	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272
OG0000014	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366
OG0000014	Clytia_hemispherica_TCONS_00019992-protein TCONS_00019992-protein	Acropora_digitifera_adi_v1.10968 adi_v1.10968
OG0000014	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein	Acropora_digitifera_adi_v1.14581 adi_v1.14581
OG0000014	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein	Acropora_digitifera_adi_v1.06910 adi_v1.06910
OG0000014	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein	Acropora_digitifera_adi_v1.01444 adi_v1.01444, Acropora_digitifera_adi_v1.22993 adi_v1.22993, Acropora_digitifera_adi_v1.22282 adi_v1.22282, Acropora_digitifera_adi_v1.16116 adi_v1.16116, Acropora_digitifera_adi_v1.14772 adi_v1.14772
OG0000014	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein	Acropora_digitifera_adi_v1.16603 adi_v1.16603, Acropora_digitifera_adi_v1.13245 adi_v1.13245, Acropora_digitifera_adi_v1.20449 adi_v1.20449, Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358, Acropora_digitifera_adi_v1.16964 adi_v1.16964, Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631
OG0000014	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein, Clytia_hemispherica_TCONS_00053160-protein TCONS_00053160-protein	Acropora_digitifera_adi_v1.16403 adi_v1.16403
OG0000015	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186
OG0000016	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein, Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174
OG0000016	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein	Acropora_digitifera_adi_v1.22761 adi_v1.22761
OG0000016	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein	Acropora_digitifera_adi_v1.03024 adi_v1.03024, Acropora_digitifera_adi_v1.03033 adi_v1.03033
OG0000018	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253
OG0000019	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein	Acropora_digitifera_adi_v1.07696 adi_v1.07696
OG0000019	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein	Acropora_digitifera_adi_v1.01025 adi_v1.01025
