Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000005	Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1
OG0000005	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein	Morbakka_virulenta_scaffold14.g118.t1 scaffold14.g118.t1, Morbakka_virulenta_scaffold14.g118.t2 scaffold14.g118.t2, Morbakka_virulenta_scaffold14.g119.t1 scaffold14.g119.t1
OG0000005	Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein	Morbakka_virulenta_scaffold393.g3.t1 scaffold393.g3.t1, Morbakka_virulenta_scaffold393.g2.t1 scaffold393.g2.t1
OG0000005	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein	Morbakka_virulenta_scaffold159.g55.t1 scaffold159.g55.t1, Morbakka_virulenta_scaffold421.g6.t1 scaffold421.g6.t1, Morbakka_virulenta_scaffold421.g6.t2 scaffold421.g6.t2, Morbakka_virulenta_scaffold421.g14.t1 scaffold421.g14.t1, Morbakka_virulenta_scaffold159.g56.t1 scaffold159.g56.t1
OG0000005	Clytia_hemispherica_TCONS_00009569-protein TCONS_00009569-protein	Morbakka_virulenta_scaffold10.g74.t2 scaffold10.g74.t2, Morbakka_virulenta_scaffold10.g74.t1 scaffold10.g74.t1
OG0000005	Clytia_hemispherica_TCONS_00002523-protein TCONS_00002523-protein	Morbakka_virulenta_scaffold17.g8.t1 scaffold17.g8.t1
OG0000005	Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein	Morbakka_virulenta_scaffold203.g14.t2 scaffold203.g14.t2, Morbakka_virulenta_scaffold203.g14.t1 scaffold203.g14.t1
OG0000005	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein	Morbakka_virulenta_scaffold67.g19.t5 scaffold67.g19.t5, Morbakka_virulenta_scaffold67.g19.t6 scaffold67.g19.t6, Morbakka_virulenta_scaffold67.g19.t2 scaffold67.g19.t2, Morbakka_virulenta_scaffold67.g19.t3 scaffold67.g19.t3, Morbakka_virulenta_scaffold67.g19.t4 scaffold67.g19.t4, Morbakka_virulenta_scaffold67.g19.t1 scaffold67.g19.t1, Morbakka_virulenta_scaffold67.g20.t1 scaffold67.g20.t1, Morbakka_virulenta_scaffold309.g26.t2 scaffold309.g26.t2, Morbakka_virulenta_scaffold309.g26.t1 scaffold309.g26.t1
OG0000005	Clytia_hemispherica_TCONS_00006064-protein TCONS_00006064-protein, Clytia_hemispherica_TCONS_00052231-protein TCONS_00052231-protein, Clytia_hemispherica_TCONS_00051903-protein TCONS_00051903-protein	Morbakka_virulenta_scaffold44.g41.t2 scaffold44.g41.t2, Morbakka_virulenta_scaffold44.g41.t1 scaffold44.g41.t1
OG0000005	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein	Morbakka_virulenta_scaffold376.g5.t1 scaffold376.g5.t1
OG0000005	Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein	Morbakka_virulenta_scaffold4121.g1.t1 scaffold4121.g1.t1
OG0000005	Clytia_hemispherica_TCONS_00050320-protein TCONS_00050320-protein	Morbakka_virulenta_scaffold16.g23.t2 scaffold16.g23.t2, Morbakka_virulenta_scaffold16.g23.t1 scaffold16.g23.t1
OG0000005	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein	Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1
OG0000005	Clytia_hemispherica_TCONS_00035760-protein TCONS_00035760-protein, Clytia_hemispherica_TCONS_00017220-protein TCONS_00017220-protein	Morbakka_virulenta_scaffold27.g77.t1 scaffold27.g77.t1, Morbakka_virulenta_scaffold377.g16.t1 scaffold377.g16.t1
OG0000005	Clytia_hemispherica_TCONS_00071436-protein TCONS_00071436-protein	Morbakka_virulenta_scaffold1609.g1.t1 scaffold1609.g1.t1, Morbakka_virulenta_scaffold17.g2.t1 scaffold17.g2.t1, Morbakka_virulenta_scaffold17.g3.t1 scaffold17.g3.t1, Morbakka_virulenta_scaffold550.g3.t1 scaffold550.g3.t1, Morbakka_virulenta_scaffold550.g3.t2 scaffold550.g3.t2, Morbakka_virulenta_scaffold550.g7.t1 scaffold550.g7.t1, Morbakka_virulenta_scaffold764.g1.t1 scaffold764.g1.t1, Morbakka_virulenta_scaffold550.g1.t1 scaffold550.g1.t1, Morbakka_virulenta_scaffold550.g6.t1 scaffold550.g6.t1, Morbakka_virulenta_scaffold550.g14.t1 scaffold550.g14.t1, Morbakka_virulenta_scaffold550.g14.t2 scaffold550.g14.t2, Morbakka_virulenta_scaffold550.g14.t3 scaffold550.g14.t3, Morbakka_virulenta_scaffold550.g15.t1 scaffold550.g15.t1, Morbakka_virulenta_scaffold550.g15.t2 scaffold550.g15.t2
OG0000005	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein	Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1
OG0000006	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1
OG0000006	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein	Morbakka_virulenta_scaffold315.g6.t1 scaffold315.g6.t1
OG0000006	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein	Morbakka_virulenta_scaffold6.g93.t1 scaffold6.g93.t1
OG0000006	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein	Morbakka_virulenta_scaffold193.g36.t1 scaffold193.g36.t1
OG0000006	Clytia_hemispherica_TCONS_00019049-protein TCONS_00019049-protein	Morbakka_virulenta_scaffold71.g47.t1 scaffold71.g47.t1
OG0000006	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein	Morbakka_virulenta_scaffold337.g6.t3 scaffold337.g6.t3, Morbakka_virulenta_scaffold337.g6.t1 scaffold337.g6.t1, Morbakka_virulenta_scaffold337.g6.t2 scaffold337.g6.t2, Morbakka_virulenta_scaffold247.g18.t2 scaffold247.g18.t2, Morbakka_virulenta_scaffold247.g18.t1 scaffold247.g18.t1, Morbakka_virulenta_scaffold247.g23.t1 scaffold247.g23.t1, Morbakka_virulenta_scaffold247.g14.t1 scaffold247.g14.t1
OG0000007	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1
OG0000007	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1
OG0000007	Clytia_hemispherica_TCONS_00007902-protein TCONS_00007902-protein	Morbakka_virulenta_scaffold44.g74.t1 scaffold44.g74.t1
OG0000008	Clytia_hemispherica_TCONS_00010866-protein TCONS_00010866-protein	Morbakka_virulenta_scaffold100.g41.t1 scaffold100.g41.t1
OG0000008	Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein	Morbakka_virulenta_scaffold478.g17.t2 scaffold478.g17.t2, Morbakka_virulenta_scaffold478.g17.t1 scaffold478.g17.t1
OG0000008	Clytia_hemispherica_TCONS_00027172-protein TCONS_00027172-protein, Clytia_hemispherica_TCONS_00027164-protein TCONS_00027164-protein	Morbakka_virulenta_scaffold70.g38.t1 scaffold70.g38.t1
OG0000008	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1
OG0000008	Clytia_hemispherica_TCONS_00016471-protein TCONS_00016471-protein	Morbakka_virulenta_scaffold100.g44.t1 scaffold100.g44.t1
OG0000008	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1
OG0000008	Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein	Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1
OG0000008	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein	Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3
OG0000008	Clytia_hemispherica_TCONS_00049605-protein TCONS_00049605-protein	Morbakka_virulenta_scaffold100.g40.t2 scaffold100.g40.t2, Morbakka_virulenta_scaffold100.g40.t1 scaffold100.g40.t1
OG0000008	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1
OG0000009	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein	Morbakka_virulenta_scaffold17.g59.t1 scaffold17.g59.t1
OG0000009	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2
OG0000009	Clytia_hemispherica_TCONS_00046196-protein TCONS_00046196-protein	Morbakka_virulenta_scaffold112.g2.t1 scaffold112.g2.t1, Morbakka_virulenta_scaffold112.g2.t2 scaffold112.g2.t2
OG0000009	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein	Morbakka_virulenta_scaffold62.g78.t2 scaffold62.g78.t2, Morbakka_virulenta_scaffold62.g78.t1 scaffold62.g78.t1, Morbakka_virulenta_scaffold123.g33.t1 scaffold123.g33.t1
OG0000009	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein	Morbakka_virulenta_scaffold24.g118.t2 scaffold24.g118.t2, Morbakka_virulenta_scaffold24.g118.t1 scaffold24.g118.t1
OG0000009	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1
OG0000009	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein	Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1
OG0000009	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein	Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1
OG0000010	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2
OG0000010	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1
OG0000010	Clytia_hemispherica_TCONS_00064588-protein TCONS_00064588-protein	Morbakka_virulenta_scaffold13.g19.t2 scaffold13.g19.t2, Morbakka_virulenta_scaffold13.g19.t3 scaffold13.g19.t3, Morbakka_virulenta_scaffold13.g19.t1 scaffold13.g19.t1
OG0000010	Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein	Morbakka_virulenta_scaffold52.g35.t2 scaffold52.g35.t2, Morbakka_virulenta_scaffold52.g35.t1 scaffold52.g35.t1, Morbakka_virulenta_scaffold52.g28.t1 scaffold52.g28.t1
OG0000010	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1
OG0000010	Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein	Morbakka_virulenta_scaffold16.g68.t2 scaffold16.g68.t2, Morbakka_virulenta_scaffold16.g68.t1 scaffold16.g68.t1
OG0000010	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000012	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000012	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000012	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein	Morbakka_virulenta_scaffold150.g43.t1 scaffold150.g43.t1
OG0000013	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1
