Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000003	Drosophila_melanogaster_tr_A1Z8L7_A1Z8L7_DROME tr|A1Z8L7|A1Z8L7_DROME Uncharacterized protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=CK02422a PE=4 SV=2, Drosophila_melanogaster_tr_Q9VQX3_Q9VQX3_DROME tr|Q9VQX3|Q9VQX3_DROME HL05328p OS=Drosophila melanogaster OX=7227 GN=lectin-24Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VM16_Q9VM16_DROME tr|Q9VM16|Q9VM16_DROME LP02603p OS=Drosophila melanogaster OX=7227 GN=Dmel\CG15818 PE=2 SV=1, Drosophila_melanogaster_tr_Q9VQ53_Q9VQ53_DROME tr|Q9VQ53|Q9VQ53_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=mdcds_4396 PE=4 SV=3, Drosophila_melanogaster_tr_Q9VQU4_Q9VQU4_DROME tr|Q9VQU4|Q9VQU4_DROME Lectin-24A OS=Drosophila melanogaster OX=7227 GN=lectin-24A PE=2 SV=1, Drosophila_melanogaster_tr_Q9VPS3_Q9VPS3_DROME tr|Q9VPS3|Q9VPS3_DROME C-type lectin domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG2839 PE=4 SV=2, Drosophila_melanogaster_tr_Q9W0I2_Q9W0I2_DROME tr|Q9W0I2|Q9W0I2_DROME RE15268p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRH8_Q8IRH8_DROME tr|Q8IRH8|Q8IRH8_DROME LP02252p OS=Drosophila melanogaster OX=7227 GN=tfc PE=2 SV=1, Drosophila_melanogaster_sp_Q59DY5_LEDL3_DROME sp|Q59DY5|LEDL3_DROME C-type lectin 37Db OS=Drosophila melanogaster OX=7227 GN=lectin-37Db PE=2 SV=1, Drosophila_melanogaster_tr_Q9VKL8_Q9VKL8_DROME tr|Q9VKL8|Q9VKL8_DROME Lectin-33A OS=Drosophila melanogaster OX=7227 GN=lectin-33A PE=4 SV=2, Drosophila_melanogaster_tr_Q2XYE0_Q2XYE0_DROME tr|Q2XYE0|Q2XYE0_DROME CG8343 _Fragment_ OS=Drosophila melanogaster OX=7227 GN=CG8343 PE=4 SV=1, Drosophila_melanogaster_tr_Q6NMY2_Q6NMY2_DROME tr|Q6NMY2|Q6NMY2_DROME RH54371p OS=Drosophila melanogaster OX=7227 GN=BEST_GH10831 PE=2 SV=1	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1, Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1
OG0000006	Drosophila_melanogaster_tr_Q058W1_Q058W1_DROME tr|Q058W1|Q058W1_DROME Hig-anchoring scaffold protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1, Drosophila_melanogaster_tr_Q9VIU9_Q9VIU9_DROME tr|Q9VIU9|Q9VIU9_DROME Hig-anchoring scaffold protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=3, Drosophila_melanogaster_tr_B7YZX0_B7YZX0_DROME tr|B7YZX0|B7YZX0_DROME Hig-anchoring scaffold protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=2, Drosophila_melanogaster_tr_Q8INW2_Q8INW2_DROME tr|Q8INW2|Q8INW2_DROME Hig-anchoring scaffold protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1	Nematostella_vectensis_NV2t025727002.1 NV2t025727002.1, Nematostella_vectensis_NV2t025727001.1 NV2t025727001.1, Nematostella_vectensis_NV2t025725003.1 NV2t025725003.1, Nematostella_vectensis_NV2t025725002.1 NV2t025725002.1, Nematostella_vectensis_NV2t025725001.1 NV2t025725001.1, Nematostella_vectensis_NV2t025725006.1 NV2t025725006.1, Nematostella_vectensis_NV2t025725005.1 NV2t025725005.1, Nematostella_vectensis_NV2t025725004.1 NV2t025725004.1, Nematostella_vectensis_NV2t025724001.1 NV2t025724001.1, Nematostella_vectensis_NV2t025722001.1 NV2t025722001.1
OG0000009	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2	Nematostella_vectensis_NV2t003100001.1 NV2t003100001.1, Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1, Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000010	Drosophila_melanogaster_tr_Q8MPN3_Q8MPN3_DROME tr|Q8MPN3|Q8MPN3_DROME Perlecan OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_M9NE56_M9NE56_DROME tr|M9NE56|M9NE56_DROME Terribly reduced optic lobes_ isoform AK OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NDL5_M9NDL5_DROME tr|M9NDL5|M9NDL5_DROME Terribly reduced optic lobes_ isoform AF OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NES6_M9NES6_DROME tr|M9NES6|M9NES6_DROME Terribly reduced optic lobes_ isoform AU OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y3_Q9W4Y3_DROME tr|Q9W4Y3|Q9W4Y3_DROME Terribly reduced optic lobes_ isoform AT OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=4, Drosophila_melanogaster_tr_E1JJC0_E1JJC0_DROME tr|E1JJC0|E1JJC0_DROME Terribly reduced optic lobes_ isoform AH OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JCE8_X2JCE8_DROME tr|X2JCE8|X2JCE8_DROME Terribly reduced optic lobes_ isoform BA OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_X2JE09_X2JE09_DROME tr|X2JE09|X2JE09_DROME Terribly reduced optic lobes_ isoform AV OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_A0A023GRW4_A0A023GRW4_DROME tr|A0A023GRW4|A0A023GRW4_DROME Terribly reduced optic lobes_ isoform AZ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q8IRV8_Q8IRV8_DROME tr|Q8IRV8|Q8IRV8_DROME Terribly reduced optic lobes_ isoform AO OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NDM1_M9NDM1_DROME tr|M9NDM1|M9NDM1_DROME Terribly reduced optic lobes_ isoform AP OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_X2JDK9_X2JDK9_DROME tr|X2JDK9|X2JDK9_DROME Terribly reduced optic lobes_ isoform AS OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q9NFS9_Q9NFS9_DROME tr|Q9NFS9|Q9NFS9_DROME Perlecan domain V _Fragment_ OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q9NEG1_Q9NEG1_DROME tr|Q9NEG1|Q9NEG1_DROME EG_BACR25B3.11 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1, Drosophila_melanogaster_tr_M9NET2_M9NET2_DROME tr|M9NET2|M9NET2_DROME Terribly reduced optic lobes_ isoform AI OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NGK3_M9NGK3_DROME tr|M9NGK3|M9NGK3_DROME Terribly reduced optic lobes_ isoform AL OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NFR6_M9NFR6_DROME tr|M9NFR6|M9NFR6_DROME Terribly reduced optic lobes_ isoform AY OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8IRV9_Q8IRV9_DROME tr|Q8IRV9|Q8IRV9_DROME Terribly reduced optic lobes_ isoform AW OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NGL3_M9NGL3_DROME tr|M9NGL3|M9NGL3_DROME Terribly reduced optic lobes_ isoform AM OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8MSR5_Q8MSR5_DROME tr|Q8MSR5|Q8MSR5_DROME SD04592p OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRV7_Q8IRV7_DROME tr|Q8IRV7|Q8IRV7_DROME Terribly reduced optic lobes_ isoform AG OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JAC7_X2JAC7_DROME tr|X2JAC7|X2JAC7_DROME Terribly reduced optic lobes_ isoform AX OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NE61_M9NE61_DROME tr|M9NE61|M9NE61_DROME Terribly reduced optic lobes_ isoform AR OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y4_Q9W4Y4_DROME tr|Q9W4Y4|Q9W4Y4_DROME Terribly reduced optic lobes_ isoform AN OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=5, Drosophila_melanogaster_tr_M9NFS1_M9NFS1_DROME tr|M9NFS1|M9NFS1_DROME Terribly reduced optic lobes_ isoform AQ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9NEF9_Q9NEF9_DROME tr|Q9NEF9|Q9NEF9_DROME EG_BACR25B3.1 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1
OG0000010	Drosophila_melanogaster_sp_A0A1F4_EYS_DROME sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1, Drosophila_melanogaster_tr_M9PBU9_M9PBU9_DROME tr|M9PBU9|M9PBU9_DROME Eyes shut_ isoform E OS=Drosophila melanogaster OX=7227 GN=eys PE=4 SV=2	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1
OG0000010	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1, Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1
OG0000012	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000012	Drosophila_melanogaster_tr_Q9VKA7_Q9VKA7_DROME tr|Q9VKA7|Q9VKA7_DROME VWFC domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17211 PE=4 SV=1	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1, Nematostella_vectensis_NV2t019905001.1 NV2t019905001.1
OG0000013	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
