Orthogroup	Insecta_Diptera_Drosophila_melanogaster	Chordata_Vertebrata_Danio_rerio
OG0000002	Drosophila_melanogaster_sp_Q24322_SEM1A_DROME sp|Q24322|SEM1A_DROME Semaphorin-1A OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=3, Drosophila_melanogaster_tr_Q0E8S4_Q0E8S4_DROME tr|Q0E8S4|Q0E8S4_DROME Semaphorin 1a_ isoform D OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=2, Drosophila_melanogaster_tr_M9PCL7_M9PCL7_DROME tr|M9PCL7|M9PCL7_DROME Semaphorin 1a_ isoform G OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PFA5_M9PFA5_DROME tr|M9PFA5|M9PFA5_DROME Semaphorin 1a_ isoform H OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9PB77_M9PB77_DROME tr|M9PB77|M9PB77_DROME Semaphorin 1a_ isoform I OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_M9MRI2_M9MRI2_DROME tr|M9MRI2|M9MRI2_DROME Semaphorin 1a_ isoform F OS=Drosophila melanogaster OX=7227 GN=Sema1a PE=1 SV=1, Drosophila_melanogaster_tr_Q7KK54_Q7KK54_DROME tr|Q7KK54|Q7KK54_DROME MIP07328p OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=1 SV=1, Drosophila_melanogaster_tr_O44253_O44253_DROME tr|O44253|O44253_DROME Similar to semaphorin-I OS=Drosophila melanogaster OX=7227 GN=Sema1b PE=2 SV=1	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1, Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
OG0000007	Drosophila_melanogaster_tr_M9PHP7_M9PHP7_DROME tr|M9PHP7|M9PHP7_DROME Faulty attraction_ isoform F OS=Drosophila melanogaster OX=7227 GN=frac PE=4 SV=1, Drosophila_melanogaster_tr_Q9VS89_Q9VS89_DROME tr|Q9VS89|Q9VS89_DROME FI18763p1 OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=4, Drosophila_melanogaster_tr_Q8MQJ4_Q8MQJ4_DROME tr|Q8MQJ4|Q8MQJ4_DROME LD32019p _Fragment_ OS=Drosophila melanogaster OX=7227 GN=frac PE=2 SV=1	Danio_rerio_tr_Q7T3H4_Q7T3H4_DANRE tr|Q7T3H4|Q7T3H4_DANRE Growth arrest-specific 6 OS=Danio rerio OX=7955 GN=fj34a12 PE=2 SV=1
OG0000009	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2	Danio_rerio_tr_F1REM3_F1REM3_DANRE tr|F1REM3|F1REM3_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1a PE=4 SV=2, Danio_rerio_tr_Q2ABP1_Q2ABP1_DANRE tr|Q2ABP1|Q2ABP1_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1a PE=2 SV=1, Danio_rerio_tr_Q2ABP0_Q2ABP0_DANRE tr|Q2ABP0|Q2ABP0_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1b PE=2 SV=1, Danio_rerio_sp_O57460_TLL1_DANRE sp|O57460|TLL1_DANRE Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1, Danio_rerio_tr_B3DJN6_B3DJN6_DANRE tr|B3DJN6|B3DJN6_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1
OG0000010	Drosophila_melanogaster_tr_Q86NV3_Q86NV3_DROME tr|Q86NV3|Q86NV3_DROME Follistatin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4LFH4_A0A0B4LFH4_DROME tr|A0A0B4LFH4|A0A0B4LFH4_DROME Follistatin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Fs PE=4 SV=1, Drosophila_melanogaster_tr_Q8WR59_Q8WR59_DROME tr|Q8WR59|Q8WR59_DROME Follistatin OS=Drosophila melanogaster OX=7227 GN=Fs PE=2 SV=1	Danio_rerio_tr_A7MBP8_A7MBP8_DANRE tr|A7MBP8|A7MBP8_DANRE Follistatin b isoform 2 precursor OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_tr_Q2PMI4_Q2PMI4_DANRE tr|Q2PMI4|Q2PMI4_DANRE Follistatin 2 OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_sp_Q9YHV4_FSTA_DANRE sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2, Danio_rerio_tr_A4IG14_A4IG14_DANRE tr|A4IG14|A4IG14_DANRE Follistatin-like 3 _secreted glycoprotein_ OS=Danio rerio OX=7955 GN=zgc_114170 PE=2 SV=1
OG0000012	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1	Danio_rerio_tr_X1WBL9_X1WBL9_DANRE tr|X1WBL9|X1WBL9_DANRE Mucin 5.1_ oligomeric mucus/gel-forming OS=Danio rerio OX=7955 GN=muc5.1 PE=1 SV=1, Danio_rerio_tr_E7F9Z1_E7F9Z1_DANRE tr|E7F9Z1|E7F9Z1_DANRE von Willebrand factor OS=Danio rerio OX=7955 GN=VWF PE=1 SV=3
OG0000012	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2	Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1, Danio_rerio_tr_F1Q752_F1Q752_DANRE tr|F1Q752|F1Q752_DANRE Kielin/chordin-like protein OS=Danio rerio OX=7955 GN=si_dkey-266m15.6 PE=4 SV=3
OG0000013	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3	Danio_rerio_tr_F1R205_F1R205_DANRE tr|F1R205|F1R205_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt6b PE=3 SV=1
OG0000013	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1	Danio_rerio_tr_B3DI55_B3DI55_DANRE tr|B3DI55|B3DI55_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1, Danio_rerio_sp_P24257_WNT1_DANRE sp|P24257|WNT1_DANRE Protein Wnt-1 OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1
OG0000013	Drosophila_melanogaster_sp_P28465_WNT2_DROME sp|P28465|WNT2_DROME Protein Wnt-2 OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4LFY4_A0A0B4LFY4_DROME tr|A0A0B4LFY4|A0A0B4LFY4_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=3 SV=1	Danio_rerio_tr_Q4JLT0_Q4JLT0_DANRE tr|Q4JLT0|Q4JLT0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7a PE=2 SV=1, Danio_rerio_tr_F1Q5B7_F1Q5B7_DANRE tr|F1Q5B7|F1Q5B7_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7ba PE=3 SV=1
OG0000013	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2, Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1
