Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]
OG0000001	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_846.1.g25657.t1 Sc4wPfr_846.1.g25657.t1	Exaiptasia_diaphana_XP_028516968.1 XP_028516968.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_1243.g15457.t1 Sc4wPfr_1243.g15457.t1	Exaiptasia_diaphana_XP_028519577.1 XP_028519577.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519578.1 XP_028519578.1 uncharacterized protein LOC114576685 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519572.1 XP_028519572.1 uncharacterized protein LOC110254262 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916859.1 XP_020916859.1 uncharacterized protein LOC110254228 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904142.1 XP_020904142.1 uncharacterized protein LOC110242489 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517813.1 XP_028517813.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515909.1 XP_028515909.1 semaphorin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518479.1 XP_028518479.1 uncharacterized protein LOC114576303_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519569.1 XP_028519569.1 ADAMTS-like protein 1 [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_177.1.g6145.t1 Sc4wPfr_177.1.g6145.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6139.t1 Sc4wPfr_177.1.g6139.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6146.t1 Sc4wPfr_177.1.g6146.t1	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_508.g5884.t1 Sc4wPfr_508.g5884.t1	Exaiptasia_diaphana_XP_020908572.1 XP_020908572.1 coadhesin-like [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_467.g16204.t1 Sc4wPfr_467.g16204.t1	Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana]
OG0000002	Hydra_vulgaris_Sc4wPfr_881.g1673.t1 Sc4wPfr_881.g1673.t1	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_198.g23280.t1 Sc4wPfr_198.g23280.t1	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4	Exaiptasia_diaphana_XP_020893164.1 XP_020893164.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893717.2 XP_020893717.2 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893691.1 XP_020893691.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513031.1 XP_028513031.1 aggrecan core protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513030.1 XP_028513030.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513029.1 XP_028513029.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893694.1 XP_020893694.1 C-type lection lectoxin-Enh3-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897122.1 XP_020897122.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513951.1 XP_028513951.1 C-type lectin mannose-binding isoform-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915383.1 XP_020915383.1 C-type lectin mannose-binding isoform [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911303.2 XP_020911303.2 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893692.1 XP_020893692.1 C-type lectin BfL-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893695.1 XP_020893695.1 C-type lectin lectoxin-Thr1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519144.1 XP_028519144.1 aggrecan core protein-like [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_1269.g30722.t1 Sc4wPfr_1269.g30722.t1	Exaiptasia_diaphana_XP_020894641.1 XP_020894641.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513260.1 XP_028513260.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_259.g33624.t1 Sc4wPfr_259.g33624.t1, Hydra_vulgaris_Sc4wPfr_259.g33624.t2 Sc4wPfr_259.g33624.t2	Exaiptasia_diaphana_XP_028515541.1 XP_028515541.1 formin-like protein 20 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902829.1 XP_020902829.1 proline-rich extensin-like protein EPR1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902810.1 XP_020902810.1 uncharacterized protein LOC110241282 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515540.1 XP_028515540.1 uncharacterized protein LOC110241282 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902757.1 XP_020902757.1 uncharacterized protein LOC110241235 [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_208.2.g17742.t1 Sc4wPfr_208.2.g17742.t1, Hydra_vulgaris_Sc4wPfr_547.1.g25022.t1 Sc4wPfr_547.1.g25022.t1	Exaiptasia_diaphana_XP_028519268.1 XP_028519268.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914857.1 XP_020914857.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914865.1 XP_020914865.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519269.1 XP_028519269.1 uncharacterized protein LOC110252372 [Exaiptasia diaphana]
OG0000003	Hydra_vulgaris_Sc4wPfr_1127.1.g1464.t1 Sc4wPfr_1127.1.g1464.t1, Hydra_vulgaris_Sc4wPfr_461.g8086.t1 Sc4wPfr_461.g8086.t1, Hydra_vulgaris_Sc4wPfr_113.1.g28301.t1 Sc4wPfr_113.1.g28301.t1	Exaiptasia_diaphana_XP_020898903.1 XP_020898903.1 macrophage mannose receptor 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913921.1 XP_020913921.1 uncharacterized protein LOC110251540 [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_1201.g23942.t1 Sc4wPfr_1201.g23942.t1	Exaiptasia_diaphana_XP_020904882.1 XP_020904882.1 collagen alpha-1_XII_ chain [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_363.2.g30380.t1 Sc4wPfr_363.2.g30380.t1, Hydra_vulgaris_Sc4wPfr_272.g11354.t1 Sc4wPfr_272.g11354.t1	Exaiptasia_diaphana_XP_028514341.1 XP_028514341.1 uncharacterized protein LOC114574885 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514329.1 XP_028514329.1 uncharacterized protein LOC110237135_ partial [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_363.2.g30382.t1 Sc4wPfr_363.2.g30382.t1	Exaiptasia_diaphana_XP_020917233.1 XP_020917233.1 integrin alpha-M [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_756.g14109.t1 Sc4wPfr_756.g14109.t1	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_715.g30415.t1 Sc4wPfr_715.g30415.t1, Hydra_vulgaris_Sc4wPfr_715.g30416.t1 Sc4wPfr_715.g30416.t1, Hydra_vulgaris_Sc4wPfr_6.g19133.t1 Sc4wPfr_6.g19133.t1	Exaiptasia_diaphana_XP_028517283.1 XP_028517283.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908856.1 XP_020908856.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912230.1 XP_020912230.1 coadhesin [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_483.g14184.t1 Sc4wPfr_483.g14184.t1	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900065.1 XP_020900065.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900069.1 XP_020900069.1 protocadherin-like protein [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_224.1.g33400.t1 Sc4wPfr_224.1.g33400.t1	Exaiptasia_diaphana_XP_020914238.1 XP_020914238.1 fat-like cadherin-related tumor suppressor homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914237.1 XP_020914237.1 fat-like cadherin-related tumor suppressor homolog isoform X1 [Exaiptasia diaphana]
OG0000004	Hydra_vulgaris_Sc4wPfr_672.g32789.t1 Sc4wPfr_672.g32789.t1, Hydra_vulgaris_Sc4wPfr_672.g32789.t2 Sc4wPfr_672.g32789.t2	Exaiptasia_diaphana_XP_028518873.1 XP_028518873.1 protocadherin Fat 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518874.1 XP_028518874.1 thrombospondin type-1 domain-containing protein 7A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914373.1 XP_020914373.1 coadhesin_ partial [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_773.g11723.t1 Sc4wPfr_773.g11723.t1, Hydra_vulgaris_Sc4wPfr_29.g30119.t1 Sc4wPfr_29.g30119.t1	Exaiptasia_diaphana_XP_020906559.1 XP_020906559.1 blastula protease 10 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8971.t1 Sc4wPfr_703.g8971.t1	Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_1514.2.g69.t1 Sc4wPfr_1514.2.g69.t1, Hydra_vulgaris_Sc4wPfr_90.g1199.t1 Sc4wPfr_90.g1199.t1, Hydra_vulgaris_Sc4wPfr_312.g4811.t1 Sc4wPfr_312.g4811.t1, Hydra_vulgaris_Sc4wPfr_192.g30630.t1 Sc4wPfr_192.g30630.t1, Hydra_vulgaris_Sc4wPfr_227.g25770.t1 Sc4wPfr_227.g25770.t1, Hydra_vulgaris_Sc4wPfr_192.g30647.t1 Sc4wPfr_192.g30647.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6165.t1 Sc4wPfr_177.1.g6165.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17795.t1 Sc4wPfr_262.2.g17795.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17796.t1 Sc4wPfr_262.2.g17796.t1, Hydra_vulgaris_Sc4wPfr_192.g30648.t1 Sc4wPfr_192.g30648.t1, Hydra_vulgaris_Sc4wPfr_1785.g3389.t1 Sc4wPfr_1785.g3389.t1, Hydra_vulgaris_Sc4wPfr_135.g21760.t1 Sc4wPfr_135.g21760.t1, Hydra_vulgaris_Sc4wPfr_39.g20553.t1 Sc4wPfr_39.g20553.t1, Hydra_vulgaris_Sc4wPfr_39.g20552.t1 Sc4wPfr_39.g20552.t1, Hydra_vulgaris_Sc4wPfr_39.g20547.t1 Sc4wPfr_39.g20547.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6220.t1 Sc4wPfr_177.1.g6220.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6228.t1 Sc4wPfr_177.1.g6228.t1	Exaiptasia_diaphana_XP_020915721.1 XP_020915721.1 low choriolytic enzyme [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901461.1 XP_020901461.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907018.2 XP_020907018.2 blastula protease 10_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916020.1 XP_020916020.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901178.2 XP_020901178.2 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908170.1 XP_020908170.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910129.1 XP_020910129.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901630.1 XP_020901630.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901634.1 XP_020901634.1 blastula protease 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901633.1 XP_020901633.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901632.1 XP_020901632.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515202.1 XP_028515202.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_589.g6032.t1 Sc4wPfr_589.g6032.t1, Hydra_vulgaris_Sc4wPfr_589.g6014.t1 Sc4wPfr_589.g6014.t1, Hydra_vulgaris_Sc4wPfr_589.g6008.t1 Sc4wPfr_589.g6008.t1	Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_29.g30023.t2 Sc4wPfr_29.g30023.t2, Hydra_vulgaris_Sc4wPfr_29.g30023.t1 Sc4wPfr_29.g30023.t1	Exaiptasia_diaphana_XP_020896173.1 XP_020896173.1 MAM and LDL-receptor class A domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917063.1 XP_020917063.1 uncharacterized protein LOC110254422 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_187.g1965.t1 Sc4wPfr_187.g1965.t1	Exaiptasia_diaphana_XP_028517244.1 XP_028517244.1 MAM and LDL-receptor class A domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911562.2 XP_020911562.2 uncharacterized protein LOC110249325_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900602.2 XP_020900602.2 uncharacterized protein LOC110239232 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900616.2 XP_020900616.2 uncharacterized protein LOC110239247 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514903.1 XP_028514903.1 uncharacterized protein LOC110239249_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895504.2 XP_020895504.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896667.2 XP_020896667.2 LOW QUALITY PROTEIN_ zinc metalloproteinase nas-6-like [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_363.2.g30322.t1 Sc4wPfr_363.2.g30322.t1	Exaiptasia_diaphana_XP_020904158.1 XP_020904158.1 uncharacterized protein LOC110242500 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_839.g4004.t1 Sc4wPfr_839.g4004.t1	Exaiptasia_diaphana_XP_020900957.1 XP_020900957.1 meprin A subunit beta isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515006.1 XP_028515006.1 meprin A subunit beta isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900956.1 XP_020900956.1 meprin A subunit beta isoform X1 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_326.g15690.t1 Sc4wPfr_326.g15690.t1	Exaiptasia_diaphana_XP_020911192.1 XP_020911192.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_576.1.g2978.t1 Sc4wPfr_576.1.g2978.t1	Exaiptasia_diaphana_XP_028518669.1 XP_028518669.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]
OG0000005	Hydra_vulgaris_Sc4wPfr_180.g11697.t1 Sc4wPfr_180.g11697.t1, Hydra_vulgaris_Sc4wPfr_144.1.g11748.t1 Sc4wPfr_144.1.g11748.t1	Exaiptasia_diaphana_XP_020911080.2 XP_020911080.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana]
OG0000006	Hydra_vulgaris_Sc4wPfr_727.g7600.t1 Sc4wPfr_727.g7600.t1, Hydra_vulgaris_Sc4wPfr_73.g11519.t1 Sc4wPfr_73.g11519.t1	Exaiptasia_diaphana_XP_020910180.1 XP_020910180.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]
OG0000006	Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1	Exaiptasia_diaphana_XP_020910027.1 XP_020910027.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514470.1 XP_028514470.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	Exaiptasia_diaphana_XP_028519635.1 XP_028519635.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917081.1 XP_020917081.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898703.1 XP_020898703.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898704.1 XP_020898704.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518080.1 XP_028518080.1 uncharacterized protein LOC110249342 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911575.1 XP_020911575.1 uncharacterized protein LOC110249341 [Exaiptasia diaphana]
