Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000001	Hydra_vulgaris_Sc4wPfr_338.1.g31651.t1 Sc4wPfr_338.1.g31651.t1	Aurelia_aurita_Seg894.7 Seg894.7 transcript_id=Seg894.7_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase S" protein_id=Seg894.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1454.6 Seg1454.6 transcript_id=Seg1454.6_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like protein Dscam2" protein_id=Seg1454.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1759.9 Seg1759.9 transcript_id=Seg1759.9_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg1759.9_GoldUCD_D3Y31, Aurelia_aurita_Seg94.1 Seg94.1 transcript_id=Seg94.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg94.1_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_356.g7178.t2 Sc4wPfr_356.g7178.t2, Hydra_vulgaris_Sc4wPfr_356.g7168.t1 Sc4wPfr_356.g7168.t1, Hydra_vulgaris_Sc4wPfr_2424.g10845.t1 Sc4wPfr_2424.g10845.t1	Aurelia_aurita_Seg2171.3 Seg2171.3 transcript_id=Seg2171.3_GoldUCD_mRNA.D3Y31 product="Tyrosine-protein phosphatase Lar" protein_id=Seg2171.3_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t1 Sc4wPfr_1127.1.g1468.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t2 Sc4wPfr_1127.1.g1468.t2	Aurelia_aurita_Seg8698.1 Seg8698.1 transcript_id=Seg8698.1_GoldUCD_mRNA.D3Y31 product="Blastula protease 10" protein_id=Seg8698.1_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31
OG0000001	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Aurelia_aurita_Seg592.14 Seg592.14 transcript_id=Seg592.14_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg592.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg519.5 Seg519.5 transcript_id=Seg519.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg519.5_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_399.2.g14795.t2 Sc4wPfr_399.2.g14795.t2, Hydra_vulgaris_Sc4wPfr_399.2.g14795.t1 Sc4wPfr_399.2.g14795.t1	Aurelia_aurita_Seg770.1 Seg770.1 transcript_id=Seg770.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-3b protein_id=Seg770.1_GoldUCD_D3Y31
OG0000002	Hydra_vulgaris_Sc4wPfr_27.g12213.t1 Sc4wPfr_27.g12213.t1, Hydra_vulgaris_Sc4wPfr_27.g12254.t1 Sc4wPfr_27.g12254.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t1 Sc4wPfr_62.g4402.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t2 Sc4wPfr_62.g4402.t2, Hydra_vulgaris_Sc4wPfr_62.g4389.t1 Sc4wPfr_62.g4389.t1, Hydra_vulgaris_Sc4wPfr_62.g4403.t1 Sc4wPfr_62.g4403.t1	Aurelia_aurita_Seg1454.5 Seg1454.5 transcript_id=Seg1454.5_GoldUCD_mRNA.D3Y31 product=SCO-spondin protein_id=Seg1454.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3614.3 Seg3614.3 transcript_id=Seg3614.3_GoldUCD_mRNA.D3Y31 product=Thrombospondin-2 protein_id=Seg3614.3_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_514.g14419.t1 Sc4wPfr_514.g14419.t1	Aurelia_aurita_Seg4699.1 Seg4699.1 transcript_id=Seg4699.1_GoldUCD_mRNA.D3Y31 product="Insulin-like growth factor-binding protein complex acid labile subunit" protein_id=Seg4699.1_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_1243.g15457.t1 Sc4wPfr_1243.g15457.t1	Aurelia_aurita_Seg3688.1 Seg3688.1 transcript_id=Seg3688.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3688.1_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_16.3.g17418.t1 Sc4wPfr_16.3.g17418.t1	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_177.1.g6145.t1 Sc4wPfr_177.1.g6145.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6139.t1 Sc4wPfr_177.1.g6139.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6146.t1 Sc4wPfr_177.1.g6146.t1	Aurelia_aurita_Seg2502.1 Seg2502.1 transcript_id=Seg2502.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 7" protein_id=Seg2502.1_GoldUCD_D3Y31, Aurelia_aurita_Seg757.1 Seg757.1 transcript_id=Seg757.1_GoldUCD_mRNA.D3Y31 product="Metabotropic glutamate receptor 4" protein_id=Seg757.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2022.4 Seg2022.4 transcript_id=Seg2022.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg2022.4_GoldUCD_D3Y31
OG0000002	Hydra_vulgaris_Sc4wPfr_654.g18231.t1 Sc4wPfr_654.g18231.t1	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31
OG0000002	Hydra_vulgaris_Sc4wPfr_5.2.g10955.t1 Sc4wPfr_5.2.g10955.t1, Hydra_vulgaris_Sc4wPfr_5.2.g10955.t2 Sc4wPfr_5.2.g10955.t2	Aurelia_aurita_Seg1505.2 Seg1505.2 transcript_id=Seg1505.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1505.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4965.1 Seg4965.1 transcript_id=Seg4965.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4965.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1296.4 Seg1296.4 transcript_id=Seg1296.4_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1296.4_GoldUCD_D3Y31 partial=true
OG0000002	Hydra_vulgaris_Sc4wPfr_881.g1673.t1 Sc4wPfr_881.g1673.t1	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000003	Hydra_vulgaris_Sc4wPfr_1968.g26006.t1 Sc4wPfr_1968.g26006.t1	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true
OG0000003	Hydra_vulgaris_Sc4wPfr_198.g23280.t1 Sc4wPfr_198.g23280.t1	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4	Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_1269.g30722.t1 Sc4wPfr_1269.g30722.t1	Aurelia_aurita_Seg230.12 Seg230.12 transcript_id=Seg230.12_GoldUCD_mRNA.D3Y31 product="Golgi-associated plant pathogenesis-related protein 1" protein_id=Seg230.12_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_259.g33624.t1 Sc4wPfr_259.g33624.t1, Hydra_vulgaris_Sc4wPfr_259.g33624.t2 Sc4wPfr_259.g33624.t2	Aurelia_aurita_Seg2124.6 Seg2124.6 transcript_id=Seg2124.6_GoldUCD_mRNA.D3Y31 product="C-type lectin domain family 4 member M" protein_id=Seg2124.6_GoldUCD_D3Y31 partial=true
OG0000003	Hydra_vulgaris_Sc4wPfr_208.2.g17742.t1 Sc4wPfr_208.2.g17742.t1, Hydra_vulgaris_Sc4wPfr_547.1.g25022.t1 Sc4wPfr_547.1.g25022.t1	Aurelia_aurita_Seg1550.2 Seg1550.2 transcript_id=Seg1550.2_GoldUCD_mRNA.D3Y31 product="Secretory phospholipase A2 receptor" pseudo=true protein_id=Seg1550.2_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_597.2.g14346.t1 Sc4wPfr_597.2.g14346.t1	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31
OG0000003	Hydra_vulgaris_Sc4wPfr_1127.1.g1464.t1 Sc4wPfr_1127.1.g1464.t1, Hydra_vulgaris_Sc4wPfr_461.g8086.t1 Sc4wPfr_461.g8086.t1, Hydra_vulgaris_Sc4wPfr_113.1.g28301.t1 Sc4wPfr_113.1.g28301.t1	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31
OG0000004	Hydra_vulgaris_Sc4wPfr_1150.g32027.t1 Sc4wPfr_1150.g32027.t1, Hydra_vulgaris_Sc4wPfr_1150.g32029.t1 Sc4wPfr_1150.g32029.t1, Hydra_vulgaris_Sc4wPfr_125.g5654.t1 Sc4wPfr_125.g5654.t1, Hydra_vulgaris_Sc4wPfr_125.g5660.t1 Sc4wPfr_125.g5660.t1, Hydra_vulgaris_Sc4wPfr_125.g5658.t1 Sc4wPfr_125.g5658.t1	Aurelia_aurita_Seg5314.2 Seg5314.2 transcript_id=Seg5314.2_GoldUCD_mRNA.D3Y31 product=Matrilin-4 protein_id=Seg5314.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5314.1 Seg5314.1 transcript_id=Seg5314.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg5314.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg670.10 Seg670.10 transcript_id=Seg670.10_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg670.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3985.2 Seg3985.2 transcript_id=Seg3985.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg3985.2_GoldUCD_D3Y31 partial=true
OG0000004	Hydra_vulgaris_Sc4wPfr_356.g7068.t1 Sc4wPfr_356.g7068.t1, Hydra_vulgaris_Sc4wPfr_356.g7067.t1 Sc4wPfr_356.g7067.t1, Hydra_vulgaris_Sc4wPfr_356.g7084.t1 Sc4wPfr_356.g7084.t1	Aurelia_aurita_Seg3985.5 Seg3985.5 transcript_id=Seg3985.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3985.5_GoldUCD_D3Y31 partial=true
OG0000004	Hydra_vulgaris_Sc4wPfr_756.g14109.t1 Sc4wPfr_756.g14109.t1	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31
OG0000004	Hydra_vulgaris_Sc4wPfr_715.g30415.t1 Sc4wPfr_715.g30415.t1, Hydra_vulgaris_Sc4wPfr_715.g30416.t1 Sc4wPfr_715.g30416.t1, Hydra_vulgaris_Sc4wPfr_6.g19133.t1 Sc4wPfr_6.g19133.t1	Aurelia_aurita_Seg397.33 Seg397.33 transcript_id=Seg397.33_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg397.33_GoldUCD_D3Y31
OG0000004	Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true
OG0000004	Hydra_vulgaris_Sc4wPfr_224.1.g33400.t1 Sc4wPfr_224.1.g33400.t1	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31
OG0000004	Hydra_vulgaris_Sc4wPfr_672.g32789.t1 Sc4wPfr_672.g32789.t1, Hydra_vulgaris_Sc4wPfr_672.g32789.t2 Sc4wPfr_672.g32789.t2	Aurelia_aurita_Seg6275.1 Seg6275.1 transcript_id=Seg6275.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6275.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.6 Seg1821.6 transcript_id=Seg1821.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1821.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1821.5 Seg1821.5 transcript_id=Seg1821.5_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1821.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1839.10 Seg1839.10 transcript_id=Seg1839.10_GoldUCD_mRNA.D3Y31 product="Cadherin-related tumor suppressor" protein_id=Seg1839.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6275.2 Seg6275.2 transcript_id=Seg6275.2_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor B2" protein_id=Seg6275.2_GoldUCD_D3Y31 partial=true
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8971.t1 Sc4wPfr_703.g8971.t1	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_1514.2.g69.t1 Sc4wPfr_1514.2.g69.t1, Hydra_vulgaris_Sc4wPfr_90.g1199.t1 Sc4wPfr_90.g1199.t1, Hydra_vulgaris_Sc4wPfr_312.g4811.t1 Sc4wPfr_312.g4811.t1, Hydra_vulgaris_Sc4wPfr_192.g30630.t1 Sc4wPfr_192.g30630.t1, Hydra_vulgaris_Sc4wPfr_227.g25770.t1 Sc4wPfr_227.g25770.t1, Hydra_vulgaris_Sc4wPfr_192.g30647.t1 Sc4wPfr_192.g30647.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6165.t1 Sc4wPfr_177.1.g6165.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17795.t1 Sc4wPfr_262.2.g17795.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17796.t1 Sc4wPfr_262.2.g17796.t1, Hydra_vulgaris_Sc4wPfr_192.g30648.t1 Sc4wPfr_192.g30648.t1, Hydra_vulgaris_Sc4wPfr_1785.g3389.t1 Sc4wPfr_1785.g3389.t1, Hydra_vulgaris_Sc4wPfr_135.g21760.t1 Sc4wPfr_135.g21760.t1, Hydra_vulgaris_Sc4wPfr_39.g20553.t1 Sc4wPfr_39.g20553.t1, Hydra_vulgaris_Sc4wPfr_39.g20552.t1 Sc4wPfr_39.g20552.t1, Hydra_vulgaris_Sc4wPfr_39.g20547.t1 Sc4wPfr_39.g20547.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6220.t1 Sc4wPfr_177.1.g6220.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6228.t1 Sc4wPfr_177.1.g6228.t1	Aurelia_aurita_Seg1361.6 Seg1361.6 transcript_id=Seg1361.6_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1361.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1361.3 Seg1361.3 transcript_id=Seg1361.3_GoldUCD_mRNA.D3Y31 product="Chymotrypsinogen B2" protein_id=Seg1361.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2370.3 Seg2370.3 transcript_id=Seg2370.3_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2370.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2418.4 Seg2418.4 transcript_id=Seg2418.4_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2418.4_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_589.g6032.t1 Sc4wPfr_589.g6032.t1, Hydra_vulgaris_Sc4wPfr_589.g6014.t1 Sc4wPfr_589.g6014.t1, Hydra_vulgaris_Sc4wPfr_589.g6008.t1 Sc4wPfr_589.g6008.t1	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_264.g27426.t1 Sc4wPfr_264.g27426.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12499.t1 Sc4wPfr_59.2.g12499.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12506.t1 Sc4wPfr_59.2.g12506.t1, Hydra_vulgaris_Sc4wPfr_950.g24023.t2 Sc4wPfr_950.g24023.t2, Hydra_vulgaris_Sc4wPfr_950.g24023.t1 Sc4wPfr_950.g24023.t1, Hydra_vulgaris_Sc4wPfr_950.g24022.t1 Sc4wPfr_950.g24022.t1, Hydra_vulgaris_Sc4wPfr_264.g27426.t2 Sc4wPfr_264.g27426.t2	Aurelia_aurita_Seg4825.1 Seg4825.1 transcript_id=Seg4825.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg4825.1_GoldUCD_D3Y31 partial=true
OG0000005	Hydra_vulgaris_Sc4wPfr_920.g410.t1 Sc4wPfr_920.g410.t1, Hydra_vulgaris_Sc4wPfr_29.g30023.t2 Sc4wPfr_29.g30023.t2, Hydra_vulgaris_Sc4wPfr_29.g30023.t1 Sc4wPfr_29.g30023.t1, Hydra_vulgaris_Sc4wPfr_187.g1965.t1 Sc4wPfr_187.g1965.t1	Aurelia_aurita_Seg3210.1 Seg3210.1 transcript_id=Seg3210.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3210.1_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_363.2.g30322.t1 Sc4wPfr_363.2.g30322.t1	Aurelia_aurita_Seg2768.4 Seg2768.4 transcript_id=Seg2768.4_GoldUCD_mRNA.D3Y31 product="Myelin expression factor 2" protein_id=Seg2768.4_GoldUCD_D3Y31
