Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Acropora_digitifera
OG0000006	Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1	Acropora_digitifera_adi_v1.15090 adi_v1.15090, Acropora_digitifera_adi_v1.14680 adi_v1.14680
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	Acropora_digitifera_adi_v1.15339 adi_v1.15339, Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915, Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851, Acropora_digitifera_adi_v1.05992 adi_v1.05992, Acropora_digitifera_adi_v1.21365 adi_v1.21365, Acropora_digitifera_adi_v1.06531 adi_v1.06531, Acropora_digitifera_adi_v1.22516 adi_v1.22516, Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557, Acropora_digitifera_adi_v1.12685 adi_v1.12685, Acropora_digitifera_adi_v1.23984 adi_v1.23984, Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507, Acropora_digitifera_adi_v1.08407 adi_v1.08407, Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506
OG0000007	Hydra_vulgaris_Sc4wPfr_1107.1.g29893.t1 Sc4wPfr_1107.1.g29893.t1, Hydra_vulgaris_Sc4wPfr_975.g7252.t1 Sc4wPfr_975.g7252.t1, Hydra_vulgaris_Sc4wPfr_400.g17905.t1 Sc4wPfr_400.g17905.t1, Hydra_vulgaris_Sc4wPfr_400.g17908.t1 Sc4wPfr_400.g17908.t1	Acropora_digitifera_adi_v1.08028 adi_v1.08028
OG0000007	Hydra_vulgaris_Sc4wPfr_502.g33755.t1 Sc4wPfr_502.g33755.t1, Hydra_vulgaris_Sc4wPfr_1777.g6707.t1 Sc4wPfr_1777.g6707.t1, Hydra_vulgaris_Sc4wPfr_247.g24221.t1 Sc4wPfr_247.g24221.t1, Hydra_vulgaris_Sc4wPfr_1051.1.g21192.t1 Sc4wPfr_1051.1.g21192.t1	Acropora_digitifera_adi_v1.02160 adi_v1.02160, Acropora_digitifera_adi_v1.22828 adi_v1.22828
OG0000007	Hydra_vulgaris_Sc4wPfr_158.2.g10589.t1 Sc4wPfr_158.2.g10589.t1	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511
OG0000007	Hydra_vulgaris_Sc4wPfr_1033.g30822.t1 Sc4wPfr_1033.g30822.t1	Acropora_digitifera_adi_v1.11554 adi_v1.11554
OG0000008	Hydra_vulgaris_Sc4wPfr_156.1.g4115.t1 Sc4wPfr_156.1.g4115.t1, Hydra_vulgaris_Sc4wPfr_156.1.g4115.t2 Sc4wPfr_156.1.g4115.t2, Hydra_vulgaris_Sc4wPfr_156.g13795.t1 Sc4wPfr_156.g13795.t1	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699, Acropora_digitifera_adi_v1.16793 adi_v1.16793
OG0000008	Hydra_vulgaris_Sc4wPfr_2179.g8165.t1 Sc4wPfr_2179.g8165.t1, Hydra_vulgaris_Sc4wPfr_2179.g8165.t2 Sc4wPfr_2179.g8165.t2	Acropora_digitifera_adi_v1.19358 adi_v1.19358
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18303.t1 Sc4wPfr_484.g18303.t1	Acropora_digitifera_adi_v1.09584 adi_v1.09584
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18299.t1 Sc4wPfr_484.g18299.t1, Hydra_vulgaris_Sc4wPfr_56.g24476.t1 Sc4wPfr_56.g24476.t1	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583
OG0000008	Hydra_vulgaris_Sc4wPfr_565.g22058.t1 Sc4wPfr_565.g22058.t1	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697
OG0000009	Hydra_vulgaris_Sc4wPfr_1380.1.g8427.t1 Sc4wPfr_1380.1.g8427.t1, Hydra_vulgaris_Sc4wPfr_175.g6382.t1 Sc4wPfr_175.g6382.t1, Hydra_vulgaris_Sc4wPfr_175.g6382.t2 Sc4wPfr_175.g6382.t2, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t1 Sc4wPfr_38.1.g13212.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t2 Sc4wPfr_38.1.g13212.t2	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000009	Hydra_vulgaris_Sc4wPfr_90.g1143.t1 Sc4wPfr_90.g1143.t1, Hydra_vulgaris_Sc4wPfr_325.1.g5321.t1 Sc4wPfr_325.1.g5321.t1	Acropora_digitifera_adi_v1.18886 adi_v1.18886, Acropora_digitifera_adi_v1.20204 adi_v1.20204, Acropora_digitifera_adi_v1.20203 adi_v1.20203, Acropora_digitifera_adi_v1.20205 adi_v1.20205, Acropora_digitifera_adi_v1.13170 adi_v1.13170, Acropora_digitifera_adi_v1.18978 adi_v1.18978
OG0000009	Hydra_vulgaris_Sc4wPfr_147.g8601.t1 Sc4wPfr_147.g8601.t1	Acropora_digitifera_adi_v1.19086 adi_v1.19086
OG0000009	Hydra_vulgaris_Sc4wPfr_789.g22427.t1 Sc4wPfr_789.g22427.t1	Acropora_digitifera_adi_v1.13554 adi_v1.13554
OG0000009	Hydra_vulgaris_Sc4wPfr_85.g891.t1 Sc4wPfr_85.g891.t1	Acropora_digitifera_adi_v1.04391 adi_v1.04391
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22720.t1 Sc4wPfr_378.g22720.t1, Hydra_vulgaris_Sc4wPfr_378.g22721.t1 Sc4wPfr_378.g22721.t1	Acropora_digitifera_adi_v1.00664 adi_v1.00664
OG0000010	Hydra_vulgaris_Sc4wPfr_197.g11018.t1 Sc4wPfr_197.g11018.t1	Acropora_digitifera_adi_v1.04228 adi_v1.04228
OG0000010	Hydra_vulgaris_Sc4wPfr_124.g12319.t1 Sc4wPfr_124.g12319.t1	Acropora_digitifera_adi_v1.06326 adi_v1.06326
OG0000010	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2	Acropora_digitifera_adi_v1.16141 adi_v1.16141
OG0000010	Hydra_vulgaris_Sc4wPfr_106.g23594.t1 Sc4wPfr_106.g23594.t1	Acropora_digitifera_adi_v1.17180 adi_v1.17180
OG0000010	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1	Acropora_digitifera_adi_v1.05525 adi_v1.05525
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2	Acropora_digitifera_adi_v1.18396 adi_v1.18396
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Acropora_digitifera_adi_v1.05424 adi_v1.05424
OG0000011	Hydra_vulgaris_Sc4wPfr_439.g20742.t1 Sc4wPfr_439.g20742.t1	Acropora_digitifera_adi_v1.22570 adi_v1.22570, Acropora_digitifera_adi_v1.05178 adi_v1.05178
OG0000012	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1	Acropora_digitifera_adi_v1.00068 adi_v1.00068, Acropora_digitifera_adi_v1.03852 adi_v1.03852, Acropora_digitifera_adi_v1.00069 adi_v1.00069
OG0000012	Hydra_vulgaris_Sc4wPfr_68.g2367.t1 Sc4wPfr_68.g2367.t1, Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1	Acropora_digitifera_adi_v1.12876 adi_v1.12876
OG0000013	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1	Acropora_digitifera_adi_v1.13606 adi_v1.13606
OG0000013	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654
OG0000013	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1	Acropora_digitifera_adi_v1.06764 adi_v1.06764
OG0000013	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063
OG0000013	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272
OG0000014	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366
OG0000014	Hydra_vulgaris_Sc4wPfr_881.g1669.t3 Sc4wPfr_881.g1669.t3	Acropora_digitifera_adi_v1.01444 adi_v1.01444, Acropora_digitifera_adi_v1.22993 adi_v1.22993, Acropora_digitifera_adi_v1.22282 adi_v1.22282, Acropora_digitifera_adi_v1.16116 adi_v1.16116, Acropora_digitifera_adi_v1.14772 adi_v1.14772
OG0000014	Hydra_vulgaris_Sc4wPfr_565.g22061.t1 Sc4wPfr_565.g22061.t1, Hydra_vulgaris_Sc4wPfr_565.g22063.t1 Sc4wPfr_565.g22063.t1	Acropora_digitifera_adi_v1.16603 adi_v1.16603, Acropora_digitifera_adi_v1.13245 adi_v1.13245, Acropora_digitifera_adi_v1.20449 adi_v1.20449, Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358, Acropora_digitifera_adi_v1.16964 adi_v1.16964, Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631
OG0000014	Hydra_vulgaris_Sc4wPfr_118.g25084.t1 Sc4wPfr_118.g25084.t1, Hydra_vulgaris_Sc4wPfr_118.g25084.t2 Sc4wPfr_118.g25084.t2	Acropora_digitifera_adi_v1.16403 adi_v1.16403
OG0000015	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186
OG0000016	Hydra_vulgaris_Sc4wPfr_945.g15408.t1 Sc4wPfr_945.g15408.t1, Hydra_vulgaris_Sc4wPfr_678.g9365.t1 Sc4wPfr_678.g9365.t1, Hydra_vulgaris_Sc4wPfr_938.g21233.t1 Sc4wPfr_938.g21233.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24917.t1 Sc4wPfr_706.1.g24917.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24907.t1 Sc4wPfr_706.1.g24907.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24906.t1 Sc4wPfr_706.1.g24906.t1, Hydra_vulgaris_Sc4wPfr_545.g26029.t1 Sc4wPfr_545.g26029.t1, Hydra_vulgaris_Sc4wPfr_706.2.g7977.t1 Sc4wPfr_706.2.g7977.t1, Hydra_vulgaris_Sc4wPfr_562.2.g1366.t1 Sc4wPfr_562.2.g1366.t1, Hydra_vulgaris_Sc4wPfr_472.g14883.t1 Sc4wPfr_472.g14883.t1, Hydra_vulgaris_Sc4wPfr_191.g12120.t1 Sc4wPfr_191.g12120.t1	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174
OG0000016	Hydra_vulgaris_Sc4wPfr_1414.g52.t1 Sc4wPfr_1414.g52.t1, Hydra_vulgaris_Sc4wPfr_1414.g53.t1 Sc4wPfr_1414.g53.t1, Hydra_vulgaris_Sc4wPfr_1414.g56.t1 Sc4wPfr_1414.g56.t1	Acropora_digitifera_adi_v1.03032 adi_v1.03032
OG0000016	Hydra_vulgaris_Sc4wPfr_104.g15015.t1 Sc4wPfr_104.g15015.t1, Hydra_vulgaris_Sc4wPfr_2253.g19973.t1 Sc4wPfr_2253.g19973.t1, Hydra_vulgaris_Sc4wPfr_1100.g15590.t1 Sc4wPfr_1100.g15590.t1	Acropora_digitifera_adi_v1.03024 adi_v1.03024, Acropora_digitifera_adi_v1.03033 adi_v1.03033
OG0000018	Hydra_vulgaris_Sc4wPfr_289.g2555.t1 Sc4wPfr_289.g2555.t1, Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1, Hydra_vulgaris_Sc4wPfr_289.g2550.t1 Sc4wPfr_289.g2550.t1	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253
OG0000019	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153
