Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Porifera_Demospongiae_Ephydatia_muelleri
OG0000013	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1, Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Hydra_vulgaris_Sc4wPfr_289.g2555.t1 Sc4wPfr_289.g2555.t1, Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1, Hydra_vulgaris_Sc4wPfr_289.g2550.t1 Sc4wPfr_289.g2550.t1	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000019	Hydra_vulgaris_Sc4wPfr_102.g11053.t1 Sc4wPfr_102.g11053.t1	Ephydatia_muelleri_Em0015g47a Em0015g47a, Ephydatia_muelleri_Em0002g1863a Em0002g1863a
OG0000019	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1	Ephydatia_muelleri_Em0006g1427a Em0006g1427a, Ephydatia_muelleri_Em0019g98a Em0019g98a
OG0000020	Hydra_vulgaris_Sc4wPfr_73.g11591.t3 Sc4wPfr_73.g11591.t3, Hydra_vulgaris_Sc4wPfr_73.g11591.t1 Sc4wPfr_73.g11591.t1, Hydra_vulgaris_Sc4wPfr_73.g11591.t2 Sc4wPfr_73.g11591.t2	Ephydatia_muelleri_Em0016g1041a Em0016g1041a, Ephydatia_muelleri_Em0007g845a Em0007g845a
OG0000021	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a
OG0000022	Hydra_vulgaris_Sc4wPfr_181.2.g21314.t1 Sc4wPfr_181.2.g21314.t1	Ephydatia_muelleri_Em0011g323a Em0011g323a
OG0000022	Hydra_vulgaris_Sc4wPfr_1269.g30707.t1 Sc4wPfr_1269.g30707.t1	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000023	Hydra_vulgaris_Sc4wPfr_618.g14849.t1 Sc4wPfr_618.g14849.t1	Ephydatia_muelleri_Em0782g2a Em0782g2a, Ephydatia_muelleri_Em0013g506a Em0013g506a, Ephydatia_muelleri_Em0012g550a Em0012g550a, Ephydatia_muelleri_Em0012g530a Em0012g530a, Ephydatia_muelleri_Em0021g504a Em0021g504a, Ephydatia_muelleri_Em0399g3a Em0399g3a, Ephydatia_muelleri_Em0399g1a Em0399g1a, Ephydatia_muelleri_Em0021g178a Em0021g178a, Ephydatia_muelleri_Em0021g179a Em0021g179a, Ephydatia_muelleri_Em0021g192a Em0021g192a, Ephydatia_muelleri_Em0014g844a Em0014g844a, Ephydatia_muelleri_Em0014g821a Em0014g821a, Ephydatia_muelleri_Em0014g841a Em0014g841a, Ephydatia_muelleri_Em0021g324a Em0021g324a, Ephydatia_muelleri_Em0021g322a Em0021g322a, Ephydatia_muelleri_Em0021g327a Em0021g327a, Ephydatia_muelleri_Em0007g926a Em0007g926a, Ephydatia_muelleri_Em0399g2a Em0399g2a, Ephydatia_muelleri_Em0399g4a Em0399g4a, Ephydatia_muelleri_Em0021g505a Em0021g505a
OG0000024	Hydra_vulgaris_Sc4wPfr_27.g12231.t1 Sc4wPfr_27.g12231.t1, Hydra_vulgaris_Sc4wPfr_2322.g26961.t2 Sc4wPfr_2322.g26961.t2, Hydra_vulgaris_Sc4wPfr_2322.g26961.t1 Sc4wPfr_2322.g26961.t1, Hydra_vulgaris_Sc4wPfr_244.2.g15108.t1 Sc4wPfr_244.2.g15108.t1, Hydra_vulgaris_Sc4wPfr_244.2.g15108.t2 Sc4wPfr_244.2.g15108.t2, Hydra_vulgaris_Sc4wPfr_199.g28646.t1 Sc4wPfr_199.g28646.t1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000034	Hydra_vulgaris_Sc4wPfr_909.g33479.t2 Sc4wPfr_909.g33479.t2, Hydra_vulgaris_Sc4wPfr_909.g33479.t1 Sc4wPfr_909.g33479.t1	Ephydatia_muelleri_Em0013g44a Em0013g44a
OG0000040	Hydra_vulgaris_Sc4wPfr_62.g4386.t1 Sc4wPfr_62.g4386.t1, Hydra_vulgaris_Sc4wPfr_230.g26213.t1 Sc4wPfr_230.g26213.t1	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	Hydra_vulgaris_Sc4wPfr_422.g20203.t1 Sc4wPfr_422.g20203.t1	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a, Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000054	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Hydra_vulgaris_Sc4wPfr_78.g10420.t1 Sc4wPfr_78.g10420.t1	Ephydatia_muelleri_Em0005g1163a Em0005g1163a
OG0000061	Hydra_vulgaris_Sc4wPfr_48.g30203.t1 Sc4wPfr_48.g30203.t1	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a
OG0000081	Hydra_vulgaris_Sc4wPfr_324.1.g5440.t1 Sc4wPfr_324.1.g5440.t1, Hydra_vulgaris_Sc4wPfr_196.1.g29669.t1 Sc4wPfr_196.1.g29669.t1	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	Hydra_vulgaris_Sc4wPfr_131.1.g19981.t1 Sc4wPfr_131.1.g19981.t1	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000106	Hydra_vulgaris_Sc4wPfr_780.g810.t1 Sc4wPfr_780.g810.t1, Hydra_vulgaris_Sc4wPfr_2382.g8795.t1 Sc4wPfr_2382.g8795.t1	Ephydatia_muelleri_Em0001g2050a Em0001g2050a
OG0000111	Hydra_vulgaris_Sc4wPfr_938.g21243.t1 Sc4wPfr_938.g21243.t1	Ephydatia_muelleri_Em0020g1027a Em0020g1027a
OG0000113	Hydra_vulgaris_Sc4wPfr_231.1.g21567.t1 Sc4wPfr_231.1.g21567.t1	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000117	Hydra_vulgaris_Sc4wPfr_1505.3.g13301.t1 Sc4wPfr_1505.3.g13301.t1, Hydra_vulgaris_Sc4wPfr_1505.3.g13301.t2 Sc4wPfr_1505.3.g13301.t2	Ephydatia_muelleri_Em0006g200a Em0006g200a, Ephydatia_muelleri_Em0005g320a Em0005g320a, Ephydatia_muelleri_Em0005g632a Em0005g632a, Ephydatia_muelleri_Em0001g3087a Em0001g3087a, Ephydatia_muelleri_Em0023g846a Em0023g846a, Ephydatia_muelleri_Em0269g8a Em0269g8a, Ephydatia_muelleri_Em0001g2124a Em0001g2124a, Ephydatia_muelleri_Em0001g857a Em0001g857a, Ephydatia_muelleri_Em0006g333a Em0006g333a, Ephydatia_muelleri_Em0115g1a Em0115g1a
OG0000119	Hydra_vulgaris_Sc4wPfr_272.g11398.t1 Sc4wPfr_272.g11398.t1	Ephydatia_muelleri_Em0011g673a Em0011g673a
OG0000121	Hydra_vulgaris_Sc4wPfr_484.g18389.t2 Sc4wPfr_484.g18389.t2, Hydra_vulgaris_Sc4wPfr_484.g18389.t1 Sc4wPfr_484.g18389.t1, Hydra_vulgaris_Sc4wPfr_724.g25426.t1 Sc4wPfr_724.g25426.t1, Hydra_vulgaris_Sc4wPfr_264.g27424.t1 Sc4wPfr_264.g27424.t1	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a
OG0000128	Hydra_vulgaris_Sc4wPfr_79.g13376.t1 Sc4wPfr_79.g13376.t1, Hydra_vulgaris_Sc4wPfr_439.g20774.t1 Sc4wPfr_439.g20774.t1	Ephydatia_muelleri_Em0001g1618a Em0001g1618a, Ephydatia_muelleri_Em0001g1614a Em0001g1614a, Ephydatia_muelleri_Em0001g1481a Em0001g1481a, Ephydatia_muelleri_Em0001g926a Em0001g926a, Ephydatia_muelleri_Em0001g1023a Em0001g1023a, Ephydatia_muelleri_Em0001g1022a Em0001g1022a, Ephydatia_muelleri_Em0001g1021a Em0001g1021a, Ephydatia_muelleri_Em0001g1001a Em0001g1001a, Ephydatia_muelleri_Em0022g528a Em0022g528a, Ephydatia_muelleri_Em1136g1a Em1136g1a, Ephydatia_muelleri_Em0001g930a Em0001g930a
OG0000131	Hydra_vulgaris_Sc4wPfr_175.g6378.t1 Sc4wPfr_175.g6378.t1	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a
OG0000133	Hydra_vulgaris_Sc4wPfr_628.g32869.t1 Sc4wPfr_628.g32869.t1	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000146	Hydra_vulgaris_Sc4wPfr_516.2.g9758.t1 Sc4wPfr_516.2.g9758.t1	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a
OG0000147	Hydra_vulgaris_Sc4wPfr_44.g26893.t1 Sc4wPfr_44.g26893.t1	Ephydatia_muelleri_Em0020g1008a Em0020g1008a, Ephydatia_muelleri_Em0020g802a Em0020g802a
OG0000147	Hydra_vulgaris_Sc4wPfr_1007.1.g17172.t1 Sc4wPfr_1007.1.g17172.t1, Hydra_vulgaris_Sc4wPfr_50.g22249.t1 Sc4wPfr_50.g22249.t1	Ephydatia_muelleri_Em0009g1005a Em0009g1005a, Ephydatia_muelleri_Em0009g1001a Em0009g1001a, Ephydatia_muelleri_Em0009g1011a Em0009g1011a
OG0000152	Hydra_vulgaris_Sc4wPfr_704.g18852.t1 Sc4wPfr_704.g18852.t1, Hydra_vulgaris_Sc4wPfr_704.g18852.t2 Sc4wPfr_704.g18852.t2	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a
OG0000156	Hydra_vulgaris_Sc4wPfr_292.g13106.t1 Sc4wPfr_292.g13106.t1, Hydra_vulgaris_Sc4wPfr_292.g13097.t1 Sc4wPfr_292.g13097.t1	Ephydatia_muelleri_Em0017g31a Em0017g31a
OG0000165	Hydra_vulgaris_Sc4wPfr_319.g27266.t1 Sc4wPfr_319.g27266.t1	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000177	Hydra_vulgaris_Sc4wPfr_309.g10792.t1 Sc4wPfr_309.g10792.t1	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000193	Hydra_vulgaris_Sc4wPfr_239.g21099.t1 Sc4wPfr_239.g21099.t1	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000194	Hydra_vulgaris_Sc4wPfr_975.g7278.t1 Sc4wPfr_975.g7278.t1	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000195	Hydra_vulgaris_Sc4wPfr_650.g22982.t1 Sc4wPfr_650.g22982.t1	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Hydra_vulgaris_Sc4wPfr_259.g33644.t1 Sc4wPfr_259.g33644.t1	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Hydra_vulgaris_Sc4wPfr_351.g11274.t1 Sc4wPfr_351.g11274.t1	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000209	Hydra_vulgaris_Sc4wPfr_297.g13155.t1 Sc4wPfr_297.g13155.t1	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000214	Hydra_vulgaris_Sc4wPfr_356.g7060.t1 Sc4wPfr_356.g7060.t1	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000229	Hydra_vulgaris_Sc4wPfr_287.2.g28207.t1 Sc4wPfr_287.2.g28207.t1	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000240	Hydra_vulgaris_Sc4wPfr_555.g27178.t3 Sc4wPfr_555.g27178.t3, Hydra_vulgaris_Sc4wPfr_555.g27178.t2 Sc4wPfr_555.g27178.t2, Hydra_vulgaris_Sc4wPfr_555.g27178.t1 Sc4wPfr_555.g27178.t1	Ephydatia_muelleri_Em0001g85a Em0001g85a
OG0000274	Hydra_vulgaris_Sc4wPfr_388.g4766.t1 Sc4wPfr_388.g4766.t1, Hydra_vulgaris_Sc4wPfr_388.g4766.t2 Sc4wPfr_388.g4766.t2, Hydra_vulgaris_Sc4wPfr_388.g4766.t3 Sc4wPfr_388.g4766.t3	Ephydatia_muelleri_Em0008g1007a Em0008g1007a
OG0000282	Hydra_vulgaris_Sc4wPfr_652.g3691.t1 Sc4wPfr_652.g3691.t1	Ephydatia_muelleri_Em0019g1040a Em0019g1040a
OG0000309	Hydra_vulgaris_Sc4wPfr_1100.g15604.t1 Sc4wPfr_1100.g15604.t1	Ephydatia_muelleri_Em0009g1217a Em0009g1217a
OG0000314	Hydra_vulgaris_Sc4wPfr_245.g27019.t1 Sc4wPfr_245.g27019.t1	Ephydatia_muelleri_Em0020g193a Em0020g193a
OG0000492	Hydra_vulgaris_Sc4wPfr_854.g18495.t2 Sc4wPfr_854.g18495.t2, Hydra_vulgaris_Sc4wPfr_854.g18495.t1 Sc4wPfr_854.g18495.t1, Hydra_vulgaris_Sc4wPfr_1898.g7944.t1 Sc4wPfr_1898.g7944.t1, Hydra_vulgaris_Sc4wPfr_443.2.g30192.t1 Sc4wPfr_443.2.g30192.t1	Ephydatia_muelleri_Em0011g453a Em0011g453a, Ephydatia_muelleri_Em0005g588a Em0005g588a
OG0001629	Hydra_vulgaris_Sc4wPfr_356.g7072.t1 Sc4wPfr_356.g7072.t1, Hydra_vulgaris_Sc4wPfr_582.g7542.t1 Sc4wPfr_582.g7542.t1	Ephydatia_muelleri_Em0012g470a Em0012g470a
