Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000152	Hydra_vulgaris_Sc4wPfr_704.g18852.t1 Sc4wPfr_704.g18852.t1, Hydra_vulgaris_Sc4wPfr_704.g18852.t2 Sc4wPfr_704.g18852.t2	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a
OG0000156	Hydra_vulgaris_Sc4wPfr_292.g13106.t1 Sc4wPfr_292.g13106.t1, Hydra_vulgaris_Sc4wPfr_292.g13097.t1 Sc4wPfr_292.g13097.t1	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000165	Hydra_vulgaris_Sc4wPfr_319.g27266.t1 Sc4wPfr_319.g27266.t1	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000167	Hydra_vulgaris_Sc4wPfr_488.g29956.t1 Sc4wPfr_488.g29956.t1	Mnemiopsis_leidyi_ML068314a ML068314a
OG0000170	Hydra_vulgaris_Sc4wPfr_326.g15668.t1 Sc4wPfr_326.g15668.t1, Hydra_vulgaris_Sc4wPfr_417.3.g31863.t2 Sc4wPfr_417.3.g31863.t2, Hydra_vulgaris_Sc4wPfr_417.3.g31863.t1 Sc4wPfr_417.3.g31863.t1, Hydra_vulgaris_Sc4wPfr_456.g4753.t1 Sc4wPfr_456.g4753.t1	Mnemiopsis_leidyi_ML18111a ML18111a
OG0000176	Hydra_vulgaris_Sc4wPfr_1228.g7352.t1 Sc4wPfr_1228.g7352.t1	Mnemiopsis_leidyi_ML50511a ML50511a
OG0000177	Hydra_vulgaris_Sc4wPfr_309.g10792.t1 Sc4wPfr_309.g10792.t1	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000179	Hydra_vulgaris_Sc4wPfr_1335.g31170.t1 Sc4wPfr_1335.g31170.t1, Hydra_vulgaris_Sc4wPfr_1335.g31170.t2 Sc4wPfr_1335.g31170.t2	Mnemiopsis_leidyi_ML056965a ML056965a
OG0000193	Hydra_vulgaris_Sc4wPfr_239.g21099.t1 Sc4wPfr_239.g21099.t1	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000194	Hydra_vulgaris_Sc4wPfr_975.g7278.t1 Sc4wPfr_975.g7278.t1	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000195	Hydra_vulgaris_Sc4wPfr_650.g22982.t1 Sc4wPfr_650.g22982.t1	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000199	Hydra_vulgaris_Sc4wPfr_289.1.g8519.t1 Sc4wPfr_289.1.g8519.t1	Mnemiopsis_leidyi_ML46359a ML46359a
OG0000204	Hydra_vulgaris_Sc4wPfr_351.g11274.t1 Sc4wPfr_351.g11274.t1	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000214	Hydra_vulgaris_Sc4wPfr_356.g7060.t1 Sc4wPfr_356.g7060.t1	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000229	Hydra_vulgaris_Sc4wPfr_287.2.g28207.t1 Sc4wPfr_287.2.g28207.t1	Mnemiopsis_leidyi_ML019415a ML019415a
OG0000331	Hydra_vulgaris_Sc4wPfr_1015.g12703.t1 Sc4wPfr_1015.g12703.t1	Mnemiopsis_leidyi_ML017312a ML017312a
OG0000542	Hydra_vulgaris_Sc4wPfr_165.g9994.t1 Sc4wPfr_165.g9994.t1	Mnemiopsis_leidyi_ML15155a ML15155a
