Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000001	Hydra_vulgaris_Sc4wPfr_1272.g4998.t1 Sc4wPfr_1272.g4998.t1, Hydra_vulgaris_Sc4wPfr_673.1.g28291.t1 Sc4wPfr_673.1.g28291.t1, Hydra_vulgaris_Sc4wPfr_1272.1.g32120.t1 Sc4wPfr_1272.1.g32120.t1, Hydra_vulgaris_Sc4wPfr_1272.1.g32121.t1 Sc4wPfr_1272.1.g32121.t1, Hydra_vulgaris_Sc4wPfr_673.1.g28294.t1 Sc4wPfr_673.1.g28294.t1, Hydra_vulgaris_Sc4wPfr_356.g7167.t1 Sc4wPfr_356.g7167.t1, Hydra_vulgaris_Sc4wPfr_356.g7178.t1 Sc4wPfr_356.g7178.t1, Hydra_vulgaris_Sc4wPfr_1153.g15524.t1 Sc4wPfr_1153.g15524.t1	Clytia_hemispherica_TCONS_00015263-protein TCONS_00015263-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_338.1.g31651.t1 Sc4wPfr_338.1.g31651.t1	Clytia_hemispherica_TCONS_00067911-protein TCONS_00067911-protein, Clytia_hemispherica_TCONS_00020960-protein TCONS_00020960-protein, Clytia_hemispherica_TCONS_00046674-protein TCONS_00046674-protein, Clytia_hemispherica_TCONS_00020309-protein TCONS_00020309-protein, Clytia_hemispherica_TCONS_00020949-protein TCONS_00020949-protein, Clytia_hemispherica_TCONS_00019315-protein TCONS_00019315-protein, Clytia_hemispherica_TCONS_00020293-protein TCONS_00020293-protein, Clytia_hemispherica_TCONS_00068135-protein TCONS_00068135-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_172.1.g1573.t1 Sc4wPfr_172.1.g1573.t1, Hydra_vulgaris_Sc4wPfr_172.2.g23178.t1 Sc4wPfr_172.2.g23178.t1	Clytia_hemispherica_TCONS_00030584-protein TCONS_00030584-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_926.1.g9713.t2 Sc4wPfr_926.1.g9713.t2, Hydra_vulgaris_Sc4wPfr_926.1.g9713.t1 Sc4wPfr_926.1.g9713.t1	Clytia_hemispherica_TCONS_00002522-protein TCONS_00002522-protein, Clytia_hemispherica_TCONS_00002459-protein TCONS_00002459-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t1 Sc4wPfr_1127.1.g1468.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1468.t2 Sc4wPfr_1127.1.g1468.t2	Clytia_hemispherica_TCONS_00017274-protein TCONS_00017274-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_514.g14422.t1 Sc4wPfr_514.g14422.t1	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_399.2.g14795.t2 Sc4wPfr_399.2.g14795.t2, Hydra_vulgaris_Sc4wPfr_399.2.g14795.t1 Sc4wPfr_399.2.g14795.t1	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_48.g30233.t1 Sc4wPfr_48.g30233.t1, Hydra_vulgaris_Sc4wPfr_175.1.g31517.t1 Sc4wPfr_175.1.g31517.t1, Hydra_vulgaris_Sc4wPfr_1747.g1269.t1 Sc4wPfr_1747.g1269.t1	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_27.g12213.t1 Sc4wPfr_27.g12213.t1, Hydra_vulgaris_Sc4wPfr_27.g12254.t1 Sc4wPfr_27.g12254.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t1 Sc4wPfr_62.g4402.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t2 Sc4wPfr_62.g4402.t2, Hydra_vulgaris_Sc4wPfr_62.g4389.t1 Sc4wPfr_62.g4389.t1, Hydra_vulgaris_Sc4wPfr_62.g4403.t1 Sc4wPfr_62.g4403.t1	Clytia_hemispherica_TCONS_00067913-protein TCONS_00067913-protein, Clytia_hemispherica_TCONS_00040020-protein TCONS_00040020-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_514.g14419.t1 Sc4wPfr_514.g14419.t1	Clytia_hemispherica_TCONS_00011476-protein TCONS_00011476-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_3735.g7452.t1 Sc4wPfr_3735.g7452.t1, Hydra_vulgaris_Sc4wPfr_417.3.g31857.t1 Sc4wPfr_417.3.g31857.t1, Hydra_vulgaris_Sc4wPfr_456.g4754.t1 Sc4wPfr_456.g4754.t1, Hydra_vulgaris_Sc4wPfr_25.1.g8850.t1 Sc4wPfr_25.1.g8850.t1, Hydra_vulgaris_Sc4wPfr_1682.g4293.t1 Sc4wPfr_1682.g4293.t1	Clytia_hemispherica_TCONS_00055220-protein TCONS_00055220-protein, Clytia_hemispherica_TCONS_00055166-protein TCONS_00055166-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_657.g12379.t1 Sc4wPfr_657.g12379.t1, Hydra_vulgaris_Sc4wPfr_1332.g21470.t1 Sc4wPfr_1332.g21470.t1, Hydra_vulgaris_Sc4wPfr_1066.g10192.t1 Sc4wPfr_1066.g10192.t1, Hydra_vulgaris_Sc4wPfr_133.g14088.t1 Sc4wPfr_133.g14088.t1, Hydra_vulgaris_Sc4wPfr_320.g1237.t1 Sc4wPfr_320.g1237.t1, Hydra_vulgaris_Sc4wPfr_165.g9991.t3 Sc4wPfr_165.g9991.t3, Hydra_vulgaris_Sc4wPfr_320.g1239.t1 Sc4wPfr_320.g1239.t1, Hydra_vulgaris_Sc4wPfr_518.1.g1312.t1 Sc4wPfr_518.1.g1312.t1, Hydra_vulgaris_Sc4wPfr_149.g26123.t1 Sc4wPfr_149.g26123.t1, Hydra_vulgaris_Sc4wPfr_518.g19382.t1 Sc4wPfr_518.g19382.t1, Hydra_vulgaris_Sc4wPfr_320.g1229.t1 Sc4wPfr_320.g1229.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17781.t1 Sc4wPfr_262.2.g17781.t1, Hydra_vulgaris_Sc4wPfr_320.g1240.t2 Sc4wPfr_320.g1240.t2, Hydra_vulgaris_Sc4wPfr_320.g1240.t4 Sc4wPfr_320.g1240.t4, Hydra_vulgaris_Sc4wPfr_320.g1240.t3 Sc4wPfr_320.g1240.t3, Hydra_vulgaris_Sc4wPfr_612.g18610.t1 Sc4wPfr_612.g18610.t1, Hydra_vulgaris_Sc4wPfr_896.g13018.t1 Sc4wPfr_896.g13018.t1, Hydra_vulgaris_Sc4wPfr_707.1.g4132.t1 Sc4wPfr_707.1.g4132.t1	Clytia_hemispherica_TCONS_00043373-protein TCONS_00043373-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_16.3.g17418.t1 Sc4wPfr_16.3.g17418.t1, Hydra_vulgaris_Sc4wPfr_74.g18507.t1 Sc4wPfr_74.g18507.t1	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_508.g5884.t1 Sc4wPfr_508.g5884.t1	Clytia_hemispherica_TCONS_00065680-protein TCONS_00065680-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_906.1.g2398.t1 Sc4wPfr_906.1.g2398.t1, Hydra_vulgaris_Sc4wPfr_906.1.g2403.t1 Sc4wPfr_906.1.g2403.t1	Clytia_hemispherica_TCONS_00050254-protein TCONS_00050254-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_952.g24537.t1 Sc4wPfr_952.g24537.t1	Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein
OG0000002	Hydra_vulgaris_Sc4wPfr_2482.1.g25373.t1 Sc4wPfr_2482.1.g25373.t1, Hydra_vulgaris_Sc4wPfr_825.g15298.t2 Sc4wPfr_825.g15298.t2, Hydra_vulgaris_Sc4wPfr_825.g15298.t1 Sc4wPfr_825.g15298.t1, Hydra_vulgaris_Sc4wPfr_207.g3878.t1 Sc4wPfr_207.g3878.t1	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein, Clytia_hemispherica_TCONS_00030562-protein TCONS_00030562-protein, Clytia_hemispherica_TCONS_00070450-protein TCONS_00070450-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_1968.g26006.t1 Sc4wPfr_1968.g26006.t1	Clytia_hemispherica_TCONS_00063447-protein TCONS_00063447-protein, Clytia_hemispherica_TCONS_00021701-protein TCONS_00021701-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_198.g23280.t1 Sc4wPfr_198.g23280.t1	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_133.g14077.t1 Sc4wPfr_133.g14077.t1	Clytia_hemispherica_TCONS_00002700-protein TCONS_00002700-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_52.g22737.t1 Sc4wPfr_52.g22737.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t2 Sc4wPfr_1630.1.g20734.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t1 Sc4wPfr_1630.1.g20734.t1, Hydra_vulgaris_Sc4wPfr_133.g14092.t1 Sc4wPfr_133.g14092.t1, Hydra_vulgaris_Sc4wPfr_728.g2233.t1 Sc4wPfr_728.g2233.t1, Hydra_vulgaris_Sc4wPfr_728.g2249.t1 Sc4wPfr_728.g2249.t1, Hydra_vulgaris_Sc4wPfr_439.g20823.t1 Sc4wPfr_439.g20823.t1, Hydra_vulgaris_Sc4wPfr_439.g20824.t1 Sc4wPfr_439.g20824.t1, Hydra_vulgaris_Sc4wPfr_1151.2.g25207.t1 Sc4wPfr_1151.2.g25207.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20728.t2 Sc4wPfr_1630.1.g20728.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20728.t1 Sc4wPfr_1630.1.g20728.t1, Hydra_vulgaris_Sc4wPfr_707.1.g4183.t1 Sc4wPfr_707.1.g4183.t1, Hydra_vulgaris_Sc4wPfr_100.g17108.t1 Sc4wPfr_100.g17108.t1, Hydra_vulgaris_Sc4wPfr_625.g7778.t1 Sc4wPfr_625.g7778.t1, Hydra_vulgaris_Sc4wPfr_508.g5897.t1 Sc4wPfr_508.g5897.t1, Hydra_vulgaris_Sc4wPfr_625.g7793.t1 Sc4wPfr_625.g7793.t1, Hydra_vulgaris_Sc4wPfr_508.g5857.t1 Sc4wPfr_508.g5857.t1, Hydra_vulgaris_Sc4wPfr_962.g23745.t1 Sc4wPfr_962.g23745.t1, Hydra_vulgaris_Sc4wPfr_1061.g18798.t1 Sc4wPfr_1061.g18798.t1, Hydra_vulgaris_Sc4wPfr_789.g22452.t1 Sc4wPfr_789.g22452.t1	Clytia_hemispherica_TCONS_00044056-protein TCONS_00044056-protein, Clytia_hemispherica_TCONS_00006800-protein TCONS_00006800-protein, Clytia_hemispherica_TCONS_00067484-protein TCONS_00067484-protein, Clytia_hemispherica_TCONS_00053707-protein TCONS_00053707-protein, Clytia_hemispherica_TCONS_00018684-protein TCONS_00018684-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_1269.g30722.t1 Sc4wPfr_1269.g30722.t1	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_259.g33624.t1 Sc4wPfr_259.g33624.t1, Hydra_vulgaris_Sc4wPfr_259.g33624.t2 Sc4wPfr_259.g33624.t2	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_208.2.g17742.t1 Sc4wPfr_208.2.g17742.t1, Hydra_vulgaris_Sc4wPfr_547.1.g25022.t1 Sc4wPfr_547.1.g25022.t1	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_597.2.g14346.t1 Sc4wPfr_597.2.g14346.t1	Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein
OG0000003	Hydra_vulgaris_Sc4wPfr_1127.1.g1464.t1 Sc4wPfr_1127.1.g1464.t1, Hydra_vulgaris_Sc4wPfr_461.g8086.t1 Sc4wPfr_461.g8086.t1, Hydra_vulgaris_Sc4wPfr_113.1.g28301.t1 Sc4wPfr_113.1.g28301.t1	Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_1150.g32027.t1 Sc4wPfr_1150.g32027.t1, Hydra_vulgaris_Sc4wPfr_1150.g32029.t1 Sc4wPfr_1150.g32029.t1, Hydra_vulgaris_Sc4wPfr_125.g5654.t1 Sc4wPfr_125.g5654.t1, Hydra_vulgaris_Sc4wPfr_125.g5660.t1 Sc4wPfr_125.g5660.t1, Hydra_vulgaris_Sc4wPfr_125.g5658.t1 Sc4wPfr_125.g5658.t1	Clytia_hemispherica_TCONS_00071535-protein TCONS_00071535-protein, Clytia_hemispherica_TCONS_00071269-protein TCONS_00071269-protein, Clytia_hemispherica_TCONS_00071536-protein TCONS_00071536-protein, Clytia_hemispherica_TCONS_00070514-protein TCONS_00070514-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_1201.g23942.t1 Sc4wPfr_1201.g23942.t1	Clytia_hemispherica_TCONS_00000463-protein TCONS_00000463-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_363.2.g30380.t1 Sc4wPfr_363.2.g30380.t1	Clytia_hemispherica_TCONS_00068905-protein TCONS_00068905-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_272.g11354.t1 Sc4wPfr_272.g11354.t1	Clytia_hemispherica_TCONS_00014046-protein TCONS_00014046-protein, Clytia_hemispherica_TCONS_00026700-protein TCONS_00026700-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_756.g14109.t1 Sc4wPfr_756.g14109.t1	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_715.g30415.t1 Sc4wPfr_715.g30415.t1, Hydra_vulgaris_Sc4wPfr_715.g30416.t1 Sc4wPfr_715.g30416.t1, Hydra_vulgaris_Sc4wPfr_6.g19133.t1 Sc4wPfr_6.g19133.t1	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_483.g14184.t1 Sc4wPfr_483.g14184.t1, Hydra_vulgaris_Sc4wPfr_483.g14182.t1 Sc4wPfr_483.g14182.t1	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_384.g24818.t1 Sc4wPfr_384.g24818.t1	Clytia_hemispherica_TCONS_00032716-protein TCONS_00032716-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_224.1.g33400.t1 Sc4wPfr_224.1.g33400.t1	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein
OG0000004	Hydra_vulgaris_Sc4wPfr_672.g32789.t1 Sc4wPfr_672.g32789.t1, Hydra_vulgaris_Sc4wPfr_672.g32789.t2 Sc4wPfr_672.g32789.t2	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_29.g30119.t1 Sc4wPfr_29.g30119.t1	Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_1514.2.g69.t1 Sc4wPfr_1514.2.g69.t1	Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_90.g1199.t1 Sc4wPfr_90.g1199.t1, Hydra_vulgaris_Sc4wPfr_312.g4811.t1 Sc4wPfr_312.g4811.t1, Hydra_vulgaris_Sc4wPfr_192.g30630.t1 Sc4wPfr_192.g30630.t1, Hydra_vulgaris_Sc4wPfr_227.g25770.t1 Sc4wPfr_227.g25770.t1, Hydra_vulgaris_Sc4wPfr_192.g30647.t1 Sc4wPfr_192.g30647.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6165.t1 Sc4wPfr_177.1.g6165.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17795.t1 Sc4wPfr_262.2.g17795.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17796.t1 Sc4wPfr_262.2.g17796.t1, Hydra_vulgaris_Sc4wPfr_192.g30648.t1 Sc4wPfr_192.g30648.t1, Hydra_vulgaris_Sc4wPfr_1785.g3389.t1 Sc4wPfr_1785.g3389.t1, Hydra_vulgaris_Sc4wPfr_135.g21760.t1 Sc4wPfr_135.g21760.t1, Hydra_vulgaris_Sc4wPfr_39.g20553.t1 Sc4wPfr_39.g20553.t1, Hydra_vulgaris_Sc4wPfr_39.g20552.t1 Sc4wPfr_39.g20552.t1, Hydra_vulgaris_Sc4wPfr_39.g20547.t1 Sc4wPfr_39.g20547.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6220.t1 Sc4wPfr_177.1.g6220.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6228.t1 Sc4wPfr_177.1.g6228.t1	Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_589.g6032.t1 Sc4wPfr_589.g6032.t1, Hydra_vulgaris_Sc4wPfr_589.g6014.t1 Sc4wPfr_589.g6014.t1, Hydra_vulgaris_Sc4wPfr_589.g6008.t1 Sc4wPfr_589.g6008.t1	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_377.g82.t1 Sc4wPfr_377.g82.t1	Clytia_hemispherica_TCONS_00002523-protein TCONS_00002523-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_264.g27426.t1 Sc4wPfr_264.g27426.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12499.t1 Sc4wPfr_59.2.g12499.t1, Hydra_vulgaris_Sc4wPfr_59.2.g12506.t1 Sc4wPfr_59.2.g12506.t1, Hydra_vulgaris_Sc4wPfr_950.g24023.t2 Sc4wPfr_950.g24023.t2, Hydra_vulgaris_Sc4wPfr_950.g24023.t1 Sc4wPfr_950.g24023.t1, Hydra_vulgaris_Sc4wPfr_950.g24022.t1 Sc4wPfr_950.g24022.t1, Hydra_vulgaris_Sc4wPfr_264.g27426.t2 Sc4wPfr_264.g27426.t2	Clytia_hemispherica_TCONS_00070170-protein TCONS_00070170-protein, Clytia_hemispherica_TCONS_00064563-protein TCONS_00064563-protein, Clytia_hemispherica_TCONS_00002689-protein TCONS_00002689-protein, Clytia_hemispherica_TCONS_00002617-protein TCONS_00002617-protein, Clytia_hemispherica_TCONS_00002686-protein TCONS_00002686-protein, Clytia_hemispherica_TCONS_00051638-protein TCONS_00051638-protein, Clytia_hemispherica_TCONS_00062688-protein TCONS_00062688-protein, Clytia_hemispherica_TCONS_00019373-protein TCONS_00019373-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_920.g410.t1 Sc4wPfr_920.g410.t1	Clytia_hemispherica_TCONS_00000846-protein TCONS_00000846-protein, Clytia_hemispherica_TCONS_00007901-protein TCONS_00007901-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_29.g30023.t2 Sc4wPfr_29.g30023.t2, Hydra_vulgaris_Sc4wPfr_29.g30023.t1 Sc4wPfr_29.g30023.t1	Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_187.g1965.t1 Sc4wPfr_187.g1965.t1	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_363.2.g30322.t1 Sc4wPfr_363.2.g30322.t1	Clytia_hemispherica_TCONS_00006064-protein TCONS_00006064-protein, Clytia_hemispherica_TCONS_00052231-protein TCONS_00052231-protein, Clytia_hemispherica_TCONS_00051903-protein TCONS_00051903-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_839.g4004.t1 Sc4wPfr_839.g4004.t1	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_85.g841.t1 Sc4wPfr_85.g841.t1	Clytia_hemispherica_TCONS_00071679-protein TCONS_00071679-protein, Clytia_hemispherica_TCONS_00027341-protein TCONS_00027341-protein, Clytia_hemispherica_TCONS_00071675-protein TCONS_00071675-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_269.g7770.t1 Sc4wPfr_269.g7770.t1, Hydra_vulgaris_Sc4wPfr_356.g7066.t1 Sc4wPfr_356.g7066.t1, Hydra_vulgaris_Sc4wPfr_356.g7078.t1 Sc4wPfr_356.g7078.t1	Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_326.g15690.t1 Sc4wPfr_326.g15690.t1	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8968.t1 Sc4wPfr_703.g8968.t1, Hydra_vulgaris_Sc4wPfr_703.g8968.t2 Sc4wPfr_703.g8968.t2, Hydra_vulgaris_Sc4wPfr_703.g8970.t1 Sc4wPfr_703.g8970.t1	Clytia_hemispherica_TCONS_00035760-protein TCONS_00035760-protein, Clytia_hemispherica_TCONS_00017220-protein TCONS_00017220-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_552.g10517.t1 Sc4wPfr_552.g10517.t1	Clytia_hemispherica_TCONS_00001094-protein TCONS_00001094-protein
OG0000005	Hydra_vulgaris_Sc4wPfr_144.1.g11748.t1 Sc4wPfr_144.1.g11748.t1	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein
