Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Hydra_vulgaris_Sc4wPfr_172.1.g1573.t1 Sc4wPfr_172.1.g1573.t1, Hydra_vulgaris_Sc4wPfr_172.2.g23178.t1 Sc4wPfr_172.2.g23178.t1	Nematostella_vectensis_NV2t000360001.1 NV2t000360001.1
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_514.g14422.t1 Sc4wPfr_514.g14422.t1	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_3735.g7452.t1 Sc4wPfr_3735.g7452.t1, Hydra_vulgaris_Sc4wPfr_417.3.g31857.t1 Sc4wPfr_417.3.g31857.t1, Hydra_vulgaris_Sc4wPfr_456.g4754.t1 Sc4wPfr_456.g4754.t1, Hydra_vulgaris_Sc4wPfr_25.1.g8850.t1 Sc4wPfr_25.1.g8850.t1, Hydra_vulgaris_Sc4wPfr_1682.g4293.t1 Sc4wPfr_1682.g4293.t1	Nematostella_vectensis_NV2t007220001.1 NV2t007220001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_74.g18507.t1 Sc4wPfr_74.g18507.t1	Nematostella_vectensis_NV2t010038001.1 NV2t010038001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_177.1.g6145.t1 Sc4wPfr_177.1.g6145.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6139.t1 Sc4wPfr_177.1.g6139.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6146.t1 Sc4wPfr_177.1.g6146.t1	Nematostella_vectensis_NV2t002146001.1 NV2t002146001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_654.g18231.t1 Sc4wPfr_654.g18231.t1	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_467.g16204.t1 Sc4wPfr_467.g16204.t1	Nematostella_vectensis_NV2t010733001.1 NV2t010733001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_952.g24540.t1 Sc4wPfr_952.g24540.t1, Hydra_vulgaris_Sc4wPfr_952.g24537.t1 Sc4wPfr_952.g24537.t1	Nematostella_vectensis_NV2t011945001.1 NV2t011945001.1
OG0000002	Hydra_vulgaris_Sc4wPfr_881.g1673.t1 Sc4wPfr_881.g1673.t1	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_1968.g26006.t1 Sc4wPfr_1968.g26006.t1	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1, Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_198.g23280.t1 Sc4wPfr_198.g23280.t1	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
OG0000003	Hydra_vulgaris_Sc4wPfr_52.g22737.t1 Sc4wPfr_52.g22737.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t2 Sc4wPfr_1630.1.g20734.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20734.t1 Sc4wPfr_1630.1.g20734.t1, Hydra_vulgaris_Sc4wPfr_133.g14092.t1 Sc4wPfr_133.g14092.t1, Hydra_vulgaris_Sc4wPfr_728.g2233.t1 Sc4wPfr_728.g2233.t1, Hydra_vulgaris_Sc4wPfr_728.g2249.t1 Sc4wPfr_728.g2249.t1, Hydra_vulgaris_Sc4wPfr_439.g20823.t1 Sc4wPfr_439.g20823.t1, Hydra_vulgaris_Sc4wPfr_439.g20824.t1 Sc4wPfr_439.g20824.t1, Hydra_vulgaris_Sc4wPfr_1151.2.g25207.t1 Sc4wPfr_1151.2.g25207.t1, Hydra_vulgaris_Sc4wPfr_1630.1.g20728.t2 Sc4wPfr_1630.1.g20728.t2, Hydra_vulgaris_Sc4wPfr_1630.1.g20728.t1 Sc4wPfr_1630.1.g20728.t1, Hydra_vulgaris_Sc4wPfr_707.1.g4183.t1 Sc4wPfr_707.1.g4183.t1, Hydra_vulgaris_Sc4wPfr_100.g17108.t1 Sc4wPfr_100.g17108.t1, Hydra_vulgaris_Sc4wPfr_625.g7778.t1 Sc4wPfr_625.g7778.t1, Hydra_vulgaris_Sc4wPfr_508.g5897.t1 Sc4wPfr_508.g5897.t1, Hydra_vulgaris_Sc4wPfr_625.g7793.t1 Sc4wPfr_625.g7793.t1, Hydra_vulgaris_Sc4wPfr_508.g5857.t1 Sc4wPfr_508.g5857.t1, Hydra_vulgaris_Sc4wPfr_962.g23745.t1 Sc4wPfr_962.g23745.t1, Hydra_vulgaris_Sc4wPfr_1061.g18798.t1 Sc4wPfr_1061.g18798.t1, Hydra_vulgaris_Sc4wPfr_789.g22452.t1 Sc4wPfr_789.g22452.t1	Nematostella_vectensis_NV2t012173001.1 NV2t012173001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_1269.g30722.t1 Sc4wPfr_1269.g30722.t1	Nematostella_vectensis_NV2t015872001.1 NV2t015872001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_259.g33624.t1 Sc4wPfr_259.g33624.t1, Hydra_vulgaris_Sc4wPfr_259.g33624.t2 Sc4wPfr_259.g33624.t2	Nematostella_vectensis_NV2t010392001.1 NV2t010392001.1, Nematostella_vectensis_NV2t010392002.1 NV2t010392002.1, Nematostella_vectensis_NV2t010392003.1 NV2t010392003.1, Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1, Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Hydra_vulgaris_Sc4wPfr_208.2.g17742.t1 Sc4wPfr_208.2.g17742.t1, Hydra_vulgaris_Sc4wPfr_547.1.g25022.t1 Sc4wPfr_547.1.g25022.t1	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1
OG0000003	Hydra_vulgaris_Sc4wPfr_1127.1.g1464.t1 Sc4wPfr_1127.1.g1464.t1, Hydra_vulgaris_Sc4wPfr_461.g8086.t1 Sc4wPfr_461.g8086.t1, Hydra_vulgaris_Sc4wPfr_113.1.g28301.t1 Sc4wPfr_113.1.g28301.t1	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_1201.g23942.t1 Sc4wPfr_1201.g23942.t1	Nematostella_vectensis_NV2t024201001.1 NV2t024201001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_363.2.g30380.t1 Sc4wPfr_363.2.g30380.t1, Hydra_vulgaris_Sc4wPfr_272.g11354.t1 Sc4wPfr_272.g11354.t1	Nematostella_vectensis_NV2t023710001.1 NV2t023710001.1, Nematostella_vectensis_NV2t023164002.1 NV2t023164002.1, Nematostella_vectensis_NV2t023164001.1 NV2t023164001.1, Nematostella_vectensis_NV2t024229003.1 NV2t024229003.1, Nematostella_vectensis_NV2t024229001.1 NV2t024229001.1, Nematostella_vectensis_NV2t024229002.1 NV2t024229002.1
OG0000004	Hydra_vulgaris_Sc4wPfr_363.2.g30382.t1 Sc4wPfr_363.2.g30382.t1	Nematostella_vectensis_NV2t011796001.1 NV2t011796001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_756.g14109.t1 Sc4wPfr_756.g14109.t1	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Nematostella_vectensis_NV2t002229001.1 NV2t002229001.1, Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_715.g30415.t1 Sc4wPfr_715.g30415.t1, Hydra_vulgaris_Sc4wPfr_715.g30416.t1 Sc4wPfr_715.g30416.t1, Hydra_vulgaris_Sc4wPfr_6.g19133.t1 Sc4wPfr_6.g19133.t1	Nematostella_vectensis_NV2t021936001.1 NV2t021936001.1, Nematostella_vectensis_NV2t008980001.1 NV2t008980001.1, Nematostella_vectensis_NV2t008406003.1 NV2t008406003.1, Nematostella_vectensis_NV2t008406002.1 NV2t008406002.1, Nematostella_vectensis_NV2t008406001.1 NV2t008406001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_483.g14184.t1 Sc4wPfr_483.g14184.t1	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1, Nematostella_vectensis_NV2t004921001.1 NV2t004921001.1, Nematostella_vectensis_NV2t004715001.1 NV2t004715001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1
OG0000004	Hydra_vulgaris_Sc4wPfr_224.1.g33400.t1 Sc4wPfr_224.1.g33400.t1	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1
OG0000004	Hydra_vulgaris_Sc4wPfr_672.g32789.t1 Sc4wPfr_672.g32789.t1, Hydra_vulgaris_Sc4wPfr_672.g32789.t2 Sc4wPfr_672.g32789.t2	Nematostella_vectensis_NV2t017172001.1 NV2t017172001.1, Nematostella_vectensis_NV2t023593001.1 NV2t023593001.1, Nematostella_vectensis_NV2t023594001.1 NV2t023594001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_773.g11723.t1 Sc4wPfr_773.g11723.t1, Hydra_vulgaris_Sc4wPfr_29.g30119.t1 Sc4wPfr_29.g30119.t1	Nematostella_vectensis_NV2t021687001.1 NV2t021687001.1, Nematostella_vectensis_NV2t021684001.1 NV2t021684001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8971.t1 Sc4wPfr_703.g8971.t1	Nematostella_vectensis_NV2t008552001.1 NV2t008552001.1, Nematostella_vectensis_NV2t008552002.1 NV2t008552002.1, Nematostella_vectensis_NV2t008552003.1 NV2t008552003.1
OG0000005	Hydra_vulgaris_Sc4wPfr_1514.2.g69.t1 Sc4wPfr_1514.2.g69.t1, Hydra_vulgaris_Sc4wPfr_90.g1199.t1 Sc4wPfr_90.g1199.t1, Hydra_vulgaris_Sc4wPfr_312.g4811.t1 Sc4wPfr_312.g4811.t1, Hydra_vulgaris_Sc4wPfr_192.g30630.t1 Sc4wPfr_192.g30630.t1, Hydra_vulgaris_Sc4wPfr_227.g25770.t1 Sc4wPfr_227.g25770.t1, Hydra_vulgaris_Sc4wPfr_192.g30647.t1 Sc4wPfr_192.g30647.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6165.t1 Sc4wPfr_177.1.g6165.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17795.t1 Sc4wPfr_262.2.g17795.t1, Hydra_vulgaris_Sc4wPfr_262.2.g17796.t1 Sc4wPfr_262.2.g17796.t1, Hydra_vulgaris_Sc4wPfr_192.g30648.t1 Sc4wPfr_192.g30648.t1, Hydra_vulgaris_Sc4wPfr_1785.g3389.t1 Sc4wPfr_1785.g3389.t1, Hydra_vulgaris_Sc4wPfr_135.g21760.t1 Sc4wPfr_135.g21760.t1, Hydra_vulgaris_Sc4wPfr_39.g20553.t1 Sc4wPfr_39.g20553.t1, Hydra_vulgaris_Sc4wPfr_39.g20552.t1 Sc4wPfr_39.g20552.t1, Hydra_vulgaris_Sc4wPfr_39.g20547.t1 Sc4wPfr_39.g20547.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6220.t1 Sc4wPfr_177.1.g6220.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6228.t1 Sc4wPfr_177.1.g6228.t1	Nematostella_vectensis_NV2t016729001.1 NV2t016729001.1, Nematostella_vectensis_NV2t016730001.1 NV2t016730001.1, Nematostella_vectensis_NV2t015011001.1 NV2t015011001.1, Nematostella_vectensis_NV2t023859001.1 NV2t023859001.1, Nematostella_vectensis_NV2t013745004.1 NV2t013745004.1, Nematostella_vectensis_NV2t013745003.1 NV2t013745003.1, Nematostella_vectensis_NV2t013745002.1 NV2t013745002.1, Nematostella_vectensis_NV2t013745001.1 NV2t013745001.1, Nematostella_vectensis_NV2t013745005.1 NV2t013745005.1, Nematostella_vectensis_NV2t013749001.1 NV2t013749001.1, Nematostella_vectensis_NV2t023064002.1 NV2t023064002.1, Nematostella_vectensis_NV2t023064001.1 NV2t023064001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_589.g6032.t1 Sc4wPfr_589.g6032.t1, Hydra_vulgaris_Sc4wPfr_589.g6014.t1 Sc4wPfr_589.g6014.t1, Hydra_vulgaris_Sc4wPfr_589.g6008.t1 Sc4wPfr_589.g6008.t1	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1
OG0000005	Hydra_vulgaris_Sc4wPfr_187.g1965.t1 Sc4wPfr_187.g1965.t1	Nematostella_vectensis_NV2t006019001.1 NV2t006019001.1, Nematostella_vectensis_NV2t005698001.1 NV2t005698001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_839.g4004.t1 Sc4wPfr_839.g4004.t1	Nematostella_vectensis_NV2t015018001.1 NV2t015018001.1, Nematostella_vectensis_NV2t014862004.1 NV2t014862004.1, Nematostella_vectensis_NV2t013368001.1 NV2t013368001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_326.g15690.t1 Sc4wPfr_326.g15690.t1	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1
OG0000005	Hydra_vulgaris_Sc4wPfr_576.1.g2978.t1 Sc4wPfr_576.1.g2978.t1	Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1
OG0000006	Hydra_vulgaris_Sc4wPfr_727.g7600.t1 Sc4wPfr_727.g7600.t1, Hydra_vulgaris_Sc4wPfr_73.g11519.t1 Sc4wPfr_73.g11519.t1	Nematostella_vectensis_NV2t003560001.1 NV2t003560001.1
OG0000006	Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1	Nematostella_vectensis_NV2t003792001.1 NV2t003792001.1, Nematostella_vectensis_NV2t003300001.1 NV2t003300001.1
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	Nematostella_vectensis_NV2t011255001.1 NV2t011255001.1
OG0000007	Hydra_vulgaris_Sc4wPfr_118.g25110.t1 Sc4wPfr_118.g25110.t1	Nematostella_vectensis_NV2t025186001.1 NV2t025186001.1, Nematostella_vectensis_NV2t023400001.1 NV2t023400001.1
OG0000007	Hydra_vulgaris_Sc4wPfr_502.g33755.t1 Sc4wPfr_502.g33755.t1, Hydra_vulgaris_Sc4wPfr_1777.g6707.t1 Sc4wPfr_1777.g6707.t1, Hydra_vulgaris_Sc4wPfr_247.g24221.t1 Sc4wPfr_247.g24221.t1, Hydra_vulgaris_Sc4wPfr_1051.1.g21192.t1 Sc4wPfr_1051.1.g21192.t1	Nematostella_vectensis_NV2t016433001.1 NV2t016433001.1
OG0000007	Hydra_vulgaris_Sc4wPfr_158.2.g10589.t1 Sc4wPfr_158.2.g10589.t1	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1
OG0000007	Hydra_vulgaris_Sc4wPfr_1033.g30822.t1 Sc4wPfr_1033.g30822.t1	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1
OG0000008	Hydra_vulgaris_Sc4wPfr_2179.g8165.t1 Sc4wPfr_2179.g8165.t1, Hydra_vulgaris_Sc4wPfr_2179.g8165.t2 Sc4wPfr_2179.g8165.t2	Nematostella_vectensis_NV2t005910001.1 NV2t005910001.1
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18303.t1 Sc4wPfr_484.g18303.t1	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18299.t1 Sc4wPfr_484.g18299.t1, Hydra_vulgaris_Sc4wPfr_56.g24476.t1 Sc4wPfr_56.g24476.t1	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1, Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1, Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1
OG0000008	Hydra_vulgaris_Sc4wPfr_565.g22058.t1 Sc4wPfr_565.g22058.t1	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_1380.1.g8427.t1 Sc4wPfr_1380.1.g8427.t1	Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_175.g6382.t1 Sc4wPfr_175.g6382.t1, Hydra_vulgaris_Sc4wPfr_175.g6382.t2 Sc4wPfr_175.g6382.t2, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t1 Sc4wPfr_38.1.g13212.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t2 Sc4wPfr_38.1.g13212.t2	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_90.g1143.t1 Sc4wPfr_90.g1143.t1, Hydra_vulgaris_Sc4wPfr_325.1.g5321.t1 Sc4wPfr_325.1.g5321.t1	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_147.g8601.t1 Sc4wPfr_147.g8601.t1	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1, Nematostella_vectensis_NV2t002825001.1 NV2t002825001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_79.4.g4973.t1 Sc4wPfr_79.4.g4973.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4972.t1 Sc4wPfr_79.4.g4972.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4971.t1 Sc4wPfr_79.4.g4971.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4975.t1 Sc4wPfr_79.4.g4975.t1	Nematostella_vectensis_NV2t016314001.1 NV2t016314001.1, Nematostella_vectensis_NV2t016315002.1 NV2t016315002.1, Nematostella_vectensis_NV2t016315001.1 NV2t016315001.1
OG0000009	Hydra_vulgaris_Sc4wPfr_789.g22427.t1 Sc4wPfr_789.g22427.t1	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22720.t1 Sc4wPfr_378.g22720.t1, Hydra_vulgaris_Sc4wPfr_378.g22721.t1 Sc4wPfr_378.g22721.t1	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1
OG0000010	Hydra_vulgaris_Sc4wPfr_197.g11018.t1 Sc4wPfr_197.g11018.t1	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Hydra_vulgaris_Sc4wPfr_124.g12319.t1 Sc4wPfr_124.g12319.t1	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1
OG0000010	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2	Nematostella_vectensis_NV2t005728003.1 NV2t005728003.1
OG0000010	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1
OG0000012	Hydra_vulgaris_Sc4wPfr_363.2.g30334.t1 Sc4wPfr_363.2.g30334.t1	Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1
OG0000012	Hydra_vulgaris_Sc4wPfr_68.g2367.t1 Sc4wPfr_68.g2367.t1, Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000013	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
